right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,84.8322,space,60.2214,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,84.8323,119.5025,space,4.6614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,119.5027,124.1975,space,1.6848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,124.2071,124.7044,124.7045,124.9546,124.9547,125.517,right,0.5522,,125.5171,126.6143,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,126.6147,127.1143,127.1143,127.3644,127.3644,127.5866,left,0.2082,,127.5866,128.6838,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.684,131.9067,space,0.2221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,131.9124,132.4135,,,132.6638,133.1713,right,0.5002,,,,,,,,,0.55,,,,,,132.4137,132.6638,133.1714,"[-0.15257207635552883,-0.028745400641997747]","[-1,-1,-1]","[0.09871308977556148,-0.08211479841809859]","[-1,-1,-1]","[-0.13680343876017428,0.009236921236008604]","[-1,-1,-1]","[0.09460625495358739,-0.1351302739861854]","[1,1,1]","[-0.15837693814983203,-0.06873061303058714]","[-1,-1,-1]","[0.0739044973246992,0.07182151720982925]","[-1,-1,-1]","[-0.043388395655008724,-0.14156535539698945]","[1,1,1]","[0.17944831103184314,0.004204754877742834]","[1,1,1]","[0.018383950624895184,-0.1904686126567619]","[1,1,1]","[-0.06583888620172751,-0.07284816673776599]","[1,1,1]","[0.1722640197339328,0.051220042246641555]","[-1,-1,-1]","[0.09847229774921626,0.03320215771637326]","[-1,-1,-1]","[0.062043657218958215,0.12249790869023969]","[-1,-1,-1]","[-0.17847175055657488,0.04765336051468033]","[1,1,1]","[0.0244909845482004,0.1403374927770872]","[-1,-1,-1]","[-0.08116546102059859,0.02229003216492258]","[-1,-1,-1]","[-0.11013543642580462,0.11144230556765457]","[1,1,1]","[0.14974380569641035,0.11739624198969065]","[-1,-1,-1]","[0.14626220169500012,-0.03254631158299101]","[1,1,1]","[-0.0760445971409256,0.1624821937197395]","[1,1,1]","[-0.06556096487024252,0.10675968116350595]","[-1,-1,-1]","[0.0440303873122887,0.01309534106532592]","[1,1,1]","[0.040796570469079724,-0.033646967519789454]","[1,1,1]","[0.04712028674384251,-0.15059636493923817]","[1,1,1]","[-0.12164246973672944,-0.15766874271876385]","[-1,-1,-1]","[0.16939767249224333,-0.08065035516612193]","[1,1,1]","[0.010787908907480024,0.18580455909475796]","[1,1,1]","[0.028310973515215197,0.05554874593001837]","[1,1,1]","[-0.059351249033862984,-0.1862110097073816]","[1,1,1]","[-0.044224313815414557,-0.03842842890534724]","[1,1,1]","[-0.04462397014760753,0.03915342214916398]","[1,1,1]","[-0.11365008014459382,-0.11830675929949547]","[-1,-1,-1]","[0.02,0.02]",134.2679,0,0,0,121,1,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,134.2681,134.7679,,,135.0181,135.4624,left,0.4322,,,,,,,,,0.6,,,,,,134.7679,135.0181,135.4625,"[0.11209514713974442,0.13585374383720197]","[-1,-1,-1]","[-0.12893657061689603,0.12972535938573745]","[1,1,1]","[0.14861727306883857,-0.10887408424021817]","[-1,-1,-1]","[0.19905195595894926,-0.011167871641558455]","[-1,-1,-1]","[0.12921134959043426,0.0592486636735849]","[-1,-1,-1]","[0.166911619871016,0.09171668587407879]","[-1,-1,-1]","[-0.11346935668563662,-0.14517376088305547]","[1,1,1]","[-0.043888429851847786,0.03479963683946622]","[1,1,1]","[0.012360011489869236,-0.10829855931186491]","[1,1,1]","[-0.024046021214552838,0.08223004144823855]","[1,1,1]","[-0.17764875573030117,-0.07278195351721599]","[1,1,1]","[-0.0044028951177534,0.140411752247736]","[-1,-1,-1]","[-0.0647092069743451,-0.07252485451925653]","[1,1,1]","[0.13808208551774565,-0.015881936965344432]","[1,1,1]","[-0.11174612148110369,0.03800671776792901]","[-1,-1,-1]","[-0.07614741923776486,-0.18213116848012031]","[1,1,1]","[0.03167205622857283,-0.1916247114118372]","[1,1,1]","[0.007276530141541704,-0.1570710496938253]","[1,1,1]","[-0.19282350597257225,0.00007135723805643925]","[-1,-1,-1]","[0.021066635531778476,-0.06399037789738776]","[1,1,1]","[0.0046933212315048295,0.023341857846837705]","[1,1,1]","[0.11244294786495912,-0.14937932501399795]","[-1,-1,-1]","[0.06076135081216376,-0.027552893383082654]","[-1,-1,-1]","[0.0838072406336162,0.01763877668683986]","[-1,-1,-1]","[0.07964777190447427,0.09390834969472384]","[1,1,1]","[0.0803473167717533,0.18215674731526174]","[-1,-1,-1]","[0.08554808837322248,-0.06805690690348257]","[1,1,1]","[-0.09038039923493071,-0.020580183551776116]","[1,1,1]","[-0.15377306767840596,-0.009301865743413563]","[1,1,1]","[-0.11647391598356015,-0.06371841047625597]","[1,1,1]","[-0.1699786980860978,0.10402269913483164]","[1,1,1]","[-0.17449208633997212,0.04110989910473486]","[-1,-1,-1]","[0.02,0.02]",136.5597,0,1,1,164,1,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,136.5599,137.0605,,,137.31,137.671,left,0.3474,,,,,,,,,0.9,,,,,,137.0605,137.31,137.671,"[-0.10202343245562064,-0.08164224203776034]","[1,1,1]","[0.0566026442427425,0.16897653988321742]","[1,1,1]","[0.039241983034426206,-0.0657259375621626]","[1,1,1]","[-0.042922507915416394,-0.18770043225530206]","[1,1,1]","[-0.001141947175357447,0.10582174796860282]","[-1,-1,-1]","[0.055476638179605964,0.02818043545747861]","[1,1,1]","[-0.08731180836691681,0.0825472543115928]","[-1,-1,-1]","[-0.04627378346470487,0.1829847058043826]","[1,1,1]","[0.17375439735337903,-0.06175218252762897]","[1,1,1]","[-0.18619062656884172,-0.00008265626407620428]","[1,1,1]","[0.04937159977730215,-0.1610003168530412]","[1,1,1]","[0.17670234132794824,0.07228536527390686]","[1,1,1]","[-0.017746658711843902,-0.13543448587132872]","[-1,-1,-1]","[-0.06164485862927509,0.13380037684748408]","[1,1,1]","[-0.022799961045668525,-0.01372181481025284]","[1,1,1]","[-0.05211934235811291,0.04724517189040426]","[1,1,1]","[0.1292406150785382,-0.09375852509109722]","[1,1,1]","[0.11941983814727733,0.013623004047491989]","[1,1,1]","[-0.1502455181750066,0.06102290042695408]","[1,1,1]","[0.09465130665542874,-0.16584277751229923]","[1,1,1]","[0.09367556290964336,0.09653413478118654]","[1,1,1]","[-0.11003907956141912,-0.12090471822204601]","[1,1,1]","[0.008442373895455709,0.1480000552694831]","[1,1,1]","[-0.1833520480364336,-0.07669523802978705]","[1,1,1]","[-0.1066596448819515,-0.1616227416362189]","[1,1,1]","[0.17418141715102192,-0.005020273693277601]","[1,1,1]","[-0.061740431192248875,-0.12455109909668821]","[1,1,1]","[0.11036972694568532,0.15759281885858042]","[1,1,1]","[0.011012368078215814,0.05319938361707047]","[1,1,1]","[-0.15110705607522065,-0.1283450010843612]","[1,1,1]","[-0.07921604834825136,-0.01120841015921962]","[1,1,1]","[-0.10121220859832333,0.12114495788045047]","[1,1,1]","[0.02,0.02]",138.7683,0,2,2,207,1,,,,,,,
,,,,,,,55a2159bfdf99b3cec08f1a9,682f0fc0fbab2d8779208fc4,2025-05-22_13h51.33.490,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,138.7685,139.2684,,,139.5191,139.7823,right,0.2518,,,,,,,,,0.4,,,,,,139.2684,139.5191,139.7823,"[0.12546329827602776,-0.14169476997410912]","[-1,-1,-1]","[-0.0781360959507358,-0.06470026364988508]","[-1,-1,-1]","[-0.12494130364554906,0.0670381179380861]","[-1,-1,-1]","[0.0015753393952181306,-0.13235600110604742]","[-1,-1,-1]","[-0.11138444823539237,-0.09567867244173782]","[1,1,1]","[-0.187034164344702,0.024842074519572325]","[-1,-1,-1]","[-0.0824819568249866,0.055108108688248024]","[1,1,1]","[-0.09324028130597362,0.10708390351737594]","[1,1,1]","[0.027071052006542612,0.00010909742688115293]","[-1,-1,-1]","[-0.09271977823440386,-0.1484706121386732]","[1,1,1]","[0.030206656701681253,0.08326686923586077]","[1,1,1]","[-0.06710347553283046,0.014301092478629018]","[-1,-1,-1]","[0.14787098321953535,0.09635451208651032]","[1,1,1]","[-0.04656921156807256,-0.18875257534916884]","[-1,-1,-1]","[0.022310033993551526,0.19703405650700978]","[1,1,1]","[-0.059142097216384526,0.15184699572577637]","[-1,-1,-1]","[-0.13696731599746634,-0.048205880688239784]","[1,1,1]","[-0.19144402359490803,-0.024606004887305043]","[1,1,1]","[0.05265711829234382,0.14157119928493936]","[-1,-1,-1]","[0.07126327364064329,-0.14584250671771656]","[-1,-1,-1]","[0.07475040804037926,0.07651613721630597]","[1,1,1]","[0.1344480509693924,-0.07622477260770384]","[1,1,1]","[0.0494397629090516,-0.036233865215118746]","[-1,-1,-1]","[-0.028896066447944145,-0.06046496673708131]","[-1,-1,-1]","[-0.033512702692259234,-0.10872525795533193]","[-1,-1,-1]","[0.07531288404896083,-0.08403737874358044]","[1,1,1]","[0.15047652986509594,-0.019945656754472043]","[-1,-1,-1]","[0.1452453509120527,0.052938587325713715]","[-1,-1,-1]","[-0.05398219570750624,0.09817036156890452]","[-1,-1,-1]","[0.026532789268518087,-0.19272004799294712]","[-1,-1,-1]","[0.18788384980528078,0.013437460388477299]","[1,1,1]","[-0.03392555974137019,0.0512196528143253]","[-1,-1,-1]","[0.02,0.02]",140.8797,0,3,3,31,1,,,,,,,
