right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,99.0961,space,84.0683,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,99.0964,138.585,space,9.4744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,138.5854,145.9858,space,4.3859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,146.0273,146.4975,146.4979,146.7484,146.7486,147.2248,right,0.4401,,147.2254,148.3246,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,148.3252,148.8244,148.8245,149.0749,149.075,149.7912,left,0.7047,,149.7913,150.8909,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.8914,156.3928,space,2.4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,156.4176,156.9074,,,157.1577,158.4407,left,1.2683,,,,,,,,,0.55,,,,,,156.9077,157.1577,158.4411,"[0.030216667531562307,-0.08749979822322583]","[1,1,1]","[-0.06753118857552445,-0.054246342190278705]","[1,1,1]","[0.10941887000426959,-0.00212046133470213]","[-1,-1,-1]","[0.013522618292971564,0.042786811503041866]","[-1,-1,-1]","[-0.15644636730600092,0.06589869919131824]","[1,1,1]","[0.05579090076995411,-0.12136465874028281]","[1,1,1]","[-0.11188730170732435,0.1369310820858806]","[-1,-1,-1]","[0.029519587739747714,-0.03576775587706325]","[-1,-1,-1]","[-0.04570057738617741,-0.01427013250637828]","[-1,-1,-1]","[0.12936306289329905,0.13922038240394333]","[1,1,1]","[-0.06682086288617767,0.1745457055030518]","[1,1,1]","[-0.04414079794103055,0.07811326311524612]","[1,1,1]","[0.08335911173401205,-0.1551577986722406]","[1,1,1]","[0.04412827355072078,0.1032482197184751]","[-1,-1,-1]","[-0.13383492603741906,-0.14207964934405903]","[1,1,1]","[-0.12634456119298523,-0.08145028365710281]","[1,1,1]","[0.11701208994077132,-0.07773636175437466]","[-1,-1,-1]","[0.06291521789109296,0.1429840803926618]","[-1,-1,-1]","[-0.011580949486078447,-0.04813148985620272]","[-1,-1,-1]","[-0.0020795148109882707,-0.11972122542717477]","[-1,-1,-1]","[-0.018828680978645925,0.17850431516015855]","[1,1,1]","[0.08474115259485163,0.0727201355992232]","[-1,-1,-1]","[0.0521969525132229,-0.19199597684559944]","[1,1,1]","[-0.04718066157646758,0.12209974182558622]","[1,1,1]","[0.17006733529924256,-0.031175460887202834]","[1,1,1]","[-0.08900817590478909,0.07062686646517048]","[1,1,1]","[-0.17454347572315992,-0.03406833887194798]","[1,1,1]","[0.17344052629666384,-0.08910423047721325]","[1,1,1]","[0.06519517979237334,-0.013256246961669969]","[1,1,1]","[0.16896654204570727,0.03352160259035428]","[-1,-1,-1]","[-0.12389513917714891,-0.0063011111651567675]","[-1,-1,-1]","[-0.18555874234735636,0.01768296252828481]","[-1,-1,-1]","[0.02,0.02]",159.5409,0,0,0,149,1,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,159.5413,160.0406,,,160.2911,161.0407,left,0.7348,,,,,,,,,0.9,,,,,,160.0407,160.291,161.0407,"[-0.026566719865689568,-0.1044013086153412]","[1,1,1]","[0.05327328031133494,0.1281902682342965]","[-1,-1,-1]","[0.028970755384391922,-0.1519694554467134]","[1,1,1]","[-0.07274538770687107,-0.12718874837613692]","[1,1,1]","[-0.10857443383458659,0.14147393952981588]","[-1,-1,-1]","[-0.10791929929175556,0.044441477168033226]","[1,1,1]","[-0.0382290586831045,-0.15628737863647824]","[1,1,1]","[0.024531539835820012,0.07005902964250425]","[1,1,1]","[0.10559405665752081,-0.01909718544049931]","[1,1,1]","[0.10848110634678772,-0.08398592967736565]","[1,1,1]","[-0.08284673277142403,-0.08385489435850228]","[1,1,1]","[-0.16359604883803908,0.11048124172742867]","[1,1,1]","[0.13486798466032016,0.09350995530267579]","[1,1,1]","[-0.16330628161401253,-0.07160304736833367]","[1,1,1]","[-0.06531563084351132,0.1653901737613774]","[1,1,1]","[-0.008774813872852201,-0.0638011198855468]","[1,1,1]","[0.05563614024514766,-0.022018666054222816]","[1,1,1]","[-0.14778297992199302,-0.11836894268700791]","[1,1,1]","[-0.16896822940120018,0.057603264012088935]","[-1,-1,-1]","[0.09422851103474383,0.1600836055666984]","[1,1,1]","[-0.10084170319323708,-0.16651252474537834]","[1,1,1]","[-0.0928566544193879,-0.011462724316519122]","[1,1,1]","[-0.04613891600572324,0.013526725792478874]","[1,1,1]","[0.18885873753501922,0.03734624251030297]","[1,1,1]","[0.09250698733697509,-0.13754461374191304]","[1,1,1]","[0.011454404863822296,0.1804708460524744]","[1,1,1]","[-0.055313728938263675,0.10433213095837611]","[1,1,1]","[0.03747325044214578,-0.1927530834384778]","[1,1,1]","[-0.140927821511621,-0.01188226600603364]","[1,1,1]","[-0.017300146976955137,0.12094580654491596]","[1,1,1]","[-0.1884293158925297,-0.004821614935667626]","[1,1,1]","[0.15434536018768477,-0.04387303007742904]","[1,1,1]","[0.02,0.02]",162.1402,0,1,1,204,1,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,162.1406,162.6404,,,162.8908,164.2405,left,1.3342,,,,,,,,,0.5,,,,,,162.6404,162.8908,164.2405,"[0.00011077679794006004,-0.18954363229392046]","[1,1,1]","[-0.003909978243232559,-0.10564933345381743]","[1,1,1]","[0.07982780653224977,-0.15303017809077432]","[1,1,1]","[-0.017522632652175515,-0.022993932936676193]","[-1,-1,-1]","[-0.17091252671917112,-0.021574425048534733]","[-1,-1,-1]","[-0.06049189440924771,-0.043212350878707596]","[1,1,1]","[-0.1309051528360027,-0.12194537605905348]","[-1,-1,-1]","[0.023802655485432454,0.005205971746807292]","[1,1,1]","[0.04663926220631,0.11601010854350689]","[1,1,1]","[0.001066296630034592,0.1441381665537476]","[1,1,1]","[0.06473851357910859,-0.07495272610100688]","[1,1,1]","[0.14163378137328608,0.007708545134421911]","[1,1,1]","[-0.06868375369102732,0.1050102726093196]","[-1,-1,-1]","[0.14511466208547188,0.13140754934017201]","[-1,-1,-1]","[0.1356527414421053,-0.03927010687536618]","[-1,-1,-1]","[-0.13422037810005388,0.13974116490289504]","[1,1,1]","[-0.08607832247251268,0.03084046431905508]","[1,1,1]","[-0.11373051606283614,-0.05133362146541549]","[-1,-1,-1]","[-0.11223059042693193,0.09028121733072036]","[-1,-1,-1]","[-0.02232510107800357,0.09916992074461202]","[-1,-1,-1]","[-0.06334511363636477,0.1545909979246576]","[-1,-1,-1]","[0.15146855530926123,0.05224308510181699]","[1,1,1]","[-0.009872368983053097,0.19922767880348746]","[1,1,1]","[0.063781647573023,0.16568416277410725]","[-1,-1,-1]","[0.011947466511509255,-0.053095934811006315]","[-1,-1,-1]","[-0.035406230911802734,-0.1504233452056599]","[-1,-1,-1]","[-0.0808567299675228,-0.16968219380356012]","[1,1,1]","[0.11114489374823538,0.15308877166333193]","[-1,-1,-1]","[0.194887254747948,0.037779343888297866]","[1,1,1]","[0.1490197829740139,-0.11138270245666299]","[-1,-1,-1]","[-0.06380162233415795,-0.08464333300431194]","[1,1,1]","[0.061509999300306005,0.02940438620698041]","[-1,-1,-1]","[0.02,0.02]",165.3425,0,2,2,111,1,,,,,,,
,,,,,,,573dbfc9cc30e7000dc57410,682f0fc0bf2047d27ea98c6e,2025-05-22_12h51.52.748,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,165.3431,165.8408,,,166.0913,167.1238,left,1.0175,,,,,,,,,0.5,,,,,,165.8409,166.0913,167.1239,"[-0.11236885715647366,-0.10635175934002418]","[-1,-1,-1]","[0.037825806566471415,-0.05188017366196077]","[-1,-1,-1]","[-0.07231185783255084,0.14110891543348436]","[1,1,1]","[0.016589702180879424,-0.16718919600758386]","[1,1,1]","[-0.06783560257980908,0.09912432274468909]","[1,1,1]","[-0.17680492897410355,0.08742836911034535]","[1,1,1]","[-0.13363499552289823,-0.07012529803096772]","[1,1,1]","[0.06446606973427906,-0.08709969391796166]","[-1,-1,-1]","[0.08646012093928061,0.06887880970426936]","[1,1,1]","[-0.05187267520449404,-0.021859512948406594]","[1,1,1]","[-0.008067798759455347,-0.0568074614021818]","[1,1,1]","[0.12651565246480898,0.047003650593163845]","[-1,-1,-1]","[0.023661067473858984,0.10962280379444406]","[-1,-1,-1]","[-0.12913156468943732,0.017500134071949353]","[1,1,1]","[0.11947780079439722,-0.1076064621056964]","[-1,-1,-1]","[0.16050276466743324,0.11580531820491552]","[1,1,1]","[-0.1026358529044074,-0.019348007884939726]","[1,1,1]","[-0.024217357816733218,-0.15992186961963112]","[1,1,1]","[-0.08380331014724132,0.023898152932168515]","[1,1,1]","[-0.0411594442199904,0.1671507534586441]","[1,1,1]","[-0.04524243019987825,0.058298742263951174]","[-1,-1,-1]","[-0.018715073409152325,0.1291522366514446]","[-1,-1,-1]","[-0.06652534843164745,-0.1494730748380105]","[-1,-1,-1]","[0.12997577956478581,-0.06743403639643869]","[-1,-1,-1]","[-0.032812243488012885,-0.11955087903543164]","[-1,-1,-1]","[-0.02794252336901438,0.018475541513160727]","[-1,-1,-1]","[-0.11870359627236454,0.1052377751643307]","[-1,-1,-1]","[0.026529259721440122,-0.10974514432743344]","[1,1,1]","[0.19188149815809827,0.004109024761813016]","[-1,-1,-1]","[-0.04931409687379465,-0.07482060950117253]","[1,1,1]","[0.08302516749983944,-0.023393897804677072]","[-1,-1,-1]","[0.05231472482345637,0.045706107784380716]","[-1,-1,-1]","[0.02,0.02]",168.2234,0,3,3,118,1,,,,,,,
