right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0004,18.9408,space,3.9272,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,18.9415,49.9999,space,1.0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,50.0001,54.2114,space,1.1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,54.2451,54.7271,54.7277,54.9782,54.9786,56.1312,right,1.1268,,56.1314,57.2269,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,57.228,57.725,57.725,57.9639,57.9641,58.447,left,0.4664,,58.4473,59.543,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5439,63.5201,space,0.9658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,63.5415,64.0215,,,64.267,64.7822,right,0.5062,,,,,,,,,0.4,,,,,,64.0223,64.267,64.7829,"[0.09592548411567714,-0.16853070027774544]","[1,1,1]","[0.0546544235435391,-0.07814811634084963]","[-1,-1,-1]","[-0.1494095123123606,0.0007359066846749591]","[1,1,1]","[0.04467849151296873,0.19343526197722716]","[-1,-1,-1]","[0.01866785608236992,0.09923571672808619]","[1,1,1]","[-0.18349480407011967,0.029327985533129687]","[1,1,1]","[-0.0030729196402716303,-0.027968869383782735]","[-1,-1,-1]","[-0.040859420754073054,0.17027690515430416]","[-1,-1,-1]","[0.10293626420718725,0.11298893768004874]","[1,1,1]","[0.1043155997638551,-0.03682040845238855]","[-1,-1,-1]","[-0.0860562768304876,0.01696555613656923]","[-1,-1,-1]","[-0.04125673031263204,-0.12901894192053606]","[1,1,1]","[0.019654066789969032,0.1483690928667673]","[-1,-1,-1]","[-0.06239025662780028,-0.037728561972109345]","[-1,-1,-1]","[-0.06241189757809391,0.08874672365859622]","[1,1,1]","[-0.05322155380309052,-0.08935068475785692]","[-1,-1,-1]","[-0.04294786731070454,0.001264201169738016]","[1,1,1]","[-0.08429424341003401,-0.15392539975600306]","[1,1,1]","[-0.11522822736138882,-0.10933095725196801]","[-1,-1,-1]","[-0.08241489124546737,0.14760133974477455]","[-1,-1,-1]","[-0.13076916416026974,0.07757915041015839]","[1,1,1]","[-0.1756613817877666,-0.09103943768840475]","[-1,-1,-1]","[0.043501196185823446,0.036185636444647784]","[1,1,1]","[0.05837943915167931,0.08462618478654259]","[-1,-1,-1]","[-0.015931113404608396,0.047983280841823836]","[-1,-1,-1]","[0.17431877656098646,-0.005036411561724364]","[-1,-1,-1]","[0.14704996089093156,-0.05589478295693704]","[-1,-1,-1]","[-0.01285098191426528,-0.17212246822466268]","[-1,-1,-1]","[0.1872089468656488,-0.05111384662132653]","[1,1,1]","[0.16413540929389955,0.07380992241572241]","[-1,-1,-1]","[0.03458655872920247,-0.12564972882290493]","[1,1,1]","[-0.009554512148349377,-0.10168784555690036]","[-1,-1,-1]","[0.02,0.02]",65.8808,0,0,0,47,1,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,65.8817,66.3804,,,66.6304,66.8798,left,0.2348,,,,,,,,,0.1,,,,,,66.3805,66.6304,66.8799,"[0.11275743135837751,0.08453660890508315]","[-1,-1,-1]","[-0.04407963647825501,-0.18317154901510496]","[-1,-1,-1]","[-0.10314093253263255,-0.14354785103448814]","[-1,-1,-1]","[-0.06265386505378204,-0.06870777886381894]","[-1,-1,-1]","[-0.13691406566322814,-0.07566572552642116]","[-1,-1,-1]","[0.09738623092353682,0.03219576491890362]","[-1,-1,-1]","[-0.17759521158105823,-0.0885030614692769]","[-1,-1,-1]","[0.06927158886808579,0.1144112599600645]","[1,1,1]","[0.07445128029708513,-0.15570564019540056]","[-1,-1,-1]","[0.02516900259251662,-0.14583408337974443]","[-1,-1,-1]","[-0.19292043616316198,-0.04072936406471351]","[-1,-1,-1]","[0.014552046856361158,0.1746661950770176]","[-1,-1,-1]","[-0.02636419922235235,-0.0016621933094141614]","[-1,-1,-1]","[-0.0718085699282571,-0.005978890110896386]","[-1,-1,-1]","[0.17188753547227117,0.09644828200289601]","[-1,-1,-1]","[-0.002577155580970087,0.06989152396207518]","[-1,-1,-1]","[-0.030814742361586052,0.14212605350702176]","[-1,-1,-1]","[-0.10528661914059698,0.14319486740676154]","[-1,-1,-1]","[-0.07480545245033071,0.10437337995460368]","[1,1,1]","[-0.1240228980012418,0.09678608282078673]","[-1,-1,-1]","[0.11573560412788707,-0.05184858804347069]","[-1,-1,-1]","[0.1898598552371477,0.029487412517736795]","[-1,-1,-1]","[0.056657679740865066,0.06372709940549875]","[-1,-1,-1]","[-0.18200693517320307,0.00804458368717517]","[-1,-1,-1]","[0.008754667181967208,-0.048218716187031836]","[-1,-1,-1]","[0.016686490993040887,0.1149735057857533]","[-1,-1,-1]","[0.03132498709561597,-0.08134467698724522]","[-1,-1,-1]","[-0.14246405511809915,-0.13556498858658744]","[-1,-1,-1]","[-0.11768380525933728,0.03504502569587442]","[-1,-1,-1]","[-0.051091802111140186,0.04129224288858635]","[1,1,1]","[0.14843293336953467,-0.09560214650659965]","[-1,-1,-1]","[0.17929832247581276,-0.04971197587876191]","[-1,-1,-1]","[0.02,0.02]",67.9787,0,1,1,22,1,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,67.9792,68.4775,,,68.7277,68.961,left,0.2254,,,,,,,,,0.1,,,,,,68.4775,68.7277,68.961,"[0.05130323412364919,-0.02548956083824533]","[-1,-1,-1]","[0.006736581784873019,-0.1017074848308099]","[-1,-1,-1]","[-0.1774115589905916,0.08391472735772479]","[-1,-1,-1]","[0.01574152827247593,0.09848631884215266]","[-1,-1,-1]","[0.02402944524046234,0.16337298308792078]","[-1,-1,-1]","[-0.09952436711867063,-0.02259322058294901]","[-1,-1,-1]","[-0.04082457388825687,0.15364027362505445]","[1,1,1]","[0.11449448402751085,-0.14550317985153105]","[-1,-1,-1]","[-0.019584504585599617,-0.15827349720531336]","[-1,-1,-1]","[-0.10210441149312811,0.031772980391606184]","[-1,-1,-1]","[0.04519402237539817,-0.13108973994746198]","[-1,-1,-1]","[-0.1280381469333296,-0.08109622912241429]","[-1,-1,-1]","[-0.022599675214725983,-0.05251597071557119]","[-1,-1,-1]","[0.08001563208496743,0.07248166623560394]","[1,1,1]","[-0.10036506416940622,-0.16733493463161517]","[-1,-1,-1]","[0.1486102355902488,0.05192905464185471]","[-1,-1,-1]","[0.10291326550395648,-0.06935522039658526]","[-1,-1,-1]","[-0.10077995557699183,0.08382316197874644]","[-1,-1,-1]","[-0.1427000382889527,-0.13618204396814132]","[-1,-1,-1]","[-0.06361556963630496,-0.15099254215958502]","[-1,-1,-1]","[-0.08071866449541658,-0.09104817811614017]","[-1,-1,-1]","[0.07685112269497496,0.14585310624245412]","[1,1,1]","[-0.13166311212075987,0.004468087022971325]","[-1,-1,-1]","[0.15506247353224584,-0.06012671684052725]","[-1,-1,-1]","[-0.11476204342380124,0.15681411430178566]","[-1,-1,-1]","[0.013258833790978974,0.03486734278468308]","[-1,-1,-1]","[0.08793422184028492,0.0014164451572001159]","[-1,-1,-1]","[0.010418402085523021,-0.026538124708191925]","[-1,-1,-1]","[-0.13027307329209578,0.11732227453986767]","[-1,-1,-1]","[0.18737375497408731,-0.012145395579065727]","[-1,-1,-1]","[-0.19617124208129014,0.014317011243322412]","[-1,-1,-1]","[0.17278923724901446,0.08842853511035378]","[-1,-1,-1]","[0.02,0.02]",70.0592,0,2,2,17,1,,,,,,,
,,,,,,,5997043dbbe84800017964a7,682db3ac53d3621bbd066ad5,2025-05-21_12h06.41.314,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,70.0598,70.5589,,,70.8094,71.3914,right,0.5662,,,,,,,,,0.55,,,,,,70.559,70.8093,71.3915,"[0.18564467944881463,0.013005383300856719]","[-1,-1,-1]","[0.08233103699995405,-0.02951008814240406]","[1,1,1]","[0.15366890559584692,0.08756121826726052]","[-1,-1,-1]","[-0.12378930801389906,-0.13758727262825002]","[-1,-1,-1]","[-0.058122346097963656,0.07333532077635131]","[-1,-1,-1]","[0.00301946734568516,0.0977493052019577]","[1,1,1]","[0.004790480079150137,-0.19206939101601908]","[1,1,1]","[-0.14734927290156277,0.06728421150608066]","[1,1,1]","[-0.04011368389873339,0.11665208348321021]","[-1,-1,-1]","[0.12117793684236612,0.0024189159065407875]","[-1,-1,-1]","[0.02959677673339156,-0.06704179558994465]","[1,1,1]","[-0.0818206213444563,-0.17283423407759124]","[-1,-1,-1]","[-0.011897831019807818,-0.04649393148972188]","[-1,-1,-1]","[-0.04881257948523564,0.18933878834670528]","[1,1,1]","[0.07410855797300006,0.16562097091949793]","[-1,-1,-1]","[-0.07413440493758591,-0.10777422916543454]","[1,1,1]","[0.09494364056172822,-0.16962939223713172]","[1,1,1]","[0.12518869410329,0.12267174900885122]","[-1,-1,-1]","[-0.08957233923776581,-0.005109991454446843]","[1,1,1]","[-0.031195311448896527,-0.14210180962479108]","[-1,-1,-1]","[0.05850410341988948,0.07695134393167714]","[1,1,1]","[-0.09152967178121584,0.1110855103118767]","[1,1,1]","[-0.17328441895778351,0.03434613399041439]","[1,1,1]","[0.033329235717975976,-0.15020216914420362]","[-1,-1,-1]","[0.10817911021868087,-0.08869517782123938]","[1,1,1]","[-0.129236174181357,-0.07572025902354415]","[1,1,1]","[0.01330563550569295,0.005032734171822067]","[-1,-1,-1]","[0.03445979463954529,0.1824519317615015]","[1,1,1]","[-0.08620445076092079,-0.048736512016013284]","[-1,-1,-1]","[0.17939274060257032,-0.07430587928969996]","[1,1,1]","[-0.011326715787386933,-0.09941802593772836]","[1,1,1]","[-0.002422137372909699,0.04637647813754424]","[1,1,1]","[0.02,0.02]",72.4896,0,3,3,147,1,,,,,,,
