right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,368.426,space,31.4881,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,368.4262,402.2533,space,3.8186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,402.2534,441.6525,space,36.3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,441.6611,442.1527,442.1528,442.4046,442.4047,443.1702,left,0.7346,,443.1703,444.2711,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,444.2713,444.7714,444.7714,445.0217,445.0218,445.3385,right,0.2845,,445.3386,446.4395,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.4397,449.8757,space,0.4262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,449.8811,450.376,,,450.6264,451.2601,right,0.6006,,,,,,,,,0.45,,,,,,450.3762,450.6264,451.2602,"[-0.1392355264775518,0.06495610604296326]","[-1,-1,-1]","[-0.17985570640850815,0.024613843329243493]","[-1,-1,-1]","[-0.15682805688489426,-0.023215031000913045]","[1,1,1]","[0.0720742189698572,0.13936894342051162]","[-1,-1,-1]","[0.10756603407827715,-0.07926831180694285]","[1,1,1]","[-0.11179881757130769,-0.1298869245760586]","[-1,-1,-1]","[0.12511135553342323,0.07895324347968487]","[1,1,1]","[0.0682205792858823,-0.1421284080392254]","[-1,-1,-1]","[0.11949608766768008,-0.006617136463141335]","[-1,-1,-1]","[-0.012589460790352095,-0.06465673593740419]","[1,1,1]","[0.12587182402734765,0.1394517259942834]","[-1,-1,-1]","[0.007472971699020301,-0.024695827780644452]","[-1,-1,-1]","[0.023124323516407193,0.11024881058830446]","[-1,-1,-1]","[0.18199944935972626,0.03870159252437255]","[-1,-1,-1]","[-0.07121227933815384,0.1414805929780165]","[1,1,1]","[-0.03734548725455417,0.1832249664897221]","[-1,-1,-1]","[-0.017977338423552466,-0.17010265987499384]","[-1,-1,-1]","[-0.10168704252203944,-0.045609393237801964]","[-1,-1,-1]","[0.08279697902491256,0.09526678244030992]","[1,1,1]","[-0.026071309811086237,0.12009046732172168]","[-1,-1,-1]","[-0.06329015842394571,0.05804929183879053]","[1,1,1]","[0.08747396724026812,-0.044645445800377076]","[1,1,1]","[0.058647592504491614,-0.016515738491367334]","[-1,-1,-1]","[0.002027771802111069,-0.13423306816233696]","[1,1,1]","[0.12470069392480741,-0.14298093735012238]","[1,1,1]","[0.0038399406790404133,0.1930650226575659]","[-1,-1,-1]","[-0.06301136670941264,-0.16373097222665559]","[1,1,1]","[0.1696130167813211,0.09418440218270359]","[-1,-1,-1]","[-0.17093644648681172,-0.06463727725370623]","[-1,-1,-1]","[0.17617604254307248,-0.06981168880439809]","[1,1,1]","[0.054137215441300804,-0.18157156287619503]","[1,1,1]","[0.019475559219544355,0.15080702691874978]","[1,1,1]","[0.02,0.02]",452.3612,0,0,0,79,1,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,452.3614,452.8616,,,453.1117,453.6287,left,0.4841,,,,,,,,,0.4,,,,,,452.8616,453.1117,453.6287,"[0.050119611978123715,0.16784953588810086]","[1,1,1]","[-0.04441913547292059,-0.1643973096873967]","[-1,-1,-1]","[0.09719744024821786,0.021919847671021796]","[-1,-1,-1]","[-0.017358192198976878,0.04879681026396161]","[1,1,1]","[0.12331268839195554,-0.1496593742305423]","[-1,-1,-1]","[0.15297466474887803,-0.11686775511558337]","[1,1,1]","[-0.12086469319061331,0.05648227457382878]","[-1,-1,-1]","[0.15694878254908862,0.06540446429580689]","[1,1,1]","[0.046891185397735985,-0.038848717604822405]","[1,1,1]","[-0.13710456521983735,0.09340032500538432]","[-1,-1,-1]","[-0.0460304064824207,-0.11101422588562854]","[-1,-1,-1]","[0.08871963705676593,0.12273542535133417]","[-1,-1,-1]","[0.10990890701802133,-0.10757926011240182]","[1,1,1]","[0.1918919612246824,-0.012067289432055662]","[1,1,1]","[-0.05696350520304315,0.030209320703581514]","[-1,-1,-1]","[-0.17783287719775015,0.03779577893958565]","[-1,-1,-1]","[-0.06086540162189584,0.13185475802607033]","[-1,-1,-1]","[-0.01166936945943404,-0.028445978418446847]","[-1,-1,-1]","[0.04856993356155145,-0.10014675231435793]","[-1,-1,-1]","[-0.16748432548187625,-0.06707652941010554]","[-1,-1,-1]","[0.1453293349148583,-0.06802439055249157]","[1,1,1]","[0.09856950419755461,0.16401618423699582]","[-1,-1,-1]","[-0.15989818607531261,-0.11751976007641092]","[1,1,1]","[-0.005943773959861287,-0.14226074034213965]","[1,1,1]","[0.05505118183970743,-0.1775974582874789]","[-1,-1,-1]","[0.04924214447648787,0.09281565484787592]","[-1,-1,-1]","[-0.1217915377425102,-0.010794699680064468]","[1,1,1]","[-0.0032815870034696554,0.13532245981733362]","[1,1,1]","[-0.11901501622526305,-0.09908331302265598]","[1,1,1]","[0.004224786796772988,-0.06845086430063668]","[-1,-1,-1]","[-0.1879653508220918,-0.0011940779496389833]","[-1,-1,-1]","[0.19022391042394513,-0.054882367335321855]","[-1,-1,-1]","[0.02,0.02]",454.73,0,1,1,41,1,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,454.7301,455.2302,,,455.4803,455.6803,right,0.1779,,,,,,,,,0.9,,,,,,455.2302,455.4803,455.6803,"[-0.1737612356805385,0.06936109822851545]","[1,1,1]","[-0.11785424074298295,-0.03818078881930981]","[1,1,1]","[0.03423430828144517,0.01812410773674151]","[1,1,1]","[-0.046172706085113334,-0.08204608199558439]","[1,1,1]","[0.15780321741176787,-0.003443999105815683]","[1,1,1]","[-0.1421147767537767,0.024035692778617387]","[1,1,1]","[-0.025813396600829402,0.05046547134237073]","[1,1,1]","[0.17935902147083382,-0.08282347865993288]","[1,1,1]","[-0.08333714012626248,0.17739256157150052]","[1,1,1]","[0.05355973486838902,0.17878607136686558]","[1,1,1]","[0.0349150033061218,-0.13576828014567086]","[1,1,1]","[0.10965995378209518,-0.10808103474776895]","[1,1,1]","[0.004547791329584444,-0.07345093684617432]","[1,1,1]","[-0.11666411419932583,-0.11959423708921182]","[1,1,1]","[-0.02441839797056142,0.18848048292932634]","[1,1,1]","[0.002863230363620181,-0.19934841465939246]","[-1,-1,-1]","[-0.03776232624508241,0.13154938456672158]","[-1,-1,-1]","[-0.011341074575571953,0.009293950616758365]","[1,1,1]","[0.008736870042381743,0.11147895316449061]","[1,1,1]","[-0.07036259828748857,0.07065447422841777]","[1,1,1]","[0.027115514075125916,-0.02268202510255476]","[1,1,1]","[-0.14408170928462846,-0.07403231369142625]","[1,1,1]","[-0.08104097454277166,-0.1509284525934795]","[1,1,1]","[0.13241284920439378,0.08272971104803803]","[1,1,1]","[-0.14400778799011843,0.12913788781213875]","[1,1,1]","[0.060268903720392945,0.049758228217354136]","[1,1,1]","[0.13777320993956446,0.1440407120209005]","[1,1,1]","[0.04874376062529467,-0.07003146501800234]","[1,1,1]","[-0.061400408827954,-0.01723600925636577]","[1,1,1]","[0.10011197731545189,0.02115450142612606]","[-1,-1,-1]","[0.1522493842302031,0.03929569032046631]","[1,1,1]","[-0.18629851698907576,0.001556596597543084]","[1,1,1]","[0.02,0.02]",456.7812,0,2,2,199,1,,,,,,,
,,,,,,,5b9d57e5737d030001ad2cbf,682db4174f5d1d86fa6e0820,2025-05-21_12h08.19.763,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,456.7815,457.2817,,,457.5322,458.2158,right,0.6542,,,,,,,,,0.5,,,,,,457.2818,457.5322,458.2158,"[-0.01736315272370403,0.15052292622146574]","[1,1,1]","[0.06230504347242853,0.02296880083216934]","[1,1,1]","[0.00770556913585725,-0.1726110569429231]","[1,1,1]","[-0.09546673195978508,0.1649469458029305]","[1,1,1]","[0.1923212707272877,0.018398993830602912]","[1,1,1]","[-0.0834179226818843,0.10374975693614621]","[1,1,1]","[-0.14772500851443757,0.062914664616515]","[-1,-1,-1]","[0.10716301377411498,-0.03988004313039217]","[-1,-1,-1]","[-0.10141868661633248,-0.055020819580945714]","[1,1,1]","[-0.03398320375286401,-0.09412442016901042]","[-1,-1,-1]","[0.15430993240138327,-0.001378718425541636]","[-1,-1,-1]","[0.07237724805714293,-0.12119996645877518]","[-1,-1,-1]","[-0.1445095715662551,-0.09665915491124429]","[-1,-1,-1]","[-0.04746172962059233,0.047690732552785414]","[1,1,1]","[0.0033351900458148654,0.08621598796750547]","[-1,-1,-1]","[0.0341035483951849,-0.08229639910067718]","[1,1,1]","[0.05765074368721856,0.1658445376756998]","[-1,-1,-1]","[0.16927751329070903,0.052836863569698855]","[1,1,1]","[-0.08524182994411464,-0.11375289203905962]","[-1,-1,-1]","[0.04199476008316748,0.10060683020897454]","[1,1,1]","[0.0926758587335261,-0.16776255215638716]","[-1,-1,-1]","[0.15182029504064265,0.1292133129928137]","[1,1,1]","[-0.11027290698948745,-0.15270826620512026]","[1,1,1]","[-0.1732375792159601,0.016650311251144714]","[-1,-1,-1]","[-0.024223478054756675,-0.0456034634286661]","[-1,-1,-1]","[0.1255942580193092,0.09615087377668535]","[1,1,1]","[0.13158136311161583,-0.10307453458950736]","[-1,-1,-1]","[0.1803851276352623,-0.05413416171489247]","[-1,-1,-1]","[-0.16709844329679324,-0.033593487670586966]","[-1,-1,-1]","[0.11023433256922449,0.15268779788376916]","[1,1,1]","[-0.05438180052345523,0.004123853629397943]","[-1,-1,-1]","[-0.10329912873387599,0.04969005617056583]","[1,1,1]","[0.02,0.02]",459.3169,0,3,3,109,1,,,,,,,
