right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0,58.338,space,43.306,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,58.338,107.013,space,18.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,107.013,118.795,space,8.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,118.82,119.308,119.308,119.562,119.563,120.394,left,0.779,,120.394,121.492,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,121.493,121.992,121.992,122.245,122.245,122.852,right,0.598,,122.852,123.944,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.944,130.979,space,4.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,131.008,131.492,,,131.746,132.509,right,0.753,,,,,,,,,0.9,,,,,,131.492,131.746,132.509,"[0.09860285665955205,-0.1487749660649749]","[1,1,1]","[0.1850254578108851,-0.024762399260734938]","[1,1,1]","[-0.08575215731805208,0.05560543536976057]","[1,1,1]","[0.07558368584476358,0.1421585758354447]","[1,1,1]","[0.011935151738780523,0.039826633407675366]","[1,1,1]","[-0.015528295726463196,-0.16085770795868057]","[1,1,1]","[0.1315858339606735,0.0861044469242302]","[1,1,1]","[0.03623207122617831,0.07460493044737165]","[1,1,1]","[0.00031509793511292554,0.09483249191821079]","[-1,-1,-1]","[-0.15656321661154518,0.037323631095085484]","[1,1,1]","[0.16107512388410083,-0.0751220589694247]","[1,1,1]","[-0.04906420895271986,0.16648371962123107]","[1,1,1]","[0.0983646359690639,0.003171009383247927]","[1,1,1]","[-0.1512139919739803,0.12459804679266989]","[1,1,1]","[-0.0660893019372479,-0.05712962110882118]","[-1,-1,-1]","[-0.08794617422417986,-0.14105017877900228]","[1,1,1]","[-0.1265217219240958,-0.09818476794269422]","[1,1,1]","[0.0050053275635005825,0.15104236957543524]","[1,1,1]","[-0.02085524587781748,-0.0032256627401529036]","[1,1,1]","[0.17992243019059112,0.086322399829604]","[1,1,1]","[0.02402752880207834,-0.05691543926141974]","[1,1,1]","[-0.03556683623362248,0.11722739565704915]","[1,1,1]","[0.08225708797374603,-0.06994790368330195]","[-1,-1,-1]","[0.19371677124948053,0.03467570529008606]","[1,1,1]","[-0.09690868967394267,0.1501090670593831]","[1,1,1]","[-0.044327003361337734,-0.1290806937601918]","[1,1,1]","[0.15202640110448565,0.0055719789154432655]","[1,1,1]","[-0.19611127763946354,-0.017232049548404668]","[1,1,1]","[-0.11164253494192916,-0.009151173481814118]","[1,1,1]","[0.08778357905495654,0.1038790703909139]","[1,1,1]","[0.04787685749439352,-0.14409523108910857]","[1,1,1]","[-0.0036910222667484558,0.19497992882736132]","[1,1,1]","[0.02,0.02]",133.611,0,0,0,184,1,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,133.612,134.108,,,134.36,134.861,right,0.482,,,,,,,,,0.9,,,,,,134.109,134.36,134.861,"[0.13129964096726765,0.14997428708729255]","[1,1,1]","[0.16458088877681598,0.10936878061471814]","[1,1,1]","[0.12373608510435509,0.055794243962737945]","[1,1,1]","[0.050108179907321866,0.08577314101176223]","[1,1,1]","[-0.12195100732378451,-0.0554646328997116]","[1,1,1]","[0.054981455623767765,-0.105675793978478]","[1,1,1]","[0.023565892016905177,-0.07903995641743976]","[1,1,1]","[0.08154889462876543,-0.05432712912861018]","[1,1,1]","[0.007701293834757312,-0.03950746363674009]","[1,1,1]","[0.16632983232724755,-0.00830262494395868]","[1,1,1]","[-0.0737074948360394,-0.07852110149295025]","[1,1,1]","[-0.04350784883527135,0.10862813956944543]","[1,1,1]","[0.03305780387124895,0.15318457470804608]","[1,1,1]","[-0.04340720415774967,0.009682222092673573]","[1,1,1]","[0.033698812118947305,0.04495843960796363]","[-1,-1,-1]","[0.01763431808320097,-0.15218142191611755]","[1,1,1]","[0.11134398282469354,-0.1249800772154085]","[1,1,1]","[-0.17832018084527396,0.08116960910632814]","[1,1,1]","[-0.14082225586487773,0.06070938700750287]","[1,1,1]","[0.0997051392105619,0.0957856822525556]","[1,1,1]","[-0.18839335993292108,-0.0665084709159145]","[1,1,1]","[-0.10934836631110996,0.00763304462615078]","[-1,-1,-1]","[-0.08908632679076355,-0.029489785385102846]","[-1,-1,-1]","[-0.12050784622478725,-0.1424836122134937]","[1,1,1]","[-0.027751096274927025,0.15167833247418788]","[1,1,1]","[0.006563895417522471,0.1911504360938815]","[1,1,1]","[-0.02135832127761877,-0.13370449421305133]","[1,1,1]","[-0.14349421044181376,0.11288070139175839]","[1,1,1]","[-0.038909330920847876,-0.05312584281604701]","[1,1,1]","[-0.08057362641271411,0.044260096963958453]","[1,1,1]","[-0.12175644819442044,-0.09878403357516653]","[1,1,1]","[-0.12398205605736141,0.1527755974329226]","[1,1,1]","[0.02,0.02]",135.962,0,1,1,199,1,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,135.964,136.459,,,136.71,137.561,left,0.83,,,,,,,,,0.6,,,,,,136.459,136.71,137.561,"[0.09327476153932553,0.07343332217587101]","[1,1,1]","[0.027445752274365944,0.10033275669718873]","[1,1,1]","[-0.09349970072665545,0.013727690025002043]","[-1,-1,-1]","[0.10514101397974167,-0.0804549700060574]","[1,1,1]","[0.09287794685738823,-0.1676146676233079]","[-1,-1,-1]","[0.09955604619262064,0.12254637145081648]","[-1,-1,-1]","[0.059033568253754665,-0.11834397903906768]","[1,1,1]","[-0.0060753864335627555,-0.1642805779709213]","[-1,-1,-1]","[0.017603265542476085,-0.05704629562039529]","[1,1,1]","[-0.06261757270137057,0.13482054123631418]","[-1,-1,-1]","[-0.040184946108239104,0.0677512353464976]","[1,1,1]","[0.01201375138319891,-0.10489862375490261]","[-1,-1,-1]","[0.14550045702744377,0.052294034786654967]","[1,1,1]","[-0.12927562666411177,0.1208271049712151]","[1,1,1]","[-0.1445355827411389,-0.07726433229964495]","[1,1,1]","[-0.018363129005433212,0.18044070421877811]","[-1,-1,-1]","[-0.19107552326757932,-0.0366647105633753]","[-1,-1,-1]","[-0.13452654098661251,-0.010028518211620235]","[1,1,1]","[0.04375140843757875,0.19256239783947765]","[1,1,1]","[0.17736328919735497,0.026460540503190733]","[1,1,1]","[-0.1941311993063411,0.008658724555889211]","[-1,-1,-1]","[-0.000721969713811928,0.012020752145813525]","[1,1,1]","[0.14040813323180554,0.0006848733026953013]","[1,1,1]","[-0.0793392357967147,0.056195423181891725]","[-1,-1,-1]","[-0.1803216071891731,0.06732470771701553]","[1,1,1]","[-0.05438669892870712,-0.06062457354221073]","[-1,-1,-1]","[0.0953876728228949,-0.0017289447845282061]","[1,1,1]","[0.16385129907475554,0.10946815722425976]","[1,1,1]","[0.07198776338762529,-0.0427894149083308]","[-1,-1,-1]","[0.033349977869438704,0.059614819008023304]","[1,1,1]","[-0.0627846583282083,0.1844036379959032]","[-1,-1,-1]","[-0.03630615750928706,-0.1169580472128108]","[1,1,1]","[0.02,0.02]",138.659,0,2,2,160,1,,,,,,,
,,,,,,,5be2172e8a2c800001624f31,682db47c39ca23204937ef1e,2025-05-21_13h14.17.413,cuing_paradigm_dot,2024.1.5,Win32,59.95203837,682d556593cb38ad0a074487,,,,,,,,,,,138.66,139.161,,,139.409,140.21,left,0.785,,,,,,,,,0.45,,,,,,139.161,139.409,140.21,"[-0.009308933567452826,-0.14071587390644757]","[1,1,1]","[-0.17171759668272576,-0.0929877055754904]","[1,1,1]","[0.04117080117319372,-0.10964475224269987]","[-1,-1,-1]","[-0.01601798567201636,-0.08892057978806688]","[-1,-1,-1]","[-0.06500035495173326,-0.18863805625170352]","[-1,-1,-1]","[0.05848416561311853,0.123863966456115]","[-1,-1,-1]","[0.15218713433564146,0.10604811170495054]","[-1,-1,-1]","[-0.12961639542142922,-0.06631042551551625]","[-1,-1,-1]","[0.15784637863728357,-0.01049638373947881]","[-1,-1,-1]","[-0.049178404711287024,0.19149436452880841]","[1,1,1]","[-0.09342754236221777,0.02968777806747386]","[1,1,1]","[-0.13047476288289098,0.05288664827230876]","[1,1,1]","[0.042306644864637484,0.051013149336386836]","[-1,-1,-1]","[0.1606560778421113,0.06303533452226141]","[1,1,1]","[0.1623399190922703,-0.08468305607911038]","[-1,-1,-1]","[-0.12396715650792003,0.11256640322169119]","[1,1,1]","[-0.17957447982894859,0.029570773744696043]","[1,1,1]","[-0.07160238343341466,0.10282746116223326]","[-1,-1,-1]","[0.15194227533131605,-0.12690295906430057]","[1,1,1]","[0.0001831132710025564,0.09515755075750823]","[1,1,1]","[-0.12080020952984202,-0.01985044680247165]","[-1,-1,-1]","[0.07933329985731744,-0.1715413837602709]","[-1,-1,-1]","[0.10477002218142523,-0.13884147019968937]","[-1,-1,-1]","[-0.07782292215195191,-0.05430097984660899]","[-1,-1,-1]","[0.014862822750232353,0.004922299439791592]","[1,1,1]","[-0.008602657937056307,0.04523659235660734]","[1,1,1]","[-0.02980579484823733,-0.034788188445620295]","[1,1,1]","[0.10987210136662728,0.0005016728290039156]","[-1,-1,-1]","[-0.05745286624867574,0.050949576589397874]","[-1,-1,-1]","[0.007219810409082429,0.1735284984236116]","[1,1,1]","[-0.18536725938752724,-0.028241150226168292]","[-1,-1,-1]","[0.11163489678978028,-0.061225264340225155]","[-1,-1,-1]","[0.02,0.02]",141.309,0,3,3,66,1,,,,,,,
