right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0006,21.4746,space,6.4502,0.0045,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,21.475,52.5912,space,1.1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,52.5912,57.1698,space,1.5682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,57.2002,57.6759,57.6761,57.917,57.9172,58.9733,left,1.0285,,58.9735,60.0663,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,60.067,60.5595,60.5596,60.7998,60.7999,61.1868,right,0.3774,,61.1869,62.281,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2814,68.1689,space,2.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,68.1862,68.6748,,,68.916,69.5297,right,0.6065,,,,,,,,,0.6,,,,,,68.6751,68.9159,69.5302,"[0.08361040363120334,-0.04097596653665861]","[1,1,1]","[-0.05156859300629912,0.037109887964397244]","[-1,-1,-1]","[-0.1351275420555669,0.13825375929312683]","[1,1,1]","[-0.004631903983559516,0.0717178360355522]","[1,1,1]","[0.04972285756820843,0.027098813664425347]","[1,1,1]","[-0.0045358626153831055,-0.13348242614325445]","[1,1,1]","[0.09178619220648228,-0.08024755993997698]","[-1,-1,-1]","[0.11596212768413856,0.020624609357540506]","[-1,-1,-1]","[0.08280040128698006,-0.135579766684536]","[1,1,1]","[0.02304220348784562,-0.03706640944168752]","[-1,-1,-1]","[-0.016046417775269446,-0.04932040652126074]","[-1,-1,-1]","[0.06413926524181107,0.1354677945063295]","[1,1,1]","[0.00678241414884096,0.025797198594350697]","[-1,-1,-1]","[-0.059338592118658655,0.09318739647074877]","[1,1,1]","[-0.07639980903064664,0.1365700895795928]","[1,1,1]","[0.14440378388689126,-0.1151550177245536]","[-1,-1,-1]","[0.03634642652768668,-0.08551599244609688]","[1,1,1]","[-0.1933304038998288,0.03420081267617171]","[-1,-1,-1]","[0.13429669582124146,0.11840463057948118]","[1,1,1]","[-0.15228150577988314,0.07752266618922303]","[-1,-1,-1]","[-0.10189284252011167,0.023429032214468813]","[1,1,1]","[0.1722782093084428,-0.02013748181482175]","[-1,-1,-1]","[-0.180430861052611,-0.017513931783306687]","[1,1,1]","[-0.011850882199275235,0.11819371133091862]","[1,1,1]","[0.15773392345259146,0.029169570511638467]","[1,1,1]","[-0.11132116849173024,0.06263982145550487]","[-1,-1,-1]","[-0.0708617467967271,-0.15967970801677253]","[-1,-1,-1]","[0.02693119637809761,-0.17984892449482354]","[1,1,1]","[-0.0761922625712841,-0.0770909137462143]","[1,1,1]","[-0.02620845290605456,0.18747845976423583]","[1,1,1]","[0.016114872049110156,0.16843003780512544]","[-1,-1,-1]","[0.07955434038515674,0.07201137950583153]","[1,1,1]","[0.02,0.02]",70.6233,0,0,0,171,1,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,70.6236,71.1177,,,71.3712,72.173,left,0.7916,,,,,,,,,0.5,,,,,,71.1179,71.3712,72.1731,"[0.07859194075882797,0.17246198559195777]","[-1,-1,-1]","[0.023701760953096923,0.0025757457457256192]","[1,1,1]","[-0.07897696646807108,0.006878608779031107]","[-1,-1,-1]","[-0.06903848930704708,-0.17478146432223712]","[1,1,1]","[0.050327931189344324,-0.07197158369286825]","[1,1,1]","[-0.12524206524421153,-0.07381090894612397]","[1,1,1]","[-0.12637677612683695,-0.03365233950971899]","[1,1,1]","[0.08494156619798209,-0.16906329471177764]","[1,1,1]","[0.05907710360492715,0.10011943568416685]","[1,1,1]","[-0.0817192843330382,0.06339043747732677]","[1,1,1]","[-0.19246667250434524,0.041726631803994635]","[-1,-1,-1]","[0.1269489366687766,-0.01160506393225636]","[-1,-1,-1]","[-0.027199742584980757,0.14555740780808338]","[-1,-1,-1]","[0.12324392913231633,-0.14861433426440007]","[-1,-1,-1]","[-0.13176601199457783,0.05751543957031079]","[-1,-1,-1]","[0.05168213904456871,0.044099539172531274]","[-1,-1,-1]","[-0.198937873594115,0.00046444708504396476]","[1,1,1]","[0.013701673017387752,0.17267127652332306]","[-1,-1,-1]","[-0.08767506192452128,-0.08984484059766305]","[1,1,1]","[-0.034915135173515084,-0.05648082354055389]","[1,1,1]","[-0.18524406636289925,-0.05084515112991925]","[-1,-1,-1]","[-0.11093617770838231,-0.15034504388522596]","[1,1,1]","[0.005481913149883221,-0.03643443412094808]","[-1,-1,-1]","[0.008971671195409278,-0.17662974555621147]","[1,1,1]","[0.19013793465156478,0.04518177121775286]","[-1,-1,-1]","[0.15697965830325863,0.09272261124894782]","[1,1,1]","[0.11347369009382892,0.09861780108161664]","[1,1,1]","[-0.10856542548172146,0.13127397515674868]","[1,1,1]","[0.0001587633000575176,0.07790656954496772]","[-1,-1,-1]","[0.009769676367904743,-0.10097663222272661]","[-1,-1,-1]","[0.1618329654951224,-0.03762814313427552]","[-1,-1,-1]","[0.09094238995349607,-0.06115339342413203]","[-1,-1,-1]","[0.02,0.02]",73.2664,0,1,1,94,1,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,73.2667,73.7601,,,74.0005,74.8287,right,0.8159,,,,,,,,,0.45,,,,,,73.7601,74.0005,74.8288,"[0.08796190046182276,-0.16170150537388162]","[1,1,1]","[0.044527050844799757,-0.06157989662463473]","[-1,-1,-1]","[-0.03613762222795477,-0.08671627206158566]","[1,1,1]","[-0.09376334545449286,-0.08502927331760356]","[1,1,1]","[-0.1490962335410446,-0.00037339386660032245]","[-1,-1,-1]","[-0.1369276894170333,0.07639084852781637]","[-1,-1,-1]","[0.10970577843224205,-0.10345058836146963]","[1,1,1]","[0.028166015734466088,-0.13170712790444217]","[1,1,1]","[-0.0005394958756072453,0.09573315170868495]","[-1,-1,-1]","[0.13741974173139268,0.09628322091148415]","[1,1,1]","[-0.03666853564861416,0.012826545094807537]","[-1,-1,-1]","[0.06459409051457085,0.015268677714871502]","[-1,-1,-1]","[-0.05256738306224274,-0.033563360593598664]","[-1,-1,-1]","[0.10819444703671897,-0.06343924465627569]","[-1,-1,-1]","[0.14182828385277998,0.026015585119914208]","[-1,-1,-1]","[-0.00012074713135675767,0.04450428466186898]","[1,1,1]","[-0.03416216459847882,-0.15755822969575556]","[-1,-1,-1]","[0.026465155085474937,0.1486949184625348]","[1,1,1]","[-0.10382382399508974,0.04105665286515871]","[-1,-1,-1]","[-0.021197747025893467,0.15374306313626962]","[-1,-1,-1]","[-0.0896799218197367,-0.17503698823038555]","[1,1,1]","[-0.17894354878867283,0.06507897538751702]","[-1,-1,-1]","[-0.15713885747564213,-0.05893777266500808]","[1,1,1]","[-0.0868998678353388,0.08445723340207714]","[-1,-1,-1]","[0.08468506907288485,0.07207465951871232]","[-1,-1,-1]","[0.10860905731941237,0.14152069841143336]","[1,1,1]","[0.0762668475197992,-0.031521262930896764]","[-1,-1,-1]","[0.010293239904316805,-0.004412669381870208]","[1,1,1]","[-0.07264763973461145,0.1826297592873915]","[1,1,1]","[-0.1636650803679623,-0.10906701499909417]","[1,1,1]","[0.15664634277278972,-0.03303900900957715]","[-1,-1,-1]","[0.19215026917303288,-0.009629487710278096]","[-1,-1,-1]","[0.02,0.02]",75.9225,0,2,2,87,1,,,,,,,
,,,,,,,5c0004fc4210510001725547,682f0fc64b8b30d961a3d6c0,2025-05-22_13h52.02.525,cuing_paradigm_dot,2024.1.5,MacIntel,80.64516129,682d573fa47f1360d1451895,,,,,,,,,,,75.9228,76.4172,,,76.6709,77.4852,right,0.7995,,,,,,,,,0.55,,,,,,76.4172,76.6708,77.4853,"[-0.07520630586012075,-0.07686443548059504]","[-1,-1,-1]","[0.1525471372731128,0.09688320982647433]","[-1,-1,-1]","[-0.1630194240696253,0.07643750226053697]","[1,1,1]","[-0.09717143469735455,0.15235955863134587]","[-1,-1,-1]","[0.025450955668851003,0.08713065095291304]","[-1,-1,-1]","[-0.13705830336393857,-0.04143589255479439]","[1,1,1]","[0.07045323395024798,-0.17392930892834602]","[1,1,1]","[-0.15350922295657882,-0.10102861615408039]","[1,1,1]","[-0.05713483526892032,0.08299362195194517]","[-1,-1,-1]","[0.16876102797653403,0.01058300664616752]","[1,1,1]","[0.15358104812861353,-0.06063866005081776]","[1,1,1]","[-0.14561403597693043,0.0019488813546281003]","[1,1,1]","[0.03575894589986723,-0.13319419702193974]","[-1,-1,-1]","[-0.03315556565746479,-0.17447770154550651]","[-1,-1,-1]","[-0.19540771896129414,0.02726581073531668]","[1,1,1]","[0.0173505034331255,-0.08313237232937203]","[-1,-1,-1]","[0.04665763309364032,0.03227606631534502]","[-1,-1,-1]","[-0.030552507633631504,-0.09008685469000609]","[-1,-1,-1]","[-0.10702095123607873,-0.011333151493072428]","[1,1,1]","[0.1425181385582257,-0.13403769657240736]","[1,1,1]","[0.11183858878430762,-0.05863817307171371]","[-1,-1,-1]","[-0.12500692193672366,0.06035500023146969]","[1,1,1]","[0.0037888695933767235,-0.02741511137256013]","[-1,-1,-1]","[-0.018559981902044043,0.04698685300426977]","[1,1,1]","[-0.0408743251729615,0.14569566763521302]","[-1,-1,-1]","[0.1151977786321561,0.06685892289302905]","[-1,-1,-1]","[-0.04771557427556342,-0.017723420099466414]","[1,1,1]","[0.0748814131191132,0.06922959743390614]","[1,1,1]","[0.098361869321661,0.12358159726885534]","[1,1,1]","[0.056820106214192055,-0.06905147392982232]","[1,1,1]","[0.10505281170449111,0.013160685011457585]","[1,1,1]","[0.0635516808645857,0.15230698637641837]","[1,1,1]","[0.02,0.02]",78.5793,0,3,3,122,1,,,,,,,
