right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0,24.983,space,9.977,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,24.983,58.169,space,3.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,58.169,62.344,space,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,62.351,62.85,62.85,63.1,63.101,63.885,right,0.76,,63.885,64.983,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,64.983,65.483,65.483,65.733,65.733,66.177,left,0.438,,66.177,67.275,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.275,72.171,space,1.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,72.178,72.671,,,72.922,73.366,left,0.442,,,,,,,,,0.5,,,,,,72.671,72.922,73.366,"[-0.10372735391409285,0.14561037834264048]","[-1,-1,-1]","[0.03517730270101173,0.14160798544850986]","[1,1,1]","[0.10544856177340282,-0.12943109153586949]","[-1,-1,-1]","[-0.1414982578402747,-0.08158780044522858]","[1,1,1]","[0.09425197809894427,0.10943018991820855]","[-1,-1,-1]","[-0.08384843301560012,0.10633401832820781]","[-1,-1,-1]","[-0.03037344595348553,0.08942841784261489]","[1,1,1]","[0.032396739811425136,0.02169363090560969]","[1,1,1]","[0.15906415489959136,-0.05699444264117332]","[-1,-1,-1]","[0.0341299853889914,0.061721623075363934]","[-1,-1,-1]","[-0.08918257904370157,-0.16094308152685807]","[-1,-1,-1]","[-0.016987838629953417,-0.13755745167221162]","[-1,-1,-1]","[0.03075477573672366,-0.07476120282624808]","[1,1,1]","[0.08207024673891872,0.00491544117520076]","[-1,-1,-1]","[0.13974175473154782,0.10118590968451932]","[1,1,1]","[0.18098263044661506,0.03753957605603562]","[-1,-1,-1]","[-0.10636575692347623,0.012229995178679834]","[1,1,1]","[-0.05904967600690565,-0.016511484729250476]","[1,1,1]","[0.04465434227843788,-0.16462201132780865]","[1,1,1]","[-0.11826406711815533,0.07267966169008545]","[1,1,1]","[0.09591696448695687,0.17401664769466074]","[1,1,1]","[-0.028286916634974128,0.1914713805434539]","[1,1,1]","[-0.07186843205665418,-0.0695614236870648]","[-1,-1,-1]","[0.12806380221328517,0.057813585344559784]","[1,1,1]","[-0.17820533480851117,0.07849656840988752]","[-1,-1,-1]","[-0.06798258636863327,0.16577156457949715]","[1,1,1]","[-0.015894828079159005,-0.04204704017041393]","[1,1,1]","[0.05359561250778382,-0.04141128211281745]","[-1,-1,-1]","[0.01168059206821919,0.10856782002726459]","[-1,-1,-1]","[-0.14878561397888335,0.042597519821219676]","[1,1,1]","[-0.007242788191245433,0.14822808678353128]","[-1,-1,-1]","[0.08428706333220867,0.04990395258134399]","[-1,-1,-1]","[0.02,0.02]",74.463,0,0,0,94,1,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,74.464,74.964,,,75.214,75.602,right,0.381,,,,,,,,,0.1,,,,,,74.964,75.214,75.602,"[0.158670281603253,0.08224058584709779]","[-1,-1,-1]","[-0.0357696555253597,-0.14683569379115285]","[-1,-1,-1]","[-0.07378252556010974,0.06983885272695806]","[-1,-1,-1]","[0.06137131840149976,-0.005066288936692498]","[-1,-1,-1]","[-0.14569943095385124,-0.06997323530465342]","[-1,-1,-1]","[0.13187667566625125,0.11283283684826774]","[-1,-1,-1]","[-0.018807509094519056,0.1919056603295564]","[-1,-1,-1]","[-0.0021866011008052195,0.051044204938374735]","[-1,-1,-1]","[-0.03263357149129472,-0.09291270852033051]","[-1,-1,-1]","[0.042763686610355754,0.1859374950073305]","[-1,-1,-1]","[-0.12837513436639642,-0.14911270957780137]","[1,1,1]","[-0.081675135488408,0.13434992728132683]","[-1,-1,-1]","[0.14158865417646782,-0.03944972893231685]","[-1,-1,-1]","[-0.017526131898854137,0.12911018511237762]","[-1,-1,-1]","[0.06830249660577603,0.1444157069831154]","[-1,-1,-1]","[0.0836275868745463,-0.17184716775473763]","[-1,-1,-1]","[0.023388028045718195,-0.17739623495594165]","[-1,-1,-1]","[-0.1649092680529521,-0.023996411904902322]","[-1,-1,-1]","[-0.1622035288529798,0.0950774312410292]","[-1,-1,-1]","[-0.08884351168561712,-0.1407351150058941]","[-1,-1,-1]","[-0.1823309641392828,0.03258324960933903]","[-1,-1,-1]","[-0.06604476430086965,0.00429221681939805]","[1,1,1]","[-0.1309078554157395,0.1336081245832332]","[-1,-1,-1]","[-0.10248455838367544,-0.08577178780449689]","[-1,-1,-1]","[-0.11144774609919865,-0.009574192800752883]","[-1,-1,-1]","[0.05707057173484458,0.07197930200826481]","[-1,-1,-1]","[0.14252872657947838,-0.09029026561631086]","[-1,-1,-1]","[0.19909647807939557,0.009653406939822516]","[-1,-1,-1]","[0.1194914910581814,0.15313600440585548]","[-1,-1,-1]","[0.012332218095215777,-0.09431578269408061]","[-1,-1,-1]","[-0.08230242443663655,-0.03886725690485472]","[1,1,1]","[0.14650601495728074,0.016730396807186857]","[-1,-1,-1]","[0.02,0.02]",76.7,0,1,1,24,1,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,76.7,77.2,,,77.45,78.006,left,0.554,,,,,,,,,0.45,,,,,,77.2,77.45,78.006,"[0.11206505035005684,0.025424303144475854]","[-1,-1,-1]","[-0.15890464214137345,-0.007500916608386281]","[-1,-1,-1]","[0.020204950271952408,-0.01945149988571855]","[1,1,1]","[0.06884711854928273,0.1817953538913169]","[-1,-1,-1]","[-0.12896104242157339,0.0702959134675436]","[-1,-1,-1]","[0.13175788836807015,0.13244267278071295]","[-1,-1,-1]","[0.1499232713863453,0.09623071165431873]","[-1,-1,-1]","[0.06599639448797898,-0.06954036729837394]","[-1,-1,-1]","[0.014452272890453609,0.1821718498166093]","[-1,-1,-1]","[0.16402022192895072,-0.01053845168344329]","[-1,-1,-1]","[-0.13026029263019526,-0.041680349125266594]","[1,1,1]","[-0.026745388172693237,0.10360012974333953]","[1,1,1]","[-0.08898554325729663,-0.08504289075328875]","[-1,-1,-1]","[0.17122296355441544,0.029866995777350677]","[-1,-1,-1]","[0.05328401748321068,0.04122677026453119]","[1,1,1]","[0.1445839578766261,-0.05170285079207185]","[-1,-1,-1]","[-0.11707381950077896,0.15767975721800745]","[-1,-1,-1]","[0.10030427535448232,-0.03323058445308092]","[-1,-1,-1]","[-0.07048454209581977,0.11861985868516277]","[1,1,1]","[0.005518248846231523,-0.12815712261989035]","[1,1,1]","[-0.06634566626963234,0.04170225749322936]","[-1,-1,-1]","[0.060179995191786434,-0.007341628662763084]","[-1,-1,-1]","[-0.08215200940533059,-0.14757931084891582]","[1,1,1]","[-0.08735419749916423,0.0012145013156604392]","[1,1,1]","[-0.030922470614390917,-0.1891911571842642]","[1,1,1]","[0.0926567600493071,0.14176424920778166]","[1,1,1]","[0.01958531093129647,-0.1949757670364278]","[-1,-1,-1]","[-0.026001944682594542,0.1752489624853834]","[1,1,1]","[0.013704116724994591,0.10394896757431266]","[1,1,1]","[-0.16183876591656038,-0.10994842983744055]","[-1,-1,-1]","[-0.03518304407559481,0.004775380687421319]","[1,1,1]","[0.1401846047365957,-0.12582976488973618]","[1,1,1]","[0.02,0.02]",79.103,0,2,2,71,1,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,79.103,79.603,,,79.853,80.318,left,0.462,,,,,,,,,0.6,,,,,,79.603,79.853,80.318,"[0.05544327879753879,0.16484908017272482]","[-1,-1,-1]","[0.0011952454637645688,-0.19674845125951007]","[1,1,1]","[0.03239796012533903,-0.059868655959923966]","[1,1,1]","[-0.008395957430264622,0.16579355850646416]","[1,1,1]","[0.03725132483979879,-0.11626927166588265]","[-1,-1,-1]","[-0.18192013261229212,-0.013982268588780699]","[-1,-1,-1]","[-0.15749757457037636,0.060077768796780416]","[-1,-1,-1]","[-0.08829644322048304,0.06580913770375459]","[-1,-1,-1]","[0.055703273886578,-0.1778576347546013]","[1,1,1]","[0.0008722914734889199,0.09671878979808562]","[1,1,1]","[0.09652960362128246,-0.10177912738478478]","[1,1,1]","[-0.019671006648751137,-0.03350023649356644]","[-1,-1,-1]","[-0.07928420064266568,0.10631610519467363]","[1,1,1]","[-0.07368851265257387,-0.0820815111389865]","[-1,-1,-1]","[-0.040966310863758355,0.07048020747650949]","[-1,-1,-1]","[-0.0753123012419423,-0.18267791712746959]","[1,1,1]","[-0.11298259358937332,0.12897828404962813]","[1,1,1]","[-0.1112930457507117,-0.04112481601365755]","[1,1,1]","[0.16067674668954715,0.09896789045674656]","[-1,-1,-1]","[-0.17309087731121384,-0.097936375148089]","[1,1,1]","[0.09775294615582918,0.1627949788639983]","[1,1,1]","[0.03065813214158444,0.12504321081967118]","[-1,-1,-1]","[-0.06280010236629606,0.15041736985154283]","[-1,-1,-1]","[0.11454848532524213,-0.05227871557158748]","[-1,-1,-1]","[0.13140551859745228,-0.1377936734947641]","[-1,-1,-1]","[0.01020028619806244,0.05625077953288003]","[1,1,1]","[-0.13903662890023685,-0.0764573438117237]","[1,1,1]","[0.09226707016042968,0.121397008145024]","[1,1,1]","[0.030369952732597415,-0.017437955894762824]","[1,1,1]","[0.13101806401364802,0.002904263177945346]","[1,1,1]","[-0.14364232275342523,0.018236146322196653]","[1,1,1]","[0.0784180832867021,-0.021874626274861808]","[1,1,1]","[0.02,0.02]",81.416,0,3,3,159,1,,,,,,,
,,,,,,,5c28feff5ffcb7000128a541,682f0fc0793db9cd423e2bf8,2025-05-22_07h51.59.742,cuing_paradigm_dot,2024.1.5,Win32,144.092219,682d573fa47f1360d1451895,,,,,,,,,,,81.416,81.916,,,82.166,82.513,left,0.342,,,,,,,,,0.9,,,,,,81.916,82.166,82.513,"[-0.1256243521654337,-0.09434999689540083]","[1,1,1]","[-0.021167735396973607,0.05890012406285398]","[1,1,1]","[0.006780041843240052,0.019337178028018556]","[1,1,1]","[0.10819228211575434,0.11359849611113078]","[1,1,1]","[0.035934645288518016,-0.08694836945641846]","[1,1,1]","[-0.09541764312503036,-0.009145567525633497]","[1,1,1]","[-0.08136767770946962,-0.1562347730793143]","[-1,-1,-1]","[-0.03856817286027031,-0.14482621366379064]","[1,1,1]","[0.1678405567571941,-0.05008129172882649]","[1,1,1]","[-0.12867384466270887,-0.03641368750438423]","[1,1,1]","[0.09420570408245117,0.17525842294221025]","[-1,-1,-1]","[0.09264025059534849,-0.15008770184514908]","[1,1,1]","[0.03206221138858922,0.13794786988778115]","[1,1,1]","[0.032671818238761634,-0.18783490724659713]","[1,1,1]","[-0.09734525661902245,0.1499727065647702]","[-1,-1,-1]","[-0.1448928506560812,0.1219663680366777]","[1,1,1]","[0.18480747116240762,0.0624559584163153]","[1,1,1]","[-0.014924597165046474,-0.19819924050624343]","[1,1,1]","[0.14716560361981137,0.12695668835048968]","[1,1,1]","[-0.18209986173056789,0.053183058303823236]","[1,1,1]","[0.05997034593032935,0.07832658536214437]","[1,1,1]","[-0.00423952207572211,0.16480993219500475]","[1,1,1]","[-0.09651365408011171,0.0638324190706359]","[1,1,1]","[-0.03135927621108152,-0.0641312650905408]","[1,1,1]","[-0.05337155476745621,0.18341893432927825]","[1,1,1]","[-0.08645562144843588,-0.11256968196801014]","[1,1,1]","[-0.06688671425010773,0.021450289777655635]","[1,1,1]","[0.07746227361927388,-0.09477387342319868]","[1,1,1]","[0.10755102133362854,-0.02770312501186491]","[1,1,1]","[0.05282177037698524,0.18349516749710387]","[1,1,1]","[0.10051208640810463,0.06612628471826748]","[1,1,1]","[0.03738507435322694,-0.011067301568697108]","[1,1,1]","[0.02,0.02]",83.61,0,4,4,180,1,,,,,,,
