right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0009,174.5386,space,159.5178,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,174.5399,274.2382,space,69.6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,274.2386,278.4754,space,1.2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,278.5364,278.9909,278.9919,279.1961,279.1963,280.3067,left,1.0719,,280.3073,281.405,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,281.4066,281.9041,281.9043,282.1554,282.1554,282.7035,right,0.5299,,282.7039,283.8018,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.8032,381.7116,space,94.8889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,381.7357,382.2325,,,382.4792,383.3925,right,0.8979,,,,,,,,,0.9,,,,,,382.2339,382.479,383.3945,"[0.026259849046061746,0.14909838196380604]","[1,1,1]","[-0.05096704562472083,0.12038404127026431]","[1,1,1]","[0.0831633541197656,0.13762302416302516]","[1,1,1]","[0.11340974381508276,-0.004274736596916134]","[-1,-1,-1]","[0.031416255666552234,-0.002281608288402022]","[1,1,1]","[-0.11782442540510704,0.043471424389442875]","[1,1,1]","[-0.16727349929480764,-0.06594316407098487]","[1,1,1]","[0.06345819865538371,-0.08701823696333433]","[1,1,1]","[-0.08183325346043943,0.1628819511148209]","[1,1,1]","[-0.08660150464954655,0.00019874824521537313]","[1,1,1]","[-0.01821016144942612,-0.096806133197063]","[1,1,1]","[-0.12431234486132875,-0.05798798844393846]","[1,1,1]","[0.12411565859665198,0.12004190290285202]","[1,1,1]","[0.040466712286035315,0.07589239797971656]","[-1,-1,-1]","[-0.13289050742904304,0.09518949810150197]","[-1,-1,-1]","[-0.01087510061835406,-0.057388917745516015]","[1,1,1]","[0.00115136389449183,-0.19935810461012463]","[1,1,1]","[-0.0023040620647574893,-0.14770796572901596]","[1,1,1]","[0.12118584518550606,-0.11838579684827275]","[1,1,1]","[-0.08646936348019715,-0.08711012844146246]","[1,1,1]","[0.1096976757323714,0.036908968102378634]","[1,1,1]","[-0.08302500115977068,-0.17807573920250283]","[1,1,1]","[0.059101087114832335,-0.14541760612913793]","[1,1,1]","[0.1629010428385689,0.06353256941924525]","[1,1,1]","[0.16406998807128265,-0.06381161131292694]","[1,1,1]","[0.09340507050486946,0.08408397767757413]","[1,1,1]","[0.19889421775476598,0.00579115347345815]","[1,1,1]","[-0.01736202820744213,0.009517387619750302]","[1,1,1]","[-0.03220875245299483,0.06083882549785577]","[1,1,1]","[-0.15828932304865503,0.009806671032114644]","[1,1,1]","[-0.013655723332188592,0.13878620990129473]","[1,1,1]","[0.10154863173689221,-0.1626862475213349]","[1,1,1]","[0.02,0.02]",384.4917,0,0,0,208,1,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,384.4935,384.9905,,,385.2416,385.4071,right,0.1519,,,,,,,,,0.9,,,,,,384.9907,385.2413,385.4072,"[0.09559340478366267,-0.11619520649629048]","[1,1,1]","[-0.0592243404453755,-0.03408962280887116]","[1,1,1]","[0.039352728934768225,-0.1877702369245945]","[1,1,1]","[0.17534927801263758,-0.023501826052771034]","[1,1,1]","[0.09581989245306798,0.14285368014923286]","[1,1,1]","[0.147096208307448,-0.1272845146234756]","[1,1,1]","[0.12882742322130225,-0.07716404677935754]","[1,1,1]","[0.12055366128292429,0.032392391921046926]","[1,1,1]","[0.044139337353108356,-0.05090946349222029]","[-1,-1,-1]","[-0.0019294546618604247,0.011674114808387984]","[1,1,1]","[0.17609892327969714,0.05918625118320827]","[1,1,1]","[0.052474720957066026,0.05784127657503639]","[1,1,1]","[-0.1220007809513097,0.02185345209822561]","[-1,-1,-1]","[0.07996631738380922,-0.1661343716742077]","[1,1,1]","[0.06976974523118619,-0.00313332168466733]","[1,1,1]","[-0.08739530912586235,0.06611420270823042]","[1,1,1]","[-0.032928133047124136,0.10440508597583179]","[1,1,1]","[0.0021012151371851496,0.1955898638819774]","[1,1,1]","[-0.15468653003559577,-0.007580095611135614]","[-1,-1,-1]","[-0.023286045373270534,0.05310049517881141]","[1,1,1]","[-0.10512002892837156,-0.059404823273459084]","[1,1,1]","[0.007791483027450104,-0.12956285871362042]","[1,1,1]","[-0.16392620645127512,0.08318864149513754]","[1,1,1]","[0.01719718210019457,0.10939346039848732]","[1,1,1]","[0.1719449536859327,-0.07738447632208421]","[1,1,1]","[-0.07024344686426935,-0.1365064376716457]","[1,1,1]","[0.14817122196324548,0.1320740608936711]","[1,1,1]","[-0.12603334892165413,0.10205108155221411]","[1,1,1]","[-0.0788818667007356,0.1783077456243707]","[1,1,1]","[0.06106164085776252,-0.09251549186335675]","[1,1,1]","[-0.020832939363971233,0.15426165902430664]","[1,1,1]","[-0.060924080212354625,0.02903662734145514]","[1,1,1]","[0.02,0.02]",386.5054,0,1,1,204,1,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,386.5064,387.005,,,387.2449,387.6046,left,0.3341,,,,,,,,,0.1,,,,,,387.0051,387.2447,387.6046,"[0.08312979388692698,0.01935873040965198]","[-1,-1,-1]","[-0.1120049135572069,-0.07889567631545022]","[-1,-1,-1]","[0.07547114387200897,0.07007096845591135]","[-1,-1,-1]","[0.1518776610872723,0.08829929313289102]","[-1,-1,-1]","[-0.09679023189114942,0.13162304307755135]","[-1,-1,-1]","[0.032607001733745394,0.012669610855302813]","[-1,-1,-1]","[0.024293232839219622,-0.030885882117254248]","[-1,-1,-1]","[0.026414297178216518,0.07861141702561122]","[1,1,1]","[0.16898502456840792,0.05036508961692967]","[-1,-1,-1]","[0.009987453443059685,0.13058977190285112]","[-1,-1,-1]","[-0.030706812873564533,-0.00508475265451654]","[-1,-1,-1]","[-0.04883380637900964,-0.15831157703331888]","[-1,-1,-1]","[-0.07598264304841323,0.04520231360783173]","[-1,-1,-1]","[-0.15220359208321982,0.12954012786389069]","[-1,-1,-1]","[0.11605692039792333,-0.09033583616653389]","[-1,-1,-1]","[0.18393253041537602,-0.06002030172459566]","[-1,-1,-1]","[0.04687188658243095,-0.1878249361483577]","[-1,-1,-1]","[0.1490103064083116,-0.11489581510821545]","[-1,-1,-1]","[0.03471042318389742,-0.10602162629164694]","[-1,-1,-1]","[-0.05295507757266026,-0.1104737138210201]","[-1,-1,-1]","[-0.13146883784272245,-0.11936545866480895]","[-1,-1,-1]","[-0.12389562326728204,-0.019262733480504987]","[-1,-1,-1]","[-0.10340494637938695,-0.16279170749439975]","[-1,-1,-1]","[-0.1946025846057006,0.00048691199257657234]","[-1,-1,-1]","[0.002737771155638636,0.18915456641298087]","[-1,-1,-1]","[-0.07286809316651166,-0.05659421557144072]","[-1,-1,-1]","[-0.010308166850531946,-0.19612345522882627]","[-1,-1,-1]","[0.07638039078665575,-0.11796907270505802]","[-1,-1,-1]","[0.18531512639258882,0.011812329777498196]","[1,1,1]","[-0.03999958804984055,0.12005749304654562]","[1,1,1]","[-0.16471358339412778,-0.09202347760274805]","[-1,-1,-1]","[0.10021068025285791,-0.1610220027978509]","[-1,-1,-1]","[0.02,0.02]",388.7031,0,2,2,15,1,,,,,,,
,,,,,,,5d20f6cbc1dc1c0001162dd5,682db4326b9c76ba50129f39,2025-05-21_12h09.05.261,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,388.7048,389.1934,,,389.4374,389.9852,left,0.5358,,,,,,,,,0.55,,,,,,389.1935,389.4373,389.9862,"[0.1334258124149671,0.011182862633504672]","[1,1,1]","[0.0032712204612133635,-0.09929473059954416]","[1,1,1]","[-0.1517234111715904,-0.014353289096572039]","[-1,-1,-1]","[-0.11594182971990322,-0.13250405050631767]","[1,1,1]","[0.08644329604063743,0.09757455232636454]","[-1,-1,-1]","[0.1222087190644484,-0.06963677259818084]","[1,1,1]","[0.1325980370801427,-0.13892664087931608]","[1,1,1]","[0.023121242452708385,0.15569169576164132]","[-1,-1,-1]","[-0.05784871745630656,0.10355578120829442]","[-1,-1,-1]","[-0.09095324298539026,0.08001368102826109]","[1,1,1]","[0.011684612724424896,-0.15220716114431967]","[-1,-1,-1]","[-0.03034520452558162,-0.19592623700158635]","[1,1,1]","[0.08323818774376487,0.055280839585806714]","[1,1,1]","[0.06522268538421201,-0.16360748766793368]","[1,1,1]","[0.013255649123739124,0.05474685138133341]","[-1,-1,-1]","[-0.15193519042387352,0.09244485599450812]","[-1,-1,-1]","[0.1986056498953544,0.021196385152614093]","[1,1,1]","[0.18391253797719212,-0.05137774827028731]","[1,1,1]","[0.15023830506915836,0.07199017474021865]","[1,1,1]","[-0.19014613293145302,0.008913682673948205]","[1,1,1]","[-0.16213296726008192,-0.055696515546296274]","[1,1,1]","[-0.010502718362331276,0.10964021219814601]","[-1,-1,-1]","[-0.0732875399297874,0.18254351682554038]","[-1,-1,-1]","[-0.1280799316389277,0.020319347987786264]","[-1,-1,-1]","[-0.02809709602607635,0.15416668467469652]","[1,1,1]","[-0.044355134197200344,0.007991952100617117]","[1,1,1]","[-0.10754535524577756,-0.07217915113059033]","[-1,-1,-1]","[0.030182552468103988,0.01482294197223175]","[-1,-1,-1]","[0.05730509780980029,-0.04833705146585458]","[1,1,1]","[-0.04902201289859664,0.049909693280974464]","[1,1,1]","[0.010869485889097795,-0.037514387035581395]","[-1,-1,-1]","[0.146540660068378,-0.026998749849616015]","[-1,-1,-1]","[0.02,0.02]",391.0832,0,3,3,148,1,,,,,,,
