right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.000599999,35.7899,space,20.7637,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,35.7907,79.363,space,13.5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,79.3639,83.6403,space,1.266400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,83.735,84.1452,84.1464,84.3864,84.3868,85.8768,,85.8773,86.975,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,86.9767,87.474,87.474,87.7175,87.7179,88.0073,right,88.0075,89.1057,0,1,1,1,1,0.2,0.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1071,94.6836,space,2.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,94.7357,95.1993,,,95.4177,96.1478,left,,,,,,,,0.6,0.7138,,,,,,,95.2004,95.4175,96.1488,"[-0.1433084700180306,-0.029343257591038403]","[-1,-1,-1]","[-0.12133710928529726,-0.15399590563440263]","[-1,-1,-1]","[0.15321304864571453,-0.07433476534911214]","[1,1,1]","[-0.1556257332120671,-0.09749920808779002]","[-1,-1,-1]","[0.09269035951048618,-0.01688165027786662]","[-1,-1,-1]","[-0.0363705790960585,-0.06617663495426128]","[1,1,1]","[0.01349228725555246,-0.07923689098921353]","[-1,-1,-1]","[0.07465289328913442,-0.17221372794992035]","[1,1,1]","[-0.1226500009516823,0.12609945191248276]","[1,1,1]","[0.0320961397495133,0.07098105013134982]","[1,1,1]","[0.0984103825930106,0.13115290412452404]","[1,1,1]","[0.10404596792491476,-0.06979412068535643]","[-1,-1,-1]","[-0.05195652228033427,0.17989210274519787]","[1,1,1]","[0.17641870543989946,0.08640428412143857]","[1,1,1]","[0.04715208250166964,-0.05501879104178611]","[-1,-1,-1]","[-0.022988754917674478,0.13315590559150758]","[-1,-1,-1]","[0.11213080324780313,0.033184716004180416]","[1,1,1]","[-0.0196092868853992,-0.1257628809948196]","[1,1,1]","[-0.11707007772677705,0.04438632165373374]","[1,1,1]","[-0.09383525075881953,-0.09166906927070352]","[-1,-1,-1]","[-0.04260798750668235,-0.010912076102004172]","[1,1,1]","[-0.09939400952788126,-0.023006879473555862]","[1,1,1]","[0.006007644654024141,-0.18884121628883005]","[1,1,1]","[0.16038247356519947,-0.004751448471554229]","[1,1,1]","[0.058206945200969265,0.17780862597628344]","[1,1,1]","[0.06775291783268891,-0.13023883528643804]","[1,1,1]","[0.020724279290967564,0.1147521944730385]","[-1,-1,-1]","[-0.08271651059115082,-0.13071243287212794]","[1,1,1]","[0.13370847875401592,-0.13656105153218018]","[-1,-1,-1]","[0.018081516538252358,0.19391312618001155]","[-1,-1,-1]","[0.014544999430691702,-0.028013149346700093]","[1,1,1]","[-0.17511356696779778,0.04552923819702048]","[-1,-1,-1]","[0.02,0.02]",97.2477,0,0,0,176,1,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,97.249,97.7463,,,97.9901,98.1297,right,,,,,,,,0.45,0.118,,,,,,,97.7464,97.9899,98.1297,"[0.11262256852773826,-0.016072810376453233]","[-1,-1,-1]","[-0.020074738906790117,-0.17065458148450463]","[-1,-1,-1]","[-0.051521521045923495,0.061921034963282114]","[1,1,1]","[-0.10502070425424799,0.08897044625347574]","[-1,-1,-1]","[0.025109668144378375,0.10344712429147725]","[1,1,1]","[0.08411451567196442,0.07903617013178103]","[1,1,1]","[-0.11741799108417386,0.013744893134267723]","[1,1,1]","[-0.013432601778768212,0.03875189264832472]","[-1,-1,-1]","[-0.17578938709202876,0.023706005946496585]","[-1,-1,-1]","[-0.019288483295189236,0.14622169091951046]","[1,1,1]","[-0.1575874222200928,-0.017740869186411358]","[-1,-1,-1]","[0.13071855967287285,-0.13266443706713868]","[1,1,1]","[0.02466979686711274,0.009690774896938077]","[1,1,1]","[0.07413792874639209,-0.1720835787664963]","[-1,-1,-1]","[-0.026276613520053213,-0.018441416321058144]","[-1,-1,-1]","[0.03179104807694684,-0.15221790118654066]","[-1,-1,-1]","[0.012530665717340572,-0.09289143509926989]","[1,1,1]","[0.062035249841141414,-0.012794317891119492]","[1,1,1]","[0.12100742873151667,0.15542241239658705]","[-1,-1,-1]","[0.15210982029335712,-0.04141911464856612]","[-1,-1,-1]","[-0.09048837331159855,-0.13771462014819305]","[-1,-1,-1]","[-0.05297714296932767,-0.06868535695203878]","[-1,-1,-1]","[-0.008257895330451305,0.188762984197063]","[-1,-1,-1]","[-0.15021692920823776,-0.12383577688476442]","[1,1,1]","[-0.06348917601042997,0.1816481811621226]","[-1,-1,-1]","[0.16200532779622207,0.048088580284077205]","[1,1,1]","[-0.06640078571801504,0.019240729438710927]","[1,1,1]","[-0.03954588292806356,-0.13424134487557945]","[-1,-1,-1]","[0.06279468198210397,0.15003193965734693]","[1,1,1]","[0.09291128532836074,-0.08885126504651507]","[-1,-1,-1]","[0.15293467594117816,0.10765986305548954]","[-1,-1,-1]","[0.10427172567989129,0.03314250679776801]","[1,1,1]","[0.02,0.02]",99.2281,0,1,1,80,1,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,99.2291,99.7274,,,99.9837,100.0943,right,,,,,,,,0.55,0.0885,,,,,,,99.7275,99.9836,100.0947,"[-0.043092292227149186,0.021834373407146276]","[-1,-1,-1]","[-0.15266311384031542,-0.009970027667521496]","[-1,-1,-1]","[0.06088943144140393,0.1854846471819902]","[1,1,1]","[0.11937749256549242,0.06897267437948294]","[-1,-1,-1]","[0.002735542561832161,-0.13591634700895822]","[1,1,1]","[0.05848587480201838,0.07070134497346216]","[-1,-1,-1]","[-0.012782723887730553,-0.17377791501729964]","[-1,-1,-1]","[-0.13686385031080955,-0.0970876451076531]","[-1,-1,-1]","[-0.12412360552521662,0.05404188613986277]","[-1,-1,-1]","[-0.0601027201713291,0.1335270337741831]","[1,1,1]","[-0.004532229077913842,0.011098078858686303]","[1,1,1]","[-0.00629813325573924,-0.08696890370297718]","[1,1,1]","[0.18511239734954765,-0.05011719330382829]","[1,1,1]","[-0.08190257004177301,0.039516894988622354]","[1,1,1]","[0.1263992834067277,0.015159835396092726]","[1,1,1]","[0.032350282989659834,0.10136481926889077]","[-1,-1,-1]","[0.03456198892428869,-0.031374807269060674]","[1,1,1]","[-0.08352447692862434,-0.059470953023173345]","[1,1,1]","[0.07809026677200258,-0.16938435976298336]","[1,1,1]","[-0.03128441879084134,0.17396263013347207]","[1,1,1]","[-0.13888913149959956,0.1059474570177488]","[1,1,1]","[0.12334891486331298,-0.12924507006539804]","[1,1,1]","[-0.049460969323182044,-0.15344848572427422]","[-1,-1,-1]","[0.1204734793046226,-0.08525577523842212]","[-1,-1,-1]","[0.04987637521383625,-0.07324909744988918]","[1,1,1]","[0.13280428253972484,-0.04047923264823751]","[-1,-1,-1]","[-0.19012529294720476,0.04651737669060231]","[-1,-1,-1]","[-0.013318611077285549,-0.04363913200661936]","[-1,-1,-1]","[-0.06661474442417256,-0.019704959531415142]","[1,1,1]","[0.17944160957040411,0.020993160146521854]","[1,1,1]","[0.07728149800755019,-0.11063036470233004]","[1,1,1]","[0.01031492527042466,0.1470452631279333]","[-1,-1,-1]","[0.02,0.02]",101.1928,0,2,2,124,1,,,,,,,
,,,,,,,5d3ee89122ed84000172272a,682f0fc6d848c21260efc5e9,2025-05-22_12h52.23.643,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,101.1938,101.6921,,,101.9443,103.4415,,,,,,,,,0.9,,,,,,,,101.6922,101.9442,103.4417,"[0.05592956946556549,-0.18999271541779522]","[1,1,1]","[0.09096449705688196,0.053972229864614495]","[1,1,1]","[-0.08418206551338647,-0.027784311141968963]","[1,1,1]","[0.07329780519723149,0.1410635640560514]","[1,1,1]","[-0.14380171562071717,-0.06834599933238596]","[-1,-1,-1]","[-0.054803120685444434,0.002435807871877774]","[1,1,1]","[0.1937896268550057,0.04825241561485353]","[1,1,1]","[0.11278898548935226,0.09218801417741174]","[1,1,1]","[-0.13268935382818553,0.08095260706979893]","[1,1,1]","[-0.02781917470163066,0.1355983068838514]","[1,1,1]","[0.0968265032191283,-0.06351140279093309]","[-1,-1,-1]","[-0.022276584282991754,0.09289384041322515]","[1,1,1]","[-0.07711305298369549,-0.17503076584764504]","[1,1,1]","[-0.07426511373752523,-0.07678198396505323]","[1,1,1]","[0.08514198463223671,-0.103144247542679]","[1,1,1]","[-0.05982953738105512,-0.13845565411640245]","[1,1,1]","[0.038165268968309504,0.0450452389934918]","[-1,-1,-1]","[-0.11937562287858564,-0.10329143983954864]","[1,1,1]","[0.1765944249693943,-0.07796916783049722]","[1,1,1]","[-0.018058143264027455,0.1777576929321682]","[1,1,1]","[-0.06653632797634346,0.10590007794062292]","[1,1,1]","[0.11004988675145339,-0.025078466758745418]","[1,1,1]","[-0.18516419288459493,-0.04055255678934605]","[1,1,1]","[-0.15051854488110625,0.012388169444334123]","[1,1,1]","[0.12410318588599323,0.1426504000049946]","[1,1,1]","[-0.0959898322843116,0.15085875182679617]","[1,1,1]","[-0.020643845222298635,-0.08863192970407197]","[1,1,1]","[0.006040510768636954,-0.14388279394793407]","[1,1,1]","[0.1830102337429103,-0.002123571465356705]","[1,1,1]","[0.12485127869402696,-0.1535622789999432]","[1,1,1]","[-0.1291751087087938,-0.14485533333295744]","[1,1,1]","[0.02265332719764085,0.15980395307378745]","[1,1,1]","[0.02,0.02]",104.5394,0,3,3,202,1,,,,,,,
