right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0006,36.1829,space,21.0707,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,36.1831,69.6691,space,3.4103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,69.6691,74.8349,space,2.1286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,74.8494,75.2674,75.2677,75.4918,75.4919,76.9972,,76.9973,78.1036,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,78.104,78.6417,78.6417,78.8672,78.8673,79.548,left,79.5481,80.6536,0,1,1,0,1,0.8,0.5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6538,85.8197,space,2.1514,1E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,85.8296,86.2866,,,86.5179,86.9654,right,,,,,,,,0.45,0.346,,,,,,,86.287,86.5179,86.9657,"[-0.01709064040911718,0.012871001440560557]","[-1,-1,-1]","[0.033842585594669836,-0.08888892224903366]","[-1,-1,-1]","[0.12363891443223161,0.04999824049698083]","[-1,-1,-1]","[0.16179874897631047,-0.014409374918186063]","[1,1,1]","[-0.10277408490733747,0.12316374561886814]","[-1,-1,-1]","[0.13167333232741205,0.11192965896128167]","[-1,-1,-1]","[-0.13564515947808634,-0.02298307345036161]","[-1,-1,-1]","[-0.0974603511000469,-0.04900274797561718]","[-1,-1,-1]","[-0.05621413973723583,-0.10447843483140708]","[-1,-1,-1]","[0.10306222495050917,-0.08535378413043736]","[-1,-1,-1]","[0.010839061153167405,0.08005359639267086]","[1,1,1]","[0.12800404978483107,-0.13952224173195713]","[-1,-1,-1]","[0.021334623411929696,-0.027597695553374664]","[-1,-1,-1]","[0.1490950217825109,-0.06338300905803283]","[1,1,1]","[0.08539475456720307,-0.13016028940134136]","[1,1,1]","[0.07706779519150722,-0.024037177583201536]","[1,1,1]","[0.17191698747580808,0.08619852645907584]","[1,1,1]","[-0.13166641288502318,0.022783807298814553]","[-1,-1,-1]","[0.00985478760733902,-0.17540438729053343]","[1,1,1]","[-0.08607142207435237,-0.002204141409946264]","[-1,-1,-1]","[-0.11125620654381353,-0.11796422540613032]","[1,1,1]","[-0.17326019617995272,0.03324201422233661]","[1,1,1]","[0.058837260220032495,-0.18732522643828922]","[1,1,1]","[0.038842164608749716,0.13681348780470498]","[-1,-1,-1]","[0.09224304363316033,0.1043650120798181]","[1,1,1]","[-0.019056992667794672,-0.0382508920185378]","[1,1,1]","[0.02908810028064118,0.04327407803297429]","[-1,-1,-1]","[-0.1761740559735864,-0.048775446726259886]","[-1,-1,-1]","[0.11867058344693092,0.1587611972416431]","[1,1,1]","[0.05988114940301624,0.07412198405746592]","[-1,-1,-1]","[-0.014170968592682116,-0.12566281773220106]","[-1,-1,-1]","[-0.07715545820227769,0.09181200500350094]","[1,1,1]","[0.02,0.02]",88.0404,0,0,0,75,1,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,88.0407,88.4712,,,88.6879,89.2671,right,,,,,,,,0.5,0.4672,,,,,,,88.4713,88.6879,89.2671,"[0.03272969486516391,0.022481601212933227]","[-1,-1,-1]","[0.04045942963799175,0.16157887035673923]","[1,1,1]","[-0.018257463746383783,0.14372889478993456]","[-1,-1,-1]","[0.14263989541771835,-0.052182786274843046]","[-1,-1,-1]","[-0.10515362789469065,-0.12482909824614913]","[-1,-1,-1]","[0.08488224229340553,-0.09858006441547917]","[1,1,1]","[-0.13200850496670355,-0.08676980786724318]","[1,1,1]","[-0.07181456892861648,0.12582831747682163]","[1,1,1]","[0.08590177165299893,0.0641997252491985]","[1,1,1]","[0.021818002873655127,-0.06439589577788106]","[1,1,1]","[-0.03126167505444115,0.06016254135104125]","[-1,-1,-1]","[0.08220268254356229,0.13675514621415832]","[-1,-1,-1]","[0.058394798422497694,-0.1728315368430488]","[-1,-1,-1]","[0.14309834531548107,0.048311012902096134]","[1,1,1]","[-0.1648518393855616,-0.020609753634358467]","[1,1,1]","[0.007324903829816855,0.07197046910602913]","[-1,-1,-1]","[0.009439086889504407,-0.1500386089623303]","[-1,-1,-1]","[-0.06081049845120298,-0.10863905249860975]","[1,1,1]","[-0.08946905374431356,0.07500527399682162]","[1,1,1]","[0.15931717446741908,-0.10176984447138922]","[1,1,1]","[-0.09039995947582147,-0.16393839605594715]","[1,1,1]","[-0.14505160320874538,0.048320097217765666]","[1,1,1]","[-0.15132517838717197,0.09563802763450452]","[-1,-1,-1]","[-0.08188753149706876,-0.022403053264265844]","[1,1,1]","[-0.060963923344260915,0.017009679346345907]","[1,1,1]","[-0.11224284924487053,0.011765143168892956]","[-1,-1,-1]","[-0.039154794726054015,-0.05955223016542634]","[-1,-1,-1]","[0.07985259802242715,-0.03428837829837809]","[-1,-1,-1]","[0.17099530647447742,-0.0026095427948289954]","[-1,-1,-1]","[-0.05492655578659229,0.18530138174323224]","[-1,-1,-1]","[0.05034590720486614,-0.11999969057503576]","[1,1,1]","[0.02054903762536668,0.1145146636273081]","[-1,-1,-1]","[0.02,0.02]",90.3275,0,1,1,92,1,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,90.3278,90.7854,,,91.0146,91.4633,left,,,,,,,,0.9,0.3479,,,,,,,90.7854,91.0144,91.4633,"[0.11338160554601587,-0.09028953683156762]","[-1,-1,-1]","[-0.011787893106066587,-0.08985416471886512]","[1,1,1]","[-0.054986465403910695,-0.004284829393579587]","[1,1,1]","[0.18944477707819715,-0.01927960460669014]","[1,1,1]","[0.1443402674821787,-0.03171118567710153]","[1,1,1]","[-0.07857858680476537,-0.13768675139367811]","[1,1,1]","[-0.18607999300163922,-0.010133888784110218]","[1,1,1]","[-0.12956225421977396,-0.05860694444652468]","[1,1,1]","[0.08020632853537757,0.11333694613292347]","[-1,-1,-1]","[-0.015298558660811295,0.13577918815037388]","[1,1,1]","[-0.08988757004276449,-0.04949600638661996]","[1,1,1]","[-0.1098507440780205,0.09405766817489315]","[1,1,1]","[-0.16024937135195336,0.11871081532012859]","[1,1,1]","[0.08664509066500464,-0.03103577197494203]","[1,1,1]","[-0.006909114104727195,-0.011823777850531805]","[1,1,1]","[0.05020739351783989,-0.0586140579455263]","[1,1,1]","[0.14939581396219523,-0.13289115038273816]","[1,1,1]","[0.0028513110101073646,0.038690557069090366]","[1,1,1]","[0.139440530363743,0.09685590465527678]","[1,1,1]","[-0.05661921750792942,0.0802113118218543]","[-1,-1,-1]","[0.189607838218914,0.052317720289305536]","[1,1,1]","[-0.12674927642462527,-0.10454951363812308]","[1,1,1]","[0.07846828726689392,-0.13550270287454944]","[1,1,1]","[0.025360266819672905,0.10475032206059834]","[1,1,1]","[0.1315534879406754,0.14268825600128313]","[1,1,1]","[0.13643200948902562,0.030929311896797155]","[1,1,1]","[-0.06496263251897819,0.16125797153928362]","[1,1,1]","[-0.11373161591434544,0.036926948680124444]","[1,1,1]","[0.09044962779185738,0.023744402191473137]","[1,1,1]","[-0.14389248165311638,0.06914466322948908]","[1,1,1]","[0.01601799817775156,0.1753952712538975]","[1,1,1]","[-0.07710893892746998,-0.0964348905091274]","[1,1,1]","[0.02,0.02]",92.5472,0,2,2,202,1,,,,,,,
,,,,,,,5d7e41aea60f7b00013cf1af,682f2ed2c2625ed20f0a41f9,2025-05-22_16h05.12.538,cuing_paradigm_dot,2024.1.5,Win32,10,682d573fa47f1360d1451895,,,,,,,,,,,92.5475,92.9757,,,93.2018,93.5481,right,,,,,,,,0.4,0.2448,,,,,,,92.9757,93.2018,93.5481,"[0.008441883702526501,-0.05124464627036961]","[1,1,1]","[0.002015767126673834,0.16358389781358001]","[1,1,1]","[0.01266783850683764,-0.12474616170012325]","[-1,-1,-1]","[-0.10891319222162181,0.061917627017813455]","[-1,-1,-1]","[-0.05177041413796786,-0.1520792317310852]","[-1,-1,-1]","[0.03681263550658208,-0.004717752435989454]","[-1,-1,-1]","[0.028394555362287754,-0.19114156142633168]","[-1,-1,-1]","[0.07012088957613503,-0.028950499425982747]","[1,1,1]","[-0.11387876025649929,0.16097099824489208]","[1,1,1]","[-0.174629413163275,0.09067111502803887]","[1,1,1]","[0.11457642359564787,-0.1369316830040527]","[1,1,1]","[0.1804736045695298,0.043774926603121066]","[-1,-1,-1]","[0.04593040327852393,0.0863548082450235]","[1,1,1]","[-0.08155227899544033,0.12513104590868535]","[1,1,1]","[-0.16702997665477534,0.03175392221812141]","[-1,-1,-1]","[0.07701984607643172,0.17121075915665343]","[1,1,1]","[-0.09099562653107447,-0.06384418236504626]","[-1,-1,-1]","[0.06741034114140318,-0.11188728418118882]","[-1,-1,-1]","[0.08074670852607038,0.11994547826183571]","[1,1,1]","[0.12526977264924674,0.021752439458063145]","[1,1,1]","[-0.021200565546509866,0.19663831226746548]","[-1,-1,-1]","[0.005078919487477535,0.09409867195227498]","[-1,-1,-1]","[-0.12490220240640172,-0.14769570715611174]","[-1,-1,-1]","[0.13228778627946916,0.07513906293907849]","[1,1,1]","[0.12753944827874342,-0.07317079945982509]","[1,1,1]","[-0.0965716522604739,-0.11153917823686034]","[-1,-1,-1]","[-0.15037042888957544,-0.08209683890593548]","[-1,-1,-1]","[-0.18955103434883433,-0.00698546433966855]","[-1,-1,-1]","[0.16256585957004924,0.006135414368312515]","[-1,-1,-1]","[-0.10825473891233135,-0.013717508314957107]","[-1,-1,-1]","[-0.0451226527908127,0.06191835150691029]","[-1,-1,-1]","[-0.055013826296576564,0.17432849455399727]","[-1,-1,-1]","[0.02,0.02]",94.6196,0,3,3,58,1,,,,,,,
