right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0001,73.4119,space,58.4047,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,73.4121,132.7379,space,29.3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,132.738,136.7099,space,0.9649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,136.721,137.2131,137.2132,137.4618,137.4619,138.5291,left,1.0582,,138.5292,139.6267,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,139.627,140.1239,140.1239,140.3727,140.3728,140.785,right,0.4061,,140.785,141.8825,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.8827,148.523,space,3.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,148.5296,149.0261,,,149.275,149.8751,right,0.5976,,,,,,,,,0.45,,,,,,149.0263,149.275,149.8752,"[-0.1231697440617395,0.08718915216115748]","[1,1,1]","[0.04365295269589944,0.01579585382947744]","[-1,-1,-1]","[0.11192484685931982,-0.12198050270515012]","[-1,-1,-1]","[-0.03822928054054699,-0.15463095040848596]","[1,1,1]","[0.0011415211404069401,-0.1842667669667112]","[1,1,1]","[-0.17892703349197067,0.0430116423257857]","[-1,-1,-1]","[0.14740203845646643,0.12394014062875058]","[1,1,1]","[0.15071366006618106,0.04549995412159383]","[-1,-1,-1]","[0.10603848266048757,0.08209533466179936]","[1,1,1]","[-0.04011013780096529,0.05936707356964442]","[1,1,1]","[0.06547493010651953,0.17961776347627065]","[1,1,1]","[0.10747691368442198,-0.08114625520731979]","[-1,-1,-1]","[0.19667865363614367,-0.027355969240980323]","[-1,-1,-1]","[-0.18311353498626587,-0.0561998959816418]","[-1,-1,-1]","[-0.03221171695493265,-0.11227877097038558]","[-1,-1,-1]","[0.06878168712107875,0.06028064506028916]","[1,1,1]","[-0.06794481645174623,0.023180682505317376]","[-1,-1,-1]","[0.0485961615491353,0.1010806425973123]","[-1,-1,-1]","[0.17319195612024846,-0.07885473757483374]","[-1,-1,-1]","[-0.04578242909680983,0.17012558633262984]","[-1,-1,-1]","[-0.061424825113199896,-0.022326493913503824]","[-1,-1,-1]","[0.09302431622953417,-0.1752234808386202]","[-1,-1,-1]","[-0.14346719868048927,-0.017244027843740573]","[1,1,1]","[0.005837411078673311,0.1708127660544916]","[1,1,1]","[-0.07007533997248175,-0.07543314852382325]","[-1,-1,-1]","[0.05632245838829226,-0.06407192212204034]","[1,1,1]","[-0.009495421047267822,0.02854760490343926]","[1,1,1]","[-0.17970014746182872,0.08353637785974068]","[1,1,1]","[-0.10546809809191036,0.12799678031006093]","[-1,-1,-1]","[-0.0009560187357482623,0.08794814718901725]","[-1,-1,-1]","[-0.19864980774552346,-0.012004807533296963]","[1,1,1]","[-0.11987175728454251,-0.1374394782494098]","[-1,-1,-1]","[0.02,0.02]",150.9728,0,0,0,61,1,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,150.973,151.47,,,151.7188,152.2401,left,0.516,,,,,,,,,0.6,,,,,,151.47,151.7187,152.2401,"[0.005019551725346432,0.05799091627228589]","[1,1,1]","[-0.06494241884978726,-0.08655202990456078]","[1,1,1]","[0.06311653007537736,-0.11467405129319178]","[-1,-1,-1]","[-0.07767407767814201,0.0689104568820935]","[-1,-1,-1]","[-0.023985582859716543,0.12126744577070016]","[1,1,1]","[-0.024916092260223826,-0.06324946579719594]","[1,1,1]","[-0.018579498714046103,-0.13415343403727997]","[1,1,1]","[-0.17612387722971182,0.07223644493433874]","[1,1,1]","[0.068233018520915,0.09671024589420738]","[1,1,1]","[0.12186951652531908,0.05724818485542189]","[1,1,1]","[-0.028369958259888264,0.004330120666913716]","[1,1,1]","[-0.03385436769804969,0.0784740405717354]","[-1,-1,-1]","[-0.1398200615564186,-0.12198971863052412]","[1,1,1]","[0.045254224110207436,-0.15889504337448462]","[1,1,1]","[0.13605467344783376,-0.038852107959955355]","[-1,-1,-1]","[0.18722409324184155,0.044543783506588296]","[-1,-1,-1]","[-0.16852473516324495,-0.054499910371737854]","[1,1,1]","[0.0877306418037554,0.0007232856612694071]","[1,1,1]","[0.08960769447530344,0.1512220920863795]","[-1,-1,-1]","[0.00009160929471824221,0.17730470701820322]","[1,1,1]","[0.02674691793901321,-0.025577292115854]","[1,1,1]","[0.0803120774041894,0.047951985631462545]","[-1,-1,-1]","[-0.1443912576839101,-0.020313556390835787]","[-1,-1,-1]","[-0.10755164247243452,-0.08210495712598924]","[-1,-1,-1]","[0.11059199377997804,0.09998924314157903]","[-1,-1,-1]","[0.03246309739516112,0.12543008653628518]","[-1,-1,-1]","[-0.10937994185753502,0.09705485034154507]","[1,1,1]","[-0.13664907085571013,0.13537795403872635]","[-1,-1,-1]","[-0.08040778117202935,0.006057446190726724]","[1,1,1]","[0.09738399287287595,-0.06982739981131138]","[1,1,1]","[-0.0668871557463903,0.11784711641432719]","[1,1,1]","[-0.0708997067765158,-0.0334891379270495]","[-1,-1,-1]","[0.02,0.02]",153.3379,0,1,1,154,1,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,153.3381,153.835,,,154.0838,154.6295,left,0.5418,,,,,,,,,0.55,,,,,,153.835,154.0838,154.6295,"[-0.17194641693690177,0.026443062580991692]","[1,1,1]","[0.10041740501203493,-0.06890273476688244]","[-1,-1,-1]","[-0.12048427499409688,0.1426519998659488]","[1,1,1]","[-0.09330571893768315,0.10499019848295936]","[-1,-1,-1]","[0.07781024469270358,0.16256443231902404]","[-1,-1,-1]","[0.046030151184624744,0.005690373812132075]","[-1,-1,-1]","[0.04100589593779614,-0.07528072926899076]","[1,1,1]","[0.06619583297234893,-0.13608675830715747]","[1,1,1]","[-0.04900980901709812,0.08928895766537553]","[-1,-1,-1]","[-0.021290573654003827,0.181098547737033]","[1,1,1]","[-0.18166534359374156,-0.04191919015828787]","[-1,-1,-1]","[-0.09657463477240688,0.04898573494268942]","[-1,-1,-1]","[-0.01921556975974884,0.0039313770877651465]","[1,1,1]","[0.018330038887013424,0.14569652586139875]","[1,1,1]","[0.006913259991502959,-0.03646030893207625]","[1,1,1]","[-0.05446997837993605,0.14766372292533964]","[1,1,1]","[-0.14438120878125596,-0.1180782234397645]","[1,1,1]","[0.18016654690758938,0.08523512499773009]","[-1,-1,-1]","[0.1488142816030261,0.11927223769278647]","[1,1,1]","[-0.06220474817066298,-0.09232297941176493]","[-1,-1,-1]","[0.10081053549744537,0.12763111135310334]","[1,1,1]","[0.15822032235061342,-0.03517401902936372]","[-1,-1,-1]","[0.0013504371701493344,0.04625142069052325]","[1,1,1]","[-0.0537824060029253,-0.18976139346744145]","[1,1,1]","[0.12690122127964595,0.007805074492516272]","[1,1,1]","[0.08840866311299468,-0.003793056512787371]","[-1,-1,-1]","[0.14905765950728805,-0.09478339989030349]","[1,1,1]","[-0.12575230809030302,-0.05998944123264553]","[-1,-1,-1]","[-0.08784634747755954,-0.15868596401194035]","[-1,-1,-1]","[0.031312822081766174,-0.15950129360865165]","[1,1,1]","[0.06715307112119798,0.0972438924999144]","[-1,-1,-1]","[-0.09337526768631299,-0.012041435651680945]","[1,1,1]","[0.02,0.02]",155.7271,0,2,2,131,1,,,,,,,
,,,,,,,5e8a5a892f6f027054a83d88,682f0fb95704f10fc35dc60b,2025-05-22_13h51.50.805,cuing_paradigm_dot,2024.1.5,Win32,166.6666667,682d573fa47f1360d1451895,,,,,,,,,,,155.7272,156.2243,,,156.4731,156.843,right,0.3636,,,,,,,,,0.1,,,,,,156.2243,156.473,156.843,"[0.14737933099270464,-0.0324834070347229]","[-1,-1,-1]","[-0.03192596621023374,0.009531253259283216]","[1,1,1]","[-0.13896721455718056,0.018370133801762445]","[-1,-1,-1]","[-0.15132761402896344,-0.03171105619850077]","[-1,-1,-1]","[0.028607029637834756,-0.003982474171579519]","[-1,-1,-1]","[-0.10145616905899349,-0.04354993631275167]","[-1,-1,-1]","[0.04614078791380663,-0.17707582888182213]","[-1,-1,-1]","[-0.16656072088706014,0.09292606876352859]","[-1,-1,-1]","[-0.052446884171576016,0.06424412691582108]","[-1,-1,-1]","[0.09193607210220577,-0.16060975695044896]","[-1,-1,-1]","[0.016126368597851198,-0.1367080244900834]","[-1,-1,-1]","[-0.007007190516710046,-0.039842765738208934]","[-1,-1,-1]","[0.0029204163108469505,0.033748471579516784]","[-1,-1,-1]","[-0.08411075019794144,0.09872733702535468]","[-1,-1,-1]","[-0.09857826641157087,0.03115480925205175]","[-1,-1,-1]","[-0.17537116132935243,0.043493480793258835]","[-1,-1,-1]","[0.05838121913455592,0.10580455683798892]","[-1,-1,-1]","[-0.07319135047966974,-0.17479749453184112]","[-1,-1,-1]","[0.1441493566391413,-0.11935722818673043]","[-1,-1,-1]","[0.10161822585364037,0.03389724460537051]","[-1,-1,-1]","[0.15328546707555255,0.1266303792905382]","[-1,-1,-1]","[-0.13400684841280963,0.12916507872434027]","[-1,-1,-1]","[0.04860852533028034,0.03746295756748016]","[1,1,1]","[0.06945855200509933,0.17751464296367822]","[-1,-1,-1]","[0.18074088307598965,0.042985016931468494]","[-1,-1,-1]","[0.036110746274939744,0.1416791221117899]","[-1,-1,-1]","[-0.13753395881943564,-0.12359897725942398]","[1,1,1]","[-0.07733127049381515,0.16736140681173986]","[-1,-1,-1]","[-0.07514156066136515,-0.1320292057014261]","[-1,-1,-1]","[0.004111293687532678,-0.1961407128519293]","[-1,-1,-1]","[-0.18502978104088047,-0.008191469104942934]","[-1,-1,-1]","[0.08021196798630713,-0.0028757041783580546]","[-1,-1,-1]","[0.02,0.02]",157.9405,0,3,3,7,1,,,,,,,
