right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,451.8678,space,436.8619,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,451.8681,482.5142,space,0.6316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,482.5143,494.1301,space,8.6074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,494.1486,494.6366,494.6369,494.8787,494.8787,495.4771,right,0.565,,495.4772,496.5705,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,496.5709,497.0637,497.0637,497.3042,497.3042,498.0643,left,0.7379,,498.0644,499.1576,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.1579,504.2927,space,2.1241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,504.307,504.7989,,,505.0529,505.5859,left,0.5096,,,,,,,,,0.1,,,,,,504.7993,505.0529,505.5862,"[-0.020400622297893703,-0.07399195070065845]","[-1,-1,-1]","[-0.08902842676900154,-0.12287303636064427]","[-1,-1,-1]","[-0.06405137520373747,-0.014206899692596378]","[-1,-1,-1]","[0.04838276433526827,0.022600502065017302]","[-1,-1,-1]","[0.02335761797223106,-0.06724262457337679]","[-1,-1,-1]","[0.09757139186020602,0.15416998561786105]","[-1,-1,-1]","[0.020927411446855126,0.09482094016369629]","[-1,-1,-1]","[-0.02002532661836195,0.030784446088546056]","[-1,-1,-1]","[0.02808973037429595,0.17103753357717086]","[-1,-1,-1]","[0.17621648075388763,-0.020880492466683564]","[-1,-1,-1]","[-0.11079801544954157,0.155469671248569]","[-1,-1,-1]","[0.06754022180498034,-0.18490836789524204]","[-1,-1,-1]","[0.11768139208427449,-0.06537443493269221]","[-1,-1,-1]","[-0.15433233611720282,0.0782683913230171]","[-1,-1,-1]","[-0.113703491036688,-0.07455743113242948]","[-1,-1,-1]","[0.024876656108793055,-0.1288937502367212]","[-1,-1,-1]","[-0.07369041722437046,0.06972597339811543]","[-1,-1,-1]","[-0.048726212166729725,0.14176483516993238]","[-1,-1,-1]","[-0.02260278416330347,0.1067333814298042]","[1,1,1]","[-0.14510444204203954,-0.0450847278868602]","[-1,-1,-1]","[-0.13410828485810905,0.03398679112967708]","[-1,-1,-1]","[0.176922807115535,0.05435989382762042]","[-1,-1,-1]","[-0.17828008849037727,0.007038628041077121]","[-1,-1,-1]","[-0.004615082455470051,-0.18356116147003324]","[-1,-1,-1]","[-0.05351125994277289,-0.17436373879082676]","[1,1,1]","[-0.03597863551685948,-0.1216732295480446]","[-1,-1,-1]","[0.06790653865736666,-0.07324911256298262]","[-1,-1,-1]","[0.15190867820285703,-0.09059754343047716]","[1,1,1]","[0.11258570580095666,-0.14239693212673865]","[-1,-1,-1]","[-0.09319116209787522,0.11912460998240519]","[-1,-1,-1]","[-0.0889997179261403,0.0222759798962788]","[-1,-1,-1]","[0.13127731897908643,0.06018299679900972]","[-1,-1,-1]","[0.02,0.02]",506.6795,0,0,0,14,1,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,506.68,507.1729,,,507.4266,507.6664,left,0.2157,,,,,,,,,0.1,,,,,,507.1729,507.4266,507.6665,"[0.041945041446065257,-0.1492191354272728]","[-1,-1,-1]","[-0.002734269979108773,0.1890195035709375]","[-1,-1,-1]","[0.1585054161277604,0.11178948527120694]","[-1,-1,-1]","[0.12401351369414526,0.03553572061962763]","[-1,-1,-1]","[-0.1190061328962406,0.14700134133136877]","[-1,-1,-1]","[0.07896149206131206,-0.02639517295506724]","[-1,-1,-1]","[-0.07338603553744136,0.09034610997304678]","[-1,-1,-1]","[-0.042484114085979074,-0.08974575484700639]","[-1,-1,-1]","[0.0953198385323487,0.1394839940602251]","[1,1,1]","[-0.08377433981128207,-0.14709286991608705]","[1,1,1]","[-0.09085350363159098,0.0350761726092335]","[-1,-1,-1]","[-0.01701617041793678,0.12098511551792948]","[-1,-1,-1]","[-0.07950335186637451,0.17548850820986886]","[-1,-1,-1]","[-0.08763445670371883,-0.08659068762707715]","[-1,-1,-1]","[0.031151857938742224,0.045589788479853455]","[-1,-1,-1]","[-0.05097923154223756,-0.1818202649431639]","[-1,-1,-1]","[-0.1235765653547456,0.07403342372984635]","[-1,-1,-1]","[-0.18416041082207216,-0.009510654096786477]","[-1,-1,-1]","[-0.05333721016548808,0.008271814011666203]","[-1,-1,-1]","[0.06366073012829818,-0.18471760433636963]","[-1,-1,-1]","[-0.1671666801088305,-0.06747774233710038]","[-1,-1,-1]","[0.0403613725045159,-0.0004129284011086061]","[-1,-1,-1]","[0.12959666765253966,0.07807632420897268]","[-1,-1,-1]","[-0.018344235980181946,-0.14737724283467757]","[-1,-1,-1]","[0.16414141594140885,-0.09787529476214993]","[-1,-1,-1]","[-0.15560898121338831,-0.114150548567696]","[-1,-1,-1]","[-0.10924627108848184,-0.017491951177994246]","[-1,-1,-1]","[0.18703650739129354,-0.012524434258660422]","[-1,-1,-1]","[0.055086459264157235,0.08569437519897405]","[-1,-1,-1]","[0.020678025475092426,0.14199852982080738]","[1,1,1]","[0.12600795813790955,-0.12426618605776625]","[-1,-1,-1]","[0.059142436063539375,-0.10676624834510727]","[-1,-1,-1]","[0.02,0.02]",508.7599,0,1,1,23,1,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,508.7602,509.2533,,,509.4938,509.8271,right,0.3169,,,,,,,,,0.6,,,,,,509.2533,509.4938,509.8273,"[0.05866688579149918,0.12128830212042847]","[1,1,1]","[-0.06658977024827521,-0.1009663477454204]","[1,1,1]","[-0.03467514315437989,-0.05691518939414437]","[1,1,1]","[0.1404689831799961,-0.050356422994384635]","[-1,-1,-1]","[0.08390458560205753,-0.128536572026691]","[-1,-1,-1]","[-0.10937038748481437,-0.14845370864383522]","[-1,-1,-1]","[0.09947201844680832,0.0866096400682369]","[-1,-1,-1]","[0.022590597889256808,0.07803266989265542]","[1,1,1]","[-0.013163081597294651,0.0029904096131827683]","[1,1,1]","[-0.06132759746623767,0.06915298357712212]","[-1,-1,-1]","[-0.13123357133083838,-0.09681852847730527]","[-1,-1,-1]","[0.16045182488159537,0.07750817241153501]","[-1,-1,-1]","[-0.03696859568782739,-0.15115926541135238]","[-1,-1,-1]","[0.03301039475840836,0.018137755849135035]","[1,1,1]","[-0.08257088797626536,0.16228326079116262]","[1,1,1]","[0.10149955262009902,0.1431038055480693]","[-1,-1,-1]","[0.19193990427991248,0.05026343516453145]","[1,1,1]","[0.012195043271858738,-0.1790009509992135]","[1,1,1]","[-0.16880022202464173,-0.021601728974819445]","[1,1,1]","[-0.030413246701739765,0.10065936949920917]","[-1,-1,-1]","[-0.12878354427576957,-0.048843417154782014]","[1,1,1]","[0.05976112056352756,-0.08265205873975906]","[1,1,1]","[0.09770482877407194,-0.04243778165622342]","[1,1,1]","[0.055743613871749885,-0.1892037202249837]","[1,1,1]","[0.15199948637684424,-0.009647950422949794]","[-1,-1,-1]","[-0.0007309424261297869,-0.10958611090515546]","[-1,-1,-1]","[-0.14574013008049658,0.13617419216301554]","[1,1,1]","[0.03159647496201453,-0.14115895365336817]","[-1,-1,-1]","[-0.09319368355960626,0.12072679007994848]","[1,1,1]","[-0.10721735201740747,0.047413232901053017]","[1,1,1]","[-0.036807086287420965,0.16817345386357144]","[1,1,1]","[-0.07370806466253152,0.019455878192867128]","[1,1,1]","[0.02,0.02]",510.9203,0,2,2,174,1,,,,,,,
,,,,,,,5e9c3ff1cf719d151612648f,682db3acb8ea98a63d0ed035,2025-05-21_13h16.34.755,cuing_paradigm_dot,2024.1.5,Win32,74.62686567,682d556593cb38ad0a074487,,,,,,,,,,,510.9206,511.4138,,,511.6675,512.2943,right,0.6014,,,,,,,,,0.4,,,,,,511.4139,511.6675,512.2944,"[-0.10474466331842758,0.04046642340499181]","[1,1,1]","[-0.10254606307399715,-0.134363670712755]","[1,1,1]","[-0.14901317258805138,0.10215360373377737]","[-1,-1,-1]","[-0.06553200288001276,0.007303883819716296]","[-1,-1,-1]","[0.12541417128454646,-0.007956600969545707]","[1,1,1]","[-0.05051230817237461,-0.03199592199229375]","[1,1,1]","[0.06606984879625966,0.18538990001654032]","[-1,-1,-1]","[0.09319116082058403,0.05189671753711171]","[-1,-1,-1]","[0.06450069024205576,0.12587135139952135]","[-1,-1,-1]","[0.10311995554491117,0.16290773400632474]","[-1,-1,-1]","[-0.11144964921497405,-0.02127449761130695]","[-1,-1,-1]","[0.15718010347608757,-0.10730443489250001]","[1,1,1]","[0.03806988219661153,-0.1927831394680204]","[1,1,1]","[-0.06906056565674774,0.05961662178471761]","[-1,-1,-1]","[-0.020621815156418803,-0.1878631935812181]","[-1,-1,-1]","[-0.14399471056562654,-0.09885935385712827]","[-1,-1,-1]","[0.023228164237369727,-0.06279330826006757]","[-1,-1,-1]","[0.033848130951494526,-0.00856901543485477]","[1,1,1]","[-0.16348758001144464,0.06321428608392345]","[1,1,1]","[-0.11990654964282045,0.15362852302389673]","[1,1,1]","[0.1451797170071677,0.0867762250803828]","[-1,-1,-1]","[0.047660630318364386,0.03721018053767112]","[-1,-1,-1]","[-0.04854205407987788,-0.12909783256905716]","[-1,-1,-1]","[0.020237136611657353,-0.11831965114420659]","[1,1,1]","[0.09128128172367561,-0.13519417378005225]","[-1,-1,-1]","[-0.00034176161625306805,0.1876598328338705]","[1,1,1]","[0.00606434933708963,0.11443262908522406]","[-1,-1,-1]","[0.004396406320471194,0.07203043563054905]","[1,1,1]","[-0.04222582165326932,-0.08441705712012279]","[-1,-1,-1]","[0.06472950352727201,-0.051802012693623556]","[-1,-1,-1]","[-0.1856700558051733,-0.03892692266536426]","[1,1,1]","[-0.0942955432264648,-0.07796539304631703]","[-1,-1,-1]","[0.02,0.02]",513.3876,0,3,3,42,1,,,,,,,
