right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0022,41.3078,space,26.2622,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,41.3085,75.8794,space,4.5533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,75.8799,79.9998,space,1.1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,80.0855,80.5167,80.5177,80.7069,80.7074,81.9335,right,1.0665,,81.9339,83.0146,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,83.017,83.5102,83.5103,83.7522,83.7524,84.4782,left,0.7029,,84.4785,85.5745,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5774,90.1715,space,1.5866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,90.2284,90.6783,,,90.9311,91.6058,right,0.6576,,,,,,,,,0.5,,,,,,90.6792,90.931,91.6094,"[-0.013208007826590233,-0.19287843741034774]","[1,1,1]","[-0.10026316498876278,0.11304381195497264]","[1,1,1]","[-0.00892222483081631,-0.1368744598504587]","[-1,-1,-1]","[-0.14608923931101714,-0.05705334958256566]","[1,1,1]","[0.03554258195911659,0.18905634590962547]","[1,1,1]","[-0.10448967428012634,-0.043863241048109756]","[-1,-1,-1]","[-0.06333629464432224,0.037829934095355164]","[1,1,1]","[-0.10632463654037248,0.16121419203515788]","[-1,-1,-1]","[0.004339039453705713,-0.08820368426920912]","[1,1,1]","[-0.11479397277403126,0.02097039685779731]","[-1,-1,-1]","[0.009479496983500733,0.1400470322546975]","[-1,-1,-1]","[0.14008602905511766,0.08061685321801468]","[1,1,1]","[-0.05059643959533143,0.12641790951520107]","[1,1,1]","[0.17170678872927997,-0.05606677681454878]","[-1,-1,-1]","[-0.024502657854288373,0.19182602219517048]","[-1,-1,-1]","[0.0700084945686663,-0.1772078777375381]","[1,1,1]","[-0.0720771453898754,-0.005612672526860055]","[1,1,1]","[0.08529879467259678,0.11237171633135302]","[-1,-1,-1]","[0.04572182726424782,-0.0894044307664101]","[-1,-1,-1]","[0.07256712249756875,-0.023823845436809325]","[-1,-1,-1]","[-0.04836432926835125,-0.04768011826588052]","[-1,-1,-1]","[-0.1082332609240516,-0.14449780402188875]","[1,1,1]","[0.14026596657039622,-0.09898272601523322]","[-1,-1,-1]","[0.09224823472606677,-0.11281037871652974]","[1,1,1]","[0.11613231633705898,0.0058974100273974156]","[1,1,1]","[-0.02608219535022916,-0.005614991853432038]","[-1,-1,-1]","[-0.19612735744963813,-0.021764859339958205]","[1,1,1]","[-0.15812672649648188,0.04684858205446952]","[-1,-1,-1]","[-0.07329524665201387,-0.16813015975705603]","[1,1,1]","[0.09092735065534754,0.050728565956515585]","[1,1,1]","[0.023670912275617843,0.08030973953155929]","[-1,-1,-1]","[0.008603995197583522,0.028406470017081315]","[-1,-1,-1]","[0.02,0.02]",92.6977,0,0,0,117,1,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,92.6998,93.1927,,,93.4425,93.885,left,0.4242,,,,,,,,,0.1,,,,,,93.1928,93.4425,93.8852,"[-0.053924295601704864,0.16691839280397203]","[-1,-1,-1]","[0.11720726252798404,-0.15008950624767597]","[-1,-1,-1]","[0.03426052337204269,0.18498990708258564]","[-1,-1,-1]","[-0.10515045595799648,-0.1567505304822194]","[-1,-1,-1]","[-0.09674469345892266,-0.011660743667898904]","[-1,-1,-1]","[0.15336473544541257,-0.10613898528236958]","[-1,-1,-1]","[0.03332323066736499,0.02503391532218215]","[-1,-1,-1]","[-0.100759527459603,-0.07994264931537587]","[-1,-1,-1]","[0.08312865452049978,-0.1732645608765119]","[1,1,1]","[-0.05641637989337479,0.06248572665441325]","[-1,-1,-1]","[0.08976068276544828,0.06378355119935199]","[-1,-1,-1]","[0.14547229124181196,0.13585940900780477]","[-1,-1,-1]","[0.1072163910286531,0.1618632944481714]","[-1,-1,-1]","[-0.05085676849281915,-0.16237546477344017]","[-1,-1,-1]","[0.11635295539022293,0.015467270462772593]","[-1,-1,-1]","[0.08381076123216027,-0.009493214365678501]","[-1,-1,-1]","[0.007881388684834937,-0.14736016897096255]","[-1,-1,-1]","[-0.013962789750352715,0.1510005678525841]","[-1,-1,-1]","[-0.10395323322470984,0.13856294849843354]","[-1,-1,-1]","[-0.09582300466073389,0.08593669745790494]","[-1,-1,-1]","[0.15908088243155383,-0.06291211298732446]","[1,1,1]","[-0.10614882612586396,0.04460286783095012]","[-1,-1,-1]","[-0.04947350790996673,-0.02550524075265771]","[-1,-1,-1]","[-0.15958169769062067,0.06683703941961155]","[-1,-1,-1]","[0.15795057486063926,0.02745114180091011]","[-1,-1,-1]","[-0.17753512396627322,-0.0055180418623202235]","[1,1,1]","[0.04674029016281298,-0.10506607172883921]","[-1,-1,-1]","[0.0635430944931725,-0.05688572912339539]","[-1,-1,-1]","[-0.024627337435786455,-0.19322141595295356]","[-1,-1,-1]","[-0.16292945024519057,-0.11316042351468078]","[-1,-1,-1]","[0.06818105990837206,0.13781679135457536]","[-1,-1,-1]","[-0.025403174197303972,-0.06052118580921873]","[-1,-1,-1]","[0.02,0.02]",94.9786,0,1,1,29,1,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,94.9805,95.4782,,,95.7253,96.4981,left,0.7566,,,,,,,,,0.45,,,,,,95.4782,95.7252,96.4983,"[-0.08062213200112646,-0.08881362794564589]","[1,1,1]","[0.08763791758584945,-0.027472075695006273]","[1,1,1]","[-0.15952905007868107,-0.056415810385390425]","[-1,-1,-1]","[-0.0681847675611346,-0.15340333444320461]","[-1,-1,-1]","[0.16779101327876852,0.048413670248083684]","[-1,-1,-1]","[-0.0011556643177244518,0.16504196069909247]","[-1,-1,-1]","[0.06980227613960334,-0.10100786798193202]","[1,1,1]","[0.04872413683779638,-0.045688362108518184]","[-1,-1,-1]","[0.0689111556077862,0.013892205812265183]","[-1,-1,-1]","[-0.044672622394748396,-0.05264710502389102]","[1,1,1]","[-0.1423554921024609,0.081460693637683]","[1,1,1]","[0.010637311573259027,0.12527559154975992]","[-1,-1,-1]","[0.001758967906382529,0.04348979862831484]","[1,1,1]","[-0.05942693185162593,0.0113948178550419]","[-1,-1,-1]","[0.118483116846473,-0.15376128404062267]","[-1,-1,-1]","[-0.19234274804091725,0.025004135683590827]","[1,1,1]","[-0.043040908176569526,0.1849612322872736]","[-1,-1,-1]","[-0.006430425217101559,-0.024502252443351098]","[-1,-1,-1]","[-0.05964845215693448,0.05868210760993251]","[1,1,1]","[0.09606236288029453,0.1667287060710553]","[-1,-1,-1]","[0.11611502773325315,0.1065349189528785]","[-1,-1,-1]","[0.1595345591810147,0.001274753657280763]","[-1,-1,-1]","[0.14135774671548518,-0.07643685635520853]","[-1,-1,-1]","[0.009699479156355868,-0.11488963237718333]","[1,1,1]","[-0.13841450571144323,0.008054282726985489]","[1,1,1]","[-0.09541107347510706,0.08489673925811887]","[-1,-1,-1]","[-0.10731393309977734,-0.14055306484834423]","[1,1,1]","[0.15605430802833326,0.12342166490194348]","[-1,-1,-1]","[-0.029773837283509765,-0.0963081594890514]","[-1,-1,-1]","[0.10981576516961901,0.0640824123746177]","[1,1,1]","[-0.028397321344817174,-0.16552232635358907]","[1,1,1]","[-0.10236645358981504,0.133325025932348]","[1,1,1]","[0.02,0.02]",97.5774,0,2,2,75,1,,,,,,,
,,,,,,,5f3287b83428cb05746e2214,682db4925c65bd43ab683899,2025-05-21_13h13.21.735,cuing_paradigm_dot,2024.1.5,Win32,57.14285714,682d556593cb38ad0a074487,,,,,,,,,,,97.5788,98.0595,,,98.3075,99.1961,left,0.87,,,,,,,,,0.1,,,,,,98.0597,98.3074,99.1963,"[0.1515394837685804,0.05385330055847243]","[-1,-1,-1]","[0.14883903364734544,-0.008051807787935577]","[1,1,1]","[-0.019494619925863235,0.15692410768300422]","[-1,-1,-1]","[0.08725760775650666,0.13529539085459324]","[-1,-1,-1]","[0.06616273593492975,-0.02062833014533589]","[-1,-1,-1]","[0.0965869040793317,0.08438639009701253]","[-1,-1,-1]","[0.04056505675855286,-0.1726966552502588]","[-1,-1,-1]","[-0.058737191761350276,0.11226879775805192]","[-1,-1,-1]","[-0.11713524914812923,-0.05003327849369271]","[-1,-1,-1]","[0.042540408207461744,0.19085350632266307]","[-1,-1,-1]","[0.17706888918058794,-0.0396305024124342]","[-1,-1,-1]","[0.15998560683273425,-0.09589572006177657]","[1,1,1]","[-0.09736490800954374,0.0015634366920202927]","[-1,-1,-1]","[0.06695253338699353,-0.10240364903743117]","[-1,-1,-1]","[-0.1422130498809855,-0.0954901949775844]","[-1,-1,-1]","[0.13154496811207,0.11908555262919811]","[-1,-1,-1]","[0.05605947543715283,0.023336005481413947]","[-1,-1,-1]","[-0.08602099506786709,-0.13217777947239087]","[-1,-1,-1]","[0.19022366120014927,0.004973593106704976]","[-1,-1,-1]","[-0.023235138443068546,-0.16628222835077153]","[-1,-1,-1]","[-0.008262240911329983,0.09853873870399898]","[-1,-1,-1]","[0.09629638907501413,0.013362537982622661]","[-1,-1,-1]","[-0.05121656758883459,0.02482068791190818]","[1,1,1]","[-0.06844349582987365,-0.03835724578475666]","[-1,-1,-1]","[0.09818152462739141,-0.16758374307825796]","[-1,-1,-1]","[-0.17990441727010134,0.04378042974828029]","[-1,-1,-1]","[-0.027400579172687706,-0.11173011334664064]","[-1,-1,-1]","[-0.0393596304421896,0.19416459849554338]","[-1,-1,-1]","[-0.1905482662563844,-0.0034438790397446142]","[-1,-1,-1]","[-0.14929488815080957,0.10769412905341606]","[-1,-1,-1]","[0.03798671918564769,0.08982421877404795]","[-1,-1,-1]","[-0.10219634892812898,0.049145843671184256]","[-1,-1,-1]","[0.02,0.02]",100.2899,0,3,3,14,1,,,,,,,
