right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,137.0147,space,121.9962,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,137.0158,204.3192,space,37.2876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,204.3197,218.1548,space,10.8241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,218.216,218.6664,218.6677,218.917,218.9173,220.0284,right,1.0564,,220.0287,221.1183,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,221.1201,221.6178,221.6187,221.8701,221.8702,222.2388,left,0.3486,,222.239,223.3347,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.3364,237.0104,space,10.6468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,237.0541,237.5245,,,237.7768,238.0584,left,0.2677,,,,,,,,,0.45,,,,,,237.5262,237.7767,238.0599,"[-0.055256269108345864,0.13656686533492557]","[-1,-1,-1]","[-0.1106717209010424,-0.06073310667724684]","[-1,-1,-1]","[-0.11132634558943966,0.08976212586847811]","[1,1,1]","[0.1820440324167677,0.03857843791495301]","[-1,-1,-1]","[-0.006494396245982002,-0.13284468794075732]","[-1,-1,-1]","[0.006825847858859113,0.15874505312885534]","[1,1,1]","[-0.06257250764275023,0.09169448586970522]","[-1,-1,-1]","[0.06051757953206376,0.10063253483330109]","[-1,-1,-1]","[-0.06448397551997515,-0.17395017075166805]","[-1,-1,-1]","[-0.05725891422559038,-0.02830311003607547]","[1,1,1]","[-0.08111741279745362,-0.08780659509860929]","[1,1,1]","[0.08972880165207542,-0.082345688130057]","[-1,-1,-1]","[-0.17431165996623532,0.05613010881280756]","[-1,-1,-1]","[0.04404837185525935,-0.04121891354383262]","[1,1,1]","[0.11578703867437716,0.002481525259396294]","[-1,-1,-1]","[0.10933780348475308,0.11515113150197122]","[1,1,1]","[-0.01369331310352995,-0.07654523551897179]","[-1,-1,-1]","[0.04679598316194588,-0.17793667581383152]","[1,1,1]","[-0.017277101011270175,0.0032126242278074507]","[1,1,1]","[0.053244304359357564,0.05473395447222485]","[-1,-1,-1]","[-0.1381153289644687,0.12346295396390357]","[1,1,1]","[0.0314385471183738,-0.08810057192518303]","[-1,-1,-1]","[-0.16478888221913393,0.012206499545690995]","[-1,-1,-1]","[-0.004699528494087969,0.10467312611779397]","[1,1,1]","[0.07286244554717557,-0.006175165418401231]","[-1,-1,-1]","[-0.10748579493775655,0.0028315648195603215]","[-1,-1,-1]","[0.16114302939567443,-0.08920248733404884]","[1,1,1]","[0.07070900916907492,-0.14076553395809752]","[-1,-1,-1]","[0.1549490821027826,-0.028455304164573217]","[1,1,1]","[0.09040017541446742,0.16384925723770316]","[-1,-1,-1]","[-0.11399390924717409,-0.11840822891684066]","[1,1,1]","[-0.10866132885385803,0.15553997424761323]","[1,1,1]","[0.02,0.02]",239.1584,0,0,0,63,1,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,239.1596,239.6585,,,239.9097,240.0936,right,0.1757,,,,,,,,,0.1,,,,,,239.6586,239.9097,240.0937,"[-0.0009349434084192214,-0.07413262509688578]","[-1,-1,-1]","[-0.034505053623313915,0.1095533199604848]","[1,1,1]","[-0.03370641634871608,-0.19708439156127833]","[-1,-1,-1]","[0.15811453884899784,-0.034342482431346535]","[-1,-1,-1]","[-0.04123381209618151,-0.05546130519325071]","[-1,-1,-1]","[0.011134927598023679,-0.11584810026728742]","[-1,-1,-1]","[0.09639276772731906,0.14487431862716066]","[-1,-1,-1]","[0.10422441749353804,-0.04218301516079845]","[-1,-1,-1]","[-0.1618760471381094,-0.0007671192294980004]","[-1,-1,-1]","[0.01654414708118963,0.1297271578061885]","[-1,-1,-1]","[0.059124578370852096,0.18748911209992716]","[-1,-1,-1]","[-0.1567929089470304,-0.06743171488808372]","[-1,-1,-1]","[-0.11739022757894588,0.14494217059319556]","[-1,-1,-1]","[-0.022606420479673428,0.068733790418855]","[-1,-1,-1]","[-0.010590458929640407,-0.006964595346859812]","[-1,-1,-1]","[-0.07540617244827363,-0.12345049160618278]","[-1,-1,-1]","[-0.018957914086859106,0.18821971932093817]","[-1,-1,-1]","[0.07477558994264608,-0.0982971203258025]","[-1,-1,-1]","[0.030270125240414343,-0.16050160811132222]","[-1,-1,-1]","[0.07849553137215382,0.07289995356771503]","[-1,-1,-1]","[0.08569522394865857,0.004279055198232943]","[-1,-1,-1]","[-0.17355956334864653,0.06950763188818941]","[-1,-1,-1]","[-0.14928668835243858,-0.1276686284410979]","[-1,-1,-1]","[-0.09095796280670987,-0.16179087201874856]","[1,1,1]","[0.034115927802257785,-0.03351112413510309]","[-1,-1,-1]","[-0.073544408698067,-0.014942609981822877]","[-1,-1,-1]","[0.09918748245969494,-0.1534374016311708]","[-1,-1,-1]","[0.12301557553963953,0.02752204975495715]","[-1,-1,-1]","[-0.08425188143360501,0.10620084263803539]","[-1,-1,-1]","[0.1567020239292024,0.07253885498121083]","[1,1,1]","[-0.053116920742451675,0.028950529859927212]","[-1,-1,-1]","[0.13620801399923674,-0.0771063554536428]","[-1,-1,-1]","[0.02,0.02]",241.1926,0,1,1,9,1,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,241.1935,241.6932,,,241.944,242.2102,left,0.2514,,,,,,,,,0.5,,,,,,241.6932,241.944,242.2103,"[0.03440069517275471,-0.09301588847463348]","[-1,-1,-1]","[-0.10762286532764229,-0.13133948753312388]","[1,1,1]","[0.08502657096352695,-0.052852045947469735]","[1,1,1]","[-0.09152783572667693,-0.018826531620179165]","[-1,-1,-1]","[0.17628918421382586,-0.003501623055591999]","[1,1,1]","[0.036631659613900164,-0.017635930018073728]","[-1,-1,-1]","[-0.013298507463827026,0.028044920005004303]","[-1,-1,-1]","[0.13439675981007654,0.014333633113060393]","[1,1,1]","[0.09920813052457761,0.15096272095874202]","[1,1,1]","[0.04767771104952846,0.1689397687292426]","[-1,-1,-1]","[0.0169305664973892,0.08230558570531595]","[-1,-1,-1]","[-0.09482298271491062,-0.07008152366412525]","[1,1,1]","[0.1576792877181778,-0.08037473700735616]","[-1,-1,-1]","[0.06741979335390076,0.05103478544091379]","[-1,-1,-1]","[-0.18977472594641911,0.015558176269038163]","[1,1,1]","[0.010180285575137244,-0.12535318898232078]","[1,1,1]","[-0.09362149819400402,0.0919201667546186]","[-1,-1,-1]","[-0.023561874395980797,-0.17213385550971422]","[-1,-1,-1]","[0.07739461153616864,-0.09456063148225359]","[1,1,1]","[0.040917722665262356,0.11523272149368138]","[1,1,1]","[-0.13596856536708551,0.0024545846337510257]","[1,1,1]","[-0.16706737145767403,-0.04976673140002937]","[1,1,1]","[0.10150402203878528,-0.1556042364203931]","[-1,-1,-1]","[-0.16407208734889286,0.10609285014196737]","[-1,-1,-1]","[-0.12536877764839346,0.14271224540659194]","[1,1,1]","[-0.16624990171427087,-0.10760048993233634]","[-1,-1,-1]","[-0.15269391735807478,0.06550699688398194]","[1,1,1]","[0.09859796727660672,0.0932063521570565]","[-1,-1,-1]","[0.013464050776489158,0.19182750473473797]","[-1,-1,-1]","[0.13341004646047167,-0.030282694244637868]","[1,1,1]","[0.15220131624637717,0.12801524657037813]","[1,1,1]","[-0.05399196018849394,0.10719287790930376]","[-1,-1,-1]","[0.02,0.02]",243.3099,0,2,2,100,1,,,,,,,
,,,,,,,5fa0091ec747500252d2891f,682f0fc1c9067d1b83fffdc0,2025-05-22_13h51.59.789,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,243.3109,243.8104,,,244.0625,244.2794,left,0.1887,,,,,,,,,0.6,,,,,,243.8104,244.0625,244.2795,"[-0.06171438282139892,-0.029225463813971373]","[-1,-1,-1]","[-0.006021861515478024,-0.14969505686135007]","[1,1,1]","[-0.0002238435918543045,0.19660775672279351]","[1,1,1]","[0.17052265147008933,-0.09739758184201568]","[1,1,1]","[-0.1426347752432106,-0.07288209891489739]","[1,1,1]","[0.00367420711817053,-0.08841473631263336]","[-1,-1,-1]","[0.15958924808074818,-0.054022573760991975]","[1,1,1]","[-0.06051760068664989,0.060000196258227674]","[-1,-1,-1]","[-0.08131673528389387,0.10643400190331705]","[1,1,1]","[0.04972268219238425,0.08287917203889203]","[1,1,1]","[-0.1848902703313493,0.0389422679345392]","[-1,-1,-1]","[-0.06900968843156226,-0.1278891948317841]","[1,1,1]","[0.06454816816817413,-0.1479805151732396]","[1,1,1]","[0.05280404778529309,-0.06049796032665844]","[1,1,1]","[-0.161603650236598,-0.11565668999195072]","[1,1,1]","[-0.018553196909932557,0.14853819822552652]","[-1,-1,-1]","[0.19106765876832194,0.05335569754620387]","[-1,-1,-1]","[-0.07480343777233912,0.17082903751047515]","[1,1,1]","[0.09327659774393499,0.01699206135210787]","[1,1,1]","[0.10807146554919504,0.07849056379018401]","[1,1,1]","[0.10656873441394318,0.1665713923330372]","[1,1,1]","[-0.07274840627148234,-0.1755435671853768]","[-1,-1,-1]","[-0.020906846553774238,0.10035324710129986]","[-1,-1,-1]","[-0.18254500551829367,-0.05508072196268988]","[-1,-1,-1]","[0.0618091728340891,0.15651535483384058]","[1,1,1]","[0.09522950038400166,-0.037510342252440015]","[1,1,1]","[-0.14502715858736687,-0.031620144884848864]","[-1,-1,-1]","[0.17331092599568598,0.09477244090690014]","[1,1,1]","[0.16688450855291864,-0.013503930564023695]","[-1,-1,-1]","[0.04926792510759845,-0.005247902020859187]","[-1,-1,-1]","[0.006547745280094272,0.03388844412768277]","[1,1,1]","[-0.10055764349512267,0.05806175733588495]","[-1,-1,-1]","[0.02,0.02]",245.3781,0,3,3,153,1,,,,,,,
