right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,35.747,space,20.7435,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,35.7471,67.3478,space,1.5896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,67.3481,71.0426,space,0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,71.055,71.5495,71.5496,71.7997,71.7997,72.7943,left,0.977,,72.7944,73.89,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,73.8903,74.3902,74.3903,74.6402,74.6403,74.9388,right,0.2885,,74.9389,76.036,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0363,79.6617,space,0.6191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,79.6689,80.1685,,,80.4189,81.0715,left,0.65,,,,,,,,,0.45,,,,,,80.1688,80.4188,81.0717,"[0.154627834552271,-0.03250328272847518]","[-1,-1,-1]","[-0.11628317323655964,-0.010270682507430592]","[-1,-1,-1]","[0.06528888879820785,-0.18660734664698633]","[-1,-1,-1]","[0.01462210059091689,0.0007038115828734204]","[-1,-1,-1]","[0.03562980166748072,0.09010170183684486]","[-1,-1,-1]","[0.16502943750252544,0.013955943175922615]","[-1,-1,-1]","[0.12737483053326756,0.04604710063583551]","[1,1,1]","[-0.07800456183454864,0.02037226320408218]","[-1,-1,-1]","[0.1693037571995377,0.08853504762698568]","[-1,-1,-1]","[0.0876119080109752,-0.018476025519994402]","[-1,-1,-1]","[0.016221714422994506,-0.05698932612588094]","[1,1,1]","[0.03820980778985008,0.15031908266208951]","[1,1,1]","[-0.1138638958112286,0.1280966806467893]","[1,1,1]","[-0.049761337362492525,0.15059102738490782]","[1,1,1]","[0.09063257888357983,0.12003284793541472]","[-1,-1,-1]","[-0.04850213673582984,-0.15536432743043427]","[1,1,1]","[0.0367510684626139,-0.1266170870519111]","[1,1,1]","[-0.044116476826744376,-0.09523877500702001]","[-1,-1,-1]","[-0.034635452572240315,-0.05570805639136485]","[1,1,1]","[-0.11804181453751783,0.08831407498265166]","[1,1,1]","[0.06174536606063737,0.034658934842742815]","[1,1,1]","[-0.01585313929783925,0.06732201488870262]","[-1,-1,-1]","[-0.13397400299803267,0.05139496760190196]","[1,1,1]","[-0.14702202485257435,-0.09335823503596279]","[1,1,1]","[0.14133991583071945,-0.11912579060311088]","[-1,-1,-1]","[0.09292341424630267,-0.08241795595899228]","[-1,-1,-1]","[-0.16016116305110564,-0.030007317793753065]","[-1,-1,-1]","[-0.00040237092696639973,0.1748896532954265]","[1,1,1]","[-0.01735439072191967,-0.13004758514121423]","[-1,-1,-1]","[-0.09412445772669091,-0.13379719849405766]","[-1,-1,-1]","[0.09698183033564159,0.07427104650942855]","[1,1,1]","[-0.08578770059145509,-0.050301390970848105]","[-1,-1,-1]","[0.02,0.02]",82.1688,0,0,0,66,1,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,82.1692,82.6689,,,82.9191,83.6343,right,0.7109,,,,,,,,,0.55,,,,,,82.6689,82.9191,83.6343,"[0.12033623480436711,-0.10534567506567889]","[1,1,1]","[-0.11283423313609679,0.022679768958219597]","[1,1,1]","[0.10176660096404318,-0.014381398501936558]","[1,1,1]","[-0.13989400320129636,-0.11473470252434669]","[1,1,1]","[-0.052405549385584,0.12589662671170868]","[1,1,1]","[-0.04609681280956032,-0.02761678287473645]","[-1,-1,-1]","[0.04378488366792558,-0.0692184890528452]","[-1,-1,-1]","[-0.09313957192799026,0.08170754787358364]","[-1,-1,-1]","[-0.17812888408834787,-0.07464837435404632]","[1,1,1]","[0.015862738852286194,0.012930635222326427]","[-1,-1,-1]","[0.00045013983255083546,-0.0618547129046525]","[1,1,1]","[-0.01688998413690679,-0.09926328639020009]","[-1,-1,-1]","[0.13305309216117497,0.05116530578050161]","[1,1,1]","[0.13547091992821372,0.13919918783022925]","[-1,-1,-1]","[-0.09605977094497178,0.17130057556112474]","[1,1,1]","[-0.00008485555747556327,-0.15034774664819123]","[-1,-1,-1]","[0.1004042819613847,0.09445733423786706]","[1,1,1]","[0.06647104402290417,-0.12356474927763642]","[-1,-1,-1]","[0.1484528153647164,-0.02036923068996572]","[-1,-1,-1]","[-0.14809019998057762,-0.014582582538263432]","[1,1,1]","[-0.044670380544655726,0.18841050254659436]","[1,1,1]","[0.16373309516763052,-0.09515024806504183]","[-1,-1,-1]","[-0.036231751191478506,0.01803074801119137]","[1,1,1]","[0.022909316909485725,0.1935363000089439]","[1,1,1]","[0.18268961557172858,0.012096455754304567]","[-1,-1,-1]","[0.012386251726205121,0.09908758675739167]","[1,1,1]","[-0.06763605015371105,-0.17775011374181343]","[-1,-1,-1]","[-0.14854876871575773,0.08090436199940204]","[1,1,1]","[0.18416028788197233,0.06426293109618478]","[1,1,1]","[-0.18551754562017886,-0.029108951433138398]","[-1,-1,-1]","[0.0985599958774837,0.15486435425814832]","[-1,-1,-1]","[-0.11835684757381949,0.11710954457344668]","[1,1,1]","[0.02,0.02]",84.7315,0,1,1,120,1,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,84.7318,85.2316,,,85.4819,86.2874,left,0.7989,,,,,,,,,0.55,,,,,,85.2316,85.4819,86.2874,"[0.10672295265753828,-0.10397937174697547]","[1,1,1]","[-0.06316297762688868,0.056202106162232014]","[-1,-1,-1]","[-0.14043731773627416,-0.02836745080559568]","[-1,-1,-1]","[0.1224346134186028,0.1291556557883997]","[1,1,1]","[0.14536153786735873,0.06109618699477632]","[1,1,1]","[0.1925692212238732,-0.01668972811308636]","[-1,-1,-1]","[-0.17969308568713033,-0.01883459515581265]","[-1,-1,-1]","[-0.04871855211927116,-0.13558639871830333]","[1,1,1]","[0.09073263713505046,0.08240288307785183]","[1,1,1]","[0.1696100289401949,0.09369710206151588]","[1,1,1]","[-0.1115588162997936,0.010827201201501933]","[-1,-1,-1]","[-0.0823198071810732,0.14790491596356709]","[1,1,1]","[0.14904854408339308,-0.006904466246587074]","[1,1,1]","[-0.0731857886222445,-0.013493753017009823]","[-1,-1,-1]","[0.019617945985637167,0.07902873052909759]","[1,1,1]","[0.00211405337490588,0.00860285868426923]","[-1,-1,-1]","[-0.17759822670990832,0.022879331274086114]","[1,1,1]","[-0.0030850602629933234,-0.09007254037758408]","[-1,-1,-1]","[0.04359599759064196,-0.1137041922454433]","[-1,-1,-1]","[0.07559174819507485,-0.01610228015917031]","[-1,-1,-1]","[-0.10349813896938342,0.08211130162663893]","[1,1,1]","[0.03272887854476314,-0.046314324580105426]","[1,1,1]","[-0.04236129697908195,0.15112457964395282]","[-1,-1,-1]","[-0.15535527394637752,-0.06690490411503555]","[1,1,1]","[-0.009047720858852271,-0.18897071646598537]","[-1,-1,-1]","[0.09464890076224357,0.17153002727666883]","[-1,-1,-1]","[-0.09700622079376071,-0.14149196176099002]","[-1,-1,-1]","[0.015137912649329255,0.19816959096881634]","[1,1,1]","[-0.074241377215046,-0.10162758911778462]","[1,1,1]","[0.14751621677967125,-0.12384047858418841]","[1,1,1]","[0.04320364153754516,-0.16957564963812471]","[1,1,1]","[-0.185329369801206,0.07437545869581681]","[1,1,1]","[0.02,0.02]",87.3848,0,2,2,138,1,,,,,,,
,,,,,,,5faeb56b25a37f01d47d326c,682db396950c0ec3f75fd358,2025-05-21_15h03.18.345,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d556593cb38ad0a074487,,,,,,,,,,,87.385,87.8848,,,88.135,88.7114,left,0.5717,,,,,,,,,0.1,,,,,,87.8848,88.1349,88.7115,"[0.10430773155095845,-0.0662952080428679]","[-1,-1,-1]","[-0.17044897773416476,0.0070461916317298085]","[-1,-1,-1]","[0.12785563701651156,-0.11572777997604011]","[-1,-1,-1]","[0.016597388328632296,-0.1982178792085333]","[-1,-1,-1]","[0.09159166377221932,-0.13668006337459904]","[-1,-1,-1]","[0.04947471737111162,-0.09176568464841066]","[-1,-1,-1]","[-0.15759269449427424,-0.09109999686337983]","[-1,-1,-1]","[-0.12824495407554926,-0.027918322677134334]","[1,1,1]","[0.1507955283353069,-0.05383438509588146]","[-1,-1,-1]","[-0.03728252532675314,0.11281215404221047]","[-1,-1,-1]","[-0.01411166390668203,0.14692638590439644]","[-1,-1,-1]","[0.02203362292909878,0.023577521914421584]","[-1,-1,-1]","[-0.15762929154190644,0.081880229408067]","[-1,-1,-1]","[0.013722906053102828,-0.025781938935198978]","[-1,-1,-1]","[-0.05714561833681562,0.021430137695734878]","[-1,-1,-1]","[-0.05479265163988314,0.062393363125847]","[1,1,1]","[0.12078762344749185,0.07008153289841419]","[-1,-1,-1]","[-0.025409321195331437,-0.14544467785071938]","[-1,-1,-1]","[0.11356170449194776,0.13151101811347057]","[-1,-1,-1]","[-0.10422989379892258,-0.11313502117354944]","[-1,-1,-1]","[-0.05951135271008605,-0.024411968839896454]","[-1,-1,-1]","[0.1537409304354345,-0.0053534543250667]","[-1,-1,-1]","[-0.11301397294322078,0.03793942703075489]","[-1,-1,-1]","[0.061325353843858274,0.03757928199750078]","[-1,-1,-1]","[0.17534306315310771,0.03155770106115605]","[1,1,1]","[-0.10085981021542058,0.1353620672958545]","[-1,-1,-1]","[-0.0070523581681405535,0.08419089626415126]","[-1,-1,-1]","[-0.11870679294834038,-0.15233934269216007]","[-1,-1,-1]","[-0.07399102569789347,-0.1559099236925348]","[-1,-1,-1]","[0.060536288941197544,-0.020206268295463018]","[-1,-1,-1]","[0.17794492422755664,0.08969638904218175]","[-1,-1,-1]","[-0.08386939690861407,0.09409012035744521]","[-1,-1,-1]","[0.02,0.02]",89.8086,0,3,3,28,1,,,,,,,
