right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,1E-04,31.4432,space,16.4197,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,31.4432,62.6095,space,1.1363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,62.6095,66.9595,space,1.3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,66.9665,67.4594,67.4595,67.7122,67.7123,69.2095,,69.2095,70.3095,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,70.3097,70.8093,70.8093,71.0609,71.061,71.4593,right,71.4594,72.5593,0,1,1,0,1,0.8,0.3736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.5595,76.4093,space,0.8201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,76.414,76.9093,,,77.1595,77.6093,left,,,,,,,,0.55,0.4177,,,,,,,76.9094,77.1595,77.6096,"[0.020268473188482027,-0.06932309275941999]","[1,1,1]","[0.004509775942611639,0.10702288373054523]","[1,1,1]","[0.10078260073273629,0.056876908080248735]","[1,1,1]","[0.11269811746983951,0.09750601783957895]","[1,1,1]","[0.03145939559642058,0.0017443095442268755]","[-1,-1,-1]","[0.11756141616107982,0.14675778279544757]","[1,1,1]","[0.0340584329159609,-0.14944663327464267]","[1,1,1]","[-0.062400267789647336,-0.04820010211425431]","[1,1,1]","[-0.14288435468030658,0.06297891001490943]","[1,1,1]","[-0.054057728663617285,0.15235459038221882]","[-1,-1,-1]","[-0.012873981608239568,-0.00903255945311542]","[1,1,1]","[-0.17056518880926755,-0.0026198788555626446]","[1,1,1]","[0.14674124897268975,0.03749131946136825]","[-1,-1,-1]","[0.04543188466512095,0.10865171884434975]","[-1,-1,-1]","[0.09962496283661479,-0.07524023193756435]","[-1,-1,-1]","[0.16172424113577594,0.0919124883314768]","[-1,-1,-1]","[-0.1581548523670055,-0.04764658479532761]","[-1,-1,-1]","[-0.059250317968807864,0.058045230627479155]","[-1,-1,-1]","[-0.08688085912553736,0.09357016197186266]","[1,1,1]","[0.040317273554840403,0.18908429548910047]","[-1,-1,-1]","[-0.03776688656617509,-0.17539474906146882]","[1,1,1]","[0.14016483093007465,-0.015558177762171254]","[-1,-1,-1]","[-0.09660876458569823,-0.07164997015319693]","[1,1,1]","[0.045184800827542074,0.06516897580925216]","[-1,-1,-1]","[-0.06981341035666168,-0.11710073896635091]","[1,1,1]","[0.13830212683128829,-0.11839100434811768]","[1,1,1]","[0.057110841334471904,-0.11134459513769304]","[1,1,1]","[0.1794252690978011,-0.05436746708248309]","[-1,-1,-1]","[-0.016477510637644452,-0.08907044217829257]","[1,1,1]","[-0.09246986911996596,-0.17106506192693022]","[1,1,1]","[-0.09010967359464181,-0.010780291874406427]","[-1,-1,-1]","[0.08335348973435018,-0.14364280078810215]","[-1,-1,-1]","[0.02,0.02]",78.7094,0,0,0,142,1,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,78.7096,79.2092,,,79.4621,79.8426,left,,,,,,,,0.4,0.3504,,,,,,,79.2093,79.462,79.8426,"[-0.020977317143747894,0.19693503239412688]","[1,1,1]","[0.11598577215216573,-0.086499336813688]","[1,1,1]","[-0.02405836166613716,0.005836230805845804]","[-1,-1,-1]","[0.016886435399849922,0.11837300206244544]","[-1,-1,-1]","[-0.050787899008273504,-0.17549449097790984]","[-1,-1,-1]","[0.07094805610938808,-0.027614830987627518]","[1,1,1]","[-0.016712960008582575,-0.0833464493645205]","[-1,-1,-1]","[0.09520957469739096,-0.16343954209709097]","[-1,-1,-1]","[0.01682290285110809,0.16521091765201373]","[1,1,1]","[-0.10900363852079603,0.08949692653090299]","[1,1,1]","[-0.03869396860330072,-0.04313492006655668]","[-1,-1,-1]","[0.04629364703291867,-0.1287838578188292]","[-1,-1,-1]","[-0.1950669713863309,-0.031049183329486543]","[1,1,1]","[-0.1381589601766462,-0.0561522817076129]","[1,1,1]","[-0.15635853707972072,-0.003903843639775364]","[1,1,1]","[-0.17250910167199576,0.09193259610599053]","[-1,-1,-1]","[0.13834306273616598,-0.1369611684870699]","[1,1,1]","[0.05851309283073411,0.09903473233141653]","[1,1,1]","[-0.12605863063389766,0.024774437574992546]","[-1,-1,-1]","[-0.10280076858594417,0.15101812124157502]","[-1,-1,-1]","[0.0014455813560058624,-0.19891502517780782]","[-1,-1,-1]","[0.08553359981446368,0.1356284456807282]","[-1,-1,-1]","[-0.1266750146219951,-0.12870416795648498]","[-1,-1,-1]","[0.070750431414464,0.016990530826104074]","[-1,-1,-1]","[0.05473640031527267,-0.08112649172206264]","[-1,-1,-1]","[-0.028445821244465513,0.05154790962488616]","[-1,-1,-1]","[0.01380691179498289,0.032054786218179365]","[-1,-1,-1]","[-0.17161946561720176,0.05112335156795611]","[1,1,1]","[-0.061338031266755064,0.11707423725187424]","[-1,-1,-1]","[-0.04932447526623332,-0.11892745666088728]","[1,1,1]","[-0.09498623795909607,-0.03614605758922363]","[-1,-1,-1]","[0.16125572996105214,-0.071084337696616]","[1,1,1]","[0.02,0.02]",80.9426,0,1,1,40,1,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,80.9427,81.4426,,,81.6927,81.9261,right,,,,,,,,0.9,0.2047,,,,,,,81.4426,81.6927,81.9261,"[-0.03487290026589509,-0.17679315074489635]","[1,1,1]","[0.052564886093607974,0.05373240853511645]","[1,1,1]","[0.16974278994422262,0.012591878202740072]","[-1,-1,-1]","[0.1007573493423085,0.026587277205463493]","[1,1,1]","[-0.0004962465810125837,-0.002512317600757777]","[1,1,1]","[-0.037372684151597495,-0.04853607635423463]","[-1,-1,-1]","[0.04652894896460947,-0.11109203816544959]","[1,1,1]","[-0.01410865435733026,0.1496369009939325]","[1,1,1]","[-0.16597335960906665,-0.03660163253159261]","[-1,-1,-1]","[0.05202490934545422,0.14414610544055642]","[1,1,1]","[-0.1118714962482847,-0.15582028598035458]","[1,1,1]","[0.00016230410609856472,-0.11394296182477053]","[1,1,1]","[0.1494165644001371,0.05120816906540347]","[1,1,1]","[0.12649605072877962,-0.014265909721596215]","[1,1,1]","[0.009364057419697076,0.04683493232636044]","[1,1,1]","[-0.06357788850918733,0.08057607126791923]","[1,1,1]","[0.08742862835759757,-0.05980739080301939]","[1,1,1]","[-0.09061346381504194,-0.1058648552322366]","[1,1,1]","[-0.13491266425728063,0.10264956849050842]","[1,1,1]","[-0.059154004820799494,0.1661839565564696]","[1,1,1]","[-0.022299268235570092,0.09719762306002042]","[1,1,1]","[0.13019848117341482,-0.061381188666616814]","[1,1,1]","[-0.10211061352307202,0.04697985392473256]","[1,1,1]","[0.10227142196372217,-0.11049863349802617]","[1,1,1]","[-0.1776710768741136,0.04961576596870448]","[1,1,1]","[-0.12401937889607377,0.0032972061474226522]","[1,1,1]","[0.08946268296459176,0.12190039815723756]","[1,1,1]","[0.1616836529968727,-0.10195475560708879]","[1,1,1]","[0.0960971251611049,-0.17243508209791086]","[1,1,1]","[-0.04472561987715636,-0.12242622106930706]","[1,1,1]","[-0.13282213067874224,0.14741239412717316]","[1,1,1]","[-0.05609656585510976,0.12081454930511941]","[1,1,1]","[0.02,0.02]",83.026,0,2,2,190,1,,,,,,,
,,,,,,,5ff782ca9927434579cbb764,682db45e33295b87f6a446bf,2025-05-21_12h09.31.388,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,83.0261,83.526,,,83.776,84.2426,left,,,,,,,,0.4,0.4412,,,,,,,83.526,83.7759,84.2426,"[-0.02150249117175731,-0.01896684854764402]","[-1,-1,-1]","[0.017235317514431223,0.19706824600165246]","[1,1,1]","[0.04385820090154911,0.16654185517171066]","[-1,-1,-1]","[0.13010900196266875,-0.10718189730598705]","[1,1,1]","[0.19479240715490947,0.04162401909657952]","[1,1,1]","[0.06694054661227529,0.056976050895969785]","[1,1,1]","[-0.08337367141995673,0.0756219088521745]","[1,1,1]","[-0.050761270789457455,-0.04933494410151912]","[-1,-1,-1]","[-0.10607855917399427,-0.10378762743381953]","[-1,-1,-1]","[0.05968110762613311,-0.04055518027324558]","[1,1,1]","[-0.06884084805674172,-0.17903118083011157]","[1,1,1]","[-0.034570522425660354,0.028645008163872037]","[-1,-1,-1]","[0.03621260916247897,-0.1140507067353658]","[1,1,1]","[-0.17562735449107097,-0.01910493674950622]","[-1,-1,-1]","[0.13176979548246612,0.13746396620603707]","[-1,-1,-1]","[0.012052793452366973,0.028353253687232165]","[-1,-1,-1]","[0.11922773902535622,-0.15440303605757363]","[-1,-1,-1]","[0.13928996190121376,0.07762242761443458]","[-1,-1,-1]","[0.10491090214472512,-0.07400185522801074]","[1,1,1]","[0.040683472761845425,0.11458032743232094]","[-1,-1,-1]","[0.10539651850672066,0.03903478944474241]","[1,1,1]","[-0.016334544487465484,0.12471386384195679]","[-1,-1,-1]","[0.06635126065742454,-0.15189884491846745]","[-1,-1,-1]","[-0.17033100037563442,0.026579684282789364]","[-1,-1,-1]","[0.18791703910685414,-0.0025177352439850293]","[-1,-1,-1]","[-0.03784135101239533,0.07442805510477844]","[-1,-1,-1]","[0.07765924754619125,-0.1081182449508582]","[1,1,1]","[-0.1394682829392756,-0.1336423551936769]","[-1,-1,-1]","[-0.005471891975796887,-0.10641363521774452]","[1,1,1]","[-0.12465441298334098,0.11409893817507066]","[1,1,1]","[-0.07739773371154803,0.00994020076857298]","[-1,-1,-1]","[-0.025811727000999943,0.17988456939312616]","[-1,-1,-1]","[0.02,0.02]",85.3426,0,3,3,31,1,,,,,,,
