right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0005,39.35,space,24.3312,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,39.3503,70.2316,space,0.8625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,70.2318,75.0809,space,1.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,75.1193,75.598,75.5987,75.8482,75.8485,76.6158,right,0.7252,,76.6161,77.7139,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,77.7148,78.2136,78.2138,78.4642,78.4642,79.0303,left,0.5386,,79.0303,80.1323,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1329,84.6631,space,1.5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,84.7002,85.1783,,,85.4326,86.1954,left,0.7363,,,,,,,,,0.4,,,,,,85.1789,85.4325,86.1961,"[0.0250673075624912,-0.05577510123877134]","[-1,-1,-1]","[-0.12046109953382395,0.10163599674757764]","[-1,-1,-1]","[-0.010752204308941811,-0.13593661232872944]","[-1,-1,-1]","[0.08623772148398663,-0.05366382933806937]","[-1,-1,-1]","[-0.022370593722849982,-0.027730681424892482]","[1,1,1]","[0.06865112477369294,-0.12789338304039705]","[1,1,1]","[-0.12223311815076937,0.06014796342522699]","[1,1,1]","[-0.0007921598811161314,0.053515154465296415]","[-1,-1,-1]","[0.12658557417424404,0.10437413493885153]","[-1,-1,-1]","[-0.06855959598427726,0.005112534671222206]","[1,1,1]","[-0.10666396993018731,-0.08162198453043633]","[-1,-1,-1]","[-0.002929047454348075,-0.18843112769699252]","[-1,-1,-1]","[0.043349204707223414,0.18251854741442955]","[1,1,1]","[0.06514959969140315,0.10066177259719211]","[1,1,1]","[0.17875345091209977,-0.04132109279023421]","[1,1,1]","[0.10681476345311099,0.14485695931306353]","[-1,-1,-1]","[-0.14458252702386423,-0.10810434883658045]","[1,1,1]","[-0.036720671918613175,-0.10022886809978036]","[1,1,1]","[0.060806775845509954,0.05166126897473523]","[-1,-1,-1]","[0.05290445550847228,-0.17808416147177036]","[1,1,1]","[0.14842137480071566,-0.06892631196689392]","[1,1,1]","[-0.10594749289513708,-0.15066548906605964]","[-1,-1,-1]","[-0.02962283921289197,0.10511692769605259]","[-1,-1,-1]","[-0.0635964701226366,-0.1855362413151049]","[1,1,1]","[-0.17248231579056975,-0.0018977816379969318]","[-1,-1,-1]","[0.09558405020670559,-0.16036362535732185]","[-1,-1,-1]","[-0.16624173011457807,0.06468839791849966]","[-1,-1,-1]","[0.1193202356538698,-0.10610472844281654]","[-1,-1,-1]","[-0.12999378217539492,0.0007823293465486688]","[1,1,1]","[-0.12751412508910265,-0.04370985102449902]","[-1,-1,-1]","[-0.0683093935249849,0.16584275915190233]","[-1,-1,-1]","[0.16447691736854314,0.07065961320873781]","[-1,-1,-1]","[0.02,0.02]",87.2977,0,0,0,41,1,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,87.2985,87.7949,,,88.048,88.8448,left,0.7702,,,,,,,,,0.45,,,,,,87.7951,88.0479,88.845,"[0.0005453737943977435,0.17352949917308516]","[-1,-1,-1]","[-0.14220664279421918,0.08314813544919995]","[-1,-1,-1]","[-0.03219775832279492,-0.051292032884743696]","[1,1,1]","[0.1525139727753823,0.0630564205332248]","[-1,-1,-1]","[-0.0670463287363379,0.08847518899355152]","[1,1,1]","[-0.005309949881328998,0.10352399166257308]","[1,1,1]","[0.19354035471421885,-0.030575100648766333]","[1,1,1]","[0.017036378000680752,0.049878724835967586]","[-1,-1,-1]","[0.045058952063314395,-0.030068254863007113]","[1,1,1]","[-0.12739488948601213,-0.1363994747923984]","[-1,-1,-1]","[0.008582381707865336,-0.06348938225018004]","[-1,-1,-1]","[0.11763517572487663,0.15531869660037978]","[-1,-1,-1]","[-0.12276795285579693,0.1363390504706946]","[1,1,1]","[0.14034634344179137,0.0017612054754755258]","[-1,-1,-1]","[-0.1747233119915128,0.04289659178118415]","[1,1,1]","[0.007982271730389998,-0.17549099388123826]","[1,1,1]","[-0.017713553987987785,-0.1320175456873404]","[-1,-1,-1]","[0.06373900013034589,-0.152428530046436]","[-1,-1,-1]","[-0.1401638302672332,-0.09664023440836289]","[1,1,1]","[0.04796531736619018,0.0869280882862011]","[1,1,1]","[-0.06294486373739915,0.045199330838637405]","[1,1,1]","[0.18670139445612907,0.03915047316558262]","[-1,-1,-1]","[0.12152725641361682,-0.09840762480196258]","[-1,-1,-1]","[0.0918472547885525,0.01974154075392272]","[-1,-1,-1]","[-0.09492953593346136,-0.010914811464460853]","[-1,-1,-1]","[-0.043542712374758694,0.18386840036237986]","[1,1,1]","[0.05228832009465588,0.1306554337223032]","[-1,-1,-1]","[-0.06394059796526932,-0.09533563916342837]","[1,1,1]","[0.18334921258060363,-0.07665638891456529]","[-1,-1,-1]","[0.1635676898816722,0.10554889100432427]","[-1,-1,-1]","[0.042043739639966125,0.013817347759736405]","[-1,-1,-1]","[0.11721297766776084,0.11485916049033187]","[1,1,1]","[0.02,0.02]",89.9464,0,1,1,89,1,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,89.9468,90.4445,,,90.6967,91.2972,left,0.5836,,,,,,,,,0.45,,,,,,90.4445,90.6966,91.2974,"[0.02447802943576382,0.04762542838826456]","[-1,-1,-1]","[0.10108363340785134,0.051525555144722755]","[-1,-1,-1]","[0.06557193491543202,-0.09458765579843058]","[1,1,1]","[0.015850228377057164,0.1311177303840134]","[1,1,1]","[-0.11606074652931435,0.08805877912827967]","[1,1,1]","[-0.13722760021592087,0.021979902518834842]","[-1,-1,-1]","[-0.14294596051163022,-0.13792730116822238]","[-1,-1,-1]","[0.06539100148524533,-0.15524143783076835]","[1,1,1]","[0.08125636422022911,0.13079427492228538]","[1,1,1]","[-0.07906674949797236,-0.13686470109081994]","[1,1,1]","[-0.13386207725998905,-0.07184943100102317]","[-1,-1,-1]","[-0.17840859204056086,0.024566945919636166]","[-1,-1,-1]","[-0.053028747784060894,0.013074166828318683]","[1,1,1]","[0.006648766688328623,-0.165582487328377]","[-1,-1,-1]","[0.059506854880768435,-0.042951212841921514]","[1,1,1]","[-0.03867605251351952,0.0682282837342266]","[-1,-1,-1]","[-0.08260558492442246,0.06470046166330119]","[1,1,1]","[-0.18593634210736154,-0.07322087232060467]","[-1,-1,-1]","[-0.007803968143515093,0.19076952402690484]","[-1,-1,-1]","[0.15855384748272047,0.10145896717730395]","[1,1,1]","[-0.07135851469772864,-0.08454752140652705]","[-1,-1,-1]","[0.17558630046723409,-0.01909166386777515]","[1,1,1]","[-0.04268326666904104,-0.17500978512714369]","[1,1,1]","[0.12624215111428888,-0.04213062287143675]","[-1,-1,-1]","[-0.09852766433724666,0.12902241944900494]","[-1,-1,-1]","[0.13831626210339362,-0.13667062668949495]","[1,1,1]","[0.03928976464816157,0.0976543063735615]","[1,1,1]","[0.1822647347233547,-0.061788967972998834]","[-1,-1,-1]","[0.14278155562857514,0.013049879566682602]","[-1,-1,-1]","[-0.13976685674574363,0.14250369967096915]","[-1,-1,-1]","[-0.007988701724272922,-0.03712476795712268]","[-1,-1,-1]","[-0.056208419433403614,0.18297841677895496]","[-1,-1,-1]","[0.02,0.02]",92.3938,0,2,2,81,1,,,,,,,
,,,,,,,603c11e7db9042987c7180be,682db39a2ae2ce0ea5cc7930,2025-05-21_13h06.20.840,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,92.3946,92.8933,,,93.1465,93.7109,left,0.5366,,,,,,,,,0.4,,,,,,92.8934,93.1465,93.711,"[-0.1528290456417182,0.01042666276474218]","[-1,-1,-1]","[-0.0030757113271794624,-0.10198886889836538]","[1,1,1]","[0.06187729929531603,-0.1420649208399206]","[-1,-1,-1]","[0.02518476655369471,0.03432472594640881]","[1,1,1]","[0.06222798711644112,-0.015744228341113706]","[1,1,1]","[0.07784966576564525,0.1270016365340937]","[-1,-1,-1]","[0.13090410902902508,0.13054357480988849]","[1,1,1]","[0.059787669190030535,-0.07953354513313228]","[-1,-1,-1]","[0.13180753769237336,-0.06052539532919234]","[1,1,1]","[0.009699172300698888,0.09533935130463297]","[-1,-1,-1]","[0.17910925939294142,-0.0747775277170596]","[-1,-1,-1]","[-0.01592915247015341,0.017969734538904224]","[-1,-1,-1]","[-0.12794886240794562,-0.03541136639548922]","[1,1,1]","[-0.17027303308819325,-0.10110711852560407]","[1,1,1]","[0.111914084007024,0.07118821997921718]","[-1,-1,-1]","[0.06645437726547745,0.08580009463241543]","[-1,-1,-1]","[-0.14295012679926672,0.04937626072405309]","[-1,-1,-1]","[-0.04403379865849471,-0.1139407442653558]","[-1,-1,-1]","[-0.08035067740891069,-0.05774148584129961]","[-1,-1,-1]","[0.15203868356660372,-0.002576474072276732]","[1,1,1]","[-0.05918709931328639,-0.1892592042199843]","[-1,-1,-1]","[-0.051313345987262435,0.17752324204165068]","[1,1,1]","[0.0650028939169066,0.1668773851231947]","[-1,-1,-1]","[-0.07922392574243478,0.0735365247605825]","[-1,-1,-1]","[-0.1554988164848888,0.1042728929413448]","[-1,-1,-1]","[0.10197589254529364,-0.020634228133005406]","[1,1,1]","[0.1812066346790307,-0.031044832459908824]","[-1,-1,-1]","[-0.12176714411865028,-0.12015362034432579]","[-1,-1,-1]","[0.12162364753365969,-0.10074165509408198]","[1,1,1]","[-0.17900513594105263,-0.05497873230004135]","[1,1,1]","[0.18928028731347896,0.038131692246808686]","[1,1,1]","[-0.04066342796090831,0.054138932771919064]","[-1,-1,-1]","[0.02,0.02]",94.8104,0,3,3,59,1,,,,,,,
