right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0007,86.9777,space,71.9517,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,86.9785,124.7589,space,7.7583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,124.7592,129.7419,space,1.9557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,129.7681,130.258,130.2584,130.4929,130.4934,131.9918,,131.9922,133.092,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,133.0929,133.5914,133.5916,133.8424,133.8426,134.8913,left,134.8914,135.9914,0,1,1,1,1,0.2,1.0407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.9922,142.8575,space,3.8393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,142.8689,143.3572,,,143.6079,144.4411,left,,,,,,,,0.55,0.8192,,,,,,,143.3579,143.6079,144.4417,"[-0.09064077238527718,0.09198585139806134]","[-1,-1,-1]","[0.12258279926355244,0.12094966328058789]","[-1,-1,-1]","[0.06725371863842637,0.002333301604259668]","[1,1,1]","[0.15713017415534383,-0.03008012105408719]","[1,1,1]","[0.10386331895987748,-0.1615812050626924]","[-1,-1,-1]","[-0.1296601753372397,-0.018217472361663777]","[1,1,1]","[-0.06834955187063746,0.00600192416689652]","[1,1,1]","[-0.02076556138194376,0.05344971459352586]","[1,1,1]","[-0.13523148524949363,0.08506012985324168]","[1,1,1]","[-0.04355915152017896,-0.16407897710306116]","[1,1,1]","[0.024453850679927613,0.1219521237845202]","[1,1,1]","[0.07045145131753691,-0.10032487068074473]","[1,1,1]","[-0.013850536672641333,0.1458378470255492]","[-1,-1,-1]","[-0.02320783746234502,0.18616458629359403]","[-1,-1,-1]","[0.06115297694927793,0.17885821677876876]","[-1,-1,-1]","[0.09995518431000051,0.08279804684934568]","[-1,-1,-1]","[-0.09858622090452644,0.04777736005964601]","[-1,-1,-1]","[-0.105097218799315,-0.15559115680448798]","[-1,-1,-1]","[0.14805250354442384,-0.07973812019572606]","[1,1,1]","[0.11641295466603004,-0.006057765935006596]","[1,1,1]","[-0.18208458055753404,-0.07228689854144194]","[-1,-1,-1]","[-0.018587060749176553,-0.020442060165317518]","[1,1,1]","[0.15430671958149295,0.07090923742612627]","[1,1,1]","[0.024641379191565012,-0.16964486561635064]","[-1,-1,-1]","[-0.03777218561597402,-0.12189007050881015]","[-1,-1,-1]","[-0.06711236969903106,-0.047270050052147135]","[1,1,1]","[-0.1785194558195577,0.06777721482739686]","[-1,-1,-1]","[0.022027412073332545,-0.08644311508711724]","[1,1,1]","[0.00998091969321924,0.08316580024517807]","[1,1,1]","[0.07525148153150377,0.04510114265873356]","[-1,-1,-1]","[-0.08119345877594424,0.14791693314005752]","[1,1,1]","[-0.13692324229160202,-0.11579982428788918]","[1,1,1]","[0.02,0.02]",145.5415,0,0,0,138,1,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,145.5423,146.0411,,,146.2909,146.9923,right,,,,,,,,0.4,0.6914,,,,,,,146.0412,146.2909,146.9923,"[-0.09985290972100604,0.01722051431068187]","[-1,-1,-1]","[-0.054259349368608344,0.12294928852122765]","[-1,-1,-1]","[-0.05480345448847065,-0.043058638372062384]","[1,1,1]","[0.13055585776007608,-0.026716457536191063]","[-1,-1,-1]","[0.12875499879777008,0.07694110171120873]","[1,1,1]","[0.04529653513402802,-0.1474822032829628]","[1,1,1]","[-0.09179105649867898,-0.17246021371654216]","[-1,-1,-1]","[0.16650096926434527,0.021568221343525377]","[-1,-1,-1]","[0.0012652070853771383,-0.07742477609639965]","[-1,-1,-1]","[0.1711742819041806,-0.1002414561031687]","[1,1,1]","[-0.020217642698769064,-0.1170129633226571]","[1,1,1]","[-0.12009419779669621,0.1285573646729299]","[-1,-1,-1]","[-0.18583026926551235,-0.04436054497660838]","[1,1,1]","[0.054146785393989406,0.12329633263074084]","[-1,-1,-1]","[-0.14752993012559662,0.03624314204174838]","[1,1,1]","[0.02970047150835536,-0.19552461101601443]","[1,1,1]","[-0.07472033909528243,-0.10874237854129025]","[1,1,1]","[-0.048117619785533215,0.02514112222408173]","[-1,-1,-1]","[0.13417412031555004,0.14063242135144094]","[1,1,1]","[-0.10657619185693117,-0.08402801826282875]","[1,1,1]","[-0.0461926253281701,-0.15026183547159963]","[-1,-1,-1]","[0.08231990289932953,0.0292942815651855]","[1,1,1]","[-0.12971878373102272,-0.13032619003323104]","[-1,-1,-1]","[0.09403582290763188,0.11743436648462535]","[-1,-1,-1]","[0.009226187017519965,0.05223733780308552]","[-1,-1,-1]","[-0.08768204691412566,0.06560698177295363]","[-1,-1,-1]","[0.11614956033282056,-0.1022191683296509]","[-1,-1,-1]","[-0.07451779218228569,0.1646677511046268]","[-1,-1,-1]","[-0.000016026039798784235,0.17660588518240614]","[1,1,1]","[0.08537279048806394,-0.048890670331624364]","[-1,-1,-1]","[0.11507601997891356,-0.15695713340434242]","[-1,-1,-1]","[0.0428213703863951,0.18993996584077683]","[-1,-1,-1]","[0.02,0.02]",148.0912,0,1,1,48,1,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,148.0921,148.5915,,,148.8419,149.6578,left,,,,,,,,0.9,0.8011,,,,,,,148.5916,148.8419,149.6579,"[-0.02291133866386817,-0.15430897469463561]","[1,1,1]","[-0.004981306820529465,0.13530241879195548]","[1,1,1]","[-0.06366536267179897,0.06707885896941675]","[1,1,1]","[0.04326154688088479,-0.052469249018431474]","[1,1,1]","[0.061359104001626114,0.04175560258946479]","[1,1,1]","[-0.13948953044377993,0.12433188925816588]","[1,1,1]","[-0.027035531351626136,-0.007560541172413867]","[1,1,1]","[-0.12610795919354872,0.06054165875257648]","[1,1,1]","[0.06366659609989751,0.10258105249853873]","[1,1,1]","[-0.18716973234299486,-0.06587940106342628]","[1,1,1]","[0.06702845793920832,0.1561181753454628]","[1,1,1]","[-0.08467852017409376,-0.1246799624865616]","[-1,-1,-1]","[-0.056725715722790115,0.10999005987304002]","[1,1,1]","[-0.08068514555687928,-0.0018657943123202183]","[-1,-1,-1]","[0.09951492286752951,-0.04786736262955824]","[1,1,1]","[0.19161269035970796,-0.03974279672738202]","[1,1,1]","[0.07512824237078118,-0.10114262097368111]","[-1,-1,-1]","[0.1811719802839373,0.06002496181706221]","[1,1,1]","[0.13508686944926573,0.010408215592917767]","[1,1,1]","[-0.12762816306569974,-0.09056791752952106]","[1,1,1]","[-0.16003868532378054,0.026249930696658326]","[1,1,1]","[-0.14188488850699474,-0.03518174787315096]","[1,1,1]","[-0.0007176521615249909,0.19223490199860252]","[1,1,1]","[0.0860334295701077,-0.15744588685271083]","[1,1,1]","[-0.02581159510548887,-0.06842466511410242]","[1,1,1]","[-0.08787035791722986,-0.16814369424370684]","[1,1,1]","[0.017227245357335063,0.01578578740990313]","[1,1,1]","[0.03401710089790893,-0.15611612368605088]","[1,1,1]","[0.04289536817284033,0.19232847386716692]","[1,1,1]","[-0.004687685432154375,0.059623496351411925]","[1,1,1]","[0.1829997534561815,-0.07966817236826557]","[1,1,1]","[-0.09419014474108346,-0.059716758740107734]","[1,1,1]","[0.02,0.02]",150.7577,0,2,2,202,1,,,,,,,
,,,,,,,60d1e0cc196b3af97639e61a,682f0fca7f8fc3438384ae8c,2025-05-22_13h52.11.002,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,150.7583,151.257,,,151.508,152.0574,left,,,,,,,,0.9,0.5342,,,,,,,151.2571,151.5079,152.0575,"[-0.14625299909763909,-0.02190428902624461]","[1,1,1]","[0.052316820027786336,-0.1748952269954167]","[1,1,1]","[-0.029384012781638245,-0.06436176286381984]","[1,1,1]","[-0.08667721606119624,0.15641950322913784]","[1,1,1]","[-0.1355614118305947,0.02651626910838617]","[-1,-1,-1]","[-0.09300756736150204,-0.021561281838627974]","[1,1,1]","[-0.07641340774762355,-0.14659919330182586]","[1,1,1]","[-0.12421051250397494,-0.08681441024406047]","[1,1,1]","[-0.06979203795042618,0.09805398936975941]","[1,1,1]","[0.1287523753500253,0.024280986301374926]","[1,1,1]","[0.05853593497842825,0.017900373600171868]","[1,1,1]","[-0.1784835799647659,0.003666447272912759]","[1,1,1]","[-0.18783241150442556,-0.049226267132377016]","[1,1,1]","[-0.16867102780719204,-0.09213408275979636]","[1,1,1]","[-0.031683934900170616,0.14235114064591792]","[1,1,1]","[0.06920769339777547,0.07578085732380506]","[1,1,1]","[0.02876596290305582,0.07010923199261543]","[1,1,1]","[0.15227986505387725,-0.01839501978044298]","[1,1,1]","[0.016096932560444557,-0.07617514301029252]","[1,1,1]","[-0.029231129291053898,0.1971140530895259]","[1,1,1]","[0.11792870773972418,0.07818827900345797]","[1,1,1]","[0.18793183475814634,-0.0593254553788372]","[1,1,1]","[0.14570869010316265,-0.08035893995016968]","[1,1,1]","[-0.01956371425695159,0.002458122941531881]","[1,1,1]","[0.17422560640443518,0.050290958897966115]","[1,1,1]","[0.04424688050902567,-0.11507144381229312]","[1,1,1]","[-0.1221971141544003,0.0947218316450898]","[-1,-1,-1]","[0.03482327190631986,0.18837821907702143]","[1,1,1]","[-0.028408088872353878,0.07203126796050842]","[1,1,1]","[-0.17556905387710411,0.08087429964853529]","[1,1,1]","[-0.19423823884425062,0.04102374255350914]","[-1,-1,-1]","[-0.08184249117574013,-0.0666818364515803]","[1,1,1]","[0.02,0.02]",153.1569,0,3,3,188,1,,,,,,,
