right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,356.4966,space,341.4709,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,356.4983,390.1119,space,3.5907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,390.1127,401.5351,space,8.4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,401.5976,402.0408,402.041,402.2921,402.2925,402.8611,right,0.5246,,402.8618,403.959,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,403.9617,404.4574,404.4577,404.6985,404.6986,405.0107,left,0.2926,,405.0115,406.1093,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.1113,422.1117,space,12.9747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,422.1511,422.6252,,,422.8761,423.1587,left,0.2688,,,,,,,,,0.1,,,,,,422.6273,422.8759,423.1608,"[0.0137796471054531,0.07213342270833303]","[-1,-1,-1]","[0.11491108261265424,-0.03520213094945595]","[-1,-1,-1]","[0.13335725555734385,0.12045272403713224]","[-1,-1,-1]","[-0.07449403159363527,-0.11038418902985928]","[-1,-1,-1]","[0.0991301012117308,-0.07696397425357775]","[-1,-1,-1]","[0.18673734328535538,-0.049188233629180504]","[1,1,1]","[-0.13334736236839076,-0.1429986659639899]","[-1,-1,-1]","[-0.08617375077642779,0.16366281768969573]","[-1,-1,-1]","[0.004744809111660047,0.02254386619686275]","[-1,-1,-1]","[-0.1180473514180012,-0.06283547231570194]","[-1,-1,-1]","[0.08613295953740822,-0.15629102325857333]","[1,1,1]","[-0.16455993506699876,0.007104419039250996]","[-1,-1,-1]","[-0.02766181329038477,0.18992275524119545]","[-1,-1,-1]","[0.005204648944440531,-0.1386474586256745]","[-1,-1,-1]","[0.03261754953328874,0.16409144677805576]","[-1,-1,-1]","[0.1300967479035101,0.010035288316452666]","[-1,-1,-1]","[0.0021013596443462076,0.12662672122764088]","[-1,-1,-1]","[0.025637906258362014,-0.17566296641083912]","[-1,-1,-1]","[-0.12683454839036096,0.10557908434841173]","[-1,-1,-1]","[-0.03795682416980119,-0.0168440056545817]","[-1,-1,-1]","[-0.04412261223554267,0.13067684017884093]","[-1,-1,-1]","[-0.10603334536385757,-0.019910336664318493]","[-1,-1,-1]","[0.07004450839403618,0.11489736278333702]","[-1,-1,-1]","[0.1680236045867917,-0.08858010942018367]","[-1,-1,-1]","[-0.07986164427446421,0.06750927410918167]","[-1,-1,-1]","[0.04507682510719925,-0.08374900710250244]","[-1,-1,-1]","[-0.050408060501655895,-0.06561302702785299]","[-1,-1,-1]","[0.12488307535356333,-0.12665840152875688]","[-1,-1,-1]","[0.12415485974622961,0.06779997372308529]","[-1,-1,-1]","[0.10966590450084884,0.15756775335636827]","[-1,-1,-1]","[-0.006829248156033063,-0.05418366660403123]","[-1,-1,-1]","[-0.03945870362134538,-0.17046219564130544]","[1,1,1]","[0.02,0.02]",424.2582,0,0,0,7,1,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,424.2594,424.7574,,,424.9966,425.2761,right,0.254,,,,,,,,,0.1,,,,,,424.7574,424.9965,425.2764,"[-0.1443116370504862,-0.07159533813001133]","[-1,-1,-1]","[-0.1452794141465537,-0.01316713396136969]","[1,1,1]","[0.18641456388065375,-0.04905071282321479]","[-1,-1,-1]","[-0.02493726069088909,0.12292991348759744]","[-1,-1,-1]","[-0.10281334044168854,-0.04581356265092269]","[-1,-1,-1]","[0.1604897952250673,-0.10916660969202208]","[-1,-1,-1]","[0.08419735413383642,-0.11744021302814434]","[-1,-1,-1]","[0.14931659700641625,0.06799712169718757]","[-1,-1,-1]","[-0.08214676206614131,-0.11524403854795395]","[1,1,1]","[-0.018171334037799733,-0.08117680334268428]","[-1,-1,-1]","[0.009866582149230458,0.1797170023779344]","[-1,-1,-1]","[0.0636939693360798,-0.04728401786282809]","[-1,-1,-1]","[-0.12944127404636538,0.08096840690177508]","[-1,-1,-1]","[0.1751396105080374,0.008525138469969894]","[-1,-1,-1]","[-0.07678067073734895,-0.006565820415841568]","[-1,-1,-1]","[0.09936861638114351,0.053516582994800145]","[-1,-1,-1]","[-0.030742785027104088,0.02763796297789025]","[1,1,1]","[-0.01013898257953815,-0.012382496904444788]","[-1,-1,-1]","[-0.08196483634540368,0.13254380590577178]","[-1,-1,-1]","[-0.1957556432256648,-0.009300601282748606]","[-1,-1,-1]","[0.03450341274122932,-0.10496464551470544]","[-1,-1,-1]","[-0.030634647739998945,-0.17088706965942013]","[-1,-1,-1]","[-0.11894560647943342,-0.14157659010234783]","[-1,-1,-1]","[0.02950323003460842,0.005866205460805598]","[-1,-1,-1]","[0.048038851184572,0.09746027682176525]","[-1,-1,-1]","[-0.13743177861065894,0.02770577333595183]","[-1,-1,-1]","[0.00992571984727356,-0.1384884387764405]","[-1,-1,-1]","[0.1089268283748412,-0.1521459521549561]","[-1,-1,-1]","[0.06987650869098079,0.1754308183928609]","[-1,-1,-1]","[0.022149824756857776,0.05118923717699755]","[-1,-1,-1]","[0.028807710235586557,-0.17890408384839215]","[-1,-1,-1]","[-0.1141713477539383,0.15660859636983812]","[-1,-1,-1]","[0.02,0.02]",426.3748,0,1,1,14,1,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,426.3767,426.8745,,,427.1149,427.3783,left,0.2465,,,,,,,,,0.6,,,,,,426.8747,427.1148,427.3785,"[-0.032396074518509795,-0.14159254273379343]","[1,1,1]","[-0.09071846502109063,-0.15533818231077126]","[1,1,1]","[0.09255870135585767,-0.10496471168972155]","[1,1,1]","[-0.17896945887799812,0.0031322206680041045]","[-1,-1,-1]","[0.15277012650115337,-0.09342454845544232]","[-1,-1,-1]","[0.1483601244788603,-0.025100783530295333]","[1,1,1]","[-0.11816864450453551,-0.041002248801979106]","[1,1,1]","[-0.11029018673369435,0.1028872539768983]","[1,1,1]","[-0.04723543717824355,0.07680505560940146]","[1,1,1]","[0.051320750448054994,0.05446029500665495]","[-1,-1,-1]","[-0.1271561397183169,0.1535248532372837]","[-1,-1,-1]","[0.12594158660083493,0.07976217285131627]","[-1,-1,-1]","[-0.07553601926009615,0.15118911565533255]","[1,1,1]","[0.11955413566639513,0.13505799302397148]","[1,1,1]","[-0.03891894327172193,0.19259474778847355]","[1,1,1]","[-0.14382708101151898,-0.13540109708209846]","[-1,-1,-1]","[0.058081005822046575,0.13123686794040845]","[1,1,1]","[0.10216061746616238,-0.04468704026862549]","[1,1,1]","[-0.07501962828548953,-0.012548161006597806]","[1,1,1]","[-0.03496924863854644,0.14892854000695446]","[1,1,1]","[-0.013999608067824574,-0.007153907990694303]","[-1,-1,-1]","[-0.014789557988440132,-0.06965418355742359]","[-1,-1,-1]","[0.16943434078262784,0.05680670930565167]","[1,1,1]","[-0.16806599102288952,0.07967195187873291]","[-1,-1,-1]","[-0.015906780218008457,-0.1790574562004187]","[-1,-1,-1]","[0.18605228961457432,-0.06707919655224587]","[1,1,1]","[-0.17536853530460061,-0.05016142441589657]","[1,1,1]","[0.002034223622094722,0.09953603076513168]","[1,1,1]","[-0.005582808661860168,0.043230560712043495]","[-1,-1,-1]","[0.06002221027283352,0.17344418970688266]","[-1,-1,-1]","[-0.13099217218327888,0.023090705184281062]","[1,1,1]","[-0.06626497490401895,0.03418694574211693]","[-1,-1,-1]","[0.02,0.02]",428.4751,0,2,2,153,1,,,,,,,
,,,,,,,60e858204e148e07ef3ef257,682f0fbe5366b8c193d3c329,2025-05-22_14h51.45.560,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,428.4772,428.9745,,,429.2255,429.5907,left,0.3488,,,,,,,,,0.5,,,,,,428.9746,429.2255,429.5907,"[-0.024570048668643315,0.10103439128081182]","[-1,-1,-1]","[0.016555418161079836,0.10052650070808208]","[1,1,1]","[-0.13992897022076028,-0.11156641548766773]","[-1,-1,-1]","[0.021066031132207372,0.16779806227866007]","[1,1,1]","[0.03652284828339647,-0.001904029245904308]","[-1,-1,-1]","[-0.10825492248914498,0.0340949933852059]","[-1,-1,-1]","[-0.051504132189949786,0.017256967219141953]","[1,1,1]","[-0.08869303622837664,0.08221601115964526]","[-1,-1,-1]","[0.038736691522649525,-0.16854360176681296]","[1,1,1]","[0.06422355271421987,0.07767007221676389]","[1,1,1]","[0.14330173166083676,0.024831226215070706]","[1,1,1]","[0.15063132986025057,-0.06762275049958755]","[1,1,1]","[0.16048738778858554,0.10556931017625132]","[-1,-1,-1]","[0.08370040082812236,0.005329690910660857]","[-1,-1,-1]","[0.051886111381445575,0.14228078075664682]","[1,1,1]","[-0.0017636328649445186,0.026859709538921053]","[1,1,1]","[-0.14469635188882468,0.05384824047656598]","[1,1,1]","[-0.07886169053414045,-0.07170574506800721]","[-1,-1,-1]","[0.11010110464977786,-0.12557586298239937]","[1,1,1]","[-0.06827944890342856,0.15744293711304105]","[-1,-1,-1]","[-0.0016253118677866248,-0.07943992547113947]","[1,1,1]","[-0.1385334137033386,-0.03496393629111146]","[1,1,1]","[-0.04715444342614203,0.06574128783116884]","[-1,-1,-1]","[0.1048060428748819,0.15653773707054586]","[1,1,1]","[0.014285912799547277,-0.12590520067344024]","[1,1,1]","[-0.0675220324225533,-0.1466967229705863]","[-1,-1,-1]","[-0.07307312934782922,-0.020900792801276828]","[-1,-1,-1]","[0.09342375830482849,-0.03777576396369127]","[-1,-1,-1]","[0.0777178493490987,-0.09911825505396275]","[-1,-1,-1]","[-0.021883209427799095,0.1919110624970101]","[-1,-1,-1]","[0.04480100673537981,-0.06379236215888663]","[1,1,1]","[-0.16322500585985109,-0.07632337623308837]","[-1,-1,-1]","[0.02,0.02]",430.6912,0,3,3,104,1,,,,,,,
