right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0005,69.9559,space,54.9381,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,69.9561,159.2776,space,59.3112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,159.2778,166.9949,space,4.6869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,167.0075,167.5115,167.5118,167.7615,167.7616,169.2617,,169.2618,170.3615,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,170.3618,170.8449,170.845,171.0951,171.0951,171.7116,left,171.7117,172.8116,0,1,1,1,1,0.2,0.6111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.8118,180.8956,space,5.0733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,180.9035,181.3955,,,181.6457,182.229,left,,,,,,,,0.55,0.5733,,,,,,,181.3956,181.6457,182.2292,"[-0.08674349008253815,-0.08362086714198526]","[1,1,1]","[0.029177707123640793,0.15798994241006045]","[1,1,1]","[0.1765491871909885,-0.017599025005151446]","[1,1,1]","[-0.11099792590384923,0.10823578054475577]","[-1,-1,-1]","[0.11351222139901891,0.09752874954452274]","[-1,-1,-1]","[0.05886613295085082,-0.1819614050566138]","[1,1,1]","[0.0641082951826994,0.10735108007539693]","[-1,-1,-1]","[-0.04611247551115923,-0.16392741201740857]","[-1,-1,-1]","[-0.12808990180338617,-0.04873454708012646]","[1,1,1]","[0.06254434064314397,-0.038427521638871476]","[-1,-1,-1]","[-0.12736524560385976,-0.13802911991889166]","[1,1,1]","[0.19380028652671763,0.0333082697211077]","[1,1,1]","[-0.17954916727177359,0.038635778168984815]","[-1,-1,-1]","[-0.06127843013769326,0.05921071402206461]","[1,1,1]","[-0.029221549797665544,-0.09241400468314659]","[1,1,1]","[0.0006790757103070491,-0.007488029069362158]","[1,1,1]","[0.07980010637867975,0.03123100389559896]","[-1,-1,-1]","[0.07564874385226919,-0.10182486625191825]","[1,1,1]","[-0.036055449827678714,0.19308950872079372]","[-1,-1,-1]","[-0.1685542430356274,-0.06536354655500161]","[-1,-1,-1]","[0.16039364081191512,0.11070064516955692]","[1,1,1]","[-0.09573456450663377,-0.025020576127667896]","[-1,-1,-1]","[-0.122346558983063,0.045262171749967973]","[1,1,1]","[0.11124384889401341,-0.16204220252167092]","[-1,-1,-1]","[0.005815259248351351,0.06002162494445018]","[1,1,1]","[0.10723655590084714,-0.037984349277616646]","[1,1,1]","[-0.07173019373147876,0.1496842061720906]","[-1,-1,-1]","[-0.021949498937660645,0.1449705946177931]","[1,1,1]","[0.11415259657785512,0.010668021140600257]","[1,1,1]","[0.14247918062658063,-0.060494172088267746]","[-1,-1,-1]","[0.013520997074576652,0.10133589317664854]","[1,1,1]","[-0.14135369698391576,0.009320011573445447]","[-1,-1,-1]","[0.02,0.02]",183.329,0,0,0,139,1,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,183.3293,183.829,,,184.0791,184.5124,right,,,,,,,,0.6,0.4218,,,,,,,183.829,184.0791,184.5124,"[0.0536588673642517,0.050645283000054886]","[-1,-1,-1]","[0.1643176927112171,-0.04941084510634289]","[-1,-1,-1]","[0.007915608605031406,0.003749405849124181]","[1,1,1]","[-0.016209229583373983,-0.15006445654750417]","[1,1,1]","[0.10740176217706374,0.06590926703380762]","[1,1,1]","[-0.11566552206856233,-0.07371145873681949]","[1,1,1]","[-0.02570991133738553,0.03011260558513793]","[1,1,1]","[-0.08166178711038918,0.03921701891794814]","[1,1,1]","[0.04726309318536018,-0.17128466076185048]","[1,1,1]","[-0.07509318107758564,0.11382386641317907]","[-1,-1,-1]","[0.1600685076583114,0.017437861879299896]","[1,1,1]","[-0.0766397169307041,-0.12417195280947071]","[-1,-1,-1]","[0.014667235408103461,0.11024748249159087]","[-1,-1,-1]","[-0.13127046183798635,0.043202905573533575]","[-1,-1,-1]","[-0.12491995959485605,0.14644354851305358]","[1,1,1]","[-0.13331390338645838,-0.13189696966210235]","[1,1,1]","[0.12969359958993532,-0.0700237930606468]","[-1,-1,-1]","[0.01975622857780286,0.18529429408484774]","[1,1,1]","[-0.03978884793821008,0.13711249642214185]","[1,1,1]","[-0.06134770914547041,0.002069274651016999]","[-1,-1,-1]","[0.09045932747695731,0.011151199692256168]","[-1,-1,-1]","[0.06940965094192418,0.09201862770590927]","[-1,-1,-1]","[-0.0884389694306214,-0.03921881562593478]","[-1,-1,-1]","[0.0035280565665015353,-0.19027764918206383]","[-1,-1,-1]","[0.16768656972095938,0.07598118283382219]","[1,1,1]","[-0.18845586466363973,-0.0473772784426003]","[1,1,1]","[-0.144741688582097,-0.0021194507003116964]","[1,1,1]","[0.014956809595499167,-0.0818152296090156]","[-1,-1,-1]","[0.06215241206595537,0.18178520968268727]","[1,1,1]","[0.057291177920742634,-0.04401281642495224]","[1,1,1]","[0.13206697130659337,0.12808285783830975]","[1,1,1]","[-0.04000701925770027,0.09196737289437878]","[1,1,1]","[0.02,0.02]",185.6124,0,1,1,155,1,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,185.6125,186.1124,,,186.3626,186.7124,left,,,,,,,,0.1,0.3441,,,,,,,186.1124,186.3626,186.7125,"[-0.09709969999932158,0.02532603497664547]","[-1,-1,-1]","[0.10001202506856276,-0.13519926951662412]","[-1,-1,-1]","[-0.10224403913085031,-0.1391840361151109]","[-1,-1,-1]","[-0.060735865648147785,-0.1533815495334201]","[-1,-1,-1]","[0.017641083416632765,-0.007065786098605269]","[-1,-1,-1]","[0.10002449976962685,0.1559629359747055]","[-1,-1,-1]","[0.09657824259090964,0.06277899947422431]","[-1,-1,-1]","[-0.018040825762767953,0.057259051130925345]","[-1,-1,-1]","[-0.1321434609060318,-0.04556061803725509]","[-1,-1,-1]","[0.1377921327186314,0.029671556284423622]","[-1,-1,-1]","[0.08880878824201709,-0.09277778688700497]","[-1,-1,-1]","[-0.049195391874185763,0.1835292544498746]","[-1,-1,-1]","[-0.04122699284288428,0.13051329951929724]","[-1,-1,-1]","[-0.11310641466947825,0.13779491678768643]","[1,1,1]","[0.01550385556109742,-0.07440882566038672]","[-1,-1,-1]","[0.10904050649446177,-0.037766923551213145]","[-1,-1,-1]","[0.18105698798494577,-0.020650470730655516]","[-1,-1,-1]","[-0.08709287692631919,-0.04531354069088986]","[-1,-1,-1]","[0.1660387093807319,-0.07344688077192561]","[-1,-1,-1]","[0.024887130731076464,0.10289554676377519]","[-1,-1,-1]","[0.05747142904162975,-0.019000478403068122]","[1,1,1]","[-0.04351816392522566,0.01791511188942949]","[-1,-1,-1]","[0.1346441908483868,0.09869423379603327]","[-1,-1,-1]","[-0.09745066741830095,0.07313335981880002]","[-1,-1,-1]","[0.08057359487678319,0.019238050516046216]","[-1,-1,-1]","[-0.18690956864799152,0.010474962253240365]","[-1,-1,-1]","[-0.028853401743073905,-0.039492813404809556]","[-1,-1,-1]","[-0.023781263834121193,-0.09993703771414292]","[-1,-1,-1]","[0.04396925550020201,-0.1430522085110487]","[-1,-1,-1]","[0.052744967086678654,-0.18548396825382987]","[-1,-1,-1]","[-0.17115860193562604,-0.05593199364346437]","[-1,-1,-1]","[0.03776830263278779,0.033288302371945966]","[1,1,1]","[0.02,0.02]",187.8126,0,2,2,21,1,,,,,,,
,,,,,,,610299d092eb1df29a1c88b6,682db41bde37fdf647aea495,2025-05-21_13h08.58.420,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,187.8128,188.3126,,,188.5628,189.2293,left,,,,,,,,0.45,0.65,,,,,,,188.3126,188.5628,189.2294,"[-0.1283677031928785,0.09146541706156232]","[-1,-1,-1]","[-0.04362674799167091,0.16455823934198072]","[-1,-1,-1]","[-0.024063144286124757,-0.06211902906294584]","[-1,-1,-1]","[-0.11145465631931159,-0.0797192997244959]","[-1,-1,-1]","[-0.12547326966229755,-0.005488190155930611]","[1,1,1]","[0.11967325188335036,-0.025592481055823835]","[1,1,1]","[0.12999815793988906,0.05893094409315352]","[1,1,1]","[0.0421455520691503,-0.035729565887315774]","[-1,-1,-1]","[-0.05839018445682825,-0.12561820084788136]","[-1,-1,-1]","[0.01689253617949902,0.14095700327935193]","[1,1,1]","[0.08601674006834299,-0.06838540429502356]","[1,1,1]","[-0.05304194382969266,0.015635823779009777]","[-1,-1,-1]","[0.0578664691376351,-0.12006893896589403]","[1,1,1]","[0.06325502226512182,0.04950832552222805]","[1,1,1]","[0.18350340425670264,-0.05313245845997612]","[1,1,1]","[0.17931824106594466,0.027540095553007855]","[1,1,1]","[0.11189472858548155,-0.16230863352815572]","[-1,-1,-1]","[-0.001008151071307119,0.0827093352274538]","[-1,-1,-1]","[-0.09165718452609352,-0.032613412013981345]","[-1,-1,-1]","[-0.0028505660378383355,-0.16907267293120912]","[-1,-1,-1]","[-0.16962442402195424,0.06676397211013513]","[-1,-1,-1]","[-0.175847987049697,0.022498387532544538]","[-1,-1,-1]","[-0.0677681974283623,-0.08137928617367246]","[-1,-1,-1]","[0.0958049144575091,0.09228127945841767]","[-1,-1,-1]","[-0.033804909883838656,0.11753777708130939]","[1,1,1]","[-0.05866125973672245,-0.17439291043243432]","[1,1,1]","[0.16654834543456662,-0.11057905801551486]","[1,1,1]","[-0.175088048235461,-0.06992690634114722]","[-1,-1,-1]","[-0.10964654008194775,0.16629889022117228]","[-1,-1,-1]","[0.043130484089807235,-0.1706280237272697]","[1,1,1]","[0.07624626606200517,0.1575772083931882]","[-1,-1,-1]","[-0.011104144471152627,0.04041787407580247]","[1,1,1]","[0.02,0.02]",190.3293,0,3,3,60,1,,,,,,,
