right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,18.3614,space,3.3418,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,18.3616,50.1325,space,1.7628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,50.1331,53.5685,space,0.4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,53.5818,54.071,54.0716,54.3124,54.3126,55.7837,right,1.4271,,55.7844,56.882,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,56.8841,57.373,57.3733,57.6131,57.6131,57.8763,left,0.2455,,57.8763,58.9701,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.9712,63.1843,space,1.2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,63.1935,63.6881,,,63.9292,64.7189,right,0.7552,,,,,,,,,0.55,,,,,,63.6894,63.9288,64.7204,"[-0.1323431194233591,0.12318797184166617]","[1,1,1]","[0.1319015451856286,0.010782728461034603]","[1,1,1]","[-0.005783210224552553,0.16007293480602403]","[1,1,1]","[0.1152045088013574,-0.14908336304871797]","[1,1,1]","[0.13955643864008124,-0.055965659325159116]","[-1,-1,-1]","[0.02414156052603982,-0.112261562988235]","[1,1,1]","[-0.11852890051065385,-0.046097583231592736]","[-1,-1,-1]","[0.18774672357057,-0.043132463222124974]","[1,1,1]","[-0.12049944156263986,0.08093475532233924]","[-1,-1,-1]","[-0.05549415862268767,-0.09758330819883085]","[1,1,1]","[0.10758771812651757,0.04950905301745705]","[-1,-1,-1]","[-0.0583552974105893,-0.01058378630287491]","[-1,-1,-1]","[-0.1265547444367599,-0.0033706626100834347]","[-1,-1,-1]","[-0.040788900885805446,-0.19367575563166842]","[-1,-1,-1]","[-0.023777245702692955,-0.15530896084889498]","[-1,-1,-1]","[-0.08014750909425027,0.030566142334664335]","[-1,-1,-1]","[0.16266417483112325,0.0816065452407604]","[1,1,1]","[-0.06339576915430915,-0.13967711281971892]","[-1,-1,-1]","[0.013223183895720242,-0.05390292938860852]","[1,1,1]","[-0.006127377976504629,0.0090282511593981]","[1,1,1]","[0.06558063080069126,-0.03765014141023323]","[1,1,1]","[-0.005048089689349865,0.09462731136637563]","[1,1,1]","[-0.07809686835388456,0.13436167683397324]","[-1,-1,-1]","[0.05357258079357545,0.027454421125944265]","[1,1,1]","[0.07895577002100916,-0.09861354346122216]","[1,1,1]","[0.017443178260828023,-0.16576030361055297]","[-1,-1,-1]","[0.19979362603869916,0.0012798439798314008]","[-1,-1,-1]","[0.04215625406665175,0.1696750641658905]","[1,1,1]","[-0.06942696308332179,0.07447072276209205]","[1,1,1]","[0.03417502647089608,-0.010621814860695076]","[1,1,1]","[0.06815976505417162,0.10462900394567518]","[1,1,1]","[-0.1790413995175631,-0.07012156724948802]","[-1,-1,-1]","[0.02,0.02]",65.8141,0,0,0,148,1,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,65.8155,66.3181,,,66.556,66.9487,right,0.3688,,,,,,,,,0.9,,,,,,66.3182,66.556,66.9491,"[0.016331031312677102,-0.04728962220334717]","[1,1,1]","[0.18959156248236927,0.054844507710960284]","[1,1,1]","[-0.07089748108320866,0.04374538448419437]","[1,1,1]","[0.14493921495984605,-0.008980048144660456]","[1,1,1]","[0.08927995422952385,0.10065048761867501]","[1,1,1]","[0.047066912244637604,0.19145698702917677]","[1,1,1]","[-0.04763926082097735,-0.13121452259069158]","[1,1,1]","[-0.13572632630387746,0.07348732827295275]","[1,1,1]","[-0.0970699866850669,-0.15337667834363253]","[1,1,1]","[-0.0263924725328503,-0.07809467638693159]","[1,1,1]","[-0.0014060586184267937,0.18916742447498136]","[1,1,1]","[-0.017309011441632452,0.13551974512145554]","[1,1,1]","[-0.024208761849646872,-0.17988810615870832]","[1,1,1]","[-0.1937172149432143,0.011418721650688328]","[1,1,1]","[0.09864886409900327,0.15037335338977778]","[1,1,1]","[-0.10004810107584974,-0.06227685203209614]","[1,1,1]","[-0.16699607497567312,-0.08803552176202774]","[-1,-1,-1]","[-0.025098801746495328,0.07628120005614668]","[1,1,1]","[0.0859568212888485,-0.12252044249144202]","[1,1,1]","[0.017534482795427273,-0.09719459945802189]","[1,1,1]","[0.1493117824460527,0.07569127560455743]","[1,1,1]","[-0.05365845687417663,-0.02676247422705347]","[1,1,1]","[-0.10074649872683869,0.12212242698642745]","[1,1,1]","[-0.0025534667915726125,-0.1372687238851789]","[1,1,1]","[0.15072626694897678,-0.0787011654553572]","[1,1,1]","[0.10792718104708811,-0.08217230886849727]","[1,1,1]","[0.08019780911250159,0.059981982631654884]","[1,1,1]","[0.04787846625618187,-0.17820862563843642]","[1,1,1]","[0.07769745802340385,0.00769671761673236]","[1,1,1]","[-0.005559685799553687,0.01883185097578628]","[1,1,1]","[-0.146715170144153,0.015602043442696622]","[-1,-1,-1]","[0.05411880387510699,-0.060525462772740735]","[-1,-1,-1]","[0.02,0.02]",68.0423,0,1,1,194,1,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,68.0427,68.539,,,68.7955,69.1445,right,0.3309,,,,,,,,,0.9,,,,,,68.539,68.7954,69.1445,"[-0.15943975063936686,0.10503321639729812]","[1,1,1]","[0.1323469097924712,0.05426949170098266]","[-1,-1,-1]","[0.10671422606190256,-0.11750475821730857]","[1,1,1]","[-0.09522821343964834,0.005186503176891579]","[1,1,1]","[0.1635029800666236,-0.04664880091257906]","[1,1,1]","[0.188770954238045,0.012330210244067077]","[1,1,1]","[0.17854019786082753,0.05775873976203062]","[1,1,1]","[-0.02680676890404288,-0.06532615566896087]","[-1,-1,-1]","[-0.14474717395730563,-0.10314379751803797]","[1,1,1]","[0.07307842194925253,0.10926269200872048]","[1,1,1]","[-0.07984991604732078,0.06170607850258937]","[-1,-1,-1]","[-0.012404418073037209,-0.13034220508126604]","[1,1,1]","[0.0071259893939884635,0.10198490733780688]","[1,1,1]","[0.035608052721690535,0.17897248055473736]","[1,1,1]","[-0.12838274161626698,0.07029145937290031]","[1,1,1]","[-0.1033088303683077,-0.11691584382506687]","[1,1,1]","[0.07532734130400277,0.015205308107197616]","[1,1,1]","[-0.06870834198782004,-0.04104633371196393]","[1,1,1]","[-0.06484533584283195,-0.09943009993751549]","[1,1,1]","[-0.014884941976453417,0.05091274628501536]","[1,1,1]","[0.10439197860322984,-0.034613379353074715]","[1,1,1]","[-0.024827116659098022,-0.18541946594082998]","[1,1,1]","[-0.18185842120972306,-0.025921509647213375]","[1,1,1]","[-0.08751850610138365,0.11930235330622176]","[1,1,1]","[0.14079676940451025,-0.007804493257126369]","[1,1,1]","[0.08176357675325537,-0.1604580806231793]","[1,1,1]","[-0.1736114315459654,0.06304831462187463]","[1,1,1]","[-0.12810899569884787,0.14539554300938656]","[1,1,1]","[0.018270053412976016,0.017457995365034965]","[1,1,1]","[-0.042977849610582465,0.18674987708025687]","[1,1,1]","[-0.14486549577463223,0.03212748686312956]","[1,1,1]","[0.12626674359470982,0.15105476282597935]","[1,1,1]","[0.02,0.02]",70.2493,0,2,2,184,1,,,,,,,
,,,,,,,611902d49efe216a416d97dc,682db412dc2de648f9f7acaf,2025-05-21_13h25.25.726,cuing_paradigm_dot,2024.1.5,Win32,30.48780488,682d556593cb38ad0a074487,,,,,,,,,,,70.2495,70.7628,,,70.9986,71.3553,right,0.338,,,,,,,,,0.9,,,,,,70.7628,70.9986,71.3555,"[-0.07174542183878607,0.17575011166217533]","[1,1,1]","[0.04026557005654918,-0.04235665213911877]","[1,1,1]","[-0.02628608449832799,-0.0038381304241855044]","[1,1,1]","[0.12662493184944146,-0.11731550808496066]","[1,1,1]","[0.11352101941245178,0.15545817325026584]","[1,1,1]","[0.0648924367918111,0.06974407722217603]","[1,1,1]","[0.09989937043910857,-0.03301394810822382]","[1,1,1]","[-0.1053099957224565,0.10126625243917696]","[1,1,1]","[0.1412010932089367,-0.05312762603771583]","[1,1,1]","[-0.0763855444479179,-0.16223011522231323]","[-1,-1,-1]","[-0.04501258938007237,0.07423198405078155]","[1,1,1]","[0.001949383967796489,-0.09537010132948139]","[1,1,1]","[-0.013457185508289957,-0.17710984567684304]","[1,1,1]","[0.08268338017780011,-0.12468457171985005]","[1,1,1]","[0.11782897099127493,0.06969589480815234]","[1,1,1]","[0.021106925991915486,0.048747020730492904]","[1,1,1]","[0.1536871690714369,0.02227400797217986]","[1,1,1]","[-0.12779442462210946,0.018509273472364113]","[1,1,1]","[-0.09831006120489973,-0.07682292259238878]","[1,1,1]","[0.08289614816211352,0.004354155726313501]","[1,1,1]","[-0.057548259748368594,-0.08489944030276268]","[1,1,1]","[0.09132556238822483,-0.1748846055939513]","[1,1,1]","[-0.14707635069195307,0.1311683830722538]","[1,1,1]","[0.16840910315312346,0.06580561173843263]","[1,1,1]","[-0.1712738908541867,0.024848893547231726]","[1,1,1]","[0.02985354962883315,-0.1758663292258338]","[1,1,1]","[0.15225869353938237,0.113836850165069]","[1,1,1]","[0.04190633894059474,0.008545865732313336]","[1,1,1]","[0.014874513911183924,0.14483501569005322]","[-1,-1,-1]","[0.18927247492683977,-0.0016449405651122058]","[-1,-1,-1]","[-0.0059996355232173155,0.09835210531049428]","[1,1,1]","[0.17897958731533214,-0.0778840674107599]","[1,1,1]","[0.02,0.02]",72.4319,0,3,3,206,1,,,,,,,
