right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0006,46.5453,space,31.5304,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,46.546,87.4302,space,10.8717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,87.4304,94.7896,space,4.3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,94.8372,95.3036,95.3039,95.5558,95.5561,96.3392,left,0.7279,,96.3395,97.4395,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,97.44,97.9402,97.9403,98.1839,98.1839,98.7246,right,0.5173,,98.7248,99.8249,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8255,104.8138,space,1.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,104.8346,105.3186,,,105.5587,106.1825,left,0.6015,,,,,,,,,0.55,,,,,,105.3202,105.5587,106.1842,"[-0.011669169481775897,0.04596382416327189]","[1,1,1]","[0.16361128060069574,-0.03059150652345488]","[1,1,1]","[-0.07914285532285112,0.1431274901740685]","[1,1,1]","[0.14083992439323342,-0.08130851679740059]","[1,1,1]","[-0.17209169387675144,0.06281818877437438]","[-1,-1,-1]","[-0.1350811386805583,-0.06189661362705895]","[-1,-1,-1]","[0.07273045526307886,-0.13706520039275344]","[-1,-1,-1]","[-0.00415065166983222,-0.1935966955052337]","[-1,-1,-1]","[0.1417313088589675,0.10787984539518383]","[1,1,1]","[-0.1343991456132171,-0.0025574392144067943]","[1,1,1]","[-0.15062771397534072,0.12915863395361799]","[1,1,1]","[0.03521686925758425,0.04526212055500137]","[1,1,1]","[-0.18616692540884996,-0.05714506857430279]","[1,1,1]","[0.054018352434244264,-0.07278706336383912]","[-1,-1,-1]","[-0.10569283698632394,-0.11038183214808883]","[1,1,1]","[0.10448638436708423,0.083982566364522]","[-1,-1,-1]","[0.053322771087321905,-0.024334587872379937]","[1,1,1]","[0.046691242742757266,0.10080914825297858]","[-1,-1,-1]","[0.04218552705058776,0.15757610460688948]","[1,1,1]","[-0.02737714599324941,-0.050502307784986565]","[-1,-1,-1]","[0.18385650480971263,0.050065497343351986]","[-1,-1,-1]","[-0.02044404255236224,0.1779465703606841]","[1,1,1]","[-0.08319080936013505,-0.17247559167530938]","[1,1,1]","[-0.10844403650285189,0.09553357042296871]","[-1,-1,-1]","[-0.064908211496071,0.016066625506518467]","[1,1,1]","[-0.009467844951562878,0.09851106190404724]","[-1,-1,-1]","[-0.16794131610494387,-0.0931072046436181]","[1,1,1]","[-0.11770020197823079,0.04961859058463572]","[1,1,1]","[0.004951760727266891,-0.011011566433960871]","[-1,-1,-1]","[0.11561134723338065,-0.16226384940648775]","[-1,-1,-1]","[0.11886786455612242,-0.03225782975202881]","[-1,-1,-1]","[-0.026064884908622077,-0.10532204821172948]","[1,1,1]","[0.02,0.02]",107.2826,0,0,0,143,1,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,107.2832,107.7713,,,108.0109,108.4186,right,0.3884,,,,,,,,,0.4,,,,,,107.7714,108.0109,108.4186,"[0.14732033414770002,-0.04307215431249099]","[1,1,1]","[-0.005082059470924852,0.1735710008378958]","[-1,-1,-1]","[-0.0901098431906999,0.14846657174833824]","[1,1,1]","[0.0954863934204208,-0.17173504357842548]","[1,1,1]","[-0.02583643065248763,-0.004776372430261322]","[-1,-1,-1]","[-0.19518773172437923,0.0143155892547557]","[1,1,1]","[0.06439624699302066,0.1741621843428191]","[-1,-1,-1]","[0.010214868288539335,0.09037096462951545]","[-1,-1,-1]","[-0.02304048633901312,0.06705941465209776]","[1,1,1]","[-0.0005689164033837337,-0.06386327116436745]","[1,1,1]","[0.008212816266921285,-0.12868241634246186]","[-1,-1,-1]","[-0.08911112560340573,0.00021474992968014255]","[1,1,1]","[0.09534301666671569,-0.08829480553272981]","[-1,-1,-1]","[0.04496518679920838,-0.047093663741741544]","[1,1,1]","[0.12600421117381078,0.01691351079812209]","[-1,-1,-1]","[-0.03949324204961612,-0.135077515084067]","[1,1,1]","[0.02172497715656002,0.14257416297548484]","[-1,-1,-1]","[0.05983856414796053,0.038452447955968985]","[-1,-1,-1]","[-0.09032417404027604,-0.05251474344290237]","[-1,-1,-1]","[0.1773374848126689,0.05378244804116294]","[1,1,1]","[0.006091931242835121,0.030170945549003472]","[-1,-1,-1]","[-0.019970459376201486,-0.09933758751116002]","[-1,-1,-1]","[-0.17102494332956417,-0.017987950689642415]","[1,1,1]","[0.07258225195851786,-0.0040416770035229905]","[1,1,1]","[-0.09464562546411506,-0.14240507133960553]","[-1,-1,-1]","[-0.15519300254542456,-0.07568298768225515]","[-1,-1,-1]","[0.07139960510953003,0.10647954876621618]","[1,1,1]","[-0.06392962959859151,0.09598917914849645]","[-1,-1,-1]","[-0.07010161415209636,-0.10490675448889616]","[-1,-1,-1]","[-0.1469217626912847,0.07806366404049211]","[-1,-1,-1]","[0.12752673418464397,0.08077267412632001]","[-1,-1,-1]","[0.12996669644412331,-0.12355540890959234]","[-1,-1,-1]","[0.02,0.02]",109.5177,0,1,1,36,1,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,109.5181,110.0182,,,110.2602,110.7376,left,0.4576,,,,,,,,,0.45,,,,,,110.0182,110.2602,110.7378,"[0.16552397896017212,-0.07612265173428558]","[1,1,1]","[0.01371484483799401,-0.13566130731153767]","[1,1,1]","[-0.13011261399590585,0.06383310624266944]","[-1,-1,-1]","[0.056938899481977445,-0.03090957149064534]","[-1,-1,-1]","[-0.08408554152398867,0.16318666708377638]","[1,1,1]","[-0.16867938291913256,-0.06168851257847136]","[1,1,1]","[0.05359515514441985,-0.1715236900716273]","[-1,-1,-1]","[0.17120582896491998,0.07677151710826806]","[-1,-1,-1]","[-0.10070179797318246,-0.06371143584557461]","[-1,-1,-1]","[-0.17043659529441627,0.021157013948712146]","[1,1,1]","[-0.028011258236702526,0.12249999316956788]","[-1,-1,-1]","[-0.1452182090071134,-0.11512814548365496]","[1,1,1]","[0.16464267337033356,0.009400230662807037]","[-1,-1,-1]","[-0.011324120409665347,0.026480972743620507]","[-1,-1,-1]","[0.05923180602964325,0.15888630689893274]","[-1,-1,-1]","[-0.05383543965131774,0.0855319539213144]","[1,1,1]","[-0.08511137375233235,-0.13726280075846958]","[-1,-1,-1]","[0.12092665483367879,0.0035161591146620815]","[-1,-1,-1]","[-0.006635465548469556,-0.07682784125676662]","[1,1,1]","[-0.08267267085857977,0.018022335064101776]","[1,1,1]","[0.12857187674150836,0.07794874430891649]","[-1,-1,-1]","[0.11613514863416453,-0.0672764848090214]","[-1,-1,-1]","[-0.04462497669401712,-0.1328377056817376]","[-1,-1,-1]","[0.12292660085117398,-0.14701965175402448]","[-1,-1,-1]","[0.09270507231139861,-0.11695089175471728]","[-1,-1,-1]","[0.03702764875550153,0.12037747608855717]","[1,1,1]","[0.19401964890654702,-0.04191416325438335]","[1,1,1]","[-0.030639226540775274,-0.18915989375492637]","[-1,-1,-1]","[0.10987852482654464,0.16479038368544507]","[1,1,1]","[0.01592821762470463,-0.014027171941904547]","[1,1,1]","[0.042179061636478735,0.05163070757040504]","[1,1,1]","[-0.134307416075215,-0.041062241679590966]","[-1,-1,-1]","[0.02,0.02]",111.8369,0,2,2,81,1,,,,,,,
,,,,,,,6153fe02f96d83a510c3c92b,682f0fcd0f2dbc15cc257951,2025-05-22_13h52.18.053,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,111.8374,112.3375,,,112.5821,112.8391,right,0.237,,,,,,,,,0.4,,,,,,112.3375,112.582,112.8392,"[0.09009139133361986,-0.09715557095082075]","[-1,-1,-1]","[-0.08267785254912838,0.051856922852589096]","[-1,-1,-1]","[0.0895858250768762,0.07999333122421828]","[1,1,1]","[-0.12763394558026736,-0.14550981377650493]","[1,1,1]","[0.005479104380085449,-0.1250754774748549]","[1,1,1]","[-0.030028701869169415,-0.15635133164331802]","[-1,-1,-1]","[-0.14128491776635552,0.040676126625392196]","[-1,-1,-1]","[0.05667458848293303,0.04267297467777788]","[-1,-1,-1]","[-0.0025511732311961624,0.05036658846340876]","[-1,-1,-1]","[-0.07702063441748418,-0.0993723554490578]","[1,1,1]","[-0.056098478739815036,0.11461265641969597]","[-1,-1,-1]","[0.09562048738905198,0.14563838848571928]","[-1,-1,-1]","[-0.04235890654688664,0.007485760686376123]","[-1,-1,-1]","[0.10304981366058438,-0.14761298042744417]","[1,1,1]","[0.021119948904898943,0.11479431137095251]","[-1,-1,-1]","[0.000664983327739112,0.14917432745503695]","[-1,-1,-1]","[0.13730210282037672,0.00961768631368475]","[1,1,1]","[-0.03971320000310622,0.17866754475135818]","[-1,-1,-1]","[0.17810801390531278,0.0662190208683522]","[1,1,1]","[-0.11097117481002985,-0.01754357874939488]","[-1,-1,-1]","[0.1798140507152658,-0.055164005173331504]","[-1,-1,-1]","[0.07921668620626289,-0.01834626129176187]","[-1,-1,-1]","[-0.09778747785329421,0.1486556858965108]","[1,1,1]","[-0.16595869534408395,0.07481086873718647]","[1,1,1]","[-0.09893864579896726,0.09012443051869345]","[-1,-1,-1]","[0.05658966047509784,0.18833277094128323]","[1,1,1]","[0.03904311208382983,-0.057801002365878026]","[-1,-1,-1]","[0.05301546624734475,-0.11232814782063753]","[1,1,1]","[0.13579748515716764,-0.05211942540858598]","[-1,-1,-1]","[0.010205219723124574,-0.006908105464228423]","[1,1,1]","[-0.05248730428993935,-0.049100644838153344]","[-1,-1,-1]","[-0.17241182587730314,-0.05545961558713067]","[1,1,1]","[0.02,0.02]",113.939,0,3,3,49,1,,,,,,,
