right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,746.7735,space,731.7626,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,746.7738,786.6515,space,9.8554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,786.6518,789.9852,space,0.3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,790.0066,790.5013,790.5017,790.7506,790.7506,791.6007,right,0.8231,,791.6012,792.7012,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,792.7019,793.2005,793.2008,793.4527,793.4527,793.9344,left,0.4515,,793.9347,795.0339,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,795.0347,800.0347,space,1.9754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,800.0507,800.5498,,,800.8076,801.4176,right,0.5848,,,,,,,,,0.45,,,,,,800.5507,800.8075,801.4182,"[0.01977186880920399,-0.025064494268013108]","[-1,-1,-1]","[-0.06761344311291187,0.18777135679051052]","[1,1,1]","[0.11566830469245099,-0.1015908451894128]","[1,1,1]","[-0.17602267740252597,-0.08481276146924224]","[1,1,1]","[0.009668768102107204,-0.06756599598175171]","[-1,-1,-1]","[-0.09720428555328517,0.08398676382770948]","[-1,-1,-1]","[0.08811995447893581,-0.16907953973326115]","[-1,-1,-1]","[0.08587850050758869,0.13523711534640578]","[1,1,1]","[-0.07864664067632726,-0.11574230445676778]","[-1,-1,-1]","[0.006839536987752585,0.1435867385397111]","[1,1,1]","[-0.023686718866831335,-0.10071330888822742]","[1,1,1]","[-0.0889563036047513,-0.02639921613457623]","[-1,-1,-1]","[-0.186532762861179,-0.021511190474563364]","[-1,-1,-1]","[-0.08562083716118436,-0.06745513730404712]","[1,1,1]","[-0.04452888625771361,0.041637931654456284]","[-1,-1,-1]","[0.03773245506469312,0.17942869835038106]","[1,1,1]","[-0.12536453116862475,0.05014444741646221]","[-1,-1,-1]","[-0.006162270344343022,0.19568173481896356]","[-1,-1,-1]","[0.17711979617246143,0.07909882532751834]","[1,1,1]","[-0.1248435798371633,-0.006323357391526907]","[-1,-1,-1]","[0.04795892964403076,-0.11464303466765312]","[-1,-1,-1]","[0.15335202599976297,0.1126309102752377]","[-1,-1,-1]","[0.018841780520835707,0.05533079211117195]","[1,1,1]","[0.059507464672611254,-0.033560781322661444]","[-1,-1,-1]","[0.1444896235254428,-0.13156658460199622]","[-1,-1,-1]","[0.05249365434364638,0.02412448288155471]","[-1,-1,-1]","[0.05744811850507675,0.08340703642204887]","[1,1,1]","[0.18895345832545407,-0.029366608434650745]","[1,1,1]","[-0.08091549040715718,0.13270001713824767]","[-1,-1,-1]","[-0.03515769680490026,-0.016051355424667877]","[-1,-1,-1]","[-0.1407996171501888,0.13646241840148093]","[1,1,1]","[-0.10393901254122027,-0.1666694676519819]","[1,1,1]","[0.02,0.02]",802.517,0,0,0,84,1,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,802.5179,803.0169,,,803.2659,803.5167,left,0.2174,,,,,,,,,0.1,,,,,,803.0171,803.2657,803.5168,"[-0.061455023580412306,-0.013436447926847358]","[-1,-1,-1]","[-0.09656882998241005,0.1489210918077028]","[-1,-1,-1]","[-0.061927607786870925,0.12551960899335338]","[-1,-1,-1]","[0.016628355957333033,0.0012685188099079954]","[-1,-1,-1]","[-0.038981863720365474,0.16293887744479107]","[-1,-1,-1]","[-0.19473740653872443,0.0020650661252080518]","[-1,-1,-1]","[-0.018918640157614453,-0.19342976911566886]","[1,1,1]","[0.11657658800998867,-0.014285270824977991]","[-1,-1,-1]","[0.06995424164699755,-0.11114380371814644]","[-1,-1,-1]","[-0.04427156686612223,0.07111137881886019]","[-1,-1,-1]","[-0.04233158867512389,-0.12416897176125603]","[-1,-1,-1]","[0.06921198909738696,0.07913163124282169]","[-1,-1,-1]","[0.03541072366558185,0.13595725002267953]","[-1,-1,-1]","[0.02636504314507502,0.08041620446991005]","[-1,-1,-1]","[0.08202834853198811,0.12592133616356949]","[1,1,1]","[0.14505064909000148,-0.11179984752673809]","[-1,-1,-1]","[-0.11829934742203206,-0.10997949166586]","[-1,-1,-1]","[-0.10635699200525593,0.09064064134698331]","[-1,-1,-1]","[0.12002600927951436,0.05386472425967604]","[-1,-1,-1]","[0.09199745571876145,-0.1708306367239301]","[-1,-1,-1]","[0.08146589318678188,0.029433145193163823]","[-1,-1,-1]","[-0.1507519934485108,0.010514305595032926]","[-1,-1,-1]","[-0.13118876814799119,0.1283009084231277]","[1,1,1]","[0.04600106463038574,-0.07618353708669696]","[-1,-1,-1]","[-0.14321521689789032,0.07142794605289687]","[-1,-1,-1]","[0.13415940979745172,0.09749155102471486]","[-1,-1,-1]","[0.1149139930838132,0.14897227633294294]","[-1,-1,-1]","[-0.10473297997308868,-0.007221184929281892]","[-1,-1,-1]","[-0.1592060924392411,-0.04147334202185835]","[-1,-1,-1]","[0.10093025435969896,-0.0642088191032496]","[-1,-1,-1]","[-0.01545085774228842,-0.059277757668541854]","[-1,-1,-1]","[-0.061497021648819115,0.029415186425286306]","[-1,-1,-1]","[0.02,0.02]",804.6169,0,1,1,2,1,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,804.6176,805.1169,,,805.3747,805.8504,right,0.4508,,,,,,,,,0.45,,,,,,805.117,805.3747,805.8506,"[0.07094413571233278,-0.1601987814200772]","[1,1,1]","[-0.060654766117655995,0.1862550286962425]","[1,1,1]","[-0.0130677916512414,0.1318729569105852]","[1,1,1]","[0.03024245649531666,-0.15278350536487112]","[1,1,1]","[0.18059608270960276,-0.07716814954688204]","[-1,-1,-1]","[-0.14577111230450626,0.10439037461939654]","[-1,-1,-1]","[0.042350594797750614,-0.04214114693940676]","[-1,-1,-1]","[-0.07743925589485333,0.01465147457859645]","[-1,-1,-1]","[0.04724712683023242,0.183746837333871]","[-1,-1,-1]","[0.08695168743530109,0.029759531020678954]","[1,1,1]","[0.07576549713128718,0.14894332841228664]","[-1,-1,-1]","[0.18551858259853224,0.02655039385000356]","[1,1,1]","[-0.08358211172736645,-0.17323563206749115]","[-1,-1,-1]","[-0.025973207750419135,-0.008181348042336858]","[-1,-1,-1]","[0.012136556779014736,0.0705963996454703]","[1,1,1]","[0.026894656932779717,0.024009671464365136]","[1,1,1]","[-0.15799349312268765,-0.049699868510388906]","[-1,-1,-1]","[-0.19172573016348543,-0.02074488859132758]","[-1,-1,-1]","[-0.10066976014171243,0.09001184465529603]","[1,1,1]","[0.0025321893565121,0.19789508648029003]","[1,1,1]","[0.1406204362948915,-0.050981610680397055]","[1,1,1]","[-0.017618847173591915,-0.11176992612109646]","[-1,-1,-1]","[-0.13106795151523484,-0.14724958437058325]","[-1,-1,-1]","[-0.02003051654276049,-0.05630922510401291]","[1,1,1]","[0.06687061085007619,-0.08540553694921518]","[-1,-1,-1]","[0.03130848474684997,0.1430025945738162]","[-1,-1,-1]","[-0.04616360921927664,0.046356436773597014]","[-1,-1,-1]","[-0.026927075514937174,0.08976827012539829]","[1,1,1]","[0.17251337910704925,0.07791724275688479]","[-1,-1,-1]","[0.10327818262757246,0.0769701625324323]","[1,1,1]","[-0.0637978527195219,-0.09587021826114084]","[-1,-1,-1]","[-0.05655217537179105,-0.1409413159782274]","[-1,-1,-1]","[0.02,0.02]",806.9498,0,2,2,60,1,,,,,,,
,,,,,,,615e9c2b293734ccc98eb126,682db417f255cfae6d4df9a9,2025-05-21_13h08.20.684,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,806.9508,807.4497,,,807.6908,808.1005,right,0.3936,,,,,,,,,0.6,,,,,,807.4498,807.6908,808.1006,"[0.1384561466840457,-0.0998580453748098]","[-1,-1,-1]","[0.04121844415304884,-0.10066827938724515]","[1,1,1]","[0.06491159990776117,0.12740302487539482]","[1,1,1]","[0.11591633319153885,-0.16241731498805287]","[-1,-1,-1]","[0.053844911024586294,-0.05716524801784919]","[-1,-1,-1]","[0.1683526357839407,-0.02692472825253089]","[1,1,1]","[-0.06564786784449023,-0.06553225204835941]","[1,1,1]","[-0.1483248677150995,0.11809150511127242]","[-1,-1,-1]","[-0.08210841955809235,0.1409431421496165]","[1,1,1]","[0.11660550915582395,0.020251215066370086]","[-1,-1,-1]","[-0.11012263052266133,-0.09920120468576261]","[1,1,1]","[0.005853831768707656,-0.17022906404788266]","[-1,-1,-1]","[0.048799129718495995,0.023234121973000763]","[-1,-1,-1]","[-0.14386361572175727,0.0142766236192672]","[1,1,1]","[0.000010028238265875537,-0.045275386406762]","[1,1,1]","[-0.059930727569446986,0.17502195715372226]","[1,1,1]","[-0.03637727421658146,0.1324261335955629]","[1,1,1]","[-0.04809528866935448,-0.19232740379626204]","[1,1,1]","[0.16949910936584933,0.04685373920319154]","[1,1,1]","[0.10680888332972117,0.10690205129782082]","[1,1,1]","[-0.19015854955622008,0.03912281259792166]","[1,1,1]","[0.086946589068569,-0.020503018638876984]","[-1,-1,-1]","[-0.08791255131053026,-0.007260181467693997]","[-1,-1,-1]","[0.0017408003630506668,0.04824313728225078]","[1,1,1]","[0.08201686202513225,-0.12638631392567407]","[1,1,1]","[-0.04420760657431931,-0.13698327545892267]","[1,1,1]","[0.14643184798990416,0.0949713844208096]","[1,1,1]","[-0.14723530488080724,0.05914060880830644]","[-1,-1,-1]","[-0.10322622491015603,0.037012819999651496]","[-1,-1,-1]","[-0.0366849608369442,0.07861837333617834]","[1,1,1]","[-0.10963770485192012,-0.16654219804452142]","[-1,-1,-1]","[0.03964492748724204,0.07901826090720804]","[-1,-1,-1]","[0.02,0.02]",809.2001,0,3,3,174,1,,,,,,,
