right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,25.8514,space,10.8323,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,25.8527,64.0217,space,8.1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,64.0226,67.1391,space,0.0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,67.2106,67.6573,67.6587,67.8963,67.8966,68.646,left,0.6975,,68.6464,69.7435,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,69.7449,70.2373,70.2377,70.4843,70.4844,70.6791,right,0.1768,,70.6793,71.7708,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.7731,76.6172,space,1.8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,76.6601,77.1193,,,77.366,77.6548,right,0.2716,,,,,,,,,0.9,,,,,,77.1212,77.3659,77.6569,"[0.03150550254079393,0.10137332591382787]","[1,1,1]","[0.09729718659141894,0.12108516699919222]","[1,1,1]","[-0.1651498553592279,0.0616225079008385]","[-1,-1,-1]","[-0.14770695213686605,-0.0012797351399109753]","[1,1,1]","[-0.1353970770542593,-0.13761807617397465]","[1,1,1]","[0.1294623978332222,-0.13930450027717978]","[1,1,1]","[-0.07696267781263226,0.14646743454397768]","[-1,-1,-1]","[-0.0548190438577721,-0.17240412674259165]","[1,1,1]","[-0.15197681504007693,-0.09548590971473632]","[1,1,1]","[-0.1373409743000699,-0.04401255481812145]","[1,1,1]","[0.09094157189868278,0.038009266361802324]","[1,1,1]","[0.0952013928925127,0.17194182028599705]","[1,1,1]","[0.1348206145077916,0.012550038603023391]","[1,1,1]","[0.07768061104452144,-0.03966981488123602]","[1,1,1]","[-0.018941494419767016,-0.02410539144433225]","[1,1,1]","[0.056008555108017916,0.14170684707629785]","[1,1,1]","[0.03227528915214731,-0.14237815812651852]","[1,1,1]","[-0.003974294563399198,-0.06393721452014994]","[1,1,1]","[0.1218254502776011,0.07077014064178952]","[1,1,1]","[-0.0586809276843744,-0.12289085625546553]","[1,1,1]","[0.06570044384916986,-0.17288351445218858]","[1,1,1]","[-0.10035685218793527,0.022342585562646063]","[1,1,1]","[0.020896389218025696,-0.00013002094611835614]","[1,1,1]","[-0.019289476671572034,0.1548847565223638]","[1,1,1]","[0.05094270423419206,-0.08553662227979884]","[1,1,1]","[0.1645712881877111,-0.028123039009426]","[1,1,1]","[0.11774650909406699,-0.09304996236771709]","[-1,-1,-1]","[-0.024483670717608444,0.11220151217466794]","[1,1,1]","[-0.007037088549642541,0.06925032499885525]","[1,1,1]","[-0.16364851878956482,0.10991615307162751]","[1,1,1]","[-0.02477790750831867,-0.09982342248553201]","[1,1,1]","[0.1667718452893128,-0.10788930853159293]","[1,1,1]","[0.02,0.02]",78.76,0,0,0,201,1,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,78.7619,79.2535,,,79.5141,79.8882,left,0.3612,,,,,,,,,0.6,,,,,,79.2539,79.5141,79.8882,"[-0.05931572810741944,0.11436069318742292]","[1,1,1]","[-0.09775496670912932,0.10112114420196333]","[-1,-1,-1]","[0.012717575547954853,-0.13587079552675485]","[1,1,1]","[-0.028649839954265698,-0.16974832031022602]","[-1,-1,-1]","[-0.04428012307980945,-0.03732636834820919]","[-1,-1,-1]","[-0.021762890254973022,-0.08048753799247538]","[1,1,1]","[-0.1447372872443063,0.08224166508997]","[1,1,1]","[-0.11261451350753612,0.03028496300780911]","[-1,-1,-1]","[0.12063331790023903,0.07712490685532951]","[1,1,1]","[0.1018328688957038,-0.16629661983333338]","[-1,-1,-1]","[0.01666117473912264,0.11390938309038391]","[1,1,1]","[0.020510689592150404,0.181331638732575]","[1,1,1]","[0.0807023625588105,0.14323522367524075]","[-1,-1,-1]","[0.17355344448387644,-0.03862166456865036]","[-1,-1,-1]","[0.07159598867256263,-0.014387325903689636]","[-1,-1,-1]","[-0.1813381814837808,-0.08255388474908819]","[1,1,1]","[0.04914102404539792,-0.11465902795865707]","[-1,-1,-1]","[0.16472771693587723,0.003830110460338346]","[1,1,1]","[0.11237743983332266,0.024359720054175086]","[1,1,1]","[0.059827203721681335,-0.06482293617720726]","[1,1,1]","[-0.06194797987007531,-0.11347264382504428]","[1,1,1]","[0.0685135075127416,0.06251410106774252]","[1,1,1]","[-0.037733490205505954,0.1733610004336059]","[1,1,1]","[-0.11775188865503092,-0.011541140779898013]","[-1,-1,-1]","[-0.11569922919980714,-0.09440997019282943]","[-1,-1,-1]","[0.18120744982715722,0.05277845699471075]","[-1,-1,-1]","[-0.10286558465294074,0.14262234361706058]","[1,1,1]","[0.14277548611353183,0.1286639180916281]","[-1,-1,-1]","[0.02250322887533273,-0.04278104968377715]","[1,1,1]","[-0.022167490942742774,0.1301919238454455]","[1,1,1]","[-0.07884054832687429,-0.06066659841301998]","[1,1,1]","[0.10922627808472915,-0.09286383869212915]","[1,1,1]","[0.02,0.02]",80.9877,0,1,1,178,1,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,80.9895,81.4805,,,81.7267,81.9018,left,0.1615,,,,,,,,,0.6,,,,,,81.4807,81.7266,81.9019,"[-0.12481386135175347,-0.10834938986217761]","[1,1,1]","[-0.02690412517212538,0.1975492797474021]","[1,1,1]","[-0.17291974776910388,0.06653562706535221]","[-1,-1,-1]","[0.029413124290325138,-0.04697623029218545]","[1,1,1]","[-0.07520067885013342,-0.17947956796352024]","[1,1,1]","[0.08062726576998475,0.09100471844825163]","[1,1,1]","[0.026556505126878634,-0.11677420478790147]","[1,1,1]","[-0.12988795071797304,-0.049803796312128855]","[-1,-1,-1]","[0.044361826772996424,0.11449157297970211]","[-1,-1,-1]","[-0.04418445925715402,0.12960342332666377]","[-1,-1,-1]","[0.01879177267183601,-0.15675181978066935]","[-1,-1,-1]","[0.12077744720898563,-0.09284708671252537]","[1,1,1]","[-0.032623802299529554,-0.16915730374543758]","[1,1,1]","[0.14837100527125002,0.053565747703091346]","[-1,-1,-1]","[-0.12830964652197724,0.12649009187851182]","[-1,-1,-1]","[0.05414398512091981,-0.014122847483036518]","[1,1,1]","[-0.027650460570966852,0.09015192500873613]","[1,1,1]","[-0.011058755184466631,-0.08069747163481863]","[1,1,1]","[-0.1883626499083127,0.003415064170454228]","[1,1,1]","[-0.025160855342780064,0.02327153238594494]","[-1,-1,-1]","[0.08402870882698243,0.178199692458698]","[-1,-1,-1]","[0.09441420996610732,-0.007059826776005997]","[-1,-1,-1]","[0.01953920958423348,0.028808606416649764]","[-1,-1,-1]","[-0.08253210195397558,0.15131200197363173]","[1,1,1]","[0.13065182112275242,0.12075615115739184]","[1,1,1]","[-0.07271265552851938,-0.07048857391746606]","[-1,-1,-1]","[0.11638219602569663,-0.13356236224374]","[-1,-1,-1]","[-0.16664430446440257,-0.08788825949721213]","[1,1,1]","[-0.07281086650625657,-0.016524766539612996]","[1,1,1]","[-0.11178058281789513,0.04753150385048301]","[1,1,1]","[0.1773300599424469,-0.0043010696377967245]","[1,1,1]","[-0.07699000360637744,-0.136912853835239]","[1,1,1]","[0.02,0.02]",83.0016,0,2,2,171,1,,,,,,,
,,,,,,,616891e25a026e1f7262116c,682db3c38a113f423e718947,2025-05-21_12h06.50.864,cuing_paradigm_dot,2024.1.5,Win32,75.75757576,682d556593cb38ad0a074487,,,,,,,,,,,83.0036,83.4948,,,83.7425,83.8498,right,0.0943,,,,,,,,,0.9,,,,,,83.4951,83.7424,83.8499,"[-0.1699572299038843,0.002350197774793755]","[-1,-1,-1]","[0.031397342720797576,-0.04122991103728076]","[1,1,1]","[0.022120057592137376,0.051782767223406]","[1,1,1]","[0.19138976123305187,-0.03597506173634264]","[1,1,1]","[0.17412330801867196,-0.08340070103520063]","[1,1,1]","[-0.020849674139464414,-0.1020776497216815]","[1,1,1]","[0.08980820653327024,-0.0656236146067921]","[1,1,1]","[0.10224197379790888,0.06185066583522101]","[1,1,1]","[-0.07806277034918645,0.14184279097667168]","[1,1,1]","[-0.04404057454034152,0.09650794504080769]","[1,1,1]","[-0.048548542478693196,-0.1817962628305853]","[1,1,1]","[-0.1240086184509806,-0.05710519490745592]","[1,1,1]","[-0.09908972284149088,0.01757211119337216]","[1,1,1]","[-0.0007764607932244633,0.09649513741631184]","[1,1,1]","[-0.034582701295718506,0.04393997070877299]","[1,1,1]","[0.13424997349754117,0.14091781409667542]","[1,1,1]","[0.0467950456130573,0.08724553160889331]","[-1,-1,-1]","[0.12777218913662752,-0.15004635501574168]","[1,1,1]","[0.02869336323399375,-0.16039797595804847]","[1,1,1]","[-0.170895458925209,0.10038504995107833]","[1,1,1]","[-0.092261084433719,0.09987081089930702]","[1,1,1]","[0.04664671156961251,-0.00423589979182406]","[1,1,1]","[-0.1725145306102913,0.04902932031512902]","[-1,-1,-1]","[0.13852261967412602,0.010982641418845264]","[1,1,1]","[-0.0033307536387651633,-0.012409047577403647]","[1,1,1]","[-0.02880424199657398,0.19527564202998335]","[1,1,1]","[0.08127300577225541,-0.14127101919421595]","[1,1,1]","[0.16127460270759392,0.10094193373127903]","[1,1,1]","[-0.18374043826986713,-0.04274353530414093]","[1,1,1]","[0.12958777995428092,-0.08559188628851336]","[1,1,1]","[0.0721175823897677,0.1543729506917027]","[1,1,1]","[-0.09499029220179905,-0.11528691976268314]","[1,1,1]","[0.02,0.02]",84.9499,0,3,3,203,1,,,,,,,
