right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,169.1282,space,154.1032,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,169.1291,225.3452,space,26.2076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,225.3459,230.2718,space,1.9121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,230.3319,230.7874,230.7886,231.0391,231.0396,231.943,left,0.8346,,231.9432,233.0358,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,233.0371,233.536,233.5362,233.7848,233.785,234.1994,right,0.4006,,234.1996,235.2979,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.2988,247.862,space,9.5416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,247.916,248.3762,,,248.6266,248.8591,right,0.2179,,,,,,,,,0.4,,,,,,248.3775,248.6265,248.8606,"[-0.11661665683912319,0.0001896171480469298]","[-1,-1,-1]","[-0.1923152749210601,-0.0031504531849790938]","[1,1,1]","[0.0751100302383419,-0.005829387460138026]","[-1,-1,-1]","[0.09410424434926759,-0.1448278179001471]","[-1,-1,-1]","[-0.12250687576017315,0.056871167839810347]","[1,1,1]","[-0.1153966255050168,-0.14417755912623426]","[1,1,1]","[-0.023990208098021992,0.18916267904193182]","[-1,-1,-1]","[0.15988450294131482,0.07059221003451008]","[-1,-1,-1]","[0.06425040584981997,0.13912547338294087]","[1,1,1]","[-0.03767318400090627,0.07963854611778759]","[1,1,1]","[-0.061858199855699084,0.034233879198669555]","[-1,-1,-1]","[0.17366528873710435,-0.03861370057500611]","[-1,-1,-1]","[-0.004689241849204097,0.13382832673910752]","[-1,-1,-1]","[0.043028905720087766,0.18138965645018576]","[1,1,1]","[-0.12338972849897244,-0.09229565548153591]","[-1,-1,-1]","[0.025150826165941012,0.019656207266867617]","[-1,-1,-1]","[0.10776411258483104,0.0953945164266572]","[-1,-1,-1]","[0.18488159493438278,0.037886435144131515]","[1,1,1]","[-0.01805446285912882,0.04365711536851726]","[1,1,1]","[-0.06571340337252177,-0.009420787162725841]","[-1,-1,-1]","[0.1075735043424652,-0.05650952745320109]","[1,1,1]","[0.006736697897321987,-0.17458614316875096]","[-1,-1,-1]","[-0.054218773533648026,0.12093161794772714]","[1,1,1]","[-0.1652411738197351,0.09188172968736744]","[-1,-1,-1]","[0.11099644677339236,0.038787325040862165]","[-1,-1,-1]","[-0.1402869333104153,-0.04985224161168123]","[1,1,1]","[-0.17948535185009495,0.03711762652318349]","[1,1,1]","[-0.017508636798092517,-0.1374962291886347]","[1,1,1]","[0.000690726038636799,-0.015796737097195063]","[-1,-1,-1]","[0.013465168018663777,0.0838945147205808]","[-1,-1,-1]","[-0.009191783026510428,-0.07972874925671442]","[-1,-1,-1]","[0.04756936484947752,-0.088296397826956]","[-1,-1,-1]","[0.02,0.02]",249.9572,0,0,0,33,1,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,249.958,250.4561,,,250.7068,251.0045,left,0.2856,,,,,,,,,0.45,,,,,,250.4562,250.7068,251.0046,"[-0.01634243943838493,0.06633788665313131]","[-1,-1,-1]","[-0.060466144899873814,-0.1503958053710025]","[1,1,1]","[0.05966671800135029,0.028459326451763817]","[1,1,1]","[0.10427845615048231,0.13417132459516498]","[-1,-1,-1]","[-0.10210009798635572,-0.039958901469322704]","[1,1,1]","[0.189929561318365,-0.011696912688978302]","[1,1,1]","[0.10341688991766573,0.08061321592550057]","[-1,-1,-1]","[0.04319409660961012,0.10302698031173192]","[-1,-1,-1]","[-0.042796360372237725,0.11126762749445662]","[1,1,1]","[-0.00696053722691337,0.18018462379093383]","[-1,-1,-1]","[-0.09908684048861134,0.07046787371617134]","[-1,-1,-1]","[0.10022714123715044,0.006167095603888746]","[-1,-1,-1]","[-0.016881395530007916,-0.019946007179166076]","[1,1,1]","[0.15275070609897115,0.06711346589118163]","[-1,-1,-1]","[0.045166467908539315,-0.02162084133968764]","[-1,-1,-1]","[-0.12223808952274662,-0.12728303506694832]","[-1,-1,-1]","[0.07747826744487583,-0.15954421352294004]","[-1,-1,-1]","[0.026276524831244066,-0.09102668051256534]","[1,1,1]","[-0.0713665766856213,0.14443774246897909]","[1,1,1]","[0.1311778152299526,-0.03997299159098841]","[1,1,1]","[-0.022843960018199955,-0.16714174501011977]","[-1,-1,-1]","[0.05877544047964323,0.15428939920728676]","[-1,-1,-1]","[-0.14090211756584947,-0.06475934382743934]","[1,1,1]","[0.022148814716875312,-0.15871233757153796]","[1,1,1]","[-0.1520863919644063,0.1267953077226227]","[1,1,1]","[-0.09306543012140167,-0.09532807912086744]","[1,1,1]","[0.1314039663514108,-0.10199251531779496]","[-1,-1,-1]","[0.14604135128572657,0.12293280643288836]","[-1,-1,-1]","[0.08764243404626972,-0.07953740560354912]","[-1,-1,-1]","[0.1713694245941062,-0.04928109412517695]","[1,1,1]","[-0.17569545683577803,-0.03519217136326192]","[-1,-1,-1]","[-0.19876531817851312,0.016395879996331925]","[-1,-1,-1]","[0.02,0.02]",252.1041,0,1,1,79,1,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,252.1051,252.6025,,,252.8539,253.1525,right,0.2832,,,,,,,,,0.45,,,,,,252.6026,252.8538,253.1526,"[0.053247496193527345,0.18842443526750238]","[-1,-1,-1]","[-0.03665936886457896,0.025885316649292323]","[1,1,1]","[0.025918632804060524,0.11617822321187299]","[1,1,1]","[0.12611979866415607,0.07333136577616642]","[-1,-1,-1]","[-0.09778040821746768,0.022967923010837665]","[1,1,1]","[-0.049382112909736806,0.1428927461490429]","[-1,-1,-1]","[0.027765105330138335,0.06783943186037877]","[1,1,1]","[0.15623949064589082,-0.11639265989769192]","[-1,-1,-1]","[0.19912242281490433,0.010266345632795012]","[-1,-1,-1]","[0.14755218062216255,-0.07371534100103588]","[-1,-1,-1]","[0.000399847537419463,-0.14113826260730977]","[-1,-1,-1]","[-0.08239960777426951,-0.17660854572457782]","[1,1,1]","[-0.05952271437660169,-0.1274794889551582]","[-1,-1,-1]","[0.06533751906534166,-0.020927263698439922]","[-1,-1,-1]","[-0.051238756936912086,0.19104136864999552]","[1,1,1]","[-0.18803722988229166,0.011565634543912809]","[1,1,1]","[0.09713057028946316,-0.1299994791241394]","[-1,-1,-1]","[0.09116233112846461,0.04299478410964059]","[1,1,1]","[-0.03089368691860504,-0.07054563801233671]","[1,1,1]","[0.011381845810581343,-0.028631415052033683]","[-1,-1,-1]","[-0.10373023602066331,0.06822870870764]","[-1,-1,-1]","[-0.16730220037931026,-0.10605327083172421]","[1,1,1]","[-0.13955842641333252,-0.1400656547706707]","[1,1,1]","[0.13720665682074235,0.14409007112148287]","[-1,-1,-1]","[-0.08410451816594186,-0.06739338810460913]","[1,1,1]","[0.08368550880176565,0.09677881528676921]","[1,1,1]","[-0.14421575095241715,0.04128666461904887]","[-1,-1,-1]","[0.05870802790377665,-0.06185961814618512]","[-1,-1,-1]","[-0.14741739474490215,-0.0502028166961136]","[1,1,1]","[0.14984358201698902,-0.03239507787186183]","[-1,-1,-1]","[-0.10840949952041046,-0.10437760315152632]","[-1,-1,-1]","[0.14385077496819454,0.011187582816971145]","[-1,-1,-1]","[0.02,0.02]",254.2499,0,2,2,86,1,,,,,,,
,,,,,,,616ff0dbee6ec2aa5875e5cf,682f0fda633c76280214f3ca,2025-05-22_13h52.52.793,cuing_paradigm_dot,2024.1.5,Linux x86_64,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,254.251,254.7502,,,255.0002,255.4488,right,0.4339,,,,,,,,,0.4,,,,,,254.7502,255.0001,255.4489,"[0.10526647986175866,0.05328035812925722]","[1,1,1]","[0.07954573261335524,0.12491455786531137]","[1,1,1]","[0.07458409100376057,-0.1776163619082249]","[-1,-1,-1]","[0.16626991116634238,-0.04395538634337309]","[-1,-1,-1]","[-0.10004334160728755,-0.10996096997678734]","[-1,-1,-1]","[-0.15054342249723995,-0.1312234526480219]","[1,1,1]","[-0.04597691636820039,0.056714456677891774]","[-1,-1,-1]","[-0.163057593703579,-0.0458048124499071]","[-1,-1,-1]","[-0.10358517169927794,-0.06860258784445535]","[-1,-1,-1]","[0.1136035782344616,-0.15033064517736877]","[-1,-1,-1]","[-0.10497183819562504,-0.01387191471480436]","[-1,-1,-1]","[-0.1557753810221949,0.11776033785185923]","[1,1,1]","[-0.04452893517799339,-0.022725719257512017]","[-1,-1,-1]","[0.15646710387157528,0.003070351793110039]","[1,1,1]","[-0.18551426520584433,0.0264070256728141]","[-1,-1,-1]","[0.030455073734297285,-0.13484264508612867]","[-1,-1,-1]","[-0.15560970565587748,0.07517221576757534]","[-1,-1,-1]","[0.029158087426922084,0.1499518706919463]","[1,1,1]","[0.021834309339574132,-0.1860604951108345]","[-1,-1,-1]","[-0.1094877524188578,0.1557950160247127]","[1,1,1]","[0.026624534494129284,-0.05308427737496839]","[-1,-1,-1]","[-0.04170099205598714,0.10336251452298997]","[1,1,1]","[0.16835459164666972,0.05822391277037773]","[-1,-1,-1]","[0.01875813423615577,0.07746737506612002]","[-1,-1,-1]","[-0.030164184359775335,-0.1181166373805419]","[1,1,1]","[-0.0612453169660228,-0.16706559356093306]","[-1,-1,-1]","[0.04021259570876408,-0.006034766326000423]","[-1,-1,-1]","[0.04094824845385054,0.19397263031483314]","[1,1,1]","[-0.06886862139650933,0.15431540889878848]","[1,1,1]","[0.09827853462926758,0.005555541770744446]","[1,1,1]","[-0.012427014065764198,0.019594241244745146]","[1,1,1]","[0.06026541231278096,-0.08799461601575029]","[-1,-1,-1]","[0.02,0.02]",256.5477,0,3,3,59,1,,,,,,,
