right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0002,19.9474,space,4.9194,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,19.9484,51.0239,space,1.0572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,51.0246,55.8063,space,1.756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,55.8527,56.3225,56.3236,56.5744,56.5748,57.4059,right,0.781,,57.4064,58.5053,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,58.5068,59.005,59.0051,59.2563,59.2564,59.6216,left,0.3561,,59.622,60.7215,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7225,64.3883,space,0.6472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,64.4238,64.904,,,65.1566,65.6374,left,0.467,,,,,,,,,0.9,,,,,,64.9054,65.1564,65.6386,"[0.022642880092529374,0.046118611051338666]","[1,1,1]","[-0.08264696416468036,0.06915636325662886]","[1,1,1]","[-0.005905325947153619,-0.1049727255380671]","[-1,-1,-1]","[-0.0194447714626638,0.07416636120267794]","[1,1,1]","[-0.194977762318994,-0.005994862304984914]","[1,1,1]","[0.029361612104667954,0.09348169571415073]","[1,1,1]","[0.16765457313008073,0.07520663967383721]","[1,1,1]","[-0.04201373271171657,-0.01847268033152345]","[1,1,1]","[0.11661711277433857,0.011973595060363645]","[-1,-1,-1]","[-0.1460350437194749,-0.021675224203801614]","[1,1,1]","[-0.06843052979508929,-0.08389996391766281]","[1,1,1]","[-0.14211395543366326,-0.09478608653926983]","[1,1,1]","[0.07571554698390763,0.07295009734002353]","[1,1,1]","[-0.11363194349820471,0.133216120977999]","[1,1,1]","[-0.09911420806779887,0.17169570791528088]","[1,1,1]","[0.015982248704147432,-0.17491464662354422]","[1,1,1]","[-0.05187308261144645,0.1838449102307511]","[1,1,1]","[0.020291278412656707,0.13371427281639944]","[1,1,1]","[0.03712369977086648,-0.1195223199864039]","[1,1,1]","[0.020691688510110554,-0.020265148478083386]","[1,1,1]","[0.11545454543944365,-0.08090737402344293]","[1,1,1]","[-0.1321372582724312,0.039133541789998755]","[-1,-1,-1]","[0.09629174049821614,-0.14619463215550013]","[1,1,1]","[-0.0798042483468533,0.007977257939739413]","[1,1,1]","[-0.05295144478594675,0.12596360901750067]","[1,1,1]","[-0.15321958806184813,0.10872612825040555]","[1,1,1]","[0.17218340044106784,-0.013735976540933366]","[1,1,1]","[-0.18900360873500036,-0.05164432308147304]","[1,1,1]","[0.014470485047028542,0.18160191662359332]","[1,1,1]","[0.06682370857542184,-0.07304524606947568]","[1,1,1]","[0.09292846609703992,0.17210571837486963]","[1,1,1]","[0.14466126286240258,-0.12162799478073562]","[1,1,1]","[0.02,0.02]",66.7374,0,0,0,191,1,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,66.7384,67.2369,,,67.4881,68.0703,right,0.5673,,,,,,,,,0.5,,,,,,67.2371,67.4881,68.0704,"[0.045334857968174734,-0.020372474538443514]","[-1,-1,-1]","[0.14892859468639,-0.01564538640700223]","[1,1,1]","[-0.13405582742094957,-0.12737009335090038]","[1,1,1]","[0.15933808056320045,0.06972554191056743]","[-1,-1,-1]","[-0.02397502029173238,-0.11029500398481618]","[1,1,1]","[-0.06670381005753752,0.021417412271882916]","[-1,-1,-1]","[-0.11813527308029223,0.07750718272841989]","[-1,-1,-1]","[0.0011757013397809876,0.04358561694063969]","[1,1,1]","[0.03405783484505108,-0.059032927059839355]","[1,1,1]","[0.0670548772987346,-0.13795812843461258]","[-1,-1,-1]","[0.0909181223203504,-0.04079811575522419]","[-1,-1,-1]","[0.07481822590689803,0.14890297545120676]","[1,1,1]","[0.1197479462277489,0.08472382278228306]","[1,1,1]","[-0.07293355719350555,0.14629146528075923]","[1,1,1]","[0.02783697554098789,-0.1898542908207762]","[1,1,1]","[0.17971210640176638,-0.04389567619295505]","[-1,-1,-1]","[-0.0761483202213956,-0.08837806747200216]","[-1,-1,-1]","[-0.006102114362254902,-0.0342925062900721]","[1,1,1]","[-0.1308873083732775,-0.08638057744478884]","[-1,-1,-1]","[-0.06396751178968726,0.06830053327350295]","[1,1,1]","[0.10576719471763997,0.045213856474992396]","[-1,-1,-1]","[-0.08675759476279042,-0.1535029253033288]","[-1,-1,-1]","[0.12661302542226444,-0.11756821669603827]","[1,1,1]","[-0.022459861042003634,0.1949870341469175]","[-1,-1,-1]","[-0.031915350699663676,-0.1717849119481566]","[1,1,1]","[-0.1909667993790301,0.05002828261519374]","[1,1,1]","[-0.018764431087008066,0.1406793083018416]","[-1,-1,-1]","[0.13734456530549688,-0.06834427015069797]","[-1,-1,-1]","[0.033866652542190484,0.17401972388939435]","[-1,-1,-1]","[0.07938543017932186,0.0963557837875927]","[1,1,1]","[-0.14143429655641346,-0.04675022594179551]","[1,1,1]","[0.1495586622477583,0.12563458642570893]","[-1,-1,-1]","[0.02,0.02]",69.17,0,1,1,108,1,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,69.1708,69.67,,,69.9212,70.3533,right,0.4186,,,,,,,,,0.45,,,,,,69.67,69.9211,70.3535,"[0.1585026422207698,0.014198999862705931]","[1,1,1]","[-0.07252677774769464,0.08171503009880875]","[-1,-1,-1]","[-0.06157947565068276,-0.049451382252594815]","[-1,-1,-1]","[0.028913026654755966,0.07281953034010842]","[1,1,1]","[0.15189737627280206,0.1201169757079847]","[1,1,1]","[0.004921787796884606,-0.13422689845376998]","[-1,-1,-1]","[0.12153908783156092,-0.1327020704049843]","[1,1,1]","[-0.09200060467475535,0.12852929266978202]","[-1,-1,-1]","[-0.197143555167476,-0.026380211279678118]","[1,1,1]","[0.041007444090408095,-0.062409269871791795]","[-1,-1,-1]","[0.08745602016688878,0.025900953876492192]","[-1,-1,-1]","[0.03230909033675695,0.021343339760898007]","[-1,-1,-1]","[0.07998132609491108,-0.030620446088183737]","[-1,-1,-1]","[0.15074076466462216,-0.05385140210171821]","[-1,-1,-1]","[0.09386498864944559,-0.17307630650160266]","[1,1,1]","[-0.0352048726979896,-0.18965455086406724]","[-1,-1,-1]","[0.08699671747695854,0.13120283845150624]","[-1,-1,-1]","[-0.13654121666589633,0.145948743146144]","[-1,-1,-1]","[-0.184044325488641,-0.07135717992775842]","[-1,-1,-1]","[0.006507520878535599,0.11770416701262683]","[1,1,1]","[-0.06341709585419987,0.16028462430884097]","[1,1,1]","[-0.06608756252688178,-0.09410079651970872]","[-1,-1,-1]","[0.12380387744002302,-0.023354734133594422]","[1,1,1]","[-0.14906537187806018,0.07365044477235985]","[-1,-1,-1]","[-0.06002548083466992,0.042229519696348326]","[-1,-1,-1]","[0.11579552816385273,0.09559169534693199]","[1,1,1]","[-0.10236442066283852,-0.14674309164317942]","[1,1,1]","[-0.01733937381229447,-0.09349031096513295]","[-1,-1,-1]","[-0.19264091140320097,0.03009636786365328]","[-1,-1,-1]","[-0.11317135173512796,0.0010357669486819343]","[1,1,1]","[-0.035539227317364565,-0.001776770584550549]","[1,1,1]","[0.043825646278689685,0.18796777446922713]","[1,1,1]","[0.02,0.02]",71.453,0,2,2,78,1,,,,,,,
,,,,,,,62fd14d7b1e0729dc8aadb79,682f0fbed7e01ca94ba20eb4,2025-05-22_12h53.49.913,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,71.4541,71.9533,,,72.2038,72.653,left,0.4395,,,,,,,,,0.6,,,,,,71.9535,72.2037,72.6531,"[0.11712471182370957,-0.07871866770865245]","[1,1,1]","[-0.18847115040719722,-0.06278029440597709]","[1,1,1]","[-0.04862409017287852,0.19362517562225975]","[1,1,1]","[-0.08386621310335117,0.09687535083108226]","[1,1,1]","[-0.033943982413679664,0.11406711619583941]","[-1,-1,-1]","[0.0034125857921224008,-0.03410313696287182]","[-1,-1,-1]","[-0.13485429808184526,0.06605225219833051]","[1,1,1]","[-0.09114836474299413,-0.07750196064538019]","[-1,-1,-1]","[-0.15955492800890347,0.11829306066415846]","[-1,-1,-1]","[-0.04082259746959615,-0.1714611544734138]","[-1,-1,-1]","[-0.09792460625145623,-0.17090714711780955]","[-1,-1,-1]","[0.18975431626328074,0.05231328008620518]","[1,1,1]","[0.17825881434835344,0.010660204611378347]","[-1,-1,-1]","[-0.022723191905468173,0.05965385246269082]","[-1,-1,-1]","[0.119121780181465,-0.15337579213848213]","[1,1,1]","[0.07448185802805979,-0.07971282075609178]","[-1,-1,-1]","[0.09170050189767445,0.024062836548338396]","[-1,-1,-1]","[-0.03465363512202105,-0.05101410045549623]","[-1,-1,-1]","[-0.0827102299084578,0.04443985699510793]","[1,1,1]","[-0.07168684548460387,0.14769746369755865]","[1,1,1]","[-0.13493182167795503,0.021720356107142926]","[1,1,1]","[-0.04406507856626027,0.017787518616844314]","[1,1,1]","[-0.15249317186456746,-0.025658751996437665]","[1,1,1]","[0.04324026854440662,-0.16204538287143982]","[1,1,1]","[0.0837080045626329,0.07117958831788997]","[-1,-1,-1]","[0.014234863785215218,0.14361982600807358]","[1,1,1]","[-0.005143237578708952,0.1983462400124257]","[-1,-1,-1]","[0.1277679773903776,0.09287963283496195]","[1,1,1]","[0.19052467200586315,-0.04937329263214285]","[1,1,1]","[0.07032976264660548,0.15241867261683345]","[1,1,1]","[-0.08293548701578532,-0.020196049869085148]","[1,1,1]","[0.030927430915228836,0.04389615858637459]","[1,1,1]","[0.02,0.02]",73.7525,0,3,3,166,1,,,,,,,
