right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,62.255,space,47.2485,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,62.2554,106.3655,space,14.0934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,106.3659,111.4989,space,2.1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,111.5338,112.0152,112.0157,112.266,112.2662,113.7653,,113.7656,114.865,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,114.866,115.3644,115.3646,115.6158,115.6159,116.2483,right,116.2484,117.3481,0,1,1,1,1,0.2,0.6242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.349,122.5318,space,2.1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,122.5535,123.048,,,123.2991,123.9144,right,,,,,,,,0.4,0.6074,,,,,,,123.0486,123.299,123.9149,"[-0.04663167496648287,-0.17984287258976464]","[-1,-1,-1]","[-0.041472074061007655,-0.04701179184446887]","[1,1,1]","[-0.09101383368984566,-0.14102001141780005]","[1,1,1]","[0.19079989303165,-0.05065809597099047]","[-1,-1,-1]","[0.06017473455349292,0.0818119523458733]","[-1,-1,-1]","[-0.07586115487309414,0.0013231280661714544]","[1,1,1]","[-0.16843051853423444,-0.1018116827659379]","[-1,-1,-1]","[-0.05482377597413456,0.1148521843047461]","[-1,-1,-1]","[0.08993681651799981,0.02216690963045147]","[1,1,1]","[0.13175480783766944,-0.06518828903230343]","[-1,-1,-1]","[-0.12159155935355404,0.052234362326146686]","[-1,-1,-1]","[-0.015684191114595968,0.14245046979969092]","[1,1,1]","[0.02549182954874542,0.1346622145855015]","[-1,-1,-1]","[0.05840789657989411,-0.07813966272523482]","[1,1,1]","[0.05110403740795288,0.011664711444527163]","[-1,-1,-1]","[0.04492678872179017,-0.16205737618307395]","[-1,-1,-1]","[-0.04410384021341093,-0.1037789373118576]","[1,1,1]","[-0.1738145763265287,-0.02075896387264053]","[-1,-1,-1]","[0.11479289126569016,-0.15735829422459413]","[1,1,1]","[-0.17998545350826703,0.058550175213837985]","[1,1,1]","[0.008169482683761291,0.00810079119959075]","[-1,-1,-1]","[-0.1379359142945306,0.10716082196090483]","[1,1,1]","[0.020228633493521487,0.0847667115270214]","[-1,-1,-1]","[0.003608377046899097,-0.12875725344252287]","[1,1,1]","[-0.08303402456750657,0.0719073909008195]","[-1,-1,-1]","[0.16211810764987516,0.11001816028239589]","[-1,-1,-1]","[-0.07259503375853199,-0.07499724669955511]","[-1,-1,-1]","[0.02271795864334381,-0.03269805830028461]","[-1,-1,-1]","[-0.12643839291000816,-0.09459268969686346]","[1,1,1]","[-0.14277512748683927,-0.056273783514890645]","[1,1,1]","[0.14323785953863807,-0.12512184945783375]","[-1,-1,-1]","[0.18730754793334192,-0.005349063048267573]","[-1,-1,-1]","[0.02,0.02]",125.0146,0,0,0,52,1,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,125.0151,125.5145,,,125.7653,127.1973,left,,,,,,,,0.5,1.4141,,,,,,,125.5146,125.7651,127.1974,"[-0.17759974975893422,-0.024738311449986543]","[-1,-1,-1]","[-0.12568810119918125,0.07153502579740599]","[1,1,1]","[-0.11232119587729854,-0.006409730727782621]","[1,1,1]","[0.09722259787299338,0.13126326772343713]","[1,1,1]","[0.14555113033573194,0.04584178281081388]","[-1,-1,-1]","[0.03730828630906641,0.04372101153719325]","[1,1,1]","[-0.09899701118293543,0.10254380878315464]","[-1,-1,-1]","[0.08578196329058488,-0.14174570449890803]","[1,1,1]","[0.0408142962712794,-0.10589275145485044]","[-1,-1,-1]","[-0.0385169081614571,0.11786376215552788]","[1,1,1]","[-0.07210084826765983,-0.03746207379643948]","[-1,-1,-1]","[-0.09025160392491959,-0.1766558200405879]","[-1,-1,-1]","[0.04507251806960606,-0.006511687357620853]","[-1,-1,-1]","[0.04930454172053136,-0.06591251591385659]","[1,1,1]","[0.03252783937879308,-0.16680814104927646]","[1,1,1]","[0.15259681228453015,-0.08949279377080589]","[1,1,1]","[0.0989553096033756,-0.09348675683736866]","[1,1,1]","[-0.11208695180479984,-0.05295761848487112]","[1,1,1]","[0.09507041621440161,0.017536744169264]","[1,1,1]","[0.12111794980392512,-0.018079570395058434]","[-1,-1,-1]","[0.1493890186077442,-0.1322023569218965]","[1,1,1]","[-0.06576172192330694,0.004970319313721684]","[-1,-1,-1]","[-0.0008205743113235501,0.0816200246533178]","[-1,-1,-1]","[-0.08089326672171032,0.05868726500440962]","[1,1,1]","[0.005838351822755038,0.14058543563393397]","[1,1,1]","[-0.07534879457078181,0.17328154280039856]","[-1,-1,-1]","[-0.0027729374444133417,-0.01558469094499004]","[-1,-1,-1]","[-0.000012710619496078383,-0.11835827072829061]","[-1,-1,-1]","[0.0014474425255309202,-0.05672237736086622]","[1,1,1]","[-0.12270013139149777,-0.11368075694705422]","[-1,-1,-1]","[0.05180824325974181,0.13233804052675086]","[-1,-1,-1]","[-0.03238148404637707,-0.1551562695827833]","[-1,-1,-1]","[0.02,0.02]",128.2978,0,1,1,106,1,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,128.2983,128.7976,,,129.0486,130.0643,right,,,,,,,,0.6,1.0066,,,,,,,128.7976,129.0484,130.0644,"[0.06778281087008779,0.12320495192904256]","[1,1,1]","[-0.14697592326264167,0.08348885469011272]","[-1,-1,-1]","[0.1027504994996447,-0.06856278617632566]","[1,1,1]","[-0.17180833977863655,0.03139628452013771]","[1,1,1]","[-0.04442542090933357,-0.08227557464072772]","[1,1,1]","[0.0063371030279039545,-0.06502947955605862]","[1,1,1]","[-0.1350861253240263,-0.0337795978717891]","[1,1,1]","[-0.1057593049192828,-0.13125316664052333]","[-1,-1,-1]","[0.17874842584791364,0.04126379352832483]","[1,1,1]","[-0.06503552653706157,0.07968245511612224]","[-1,-1,-1]","[-0.15366496787347947,-0.0948353794577768]","[1,1,1]","[0.005515679378774356,-0.1217834518476889]","[1,1,1]","[0.14487704963789863,-0.04214591059428952]","[1,1,1]","[-0.034227904022634786,0.13960573930987472]","[-1,-1,-1]","[0.09434700261486927,-0.1585437737058572]","[1,1,1]","[-0.1893935974667273,-0.016456030547149406]","[-1,-1,-1]","[0.16815255000464793,-0.0770413655551615]","[-1,-1,-1]","[0.01786689306447549,0.09703535920303212]","[-1,-1,-1]","[0.033561920990133685,0.009500424348318322]","[1,1,1]","[0.03537398748187036,-0.09270269895875438]","[-1,-1,-1]","[-0.08346153292561478,-0.09548313090754294]","[-1,-1,-1]","[0.09854015143560545,0.15809701865315343]","[1,1,1]","[-0.008009273295284388,0.049486781965318666]","[-1,-1,-1]","[-0.11853848945062748,0.1404285291046072]","[1,1,1]","[-0.05534086285550629,-0.13287796013202577]","[1,1,1]","[-0.06113361415963868,0.0014147073434197764]","[-1,-1,-1]","[0.1513439273005971,0.1232144905516824]","[1,1,1]","[0.13556598173072917,-0.1287613533933351]","[1,1,1]","[0.18332439732671085,-0.014487784384552544]","[-1,-1,-1]","[-0.1145085581084197,0.025689620934804744]","[1,1,1]","[0.12937340587515367,0.06020847035842269]","[-1,-1,-1]","[0.0747279929818049,0.03432443610149255]","[1,1,1]","[0.02,0.02]",131.1642,0,2,2,176,1,,,,,,,
,,,,,,,645f2d6b7d2fa796bd75c72e,682f037fefeec23a91fd4c0b,2025-05-22_11h59.26.591,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,131.165,131.6642,,,131.9146,133.4141,,,,,,,,,0.9,,,,,,,,131.6642,131.9146,133.4143,"[-0.027916746104248265,-0.15129786033509224]","[1,1,1]","[-0.03328588160461959,0.09778145008162899]","[1,1,1]","[0.15537147754306588,-0.11997409118382932]","[1,1,1]","[0.06326046107893185,-0.13861392211374746]","[1,1,1]","[0.005241937490465132,0.1198272145849858]","[1,1,1]","[0.070772722060849,0.10122514524142605]","[1,1,1]","[0.12689343969838238,0.11734110708343301]","[1,1,1]","[-0.06763205425397997,-0.05243398656448332]","[1,1,1]","[-0.018973399872172735,-0.19334807906340468]","[1,1,1]","[-0.1729591907380357,0.06900653861336283]","[1,1,1]","[-0.02927587665934782,-0.08129249181803187]","[1,1,1]","[-0.08185225801577274,0.14713489863982807]","[1,1,1]","[-0.100018784428321,-0.09672383609977117]","[1,1,1]","[0.16522681269414013,0.04625361291259547]","[1,1,1]","[0.04413660754495314,-0.06422926066023477]","[1,1,1]","[0.08763727590572054,0.0013044746336353967]","[1,1,1]","[-0.17326412996937787,-0.027743499453223068]","[1,1,1]","[0.051917574922222556,0.1587955388721793]","[1,1,1]","[0.09845799675691874,-0.1611822551692591]","[1,1,1]","[0.14023527064456914,-0.06958204078663605]","[-1,-1,-1]","[-0.09093258083808231,0.08455037461854024]","[1,1,1]","[-0.08153506769755862,0.0369856752919353]","[1,1,1]","[-0.12655649259489662,0.048722593384856565]","[1,1,1]","[-0.12922550234810423,-0.06591572815409642]","[-1,-1,-1]","[-0.13170046473239533,0.0027066798747500077]","[1,1,1]","[0.023883913116852062,-0.13060053450571]","[1,1,1]","[0.04787519665428912,-0.1858238924398408]","[1,1,1]","[0.08199712184431035,0.054301182078148394]","[1,1,1]","[0.1551082259286828,-0.02434292657488555]","[1,1,1]","[-0.1649183902956775,-0.09321256322299376]","[1,1,1]","[-0.08660723724532893,-0.008252771263774626]","[-1,-1,-1]","[-0.03914270630642307,0.03389173042324152]","[1,1,1]","[0.02,0.02]",134.5144,0,3,3,200,1,,,,,,,
