right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0008,86.48,space,71.3451,0.0014,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,86.4804,141.4893,space,24.9241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,141.4899,152.5177,space,8.0046,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,152.558,152.9635,152.964,153.1998,153.2001,154.4316,right,1.0299,,154.4318,155.5899,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,155.5906,155.9739,155.9739,156.7588,156.7589,157.797,,,,157.797,158.7796,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.7802,174.2438,space,12.3519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,174.3394,174.7351,,,174.9469,175.9897,right,0.8468,,,,,,,,,0.55,,,,,,174.7354,174.9468,175.9903,"[0.026694024289364012,0.14546148670446768]","[-1,-1,-1]","[-0.09934117375540041,-0.018697039974915102]","[1,1,1]","[-0.07286192592658569,-0.10935742850595633]","[-1,-1,-1]","[-0.07364122132493463,-0.0645712131559478]","[-1,-1,-1]","[-0.009873126521744824,-0.05022973409332041]","[1,1,1]","[-0.12973875782222233,0.140012152404557]","[-1,-1,-1]","[0.03702643606073581,-0.1830192751971646]","[1,1,1]","[-0.13275077248412692,0.06507739877349064]","[-1,-1,-1]","[-0.007271525748544928,0.08928778082864963]","[1,1,1]","[-0.18449195330992998,-0.018153182974188744]","[1,1,1]","[0.10442343400196323,-0.0875637493857255]","[1,1,1]","[-0.04787908266928059,0.07282634520465758]","[-1,-1,-1]","[-0.06044318992494293,0.023048151578760813]","[-1,-1,-1]","[0.03317674671579413,-0.0211222806369875]","[1,1,1]","[0.1649534559227022,0.051781041795788206]","[1,1,1]","[0.09531310669377496,-0.13644478961092635]","[-1,-1,-1]","[-0.12105766532259842,-0.1134049434930576]","[1,1,1]","[-0.06009778155492059,-0.17821047317570915]","[1,1,1]","[0.0941087207579784,0.058625179383069645]","[-1,-1,-1]","[0.09162993953326458,-0.021413340225402134]","[-1,-1,-1]","[-0.04750880173815798,0.17808296416265032]","[-1,-1,-1]","[-0.17444588363966496,0.07842725351284295]","[1,1,1]","[0.1190204173552796,0.14734781772308156]","[1,1,1]","[0.008017742151852346,0.04356514299628486]","[1,1,1]","[0.1740397066557018,-0.0013626584555881682]","[-1,-1,-1]","[-0.18798004364957002,0.027036987096209886]","[1,1,1]","[0.13567125728930535,-0.04220244580284362]","[-1,-1,-1]","[-0.0952753494151409,0.04515541063635956]","[1,1,1]","[-0.031943424531957046,-0.08367341669443747]","[1,1,1]","[-0.005684817639736813,-0.17847543064508622]","[1,1,1]","[0.18754224592337684,-0.058922450190610855]","[-1,-1,-1]","[-0.10496659787346335,0.09745962264117593]","[1,1,1]","[0.02,0.02]",176.9744,0,0,0,133,1,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,176.975,177.3649,,,177.5793,178.6324,right,0.8581,,,,,,,,,0.9,,,,,,177.365,177.5792,178.6324,"[0.08485092985409133,0.041429210044556034]","[1,1,1]","[0.00948967613848109,0.03869427574632941]","[-1,-1,-1]","[-0.09487110964868753,0.11668226580304185]","[1,1,1]","[0.18210360182340635,-0.015870718208909094]","[1,1,1]","[0.03664527791270576,-0.13713199735697307]","[1,1,1]","[-0.031101692916364193,0.08541768965607088]","[1,1,1]","[-0.18453243383420503,0.015162164397095565]","[1,1,1]","[0.1201318141871158,0.09739009865816448]","[1,1,1]","[0.09265877847457946,-0.04710828344325726]","[1,1,1]","[0.08310055355650017,0.17130073503849488]","[1,1,1]","[-0.09102302459225488,0.06288414309456622]","[-1,-1,-1]","[0.17696138982039933,-0.07862651382536506]","[1,1,1]","[-0.10578639296272241,-0.12225760986030249]","[1,1,1]","[0.17270087803392115,0.08572974735870063]","[-1,-1,-1]","[-0.014436660515790454,-0.011313960322649492]","[1,1,1]","[-0.1574475112978055,-0.08647833979723474]","[1,1,1]","[-0.11303152845532258,-0.05628670786397107]","[1,1,1]","[0.1540145488346901,-0.12716622318041101]","[1,1,1]","[0.02782417085591977,-0.04718185730298603]","[1,1,1]","[0.1466747460651192,0.018677929508497636]","[1,1,1]","[-0.0608223513220837,-0.04519116038756102]","[1,1,1]","[-0.18099007231646044,-0.03789570595742088]","[1,1,1]","[-0.08187176813236884,0.18039355036430052]","[1,1,1]","[-0.14615954921882413,0.1363595628887819]","[1,1,1]","[0.0980429244004753,-0.11168890129871269]","[1,1,1]","[-0.08294115993826229,-0.006654042245846193]","[1,1,1]","[-0.0504656160461264,-0.14702169044453584]","[1,1,1]","[0.06154986114985101,-0.02149220207231183]","[1,1,1]","[-0.07515117709653807,-0.08268389801071786]","[1,1,1]","[0.01480576723444431,0.17777909433183983]","[1,1,1]","[0.1212733800183769,0.15397885176253687]","[1,1,1]","[-0.02329367710015279,-0.0819761419296849]","[1,1,1]","[0.02,0.02]",179.6416,0,1,1,204,1,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,179.6423,180.0458,,,180.2657,180.9283,left,0.439,,,,,,,,,0.1,,,,,,180.0461,180.2656,180.9283,"[-0.10181382800830908,-0.10293390433696373]","[-1,-1,-1]","[-0.1846309846157441,0.003199131055156969]","[-1,-1,-1]","[-0.1174110183782721,0.06430536114416453]","[-1,-1,-1]","[-0.027976135423803467,0.05903404883392249]","[-1,-1,-1]","[-0.08809701849756171,0.014981731468728285]","[-1,-1,-1]","[0.03703333845776507,-0.03622116499933597]","[-1,-1,-1]","[-0.11944047105060217,-0.05595154208458812]","[-1,-1,-1]","[0.11319274575568941,0.14283902774653365]","[-1,-1,-1]","[-0.027727267534991922,-0.12609774693852968]","[-1,-1,-1]","[0.08280738091230193,-0.12243205872159471]","[-1,-1,-1]","[0.06534904645695165,0.1575579957003761]","[1,1,1]","[-0.1337097042738424,0.1284637648151943]","[-1,-1,-1]","[0.035025597827053126,-0.08715181424736859]","[-1,-1,-1]","[0.10086242719843441,-0.169609781331067]","[-1,-1,-1]","[0.10044355117555281,-0.025881786354040145]","[-1,-1,-1]","[0.08064343325412111,-0.0748879061796603]","[-1,-1,-1]","[0.061800957301664856,0.033152837492613794]","[-1,-1,-1]","[-0.0342264089396835,-0.06149009454360037]","[-1,-1,-1]","[0.15657688450819238,0.12142373263170424]","[-1,-1,-1]","[0.12003077177915165,0.05827622668933161]","[-1,-1,-1]","[0.005404469088209274,-0.15232372514778353]","[-1,-1,-1]","[0.02374215801401834,0.11878734930570908]","[-1,-1,-1]","[-0.10046150684503666,-0.14879635064154634]","[-1,-1,-1]","[-0.18713461758384156,-0.05952587025046408]","[-1,-1,-1]","[-0.07467610483241177,0.17774280537875622]","[-1,-1,-1]","[-0.019066818765192957,-0.011014736622339337]","[-1,-1,-1]","[-0.0552244257005604,0.10003583441401709]","[1,1,1]","[-0.11744568005224257,-0.012997481644285313]","[1,1,1]","[0.023770635839116462,0.1924444213278223]","[-1,-1,-1]","[0.17799697864468703,0.05288895697591283]","[-1,-1,-1]","[-0.15830419194409875,-0.12094709219987707]","[-1,-1,-1]","[0.059720494613499396,-0.15841114937836076]","[-1,-1,-1]","[0.02,0.02]",181.9063,0,2,2,2,1,,,,,,,
,,,,,,,6526a0e62c605cc42d9a52e4,682db39b28b0edef4571b5a8,2025-05-21_13h19.09.356,cuing_paradigm_dot,2024.1.5,Win32,5.452562704,682d556593cb38ad0a074487,,,,,,,,,,,181.9068,182.2916,,,182.5047,183.5395,right,0.8401,,,,,,,,,0.5,,,,,,182.2918,182.5046,183.5395,"[0.0019201283656074953,0.006201366762030313]","[1,1,1]","[0.05628426430150209,0.16289549764896932]","[1,1,1]","[-0.0032252558534701086,0.05127237233161805]","[-1,-1,-1]","[-0.08434977002388803,-0.16838903227715576]","[-1,-1,-1]","[-0.1918988929107543,-0.04341326507674419]","[-1,-1,-1]","[0.11170190331969562,0.007805333675726528]","[1,1,1]","[0.04506925369473606,-0.057177089880649366]","[1,1,1]","[0.1545152835712075,-0.06566170528093816]","[1,1,1]","[0.08512603473834297,-0.08789488451671926]","[1,1,1]","[-0.10276403544504822,0.06271563759117081]","[1,1,1]","[-0.06628646193971806,0.017957945202551225]","[-1,-1,-1]","[-0.05476375624121442,-0.10375913016348401]","[1,1,1]","[0.0737443543312107,0.053980319786772965]","[1,1,1]","[-0.0858766228061035,-0.031710897766488964]","[-1,-1,-1]","[0.01055079024902374,0.16065206744615013]","[1,1,1]","[0.016620780431196924,-0.19368049255863623]","[-1,-1,-1]","[0.1902266509383652,-0.03797265313110914]","[1,1,1]","[-0.010569280476650648,-0.12772929638899322]","[-1,-1,-1]","[0.08669161156625349,-0.027919426157796357]","[1,1,1]","[0.14072642648144668,-0.023890337823300627]","[-1,-1,-1]","[-0.029285962216634046,-0.02986603961240386]","[1,1,1]","[-0.0372480044963067,0.17159864232696492]","[-1,-1,-1]","[0.032985888679315706,0.08970050286803499]","[1,1,1]","[0.07459758373150646,-0.14483803310216434]","[1,1,1]","[-0.04400480691567227,0.11395797752456627]","[-1,-1,-1]","[-0.14069573894447343,-0.021392452190653444]","[-1,-1,-1]","[-0.16346520390401395,0.07895861503578663]","[-1,-1,-1]","[0.032060762254990785,-0.13585727278396098]","[-1,-1,-1]","[0.002655038116235765,-0.06807334830563444]","[1,1,1]","[0.17986475597002946,0.044906976494501975]","[-1,-1,-1]","[-0.15099451328890978,-0.1279918803885174]","[-1,-1,-1]","[0.12970778560828883,0.14467393705835488]","[-1,-1,-1]","[0.02,0.02]",184.5708,0,3,3,108,1,,,,,,,
