right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0001,94.8737,space,79.8605,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,94.8739,170.9757,space,46.0894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,170.9759,180.8606,space,6.8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,180.8837,181.3759,181.3762,181.6263,181.6264,182.2101,right,0.554900001,,182.2102,183.3093,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,183.3098,183.81,183.8101,184.0605,184.0606,184.3101,left,0.232799999,,184.3101,185.4091,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.4096,212.6446,space,24.2056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,212.6585,213.1599,,,213.4114,213.6443,right,0.2173,,,,,,,,,0.55,,,,,,213.1601,213.4113,213.6446,"[-0.15624182635519676,-0.0746171685704541]","[1,1,1]","[0.08534115271522755,0.05152390899872399]","[1,1,1]","[-0.014163466650563564,0.0015285047144208818]","[-1,-1,-1]","[0.0825539924921041,0.09989556760340042]","[-1,-1,-1]","[-0.03727747058540743,-0.11611465270093779]","[1,1,1]","[0.12149931173213854,0.07291163327775248]","[1,1,1]","[-0.10210961654372797,-0.12101948386287108]","[-1,-1,-1]","[-0.0727852022145983,0.13980143513732077]","[-1,-1,-1]","[0.15990557398996696,-0.05760084282306471]","[1,1,1]","[-0.025257335846666513,0.18701897803740486]","[1,1,1]","[0.08549943939734776,-0.16506332054722764]","[-1,-1,-1]","[0.05731690707028107,-0.06481969618153985]","[1,1,1]","[0.035542212529308094,-0.13902922789940575]","[-1,-1,-1]","[0.006013037359385177,-0.0656687174387427]","[-1,-1,-1]","[-0.179156506865676,0.07634926754613372]","[-1,-1,-1]","[-0.18247736934426878,0.0285551934061188]","[1,1,1]","[0.12397039998905794,-0.12140196709219678]","[1,1,1]","[-0.11489110169419582,0.14273475065271893]","[1,1,1]","[-0.0133178617383508,-0.152032228347547]","[-1,-1,-1]","[0.015511718068106764,0.04075097484946462]","[-1,-1,-1]","[0.12068148574048508,-0.004359014086842279]","[1,1,1]","[0.034563188965771846,0.12176986943637644]","[1,1,1]","[-0.1427051936072921,0.013428704422842682]","[1,1,1]","[-0.046112825060476426,-0.07187956515922478]","[-1,-1,-1]","[0.03543868522352721,-0.022910658389170908]","[1,1,1]","[-0.03148961440634575,0.08870045891581772]","[1,1,1]","[0.16662960873535929,0.041413724168857614]","[1,1,1]","[-0.11193194596063191,0.06787496924943172]","[-1,-1,-1]","[-0.170765078578649,-0.03490438797842174]","[1,1,1]","[0.07621010279532459,-0.12435468901005885]","[-1,-1,-1]","[0.06808669196841946,0.15992182717973596]","[1,1,1]","[-0.071827454760799,-0.03347431752325306]","[-1,-1,-1]","[0.02,0.02]",214.7444,0,0,0,127,1,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,214.7449,215.2443,,,215.4946,216.2267,right,0.7168,,,,,,,,,0.55,,,,,,215.2443,215.4946,216.2267,"[-0.09492891084991642,-0.14797352671755315]","[1,1,1]","[-0.15746387817959423,-0.026310347191643043]","[-1,-1,-1]","[-0.02989366397384945,0.053902190013678394]","[1,1,1]","[-0.03377731818964726,0.1409410647058746]","[-1,-1,-1]","[0.012366152746469001,0.05672348133772169]","[-1,-1,-1]","[0.16470573372788763,0.043598245501728534]","[1,1,1]","[0.12241762179901239,-0.06987041145983686]","[-1,-1,-1]","[-0.1477050770147534,0.10548861149285882]","[1,1,1]","[0.09689628302871263,-0.11542229842761378]","[1,1,1]","[-0.1148273791390749,-0.07222971201171034]","[1,1,1]","[-0.08446359748147661,0.012012659962404516]","[-1,-1,-1]","[0.1595768886646166,-0.09381310994509927]","[-1,-1,-1]","[0.02242697843593351,-0.013133791798900922]","[-1,-1,-1]","[0.00983784646032005,0.15437775323439612]","[1,1,1]","[-0.17168662031004345,-0.09076763916615378]","[1,1,1]","[-0.06147220979181969,0.09442123623992434]","[1,1,1]","[0.057647325050496634,0.056769942554945524]","[1,1,1]","[0.16153942394656165,0.11532737816268396]","[1,1,1]","[0.0596796578054862,-0.1853430959703924]","[1,1,1]","[-0.032819123938954475,0.19047502428382193]","[-1,-1,-1]","[0.04435448678377681,-0.1102811052132458]","[-1,-1,-1]","[-0.15147522312068942,0.03930734472822275]","[1,1,1]","[0.1698478346201667,-0.03497644255094617]","[1,1,1]","[0.06037367796990475,-0.05467680119094036]","[-1,-1,-1]","[0.05895421453167089,0.10269908328259054]","[1,1,1]","[0.06326004531387769,-0.010159097902271534]","[-1,-1,-1]","[-0.10369305303565422,0.048823151478913654]","[-1,-1,-1]","[0.0700388158454111,0.15063657957185164]","[-1,-1,-1]","[-0.10627492709962581,0.10800198233483743]","[1,1,1]","[0.1130420986036604,0.16076799526783037]","[-1,-1,-1]","[-0.03670929358220584,-0.14189447227534951]","[1,1,1]","[-0.06964273159622772,-0.04426847076104544]","[1,1,1]","[0.02,0.02]",217.3277,0,1,1,139,1,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,217.328,217.8277,,,218.0771,218.6107,left,0.5173,,,,,,,,,0.55,,,,,,217.8277,218.0771,218.6107,"[0.05321331926682448,-0.18518266765600522]","[-1,-1,-1]","[-0.01046893529071965,-0.16025875658171296]","[-1,-1,-1]","[0.16220301702790546,0.11393795770300719]","[1,1,1]","[-0.11737574953120918,-0.11086171740787447]","[-1,-1,-1]","[0.0005086397428257687,0.024127416553407468]","[-1,-1,-1]","[0.05164552019164912,-0.04114656838481297]","[1,1,1]","[-0.1312195378118797,0.06899113521411213]","[-1,-1,-1]","[0.057863822363738895,0.07251000599160401]","[1,1,1]","[-0.03991463489231459,0.061401559805064065]","[-1,-1,-1]","[-0.061051819589662236,-0.1504648828972763]","[1,1,1]","[0.10701121474024526,-0.15071805162255683]","[1,1,1]","[-0.03098875384548707,-0.10016431282081263]","[-1,-1,-1]","[0.1953493082665919,-0.035117798202651436]","[1,1,1]","[0.011963366893175507,0.15543038925481614]","[1,1,1]","[-0.02251439368200534,0.10232778363612434]","[1,1,1]","[-0.11375085711163618,0.03147486331188366]","[1,1,1]","[0.12405984632939245,0.00001840720091628029]","[1,1,1]","[-0.05605628719733334,-0.016979394141937096]","[1,1,1]","[0.1328862011650845,-0.06522152215387518]","[-1,-1,-1]","[-0.17364707468621543,-0.02503923433991112]","[1,1,1]","[-0.00010770806823990219,-0.07381786807311079]","[1,1,1]","[-0.07922531016418283,0.1781759354362954]","[1,1,1]","[0.14322340732506356,-0.10780547038141784]","[-1,-1,-1]","[0.07433074021139098,-0.08049359104691477]","[-1,-1,-1]","[0.06601690584466674,0.11849028990819901]","[1,1,1]","[-0.12664780612485846,-0.012918076570663866]","[-1,-1,-1]","[0.03493685739575289,-0.10792526720914002]","[1,1,1]","[-0.11182647368326007,-0.15654353638788548]","[1,1,1]","[-0.09211817747034598,0.12560311283758452]","[1,1,1]","[0.08823885218580389,0.036014732877307526]","[-1,-1,-1]","[0.021628159882768824,0.0921333347193105]","[-1,-1,-1]","[-0.007536046679263738,-0.022765604047664683]","[-1,-1,-1]","[0.02,0.02]",219.7101,0,2,2,121,1,,,,,,,
,,,,,,,65b9564041e20d793a9c0195,682db3b1ad879a3b02bc4ef5,2025-05-21_13h12.25.239,cuing_paradigm_dot,2024.1.5,MacIntel,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,219.7105,220.2111,,,220.4604,220.9438,right,0.4667,,,,,,,,,0.55,,,,,,220.2111,220.4604,220.9438,"[-0.1356517624180753,0.119094581068157]","[1,1,1]","[0.01721561616151808,0.10289074532926823]","[-1,-1,-1]","[0.0639983826082341,0.06995181423821106]","[1,1,1]","[0.08341401376035888,-0.0684718458586164]","[-1,-1,-1]","[-0.19882795383922713,-0.010574779786963822]","[-1,-1,-1]","[-0.017009005370366717,-0.185055575324797]","[1,1,1]","[0.14906958366974377,-0.12798453797901013]","[-1,-1,-1]","[-0.06144190972167252,-0.0589798332640881]","[1,1,1]","[0.028856668427032883,0.18733922996254104]","[-1,-1,-1]","[-0.03625342692936977,-0.13514505935921767]","[-1,-1,-1]","[-0.1296243382457413,0.0684135351735157]","[1,1,1]","[0.004853633981615866,-0.020972743678172572]","[-1,-1,-1]","[0.13889967403464912,-0.0193643145188475]","[1,1,1]","[-0.18817298526332704,0.0435856799241025]","[1,1,1]","[0.1289654049279651,0.08578046710423307]","[1,1,1]","[-0.09355360459401514,0.13601423732334758]","[1,1,1]","[-0.0899376380407011,0.06292908751976425]","[1,1,1]","[0.1541809033483566,0.04011170640784193]","[-1,-1,-1]","[-0.17457622616463128,0.09403969320548343]","[1,1,1]","[0.1739165568978745,0.08583078517078682]","[-1,-1,-1]","[-0.09629756614524165,-0.08652729759974333]","[1,1,1]","[-0.012947867817902213,0.18093295345461388]","[1,1,1]","[0.01757346879062475,0.035619417595764674]","[-1,-1,-1]","[0.058855631205374986,-0.01695581467030227]","[-1,-1,-1]","[-0.06954672302250091,-0.019591643270168643]","[1,1,1]","[0.09603246492206903,-0.12989017936932445]","[-1,-1,-1]","[0.07516369724000083,0.1664500877224614]","[1,1,1]","[-0.17072501869992823,-0.08654102674104427]","[1,1,1]","[0.04257573436043938,-0.1481749118307834]","[-1,-1,-1]","[0.040854221225400354,-0.10235073521093051]","[1,1,1]","[-0.036288773857091706,0.04565285358973103]","[1,1,1]","[-0.049241232540627636,0.0871955109041155]","[-1,-1,-1]","[0.02,0.02]",222.0435,0,3,3,126,1,,,,,,,
