right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0001,58.0039,space,42.9988,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,58.0039,121.8552,space,33.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,121.8554,128.0633,space,3.1943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,128.0832,128.5713,128.572,128.8213,128.8215,129.2129,left,0.3732,,129.213,130.3129,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,130.3137,130.8127,130.8128,131.0628,131.0629,131.521,left,0.4502,,131.5211,132.6208,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.6212,141.4216,space,5.7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,141.4362,141.9292,,,142.18,143.0962,right,0.9074,,,,,,,,,0.9,,,,,,141.9295,142.1799,143.0968,"[0.03995403430894473,0.057812214878098435]","[-1,-1,-1]","[-0.07668012686059737,-0.0614386975730677]","[1,1,1]","[-0.12990109352728288,0.005811912658339006]","[1,1,1]","[0.043647396397751136,-0.17679057759304626]","[1,1,1]","[0.15961056144213712,0.0006981950721164211]","[1,1,1]","[0.07320148969161111,0.1856872317587892]","[1,1,1]","[-0.13573320459745197,-0.1276956625853178]","[1,1,1]","[0.020179878545125814,0.13131310140345206]","[1,1,1]","[0.09844716924757305,-0.0014439018211634836]","[1,1,1]","[-0.02920635910375893,0.13290233774203977]","[1,1,1]","[0.015010339988673325,-0.021056094397028324]","[1,1,1]","[-0.03922815056514621,0.07862571361935984]","[-1,-1,-1]","[0.13569507505620362,0.1339165036635038]","[1,1,1]","[-0.03194790622415555,0.034953162228118874]","[1,1,1]","[0.13539645650037252,0.09009570790007185]","[1,1,1]","[-0.06308747509928085,-0.13472109760639916]","[1,1,1]","[-0.01485992769201856,-0.08700578069109541]","[1,1,1]","[-0.15810366702822357,-0.0924038497275968]","[1,1,1]","[0.036793840201663194,-0.05979893313467932]","[1,1,1]","[-0.1858179279138161,-0.019980580697143646]","[1,1,1]","[-0.14477971487481586,0.1142102561831181]","[1,1,1]","[0.08350416014267208,0.04402788719723437]","[1,1,1]","[-0.09450633223783662,0.13643613445988723]","[1,1,1]","[0.13572180156538502,-0.04396179927591266]","[1,1,1]","[-0.02997111270769159,-0.03192493393887175]","[1,1,1]","[-0.15607294785355402,0.06691048401626101]","[1,1,1]","[-0.08990351981728754,0.019932381588991993]","[-1,-1,-1]","[-0.11497657781863471,-0.037691717903420525]","[1,1,1]","[0.1039495841492773,-0.11805364897235208]","[1,1,1]","[0.0663107079759925,0.09256711713120698]","[1,1,1]","[0.05806126424350581,0.01051724217286865]","[1,1,1]","[-0.023862683911460805,-0.1611161150443718]","[1,1,1]","[0.02,0.02]",144.1954,0,0,0,185,1,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,144.196,144.6959,,,144.9462,145.7378,left,0.7834,,,,,,,,,0.55,,,,,,144.696,144.9461,145.7379,"[0.033044264334156685,-0.17453424712850416]","[1,1,1]","[0.019865903064521274,0.18046584218278208]","[1,1,1]","[-0.15026378548010347,-0.019374609022072643]","[1,1,1]","[0.007922984255175146,0.10192575461295665]","[1,1,1]","[0.1070562444413277,-0.0988887022948367]","[1,1,1]","[0.07584631110711072,0.1748465778639331]","[-1,-1,-1]","[0.08223688737836819,0.07674182934696851]","[1,1,1]","[-0.05155297110104936,0.15696079991902626]","[1,1,1]","[-0.0068218750064086555,0.024668937561683018]","[-1,-1,-1]","[-0.03892405765488829,-0.003340712726321328]","[-1,-1,-1]","[-0.05683246341092809,0.05545909750675472]","[-1,-1,-1]","[0.013313980936795504,-0.027806727732195204]","[1,1,1]","[-0.11129220466027598,0.05335538909116982]","[-1,-1,-1]","[-0.14502007049948673,-0.1314015384782084]","[-1,-1,-1]","[-0.09733021619332614,0.14881882827131876]","[-1,-1,-1]","[-0.1580100676219591,0.07610804558633498]","[1,1,1]","[0.02140097660283065,-0.0888323567040399]","[-1,-1,-1]","[0.04634588136586711,0.12012589628831835]","[1,1,1]","[0.13165185856670916,0.057231696782535625]","[1,1,1]","[-0.09145150347828995,-0.08349350248611424]","[-1,-1,-1]","[0.11050685237575794,-0.03629969960241134]","[1,1,1]","[-0.061662015597762604,-0.12748392528253652]","[-1,-1,-1]","[0.11847807756473049,0.013860619711667299]","[-1,-1,-1]","[-0.1455416373322001,-0.06028366399904976]","[1,1,1]","[0.18826621848244715,-0.05925178402776242]","[-1,-1,-1]","[0.16758256975807181,0.035158835049205465]","[1,1,1]","[-0.10872268812484805,-0.019022706037281976]","[1,1,1]","[0.03380728964286661,0.020771580257789034]","[-1,-1,-1]","[0.14091729151035215,-0.136692379319699]","[1,1,1]","[0.18775167435281975,-0.007138886756160956]","[1,1,1]","[0.053615193092147746,-0.04187273021826883]","[-1,-1,-1]","[-0.1899655159965656,0.0038714626256197084]","[1,1,1]","[0.02,0.02]",146.8377,0,1,1,121,1,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,146.8384,147.3376,,,147.5879,148.1546,left,0.5591,,,,,,,,,0.1,,,,,,147.3376,147.5879,148.1547,"[0.03156417512169736,-0.13778903608274126]","[-1,-1,-1]","[-0.015165602245746045,0.15678096743179923]","[-1,-1,-1]","[-0.08478876722199048,-0.17966095089607484]","[1,1,1]","[-0.18306095680031026,-0.06916809421379083]","[-1,-1,-1]","[-0.11824152881448342,0.0204925237592164]","[-1,-1,-1]","[0.15109422006225556,0.05420001219648592]","[-1,-1,-1]","[0.08896675501898624,-0.15787828268624535]","[-1,-1,-1]","[-0.041567630030645834,0.07381909308235446]","[1,1,1]","[-0.10000949498151984,0.0837190012136156]","[1,1,1]","[-0.1316927505224532,-0.1085539178074614]","[-1,-1,-1]","[0.03477640335979946,0.16511609143028816]","[-1,-1,-1]","[0.03296177573088048,0.024781844534697013]","[-1,-1,-1]","[-0.1987821966559777,-0.01765346571308308]","[-1,-1,-1]","[0.10151142931924631,-0.11562957548906183]","[-1,-1,-1]","[-0.14981885435545933,0.0883973392859132]","[-1,-1,-1]","[0.04988839299110166,-0.02610036283585483]","[-1,-1,-1]","[-0.052305152430994754,-0.08796736776779872]","[-1,-1,-1]","[-0.03810171154559045,-0.1804384901032483]","[-1,-1,-1]","[0.013543830140629258,0.10478578433696607]","[-1,-1,-1]","[0.0003368627092093545,0.05112417211118387]","[-1,-1,-1]","[-0.008739111546610634,-0.02819939689517491]","[-1,-1,-1]","[0.17272051448594028,-0.07423524706858692]","[-1,-1,-1]","[0.0969273950112782,0.1728204743488016]","[-1,-1,-1]","[-0.08799336206925322,-0.012799421064235665]","[-1,-1,-1]","[-0.07076171857536444,-0.1313071700113193]","[-1,-1,-1]","[0.15866451532359574,0.1038234632746977]","[-1,-1,-1]","[-0.010628512709088439,-0.1444686436171479]","[-1,-1,-1]","[0.024160260644815277,-0.18248079533749345]","[-1,-1,-1]","[0.1486344033257125,-0.03603120993498598]","[-1,-1,-1]","[-0.11157835146753052,-0.1476867576602394]","[-1,-1,-1]","[0.051989216567080214,0.08285957095043209]","[-1,-1,-1]","[-0.1592227121292744,0.03417348682883665]","[-1,-1,-1]","[0.02,0.02]",149.2543,0,2,2,0,1,,,,,,,
,,,,,,,65cf6d8a589a67afcab54e6f,682db40f878f18cddb9bbb1b,2025-05-21_14h11.18.400,cuing_paradigm_dot,2024.1.5,MacIntel,119.047619,682d556593cb38ad0a074487,,,,,,,,,,,149.2548,149.7536,,,150.0036,150.4713,left,0.46,,,,,,,,,0.1,,,,,,149.7536,150.0036,150.4713,"[0.11893228309593688,-0.06093997590631806]","[-1,-1,-1]","[0.18696972294555175,0.009271999093689575]","[1,1,1]","[0.12110825241032563,0.11615669506346064]","[-1,-1,-1]","[-0.038667771521424726,-0.07822854355131321]","[-1,-1,-1]","[-0.07190216957627252,0.011495578141986994]","[-1,-1,-1]","[0.07687539423852949,-0.13454358132262548]","[-1,-1,-1]","[0.09468073354380749,-0.023798673670374665]","[-1,-1,-1]","[-0.03771943387404697,0.08049000545221274]","[-1,-1,-1]","[-0.1061740043953717,-0.034788759738444835]","[-1,-1,-1]","[0.1537452314931489,0.09293627296442365]","[-1,-1,-1]","[-0.028123508216513656,0.0038875549946163113]","[-1,-1,-1]","[0.16910200837109013,-0.08768794032909795]","[-1,-1,-1]","[0.09788071062465337,0.16270245499127917]","[-1,-1,-1]","[-0.03198845141022339,0.1907346408348865]","[-1,-1,-1]","[0.16704531004722212,-0.034221075450580514]","[-1,-1,-1]","[-0.13207090613044917,0.13789949882617317]","[-1,-1,-1]","[-0.15085685649881203,0.006950654848903993]","[1,1,1]","[-0.11764390787309663,0.06736522261800966]","[-1,-1,-1]","[-0.13396546277324262,-0.09572560412813029]","[-1,-1,-1]","[-0.04284808461770252,0.1255358823664487]","[1,1,1]","[0.015097174410793645,-0.14776664396356393]","[-1,-1,-1]","[-0.19745585017448247,0.002967404423017859]","[-1,-1,-1]","[0.02725084452082721,0.08373114930781218]","[-1,-1,-1]","[-0.16585035668919373,-0.04646963046461264]","[-1,-1,-1]","[-0.055758488290382546,-0.1864201568921416]","[-1,-1,-1]","[0.014105263802055129,-0.05452276803162673]","[-1,-1,-1]","[0.028221889498333402,-0.18983332231446448]","[-1,-1,-1]","[0.015795477440916278,0.16928263245125438]","[-1,-1,-1]","[0.03283724251987877,0.02161864293137126]","[-1,-1,-1]","[0.0955965813745434,0.08341556532997703]","[-1,-1,-1]","[-0.11344415596801147,-0.13705416577968357]","[-1,-1,-1]","[0.13678671503428322,0.029337312976002786]","[-1,-1,-1]","[0.02,0.02]",151.5708,0,3,3,15,1,,,,,,,
