right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,55.905,space,40.8928,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,55.9058,90.8249,space,4.9035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,90.8252,95.3775,space,1.5384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,95.4173,95.8882,95.8899,96.1415,96.1417,96.8884,left,0.6961,,96.8889,97.9884,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,97.9904,98.4884,98.4885,98.7391,98.7392,99.0722,right,0.3202,,99.0725,100.1736,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.175,105.6596,space,2.4585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,105.688,106.1752,,,106.4273,107.0424,left,0.6084,,,,,,,,,0.55,,,,,,106.1766,106.427,107.0434,"[-0.1065597688109797,0.05336785827800536]","[1,1,1]","[-0.10907371721387646,0.15803044792783916]","[1,1,1]","[-0.13906333106949745,0.10943214028451953]","[1,1,1]","[0.13692232477149743,0.10305466092496127]","[1,1,1]","[-0.17123872246749097,-0.044939200367900486]","[-1,-1,-1]","[0.08997568195347456,0.070903373891408]","[1,1,1]","[0.09208927639353395,0.013822905804536448]","[1,1,1]","[-0.10116186955446768,-0.0325179860096546]","[1,1,1]","[0.005659820778101767,-0.13884415913302953]","[-1,-1,-1]","[0.027132517103329968,0.16250192674008682]","[-1,-1,-1]","[0.1395007648335573,-0.07779838737936412]","[1,1,1]","[0.02738216125820051,-0.04387616671150249]","[-1,-1,-1]","[-0.08882300381345938,-0.07319025018503698]","[-1,-1,-1]","[0.018482066313707763,0.004124085134867179]","[1,1,1]","[0.01866868194917234,0.050327715793992284]","[-1,-1,-1]","[0.15406567835246265,-0.039717446701891625]","[1,1,1]","[-0.14335086149961937,0.016852601649519332]","[-1,-1,-1]","[0.0325376242026268,0.11515497705143449]","[-1,-1,-1]","[0.1428687712025879,0.0017292397444612756]","[1,1,1]","[-0.11553092378925467,-0.1125425535130807]","[1,1,1]","[-0.09348176256481357,-0.14776139994908524]","[-1,-1,-1]","[-0.006827735304113224,0.13245051970121752]","[1,1,1]","[0.09733900253089967,0.1739517408626143]","[1,1,1]","[-0.062296122721706426,0.16615201417683995]","[1,1,1]","[-0.05043080694133066,0.11096781743380242]","[-1,-1,-1]","[-0.05075329178901119,-0.021998108042367917]","[-1,-1,-1]","[0.030107129021042126,-0.09182285401307579]","[1,1,1]","[-0.052027137369483674,0.04406157165375626]","[1,1,1]","[0.08554001518457989,-0.07132464398826308]","[-1,-1,-1]","[0.0568927088174053,-0.16920619197658143]","[-1,-1,-1]","[-0.10071541892923697,0.09547709677635839]","[1,1,1]","[-0.18604974148427522,0.03568044092218851]","[-1,-1,-1]","[0.02,0.02]",108.1433,0,0,0,122,1,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,108.1449,108.6431,,,108.8936,109.51,left,0.6002,,,,,,,,,0.1,,,,,,108.6433,108.8935,109.51,"[-0.16583451481817715,-0.09246016485228532]","[-1,-1,-1]","[-0.004356279227007607,-0.1263199972558102]","[-1,-1,-1]","[-0.0036580004322681876,0.027019533359308564]","[-1,-1,-1]","[-0.014379025435436404,-0.05466044299558648]","[-1,-1,-1]","[-0.15502110012763354,0.07291053077823728]","[-1,-1,-1]","[0.030962846069734432,-0.15660148691906467]","[-1,-1,-1]","[-0.09002417264235078,-0.033241493100012454]","[-1,-1,-1]","[-0.022103198640066442,0.1328925414474671]","[-1,-1,-1]","[0.17532415537853582,0.06264676181559206]","[-1,-1,-1]","[0.1630429683450655,0.02066616328918099]","[-1,-1,-1]","[-0.19417952025313917,0.013989212404104875]","[-1,-1,-1]","[-0.10453856893746782,0.08854395229947185]","[-1,-1,-1]","[0.09211510344322696,-0.13497527951250798]","[-1,-1,-1]","[-0.04883476807776688,-0.19351535658746644]","[-1,-1,-1]","[0.10314267494792949,-0.07307991801147354]","[-1,-1,-1]","[0.03194238769951662,-0.09990105693557616]","[1,1,1]","[0.040932712465609304,0.10203059843978207]","[-1,-1,-1]","[-0.08207171954860203,-0.137376459636344]","[-1,-1,-1]","[0.0483143238288708,0.06029121691629821]","[-1,-1,-1]","[0.10427938758876042,0.05770394826285626]","[-1,-1,-1]","[0.013387557943237515,0.17342620508961148]","[1,1,1]","[-0.12231565315273435,0.045625702376400984]","[-1,-1,-1]","[-0.10608904309630023,0.008754243881865435]","[-1,-1,-1]","[-0.07484316424462986,0.06125818404000466]","[-1,-1,-1]","[0.1500374111411764,-0.06982014946097782]","[-1,-1,-1]","[0.10947501925727518,0.15012588344449138]","[-1,-1,-1]","[-0.10595651520078929,-0.08219447626548922]","[-1,-1,-1]","[0.03325360593690943,-0.01896610018397269]","[-1,-1,-1]","[-0.03741640607556084,-0.09139097540033901]","[-1,-1,-1]","[0.13958539898619512,-0.1089140306424037]","[-1,-1,-1]","[0.08397534802735206,0.10115614334166359]","[1,1,1]","[-0.026435254706381434,0.19518942924329138]","[-1,-1,-1]","[0.02,0.02]",110.6102,0,1,1,0,1,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,110.6112,111.1111,,,111.3625,111.9313,left,0.5494,,,,,,,,,0.5,,,,,,111.1113,111.3625,111.9315,"[0.029823927252194144,0.12453610223926143]","[-1,-1,-1]","[-0.1346421779559082,0.10139654933666543]","[-1,-1,-1]","[-0.12127497467316728,0.14104128262065713]","[1,1,1]","[-0.08458492165082263,0.003615538294576476]","[1,1,1]","[-0.04353738644292352,0.1467459893670239]","[1,1,1]","[0.09647810403038248,-0.07564066040967536]","[-1,-1,-1]","[0.1250738590137417,0.004887397223049086]","[1,1,1]","[-0.1515831715111138,-0.1252599187680799]","[-1,-1,-1]","[0.04049766108143339,-0.06465351481050433]","[-1,-1,-1]","[-0.014643936539643989,-0.06410467169996185]","[-1,-1,-1]","[0.07601148656260616,0.010622638570870322]","[-1,-1,-1]","[-0.16399409496604997,-0.02161004166682946]","[-1,-1,-1]","[0.00929769829654058,-0.14707647809289143]","[1,1,1]","[0.06354739171307212,-0.101887819141625]","[1,1,1]","[0.16643860473327649,-0.06731763517141026]","[1,1,1]","[-0.03906732881623564,-0.013041239168575339]","[-1,-1,-1]","[-0.08073828745269634,-0.08540754235476547]","[-1,-1,-1]","[0.11031810899138485,-0.14152065930968125]","[-1,-1,-1]","[-0.1479344593480659,0.06212880589327359]","[-1,-1,-1]","[0.1395568743934077,0.08494778433889634]","[1,1,1]","[0.0638233968383348,0.06259656382744377]","[1,1,1]","[0.19291000060545618,0.031087063350561495]","[1,1,1]","[0.17994947308519046,0.08040406703126171]","[1,1,1]","[0.01874790017833283,0.0563977952898116]","[-1,-1,-1]","[-0.04450061194838869,-0.17056976933973345]","[-1,-1,-1]","[0.19404490415341477,-0.018793099062633135]","[-1,-1,-1]","[-0.13036843622019903,-0.0734863238697973]","[1,1,1]","[-0.05379867567790135,0.08387518676665086]","[1,1,1]","[-0.04446083273400385,0.031072775892475656]","[-1,-1,-1]","[0.12799873385190477,-0.1036705559599067]","[1,1,1]","[0.04036929134034835,-0.19144969422935895]","[1,1,1]","[0.026991682535560068,-0.017211977523149905]","[1,1,1]","[0.02,0.02]",113.0292,0,2,2,90,1,,,,,,,
,,,,,,,65fae23bd06ae76bcc297e8b,682f101c947a4705c371b6bd,2025-05-22_14h45.11.006,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,113.0301,113.5296,,,113.784,114.3852,left,0.585,,,,,,,,,0.55,,,,,,113.5297,113.7839,114.3853,"[0.147022054348364,-0.0423327340879088]","[1,1,1]","[0.06726567573819697,-0.03647921439951987]","[-1,-1,-1]","[-0.1963909148089888,-0.02132001464363603]","[1,1,1]","[-0.0413289194427906,0.053783913805590514]","[1,1,1]","[-0.007107419541053969,-0.07545519142444387]","[1,1,1]","[-0.03666901683069942,-0.048412487843958504]","[-1,-1,-1]","[0.07866327217495174,-0.1447003711639665]","[1,1,1]","[0.1118092880159354,0.0909082345425537]","[1,1,1]","[0.07353622124892123,0.016211949988743674]","[1,1,1]","[0.1506315402797193,0.06462168261435233]","[1,1,1]","[-0.14952648557576728,0.0011983001630469137]","[1,1,1]","[0.048433325327047166,0.13362682009010557]","[1,1,1]","[-0.0035599578604630523,-0.020030117312690016]","[1,1,1]","[0.09997583539181631,0.047843658238770646]","[1,1,1]","[0.002623121925737302,0.18362212970913938]","[1,1,1]","[-0.06959364587268198,0.13212729846331112]","[-1,-1,-1]","[0.1847895570622878,0.018568719003855365]","[-1,-1,-1]","[0.17991698866349187,-0.08689329533704962]","[-1,-1,-1]","[0.002080504246875009,0.051662660500084064]","[-1,-1,-1]","[-0.10527049348049744,0.16147360905167815]","[-1,-1,-1]","[0.06843193094920089,-0.0952723753495798]","[-1,-1,-1]","[-0.13132055159237757,-0.10259466981198717]","[1,1,1]","[0.1396696739109609,0.12284619762251611]","[-1,-1,-1]","[-0.16654498984290544,0.055423794412217876]","[-1,-1,-1]","[0.12838151138401624,-0.0799114962490676]","[1,1,1]","[0.027068517953434918,-0.1768319065251097]","[-1,-1,-1]","[-0.09316198649122567,-0.140902864514487]","[1,1,1]","[0.0903198582820395,0.1688609790895991]","[1,1,1]","[0.1938551233676977,-0.026908478223422065]","[-1,-1,-1]","[-0.025416063789489667,0.09060791661511096]","[-1,-1,-1]","[-0.08448373072720225,-0.06862961228809471]","[1,1,1]","[-0.16642005233504747,-0.06573416047008519]","[-1,-1,-1]","[0.02,0.02]",115.4804,0,3,3,120,1,,,,,,,
