right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,43.1552,space,28.141,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,43.1558,74.5027,space,1.3347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,74.5028,79.0514,space,1.5356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,79.0914,79.5615,79.5619,79.812,79.8122,81.3112,,81.3115,82.4114,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,82.4125,82.911,82.9111,83.1618,83.1619,83.6112,right,83.6114,84.7105,0,1,1,1,1,0.2,0.4255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7112,89.2442,space,1.5142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,89.2809,89.7599,,,90.0144,90.5939,left,,,,,,,,0.5,0.5543,,,,,,,89.7604,90.0144,90.5951,"[0.0014938443928189703,-0.14259885719958615]","[1,1,1]","[0.1745577031218854,0.08827013388190816]","[1,1,1]","[-0.1477418324347595,-0.11099676679562338]","[-1,-1,-1]","[0.10882936471476481,0.010359100833459431]","[-1,-1,-1]","[-0.12175074315946015,-0.15235940347203167]","[-1,-1,-1]","[-0.166149016444008,0.06639887371120472]","[1,1,1]","[0.017103967413202494,0.06740065557265794]","[1,1,1]","[0.10353411014774831,0.15801670206565385]","[-1,-1,-1]","[0.15573518018215912,0.0422782241896877]","[1,1,1]","[0.05706592947566049,0.04858924738972644]","[1,1,1]","[-0.1834840770524931,-0.045040926583362624]","[1,1,1]","[-0.049624209781410356,-0.03046724329049247]","[-1,-1,-1]","[0.04270776147231152,-0.05703338176208015]","[-1,-1,-1]","[-0.07983846245498763,-0.10157623463477504]","[-1,-1,-1]","[-0.014236352389192424,0.14106672845180857]","[1,1,1]","[0.06407641145022443,-0.012729194000554]","[1,1,1]","[0.1671953657923228,-0.08294865620593346]","[-1,-1,-1]","[-0.11450691543542717,-0.010777469153721256]","[-1,-1,-1]","[0.07740793549222297,-0.14065300949790954]","[1,1,1]","[0.04633424181378953,0.1627454470622021]","[1,1,1]","[-0.05810860986419452,0.12433143667450636]","[1,1,1]","[0.10867153341509585,-0.10089160081652185]","[-1,-1,-1]","[-0.05685480730190763,-0.1547629254784204]","[1,1,1]","[-0.12086417126540747,0.04794871065316118]","[1,1,1]","[-0.16775788637530492,0.002871857249053321]","[1,1,1]","[-0.02890805424407486,0.046418675730099224]","[-1,-1,-1]","[0.008930787166088545,0.02444351336714702]","[-1,-1,-1]","[-0.0048688210184023775,-0.03128810960216325]","[-1,-1,-1]","[-0.028177759715250616,-0.11239048840817091]","[-1,-1,-1]","[0.049620647898521525,-0.1021900444352262]","[1,1,1]","[-0.10524016425936764,0.1471145392914722]","[-1,-1,-1]","[0.06323122234880357,0.10309396647330715]","[-1,-1,-1]","[0.02,0.02]",91.6931,0,0,0,111,1,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,91.6941,92.1929,,,92.4467,92.9963,left,,,,,,,,0.55,0.5331,,,,,,,92.1929,92.4466,92.9963,"[-0.15669060769646606,0.10720026412672516]","[1,1,1]","[-0.09520877547425542,-0.10715868738317127]","[-1,-1,-1]","[0.10121237138397428,0.14962421316960098]","[-1,-1,-1]","[0.009660731630675398,-0.023779576166556064]","[1,1,1]","[-0.09923030080807863,0.06242884943110749]","[1,1,1]","[0.08707344202211159,-0.009628096624121585]","[1,1,1]","[-0.006839592840403148,-0.07883374201707484]","[1,1,1]","[0.0727576799455957,-0.048774382010568045]","[1,1,1]","[0.12697022346756084,-0.05574051419496087]","[1,1,1]","[0.04321784030525346,0.0780525003775978]","[1,1,1]","[-0.09340961198005861,-0.1502838012722962]","[-1,-1,-1]","[-0.09858390077938549,0.14018296702468452]","[-1,-1,-1]","[0.13311547991508235,0.0811377275365714]","[-1,-1,-1]","[-0.06124146067101481,-0.04220334147922864]","[-1,-1,-1]","[0.12560886900131193,0.011466991884374608]","[1,1,1]","[-0.006700743672955696,0.04090325257820209]","[1,1,1]","[0.16438019186034353,0.04668201292337606]","[1,1,1]","[0.06081022101798237,0.0278163853941935]","[-1,-1,-1]","[-0.09009635729511824,0.00880201728524582]","[1,1,1]","[-0.0035201394334120895,0.1947503642919815]","[1,1,1]","[-0.14171310624490616,-0.06557015219956168]","[1,1,1]","[0.1141116921171672,-0.11788408135201463]","[-1,-1,-1]","[-0.01797993820071716,0.09866729683987724]","[-1,-1,-1]","[-0.13349548561478775,0.002303329440141398]","[1,1,1]","[-0.09472191931701916,-0.06490393810904942]","[-1,-1,-1]","[-0.028469300550189584,-0.011372533194881108]","[-1,-1,-1]","[0.16911307400048978,-0.09293239604256523]","[1,1,1]","[0.17100633702402973,-0.04196556145254865]","[1,1,1]","[-0.0424898562295507,0.06460751828947836]","[-1,-1,-1]","[0.08405892754797913,-0.17114627965462303]","[-1,-1,-1]","[0.19821994417316488,0.0091524886538615]","[1,1,1]","[-0.03718822873834478,-0.11621493803846322]","[-1,-1,-1]","[0.02,0.02]",94.0928,0,1,1,120,1,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,94.0937,94.5929,,,94.8436,95.5261,right,,,,,,,,0.45,0.6586,,,,,,,94.593,94.8436,95.5262,"[0.08929267284825418,-0.09386655655029767]","[1,1,1]","[0.19328279536208842,-0.051023251971199335]","[1,1,1]","[-0.10861730578991653,-0.11832658998667911]","[-1,-1,-1]","[-0.15038834564119216,0.04434886208814217]","[-1,-1,-1]","[-0.04851705597577581,0.11080356010679433]","[-1,-1,-1]","[-0.005723776752279533,-0.10929714478230626]","[1,1,1]","[0.04832927433857247,0.0601323643020896]","[-1,-1,-1]","[-0.0034979532581625493,0.15404070991013774]","[1,1,1]","[-0.022351150583577773,-0.03418278567453118]","[-1,-1,-1]","[0.11277194536813924,-0.15479854496036377]","[1,1,1]","[0.03728537948452059,0.13856158478122452]","[1,1,1]","[0.12197978878361998,-0.060911313717954337]","[-1,-1,-1]","[0.14305389100532553,-0.01576676054611347]","[-1,-1,-1]","[0.08188646439810732,-0.04944755663593714]","[-1,-1,-1]","[0.17959862930625117,0.052984275114114215]","[1,1,1]","[-0.14811998533068424,-0.04693043340177]","[-1,-1,-1]","[0.08617239664581364,0.1730616567774928]","[-1,-1,-1]","[-0.06201523502749888,0.06367010346318781]","[-1,-1,-1]","[0.04588732734515429,-0.006351874333968432]","[-1,-1,-1]","[0.0617302419988658,-0.17782730132961697]","[-1,-1,-1]","[0.017170308909896015,-0.17671997027661437]","[-1,-1,-1]","[-0.11822080198310024,-0.0133281249310776]","[1,1,1]","[-0.11208101415687896,-0.0746239721883073]","[-1,-1,-1]","[0.022178004868794513,0.09971061893793366]","[-1,-1,-1]","[-0.06320064044540318,-0.019610283962201627]","[1,1,1]","[0.14204698685203332,-0.11810900384565808]","[1,1,1]","[-0.04814883146045928,-0.1939815982868815]","[-1,-1,-1]","[-0.0471072972896716,-0.11418265848197948]","[1,1,1]","[-0.10356052538838184,0.10555144870744179]","[-1,-1,-1]","[-0.029582957699777836,0.012527021046124907]","[1,1,1]","[0.08671157475793803,0.1103011683998032]","[1,1,1]","[-0.04245801881428813,0.19392750568373981]","[1,1,1]","[0.02,0.02]",96.6257,0,2,2,75,1,,,,,,,
,,,,,,,66031000461c44484ac359a8,682f0fb48d49f6a87dab403e,2025-05-22_14h51.48.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,96.6263,97.1258,,,97.3794,97.861,right,,,,,,,,0.45,0.4555,,,,,,,97.126,97.3792,97.8611,"[0.17986973217138227,-0.06308168743680005]","[1,1,1]","[-0.051932503863124854,0.04047337721274933]","[1,1,1]","[-0.023352950771969333,-0.09898962499420133]","[1,1,1]","[-0.03008312856615363,-0.13994010016323746]","[-1,-1,-1]","[0.1525551881860466,-0.0933078308612687]","[1,1,1]","[0.013409954028995417,0.08609606335238118]","[-1,-1,-1]","[0.13983454915610427,0.09681626890384777]","[-1,-1,-1]","[0.006633150940683957,-0.011033305078818393]","[-1,-1,-1]","[-0.08050480523232392,-0.1308196701775353]","[-1,-1,-1]","[-0.023958719498392043,-0.18890983873206482]","[-1,-1,-1]","[-0.07094140445868838,-0.17749313077965215]","[1,1,1]","[-0.17337730321579028,-0.08966170518276471]","[-1,-1,-1]","[0.04338861152126058,-0.18716290732497082]","[-1,-1,-1]","[-0.11280656839567069,-0.0533726855741246]","[-1,-1,-1]","[0.12769507025477647,-0.05493383214183082]","[1,1,1]","[0.10528735386455979,0.03452771175537487]","[-1,-1,-1]","[0.14208815685740556,-0.00018651746288831378]","[1,1,1]","[-0.061064315608984863,0.18067105571425307]","[1,1,1]","[0.011538556219544003,0.029909011510275557]","[-1,-1,-1]","[0.18424457867479754,0.01560223963187157]","[-1,-1,-1]","[-0.1518639728557266,0.02832347679684631]","[-1,-1,-1]","[0.01995910765015144,-0.11905308141285594]","[-1,-1,-1]","[0.08502563109010498,-0.17611812752706102]","[-1,-1,-1]","[0.06521373694312314,0.16942076778225315]","[1,1,1]","[0.08569700417930758,-0.054515770698467934]","[1,1,1]","[-0.041917772042463504,0.13217551992272425]","[1,1,1]","[-0.07913515257711669,-0.07534502764442466]","[-1,-1,-1]","[0.08284884192207792,0.13023427967715828]","[1,1,1]","[0.0021042027024716302,-0.05404861377517756]","[-1,-1,-1]","[0.07808794021769273,-0.12175020238570254]","[1,1,1]","[-0.11838159513955744,0.05880641578498656]","[-1,-1,-1]","[-0.13726268472035333,0.13395311481101765]","[1,1,1]","[0.02,0.02]",98.9588,0,3,3,67,1,,,,,,,
