right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,28.934,space,13.9182,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,28.9344,73.1776,space,14.2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,73.1777,88.493,space,12.3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,88.5069,88.9933,88.9936,89.244,89.2441,90.7453,,90.7455,91.8464,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,91.8469,92.3464,92.3464,92.5972,92.5973,92.964,right,92.9641,94.0648,0,1,1,1,1,0.2,0.3506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0651,97.6524,space,0.5718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,97.6623,98.1528,,,98.4032,98.8195,right,,,,,,,,0.5,0.403,,,,,,,98.1534,98.4032,98.8199,"[0.1420442610473483,0.0027966511207619623]","[1,1,1]","[-0.07503545263809719,0.16497987769519898]","[1,1,1]","[-0.09118784054798425,0.03828157642632905]","[1,1,1]","[-0.17893145086973464,0.0018802847387942958]","[-1,-1,-1]","[0.12773507435750206,-0.13044648909926146]","[-1,-1,-1]","[0.04056607392206084,-0.0026070156421475004]","[1,1,1]","[0.16572533680541301,0.050906915806235985]","[-1,-1,-1]","[0.03770327559361377,0.16293077708537654]","[-1,-1,-1]","[0.012856737217574726,0.09129027945612181]","[-1,-1,-1]","[0.19091020128392983,0.003996681209066587]","[1,1,1]","[-0.1792245949652686,0.08636710218384393]","[-1,-1,-1]","[-0.10559756523551216,-0.15227201586186834]","[-1,-1,-1]","[0.09830941435742958,-0.08470727019767202]","[-1,-1,-1]","[-0.1338636165813294,0.030048397874898398]","[-1,-1,-1]","[0.1370766385024765,-0.039896113750725305]","[-1,-1,-1]","[0.09858390313085937,0.15567842147434796]","[1,1,1]","[0.0016217522728427087,-0.13736456714012807]","[1,1,1]","[-0.06311754324488678,-0.17029952284537658]","[1,1,1]","[-0.12104639940842163,0.08786775634835316]","[1,1,1]","[0.14662111654966464,0.12325963975991919]","[-1,-1,-1]","[-0.10592829567404892,-0.029033897540261453]","[1,1,1]","[-0.056961496596350206,-0.0018700873248925596]","[-1,-1,-1]","[0.0029402494967220374,0.041456399009404794]","[1,1,1]","[0.05456393223767881,-0.17681686587344467]","[-1,-1,-1]","[0.026877958135022383,-0.06538625239605506]","[-1,-1,-1]","[0.06116859655651252,-0.10451682906572725]","[1,1,1]","[-0.034999355037163345,0.17626040955428324]","[-1,-1,-1]","[-0.19371450945014076,0.04873925873875437]","[1,1,1]","[0.016389197705638993,-0.1974760822303257]","[1,1,1]","[-0.10607785491965789,-0.09655660357343845]","[-1,-1,-1]","[-0.17193325022769945,-0.09275695218378725]","[1,1,1]","[0.09910639170222094,0.1054903550932348]","[1,1,1]","[0.02,0.02]",99.9212,0,0,0,94,1,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,99.9218,100.4213,,,100.672,101.156,right,,,,,,,,0.6,0.4795,,,,,,,100.4214,100.672,101.1561,"[-0.03160335701727882,0.11347651449934688]","[-1,-1,-1]","[-0.10250540494685119,0.04847069188281666]","[-1,-1,-1]","[-0.1556814300436507,-0.032507037465050355]","[-1,-1,-1]","[0.09009690068513987,0.0005770800937858284]","[-1,-1,-1]","[-0.15762790001925975,-0.09140058145165672]","[1,1,1]","[-0.03508820865941548,-0.04082397246162725]","[1,1,1]","[0.061187966350265376,0.054444772599621175]","[-1,-1,-1]","[-0.10740299692419769,-0.06668005299195315]","[1,1,1]","[-0.013197727598714884,-0.14578253710285127]","[1,1,1]","[0.012630052220494873,0.18138314331450536]","[1,1,1]","[-0.09148241582550082,0.005158731410034389]","[-1,-1,-1]","[-0.043015927056425644,0.016523045216519025]","[-1,-1,-1]","[0.013989091660408454,-0.17761921019184587]","[1,1,1]","[-0.13968323181592077,0.12599180922550832]","[1,1,1]","[-0.18429672239891431,0.05517895890257785]","[-1,-1,-1]","[0.08099404364083625,-0.1063903071175839]","[1,1,1]","[0.06917925600474463,0.17208962452517884]","[1,1,1]","[0.13528843978542388,-0.12604736552367604]","[1,1,1]","[-0.06334311195170325,0.08069508387291878]","[-1,-1,-1]","[0.16178700607820498,-0.04138004619443652]","[-1,-1,-1]","[0.004475683413663695,-0.052143733605233986]","[1,1,1]","[-0.09750889225299568,0.16848985633552258]","[-1,-1,-1]","[-0.04572463028031982,0.19042249625055438]","[1,1,1]","[-0.05894997248915994,-0.1791556782941798]","[1,1,1]","[0.005816929571375054,0.006910005187089767]","[1,1,1]","[0.12915768765081717,0.05440992047723384]","[1,1,1]","[-0.11634432241085989,-0.13548127852035338]","[1,1,1]","[-0.06646015678240855,-0.06851379694113184]","[1,1,1]","[0.10724879853881904,-0.04124355368148487]","[-1,-1,-1]","[0.0998082154707531,0.10705665949678585]","[1,1,1]","[0.02508935530549699,0.12216012975275395]","[-1,-1,-1]","[-0.00009760734842945229,-0.09219262633590053]","[1,1,1]","[0.02,0.02]",102.2565,0,1,1,176,1,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,102.2569,102.7571,,,103.0074,103.3912,right,,,,,,,,0.1,0.3761,,,,,,,102.7571,103.0073,103.3913,"[-0.09485164979459482,0.09237615983996522]","[-1,-1,-1]","[0.025086915783147676,-0.023900369945586832]","[-1,-1,-1]","[-0.16993281601925925,-0.048754259997830666]","[-1,-1,-1]","[-0.17858809249558086,0.012321428825781917]","[-1,-1,-1]","[0.15489330374452914,-0.07450958911001905]","[-1,-1,-1]","[-0.058082270936909965,0.1665441214247894]","[-1,-1,-1]","[0.03761178227320143,0.11910474109106627]","[-1,-1,-1]","[0.09250532768242409,-0.0027887784280865844]","[-1,-1,-1]","[0.009299852113047267,-0.1595624939634952]","[-1,-1,-1]","[0.18211847942350903,-0.000673740459945226]","[-1,-1,-1]","[-0.09911801386803418,-0.013479474624102629]","[-1,-1,-1]","[0.05631722153208677,0.016177608346524142]","[-1,-1,-1]","[-0.041233674665852184,-0.1819264859812225]","[-1,-1,-1]","[-0.09774384398866771,0.14813230236022587]","[-1,-1,-1]","[-0.086572061379342,-0.14231151528883174]","[-1,-1,-1]","[-0.13305146014777394,0.03931867443405272]","[-1,-1,-1]","[-0.1369120198957455,-0.07645997538397405]","[-1,-1,-1]","[-0.03550439492048585,-0.048432491509553366]","[1,1,1]","[-0.16146497190965886,0.10538059886549186]","[-1,-1,-1]","[0.0386064635546003,0.06154773291360715]","[-1,-1,-1]","[0.10360143241502177,0.0568947283057362]","[1,1,1]","[0.09032597686502727,-0.13555210377687876]","[-1,-1,-1]","[0.03529840284521277,-0.06644271692567706]","[-1,-1,-1]","[-0.033635521305311215,0.04052619890469566]","[-1,-1,-1]","[-0.03405722826364312,0.09297895890789337]","[-1,-1,-1]","[0.027399630019788204,0.1717941236932149]","[-1,-1,-1]","[0.07650632740296072,-0.047898224714725525]","[-1,-1,-1]","[0.06900533649829718,-0.17760539829072877]","[-1,-1,-1]","[-0.008693998262652563,-0.08584044538772978]","[-1,-1,-1]","[0.14181125132342595,-0.11337468330420175]","[-1,-1,-1]","[-0.17760625275448283,0.054419090432195706]","[-1,-1,-1]","[0.14144886740651763,0.08461528295343829]","[1,1,1]","[0.02,0.02]",104.4922,0,2,2,4,1,,,,,,,
,,,,,,,661ff24e9467d613b27d05ac,682f0fbb4c8f26e6ad97c067,2025-05-22_13h51.34.513,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,104.4925,104.9927,,,105.2432,105.4433,right,,,,,,,,0.1,0.1861,,,,,,,104.9927,105.2432,105.4433,"[-0.03672361253856721,-0.13598054784339084]","[-1,-1,-1]","[0.0350050813221705,-0.12943367999317296]","[1,1,1]","[0.15355193889669463,-0.07068449376838136]","[-1,-1,-1]","[0.015231755255115092,0.1841038827977003]","[-1,-1,-1]","[-0.06618787713206507,-0.017533617022955226]","[-1,-1,-1]","[0.019489705157387457,-0.19789946159782448]","[-1,-1,-1]","[0.1316616905594567,0.05208986279841375]","[-1,-1,-1]","[-0.12345187465130973,-0.0490600318593251]","[-1,-1,-1]","[0.07790013027839608,-0.06447171666929996]","[-1,-1,-1]","[0.08091466365995667,0.13435244627886997]","[-1,-1,-1]","[-0.017298122684937994,-0.17434329931398268]","[-1,-1,-1]","[-0.029381184936069806,0.01190785429932991]","[-1,-1,-1]","[0.013287802629615125,0.09872484986391582]","[-1,-1,-1]","[-0.12761372019808429,0.1013927930154921]","[-1,-1,-1]","[0.174565709646589,0.046461166406510344]","[-1,-1,-1]","[-0.1494724038836919,0.026489698809554183]","[-1,-1,-1]","[0.12102825744979324,-0.11459515663809486]","[-1,-1,-1]","[-0.1286541549397231,-0.15306776657723403]","[-1,-1,-1]","[-0.19727743926558303,0.004954469166480453]","[-1,-1,-1]","[-0.16072354118516183,-0.06689668174868113]","[-1,-1,-1]","[-0.07707454154994553,0.06517078979470989]","[-1,-1,-1]","[0.04872514483099831,0.0368132979002608]","[-1,-1,-1]","[-0.06352376689705423,0.18697254653791764]","[1,1,1]","[0.024940033919448112,-0.0002740587774550301]","[-1,-1,-1]","[-0.044295949731427954,0.13239525765322294]","[-1,-1,-1]","[0.15103282531916992,-0.022359401866268867]","[-1,-1,-1]","[-0.10476806037572484,-0.10812738686850652]","[-1,-1,-1]","[0.1386748069329983,0.09851899476926658]","[-1,-1,-1]","[-0.15860530201203957,0.07004713069742899]","[-1,-1,-1]","[0.09301243058677684,0.0693414693668459]","[-1,-1,-1]","[-0.03346892599124653,0.08946514473159899]","[1,1,1]","[-0.052985942415129265,-0.08727751447597426]","[-1,-1,-1]","[0.02,0.02]",106.5442,0,3,3,5,1,,,,,,,
