right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0005,1263.1245,space,1248.1011,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,1263.125,1293.8604,space,0.7289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,1293.861,1297.6272,space,0.7366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1297.6736,1298.1424,1298.1429,1298.3792,1298.3794,1299.1088,right,0.6814,,1299.109,1300.2089,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1300.2095,1300.708,1300.708,1300.9584,1300.9584,1301.4079,left,0.4381,,1301.4081,1302.5081,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302.5086,1306.6077,space,1.0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1306.6332,1307.1235,,,1307.3744,1307.7736,left,0.3911,,,,,,,,,0.1,,,,,,1307.124,1307.3743,1307.7741,"[-0.001441199790234652,0.07429809477005725]","[-1,-1,-1]","[-0.06562326893179346,-0.1722844517835752]","[-1,-1,-1]","[-0.15084989769802343,0.003866713030670868]","[-1,-1,-1]","[0.0431192853049271,-0.13530708974030636]","[-1,-1,-1]","[0.10004031204767443,-0.016531749098020923]","[1,1,1]","[0.020928828278638418,-0.025374390253381958]","[-1,-1,-1]","[0.12782589104969275,-0.0898335455519444]","[-1,-1,-1]","[0.18267708702338017,0.010918717502164256]","[-1,-1,-1]","[0.004969559351527101,-0.15929173150056122]","[-1,-1,-1]","[-0.04112977476127419,-0.025974163290018778]","[-1,-1,-1]","[-0.14394994881465656,-0.11637566700794186]","[-1,-1,-1]","[-0.10605920976293186,-0.15572680122785162]","[-1,-1,-1]","[0.16684432503966887,-0.03398724612434686]","[-1,-1,-1]","[-0.12088989541863085,-0.048604060129922425]","[-1,-1,-1]","[0.05518782313260541,0.09195156509687076]","[-1,-1,-1]","[0.10198936823601018,0.14514775711950612]","[-1,-1,-1]","[0.003238044297833808,-0.11300627945279809]","[-1,-1,-1]","[0.04909536267670124,0.1855169522177902]","[-1,-1,-1]","[0.0007186659373943836,0.14123327842776573]","[-1,-1,-1]","[-0.08829150825947076,-0.10483645031984287]","[-1,-1,-1]","[-0.1887413842478977,0.05446464123419613]","[-1,-1,-1]","[0.14603300482148654,0.06559099422032062]","[-1,-1,-1]","[-0.0595455217226085,0.13922473818808795]","[-1,-1,-1]","[-0.09134066163414062,0.04257326717314561]","[-1,-1,-1]","[-0.10608994036564103,0.12639923155754468]","[1,1,1]","[-0.14053753842793668,0.10220424009664067]","[-1,-1,-1]","[0.10295071360101825,0.09911070516274988]","[-1,-1,-1]","[0.03821519411728297,0.04095455815395079]","[-1,-1,-1]","[0.09741127524999292,-0.12820006511583754]","[1,1,1]","[0.10027906300670153,0.038537286168748686]","[-1,-1,-1]","[-0.1936419681119558,-0.04800091397730751]","[-1,-1,-1]","[0.06525583033385268,0.010703562125635363]","[-1,-1,-1]","[0.02,0.02]",1308.8736,0,0,0,23,1,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1308.8741,1309.3733,,,1309.6237,1309.9066,right,0.2669,,,,,,,,,0.9,,,,,,1309.3733,1309.6236,1309.9066,"[0.0849773923280945,0.0998669366586676]","[1,1,1]","[0.11620959172384217,-0.11810538321134548]","[1,1,1]","[-0.04469458999722258,0.06150037200819275]","[1,1,1]","[-0.08065532213258507,-0.14819594942759567]","[1,1,1]","[-0.014884100926701331,-0.14482137133134254]","[1,1,1]","[-0.016351489848650154,-0.19551683623632993]","[1,1,1]","[0.18624590265686183,0.042364021658421236]","[1,1,1]","[-0.14175040237632308,-0.021144872045136067]","[1,1,1]","[0.07835204461753682,-0.18032153225781392]","[1,1,1]","[0.012974268586335137,0.017498602886696846]","[1,1,1]","[-0.048796378516181564,0.12374856669812229]","[1,1,1]","[-0.09004271840183296,-0.014051490231220678]","[1,1,1]","[-0.031168439623148275,0.009228733350627792]","[1,1,1]","[-0.18582898447739946,-0.034547822740699154]","[1,1,1]","[0.06444149637377122,0.023030402858386832]","[1,1,1]","[0.05428738419348508,0.12700559569512976]","[1,1,1]","[-0.05613072030566476,-0.056577074696699564]","[1,1,1]","[0.14613461769554978,-0.03046983805150745]","[1,1,1]","[0.02737296799911386,-0.156733391988698]","[-1,-1,-1]","[-0.117418494292601,0.07591211318665142]","[1,1,1]","[-0.008269462347898564,-0.042254039158917386]","[-1,-1,-1]","[0.03637889003793997,0.0739053929959662]","[-1,-1,-1]","[0.1797069072438096,-0.061586178851029016]","[1,1,1]","[0.06806456361252788,-0.11027900140048691]","[1,1,1]","[-0.036367367134358196,0.1864459472141928]","[1,1,1]","[-0.11327212107213394,0.02176056824802926]","[1,1,1]","[-0.08529243118528088,0.10527908689977507]","[1,1,1]","[-0.12125079093300409,-0.11823020321879063]","[1,1,1]","[-0.14531497547469424,0.1291795650831277]","[1,1,1]","[-0.002903239710952883,0.13174791274875958]","[1,1,1]","[-0.14681029686423483,-0.07460920220617827]","[1,1,1]","[0.1966545363038059,-0.020316043874993486]","[1,1,1]","[0.02,0.02]",1311.0062,0,1,1,191,1,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1311.0066,1311.5061,,,1311.7565,1312.4725,right,0.7079,,,,,,,,,0.5,,,,,,1311.5061,1311.7565,1312.4725,"[0.029149059140590818,-0.06602131345836237]","[-1,-1,-1]","[0.1485627756342043,-0.009738887761068583]","[1,1,1]","[-0.11602072181920911,-0.10961554218095951]","[1,1,1]","[0.02314680188577385,0.15594344917187883]","[-1,-1,-1]","[0.04470315744145841,0.08284229569664402]","[-1,-1,-1]","[0.1969233315882634,0.01651884090751396]","[1,1,1]","[-0.014680118786925864,-0.07030436141298821]","[1,1,1]","[-0.06697970411754578,-0.03955220588429249]","[-1,-1,-1]","[-0.15655934287591441,0.07903282076439123]","[1,1,1]","[-0.09882619435698299,0.02199596638687933]","[-1,-1,-1]","[-0.029721304973840432,0.038930933960569396]","[-1,-1,-1]","[-0.15633345788421818,-0.03747125054568062]","[-1,-1,-1]","[0.030290748305525365,-0.1746187525260129]","[1,1,1]","[0.09489688757896536,0.05351023234355283]","[-1,-1,-1]","[-0.036342391276166425,-0.18308597666772608]","[1,1,1]","[0.009250547734317908,-0.10260642538788767]","[1,1,1]","[0.15826772232527284,0.10203162532418127]","[1,1,1]","[0.05819150559842124,0.17970520477545252]","[-1,-1,-1]","[-0.026174538505310225,0.08518502905789341]","[-1,-1,-1]","[0.10741226591803013,-0.07004169007556896]","[1,1,1]","[0.10155631260940556,-0.14331442864121888]","[-1,-1,-1]","[0.08050098667785185,-0.1000255053638594]","[-1,-1,-1]","[-0.004241078375875356,-0.011412127293790441]","[1,1,1]","[-0.08253959939536071,0.15625621523629973]","[1,1,1]","[-0.027974272482969024,0.19801601683675318]","[-1,-1,-1]","[-0.14725870800077415,0.11856342022390833]","[-1,-1,-1]","[-0.10769825408129828,-0.03622949910408715]","[1,1,1]","[0.08564114283579857,0.14418961484277926]","[1,1,1]","[-0.17175410839395835,0.004448740292737014]","[1,1,1]","[-0.06021586111075216,-0.08144035635164806]","[-1,-1,-1]","[-0.0973397842997637,-0.15270297682129547]","[1,1,1]","[-0.03266126003370756,0.15014852363418937]","[-1,-1,-1]","[0.02,0.02]",1313.5724,0,2,2,111,1,,,,,,,
,,,,,,,6630ec10efe9f6624eb24482,682db3a42fc17d186799f38d,2025-05-21_13h06.31.300,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,1313.5728,1314.0723,,,1314.3227,1314.8557,right,0.5235,,,,,,,,,0.55,,,,,,1314.0723,1314.3226,1314.8557,"[0.07256336568489602,-0.002790764243356329]","[1,1,1]","[-0.04151494284081079,-0.09627897072481074]","[1,1,1]","[0.12711587036172214,-0.0453602609522554]","[-1,-1,-1]","[0.01009719808323735,0.12770668698156318]","[1,1,1]","[-0.1287679365945029,0.07949624340350388]","[-1,-1,-1]","[0.17544131120293896,-0.048258243231072064]","[1,1,1]","[0.03464991120042043,-0.027786392490393545]","[-1,-1,-1]","[-0.14606707656190793,0.03280550214149388]","[1,1,1]","[0.1140849549051599,0.09201774003134754]","[1,1,1]","[-0.14227046560684561,-0.061519318627496454]","[1,1,1]","[-0.046158176523409464,0.158716798133274]","[1,1,1]","[0.04180275033994402,-0.1917753196811894]","[-1,-1,-1]","[-0.11802382732162862,0.0025762803765488826]","[1,1,1]","[-0.08667389296726181,0.1515833737551716]","[-1,-1,-1]","[0.08329682623100826,0.16761295460608736]","[-1,-1,-1]","[0.13592218161688632,0.0576510870039348]","[1,1,1]","[-0.010701988526708506,-0.18621547728366988]","[-1,-1,-1]","[0.16864062513380718,-0.0037478594544021588]","[-1,-1,-1]","[0.09374188673002863,-0.13247026027008277]","[-1,-1,-1]","[0.14593722209637497,-0.1303031887266642]","[-1,-1,-1]","[-0.10343477771113599,-0.15150083557161165]","[-1,-1,-1]","[-0.18598474050861702,-0.004530108508821731]","[1,1,1]","[-0.008705529207603863,0.08563360736109006]","[-1,-1,-1]","[-0.19000009112625557,-0.050617114775461644]","[1,1,1]","[-0.09723867907143416,-0.052124144105996896]","[1,1,1]","[0.017879322382844575,0.015031638396406711]","[1,1,1]","[0.050404833459020235,0.11226416393370127]","[1,1,1]","[-0.04011926827957858,-0.005493098588143193]","[-1,-1,-1]","[-0.015803485897995913,-0.1451991613917622]","[1,1,1]","[-0.014976261393899223,0.037937979463613415]","[-1,-1,-1]","[-0.05723484332810785,-0.1369908676113039]","[1,1,1]","[-0.09816677341200096,-0.095725939402037]","[1,1,1]","[0.02,0.02]",1315.9553,0,3,3,129,1,,,,,,,
