right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,18.1906,space,3.168,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,18.1908,81.826,space,6.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,81.8263,85.726,space,0.8706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,85.7415,86.2427,86.2429,86.4973,86.4974,86.9268,left,0.4022,,86.927,88.0293,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,88.0297,88.526,88.5261,88.7771,88.7773,89.3764,right,0.5917,,89.3765,90.4759,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.4763,94.3599,space,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,94.3723,94.8763,,,95.13,95.8601,right,0.7003,,,,,,,,,0.45,,,,,,94.8767,95.1299,95.8605,"[0.021087596893879207,0.005063909689526685]","[-1,-1,-1]","[0.07887009357834476,0.03005096396486477]","[-1,-1,-1]","[-0.05800817334490419,0.14997662910445697]","[-1,-1,-1]","[0.09030546978907499,0.14394346629156965]","[-1,-1,-1]","[0.04084697706724859,-0.1927041367917849]","[-1,-1,-1]","[0.10159472768253625,0.07976400514073999]","[-1,-1,-1]","[0.10467013184685767,-0.11590349806188806]","[1,1,1]","[-0.11066023201078601,-0.01956066784546977]","[-1,-1,-1]","[-0.030731133525817782,-0.17731554438995345]","[-1,-1,-1]","[0.06161776796818447,-0.09057984861826815]","[-1,-1,-1]","[0.10098143757028369,-0.06706092265115278]","[1,1,1]","[0.17302283779005603,0.09886934067569259]","[1,1,1]","[-0.07864539341928393,-0.09405629728415696]","[1,1,1]","[0.1435782767149819,-0.13539297015769]","[-1,-1,-1]","[0.16784525762706673,0.02415690883207458]","[1,1,1]","[-0.031884574459315994,-0.013302915056185851]","[1,1,1]","[-0.11341273852972922,-0.15352063300946434]","[1,1,1]","[-0.16019661137893437,0.07018189767170221]","[-1,-1,-1]","[-0.1776448000938251,-0.021354926520245687]","[-1,-1,-1]","[-0.00390689462625273,0.1686787905194714]","[1,1,1]","[-0.14500005549316142,0.030492921494680855]","[1,1,1]","[0.04350083545953313,-0.1395119870752074]","[-1,-1,-1]","[-0.02081265556583569,-0.0531602394305923]","[1,1,1]","[-0.12006180973846747,0.13619431266802115]","[1,1,1]","[0.09697977100199237,-0.02444329673693436]","[1,1,1]","[0.16153856817851706,-0.05663768504541482]","[1,1,1]","[-0.05878774751064406,0.09535002733813132]","[-1,-1,-1]","[0.01155328737248483,0.07101257036625057]","[1,1,1]","[-0.07246041763078238,-0.13792140037200265]","[-1,-1,-1]","[-0.18059705240767657,-0.06999669995591401]","[-1,-1,-1]","[0.12548002096988498,0.03440291045939111]","[-1,-1,-1]","[0.13559879569793568,0.12703673144497152]","[-1,-1,-1]","[0.02,0.02]",96.9594,0,0,0,85,1,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,96.9597,97.4598,,,97.71,98.1765,right,0.4469,,,,,,,,,0.1,,,,,,97.4599,97.71,98.1765,"[-0.03160019487959217,0.12202260911871453]","[-1,-1,-1]","[-0.0992906350928985,0.1103638774923989]","[-1,-1,-1]","[0.15843618021189268,-0.0983928576765774]","[-1,-1,-1]","[0.044190936794540184,0.18076781101331896]","[-1,-1,-1]","[0.0212201770062559,-0.1474207943900118]","[-1,-1,-1]","[0.12464283808839935,-0.058267852210620474]","[-1,-1,-1]","[0.046160742770548206,0.020032556694668503]","[-1,-1,-1]","[0.13250977249165957,0.008512028496543492]","[-1,-1,-1]","[0.09840094400106258,-0.01396762822207226]","[-1,-1,-1]","[0.11626381370394095,-0.10691721513039867]","[-1,-1,-1]","[-0.07482430944027259,0.06330485072222992]","[-1,-1,-1]","[-0.037544459999621145,-0.04816936371846447]","[-1,-1,-1]","[-0.07884401911952657,0.15536454433720884]","[-1,-1,-1]","[-0.18409856515737455,0.0736339064033038]","[1,1,1]","[0.05149268560364143,-0.05752688916142924]","[-1,-1,-1]","[-0.008384196894837104,0.010048657153284516]","[-1,-1,-1]","[0.01998888091452829,-0.1981357919654479]","[-1,-1,-1]","[-0.0787573777135216,-0.14851299093971518]","[-1,-1,-1]","[0.09565228121737177,-0.1451597053552299]","[-1,-1,-1]","[-0.1446745112899795,0.09935982138000746]","[-1,-1,-1]","[-0.026603686683391907,0.08071640058578652]","[-1,-1,-1]","[-0.08937106958513023,0.02446333997745736]","[-1,-1,-1]","[-0.04968633881210701,0.18981057361915452]","[-1,-1,-1]","[-0.0025688459649854064,0.18807058829851475]","[-1,-1,-1]","[0.016074136253850867,0.13087489172546263]","[1,1,1]","[-0.09227667269028166,-0.02246244034318928]","[-1,-1,-1]","[0.18620868341410834,0.05454462325229268]","[-1,-1,-1]","[0.11240231039226256,0.15578323285260665]","[-1,-1,-1]","[-0.1140750879293683,-0.09488552370274529]","[-1,-1,-1]","[0.014317595582766835,-0.02765511429486219]","[-1,-1,-1]","[-0.14907421325488837,-0.06544677596826083]","[-1,-1,-1]","[-0.1879430573524341,-0.0317680303162839]","[1,1,1]","[0.02,0.02]",99.2766,0,1,1,12,1,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,99.2769,99.7806,,,100.0268,100.727,right,0.6662,,,,,,,,,0.5,,,,,,99.7806,100.0268,100.7271,"[0.08077328198895735,0.15930066551601071]","[-1,-1,-1]","[0.07318866049733516,-0.09080790685469198]","[1,1,1]","[-0.0009217997597055976,0.08427441384486514]","[-1,-1,-1]","[-0.0839154758395052,0.05877244070602397]","[1,1,1]","[0.16336603065596128,0.0726414552773597]","[-1,-1,-1]","[0.12589338056892332,-0.02377387748309449]","[1,1,1]","[0.0033723720079451157,-0.10975515060413177]","[1,1,1]","[-0.13307307870820503,0.04312864257832289]","[1,1,1]","[-0.07181538637387702,-0.12496243757986997]","[1,1,1]","[-0.15696508558648897,-0.016755035942886676]","[-1,-1,-1]","[-0.09758399183602524,0.017312548319252902]","[1,1,1]","[-0.0501946844618577,-0.0008098959263215617]","[1,1,1]","[-0.04071354973337886,-0.04309728932093073]","[1,1,1]","[0.11809253616500236,0.048670276659152044]","[-1,-1,-1]","[-0.012143640465037976,0.14825629131665416]","[-1,-1,-1]","[0.18896685798554572,-0.036911123297337874]","[1,1,1]","[-0.17345138126671136,-0.088068780432356]","[-1,-1,-1]","[0.040682331489932604,-0.13029586403201718]","[-1,-1,-1]","[0.15399144740499965,0.12433683097253433]","[-1,-1,-1]","[0.06665407515283583,-0.019131716145771978]","[1,1,1]","[-0.09585873555071261,-0.16183072138991364]","[1,1,1]","[-0.014916332066365522,-0.181919988309897]","[1,1,1]","[0.15178339527859203,-0.0607515294082234]","[1,1,1]","[0.17734872849342337,0.0066065885368546936]","[-1,-1,-1]","[-0.0000347519802242267,0.03349293017989138]","[-1,-1,-1]","[0.09818774944293167,-0.13392621450999814]","[-1,-1,-1]","[-0.09476378618018942,-0.07557202543040187]","[-1,-1,-1]","[-0.11930919167221467,0.10539809364829404]","[-1,-1,-1]","[-0.07502619695589378,0.14036939841864476]","[-1,-1,-1]","[-0.041525207109381304,0.04136343856200584]","[1,1,1]","[0.023132047198707817,0.18822718390002577]","[-1,-1,-1]","[0.059890132210276184,0.10072511927113634]","[1,1,1]","[0.02,0.02]",101.8263,0,2,2,90,1,,,,,,,
,,,,,,,6634e4d4f1950b4dcd44d4d9,682f0323449051f9731f198e,2025-05-22_13h01.42.982,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,101.8268,102.3265,,,102.5769,102.9766,left,0.3846,,,,,,,,,0.6,,,,,,102.3265,102.5769,102.9767,"[0.02008959213330324,0.01697603640242256]","[1,1,1]","[-0.034190124859174234,0.08376870135671591]","[-1,-1,-1]","[-0.04698348885998383,0.18977925166717038]","[1,1,1]","[-0.024861553344029765,-0.056462262252912586]","[1,1,1]","[0.05935240354005563,0.08576794843608282]","[-1,-1,-1]","[0.08071505919572404,-0.032376065383652855]","[-1,-1,-1]","[0.19354790000961314,-0.010880284006187752]","[-1,-1,-1]","[0.08723293521229936,0.11699835981894523]","[-1,-1,-1]","[-0.02673464886400329,-0.00869977230919357]","[1,1,1]","[0.03966349424698031,-0.06029513176199169]","[-1,-1,-1]","[-0.0665659890868919,-0.07193492425581702]","[1,1,1]","[-0.08170580099124944,0.007650304525734572]","[1,1,1]","[-0.10597179905999539,-0.14717584444718204]","[-1,-1,-1]","[-0.040462943851063846,-0.12180987726590482]","[1,1,1]","[0.015547603827854152,-0.0956750564331832]","[1,1,1]","[0.13968357545320081,0.10754526933737214]","[-1,-1,-1]","[-0.010383894379794468,0.15604125241701464]","[1,1,1]","[-0.15317808088726054,0.03367530592051714]","[1,1,1]","[-0.15962350521122665,0.10990538240372116]","[1,1,1]","[0.08148261423338901,0.1569047819622449]","[1,1,1]","[0.01896695547298693,0.12797279587663954]","[1,1,1]","[-0.07738223333273647,0.13734449927093992]","[-1,-1,-1]","[0.024885347216223142,-0.17705999587464047]","[1,1,1]","[-0.18998389317763414,0.010519357110141514]","[-1,-1,-1]","[0.12901090640192386,-0.08566047290219798]","[-1,-1,-1]","[-0.12203242067984588,0.15523081137240977]","[1,1,1]","[0.12290405840184548,-0.13263081198102183]","[-1,-1,-1]","[0.16228293677334216,0.03663245156440384]","[-1,-1,-1]","[-0.15621614594749708,-0.014948356435917349]","[1,1,1]","[0.09127437495760878,-0.16104738535568028]","[1,1,1]","[-0.12994343852712392,-0.07519455580714678]","[1,1,1]","[0.03616047142566701,0.19647977571311517]","[1,1,1]","[0.02,0.02]",104.0764,0,3,3,178,1,,,,,,,
