right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,1E-04,70.6186,space,55.6148,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,70.6187,105.4395,space,4.8169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,105.4396,123.1582,space,14.7168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,123.1647,123.6623,123.6624,123.9097,123.9097,124.3707,left,0.4452,,124.3707,125.4706,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,125.4708,125.9705,125.9705,126.2195,126.2195,126.4986,right,0.2725,,126.4986,127.5994,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5996,132.2735,space,1.6702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,132.2773,132.7754,,,133.0259,133.694,right,0.6599,,,,,,,,,0.5,,,,,,132.7755,133.0259,133.6941,"[-0.05314834304607562,-0.13454555130139978]","[1,1,1]","[0.1406717876964431,-0.13278260274314976]","[1,1,1]","[-0.015462729604669635,-0.11081341106347078]","[1,1,1]","[-0.05332290851167774,-0.07760267352139245]","[1,1,1]","[-0.15839711919888788,0.09770933233055906]","[-1,-1,-1]","[0.15203634937844898,0.11210178950160092]","[1,1,1]","[-0.1849903971944444,0.02772173689863315]","[-1,-1,-1]","[-0.00001012113038824972,-0.0448614704306363]","[-1,-1,-1]","[0.09190122613594034,0.010405446528635499]","[-1,-1,-1]","[-0.06112452963058676,0.020268027706981558]","[-1,-1,-1]","[0.09662760099402501,-0.045518535111757685]","[1,1,1]","[-0.16972625832093818,-0.0731511851450113]","[-1,-1,-1]","[0.01672201058261279,-0.0870116563584652]","[1,1,1]","[0.1872493061330459,-0.02470213419430929]","[-1,-1,-1]","[-0.1420404973175347,0.006416395379211958]","[1,1,1]","[-0.07833585231895165,0.1436717857863388]","[1,1,1]","[0.06028514345381124,0.038484005080899476]","[1,1,1]","[-0.07070328904506487,-0.18124439503395395]","[-1,-1,-1]","[-0.00975679298375589,0.18998499266486119]","[-1,-1,-1]","[0.1293298150767087,-0.021527300079179253]","[1,1,1]","[-0.0998682204202556,-0.08072830007129121]","[1,1,1]","[0.04993487328282147,-0.06152921730482959]","[-1,-1,-1]","[0.0177297443751894,0.02990715871444041]","[-1,-1,-1]","[0.05728887050862699,-0.13206982162518424]","[1,1,1]","[0.007612255681462654,0.12280097651486074]","[1,1,1]","[0.017264505869480702,-0.14415166511810615]","[1,1,1]","[0.058575843977315606,0.14353817406807276]","[-1,-1,-1]","[0.09127879380850702,0.10274333449821768]","[-1,-1,-1]","[-0.02430139324188429,-0.18831618123536153]","[1,1,1]","[0.16932115666764133,-0.08258758822495539]","[-1,-1,-1]","[-0.10551348345838414,-0.14209593256642147]","[-1,-1,-1]","[0.09523405247490371,-0.11493086208629058]","[-1,-1,-1]","[0.02,0.02]",134.7931,0,0,0,109,1,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,134.7933,135.2959,,,135.544,136.1496,left,0.6045,,,,,,,,,0.6,,,,,,135.2959,135.544,136.1496,"[0.17543901579605498,-0.03410839814354475]","[-1,-1,-1]","[0.11768758532424713,0.08564634243482444]","[1,1,1]","[0.10383978784549618,-0.0420330127381406]","[-1,-1,-1]","[-0.06145746239085033,-0.026890337254746537]","[1,1,1]","[-0.12925239783372194,-0.045308742050840484]","[-1,-1,-1]","[0.07137599325609835,-0.12113636197093636]","[1,1,1]","[0.01849413094666362,-0.10674123819183426]","[1,1,1]","[0.06985343996696569,-0.001661032510208692]","[1,1,1]","[0.15615792275669102,0.005082664103526159]","[1,1,1]","[0.03996081916589355,0.06042666919222565]","[-1,-1,-1]","[-0.04915875498668529,-0.16018529860090394]","[1,1,1]","[0.08087441219972098,0.06760081388182472]","[-1,-1,-1]","[-0.032495151857004814,0.09131166977103268]","[1,1,1]","[0.10349833081184122,-0.14641221439645066]","[1,1,1]","[-0.11842731337698291,-0.15898268716710343]","[1,1,1]","[-0.06745634482616092,-0.09572948306259844]","[1,1,1]","[-0.13170622726191492,-0.003339537444772136]","[1,1,1]","[-0.16258308534319052,0.10200782427192906]","[1,1,1]","[-0.05838186888083166,0.056700422383043604]","[-1,-1,-1]","[-0.02258339485117822,0.1637805537467113]","[-1,-1,-1]","[0.035610123754453826,-0.1738912360543862]","[-1,-1,-1]","[0.049796815883558894,0.1179151973426184]","[-1,-1,-1]","[-0.13302569813208984,0.056948620998609256]","[-1,-1,-1]","[0.008799933115062728,-0.05423610801164073]","[1,1,1]","[-0.005619383448604969,-0.14246463918107125]","[-1,-1,-1]","[0.009175721974140379,0.007020221740530268]","[1,1,1]","[-0.08673484036822439,0.11583290805573238]","[-1,-1,-1]","[0.05460473962725118,0.183932902043197]","[1,1,1]","[-0.19631484243400513,-0.01816775961855826]","[1,1,1]","[0.1744054340368041,0.05117630394455704]","[1,1,1]","[0.05746318758317183,-0.046013449614040615]","[1,1,1]","[0.15825737812723187,-0.07383935671724932]","[-1,-1,-1]","[0.02,0.02]",137.2486,0,1,1,162,1,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,137.2487,137.7486,,,137.9985,138.4194,right,0.4159,,,,,,,,,0.4,,,,,,137.7486,137.9985,138.4194,"[0.10124848305714729,-0.054742483868383304]","[1,1,1]","[-0.11695505652421104,-0.11597173721944674]","[-1,-1,-1]","[-0.0760876306517468,-0.12090805499896631]","[-1,-1,-1]","[-0.010834451937656482,0.1575431748145205]","[-1,-1,-1]","[0.12762454336260678,0.05167812517486715]","[1,1,1]","[0.024741436394243924,0.181075872149368]","[-1,-1,-1]","[0.10557595884854146,-0.14791165355045202]","[-1,-1,-1]","[-0.017841246154953215,-0.1659519389156432]","[-1,-1,-1]","[0.0095153273902911,0.0727253001440327]","[-1,-1,-1]","[-0.10508604788888108,0.05941957867350015]","[1,1,1]","[0.1495198458767852,-0.07535155150565084]","[1,1,1]","[0.10213711790697906,-0.0034181582894502564]","[1,1,1]","[0.05099151317948371,-0.010823439496233813]","[-1,-1,-1]","[-0.07922687841933088,-0.009623435843884543]","[-1,-1,-1]","[0.1749127604108692,0.06483747209596598]","[1,1,1]","[-0.15001202960819238,0.06408972225465218]","[1,1,1]","[-0.05347663331369055,-0.06060347517111318]","[1,1,1]","[0.074358544420176,-0.17865248829863498]","[1,1,1]","[0.1968867619255135,0.01087142700548204]","[-1,-1,-1]","[-0.13865102918776054,-0.08045677984499904]","[1,1,1]","[-0.019637815404737666,-0.12120084793805254]","[-1,-1,-1]","[0.18864725580076988,-0.044611448019675336]","[-1,-1,-1]","[-0.1708852176582743,-0.049355057860339405]","[-1,-1,-1]","[0.0578617442170744,0.13423929130939397]","[-1,-1,-1]","[-0.14569863685334586,0.02165754666748393]","[-1,-1,-1]","[-0.028299647789242967,0.05505073005182707]","[-1,-1,-1]","[0.020535922712840757,-0.11296283910998675]","[-1,-1,-1]","[0.11518280279250102,0.12734033496187164]","[1,1,1]","[0.150170021307499,-0.013216590489967182]","[-1,-1,-1]","[-0.17872542909213157,-0.00706114280471423]","[1,1,1]","[0.031312849887821854,-0.07285497785412397]","[-1,-1,-1]","[0.0008139902267535182,0.009510143403142208]","[1,1,1]","[0.02,0.02]",139.5178,0,2,2,58,1,,,,,,,
,,,,,,,664a70b48ff64eb6fa5d8b05,682f032d1e9589676c61ccea,2025-05-22_13h02.39.489,cuing_paradigm_dot,2024.1.5,Win32,238.0952381,682d556593cb38ad0a074487,,,,,,,,,,,139.5179,140.0178,,,140.2666,140.8808,left,0.6085,,,,,,,,,0.9,,,,,,140.0179,140.2666,140.8808,"[0.15639674442952076,-0.005776712066321784]","[1,1,1]","[0.12159027916463738,0.07436102662328777]","[1,1,1]","[-0.03878530753091174,0.18540586044004104]","[1,1,1]","[0.14925399520606702,-0.09395204438222497]","[1,1,1]","[0.017306279169643085,-0.19611736752188397]","[1,1,1]","[-0.11913258351891425,-0.06350698407169009]","[1,1,1]","[-0.025467775026486592,0.048204567725207176]","[1,1,1]","[0.16700011854941568,0.04654654751460986]","[1,1,1]","[-0.005723827232082371,0.0006625670645196201]","[1,1,1]","[-0.12341421441531414,0.13402223902050528]","[-1,-1,-1]","[-0.0614671790940116,-0.05906927034485831]","[-1,-1,-1]","[-0.17902135548167797,-0.08185006986769039]","[1,1,1]","[0.05779458050014066,-0.10187413789670377]","[1,1,1]","[-0.10612110259751656,-0.1584059930500228]","[1,1,1]","[0.07460277977868907,0.1780109242045521]","[1,1,1]","[-0.056559978985054854,-0.1736384393604944]","[1,1,1]","[0.017211508477545063,0.096386556456879]","[1,1,1]","[0.09947619391808797,-0.09679405425308801]","[-1,-1,-1]","[0.08845042700780043,-0.007246462716241487]","[1,1,1]","[-0.11105733291808344,0.026939473581121736]","[1,1,1]","[0.13153880909801494,-0.14223190942067307]","[1,1,1]","[0.10905222634881398,0.15583741066996945]","[1,1,1]","[-0.03662899028615861,0.10560347922884541]","[1,1,1]","[-0.07528815879258051,-0.0029620959029329407]","[1,1,1]","[0.0514103322246552,0.06148394247255876]","[1,1,1]","[0.08626587937720281,-0.15602799038298543]","[1,1,1]","[-0.0017132007630553934,-0.12407572872710668]","[1,1,1]","[0.09479324985602106,0.03420426731338236]","[1,1,1]","[-0.10498303293761818,-0.11382825516348638]","[1,1,1]","[-0.16699193678816215,0.09849217881676378]","[1,1,1]","[-0.06967730381910772,0.05467359715942292]","[1,1,1]","[-0.06723570913687676,0.15695822166882784]","[1,1,1]","[0.02,0.02]",141.9795,0,3,3,207,1,,,,,,,
