right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0002,130.8623,space,115.8532,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,130.8625,179.4743,space,18.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,179.4744,231.9619,space,49.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,231.9759,232.4685,232.4687,232.7187,232.7188,234.2185,,234.2187,235.3157,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,235.3163,235.8156,235.8157,236.066,236.066,236.5795,left,236.5796,237.677,0,1,1,0,1,0.8,0.5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.6773,252.1082,space,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,252.1172,252.6147,,,252.8653,253.4689,right,,,,,,,,0.4,0.5943,,,,,,,252.6151,252.8651,253.4692,"[0.11818641552713612,-0.07129617809611608]","[1,1,1]","[-0.035269639248446116,-0.1410745264342516]","[-1,-1,-1]","[-0.018239060424139978,0.14242798544975935]","[1,1,1]","[0.06778795315012756,0.08001108673041642]","[-1,-1,-1]","[-0.14360360462777713,0.005174868420385711]","[-1,-1,-1]","[-0.07176582168736557,-0.09295742670419085]","[-1,-1,-1]","[-0.08643687491354073,0.05873853183116318]","[-1,-1,-1]","[-0.06928502659055807,-0.17376100105106304]","[1,1,1]","[0.08024843126995126,-0.1641609483088923]","[-1,-1,-1]","[-0.17175624159625347,-0.08694955720124037]","[-1,-1,-1]","[0.09057264922134578,0.016620882539404597]","[-1,-1,-1]","[0.10368127072423014,0.12497220506678121]","[1,1,1]","[-0.01555328247398405,-0.05905060913616026]","[1,1,1]","[-0.042131898220629946,0.17526594474872495]","[-1,-1,-1]","[0.006031465186453547,0.02945804018795418]","[1,1,1]","[0.11303327492569716,0.05991116014491051]","[-1,-1,-1]","[-0.1034714921631292,-0.0067791947020075325]","[1,1,1]","[-0.0555516285223733,0.08764596814173893]","[-1,-1,-1]","[0.07115313591075455,-0.0848617586455936]","[1,1,1]","[-0.007321329037218294,0.09176496261509903]","[-1,-1,-1]","[0.06369048904308433,0.18589490813375512]","[1,1,1]","[0.145962841806856,0.1289581876396139]","[-1,-1,-1]","[0.03211211491233548,-0.10580453983646583]","[1,1,1]","[0.11679331170930715,-0.014301085884847492]","[1,1,1]","[-0.15803558810869303,0.09529788765351055]","[-1,-1,-1]","[0.0759608152490341,-0.04116294687890023]","[-1,-1,-1]","[-0.09661222788919087,0.17348709077244504]","[-1,-1,-1]","[-0.0825041712585924,-0.13466790766529924]","[1,1,1]","[0.12684019459068202,-0.1377004405552616]","[-1,-1,-1]","[-0.0342123522466174,0.018961852662220544]","[1,1,1]","[0.1732209928649495,0.09373271141943801]","[-1,-1,-1]","[-0.12339310759560536,-0.11575099416138805]","[-1,-1,-1]","[0.02,0.02]",254.5662,0,0,0,42,1,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,254.5666,255.0661,,,255.3163,255.6981,right,,,,,,,,0.5,0.3681,,,,,,,255.0661,255.3163,255.6981,"[-0.02900395795821022,-0.04567141737919147]","[1,1,1]","[0.1089087232525424,-0.12530002795965436]","[-1,-1,-1]","[-0.1393996170062359,-0.14231085311535766]","[1,1,1]","[0.09205984159832527,-0.062179611266031116]","[1,1,1]","[0.15683169119771165,-0.055225372343109966]","[-1,-1,-1]","[0.08858263268638474,0.019145589808665556]","[1,1,1]","[0.0603818042929028,-0.024798385509959955]","[1,1,1]","[-0.005698651009424193,-0.08982209506455704]","[-1,-1,-1]","[-0.18693775151402245,-0.018376399747870375]","[-1,-1,-1]","[0.017856796774373285,-0.18429412487282054]","[1,1,1]","[-0.052386726572815234,0.03324676026679964]","[-1,-1,-1]","[0.04053580991755133,0.06099961441784352]","[1,1,1]","[-0.1415668283147552,0.11578384087811978]","[-1,-1,-1]","[-0.1782021757114532,0.08728180415068144]","[-1,-1,-1]","[0.07803599760762941,-0.17743229016970918]","[1,1,1]","[-0.08261052129569109,0.16856269235697]","[-1,-1,-1]","[-0.0693528435515832,-0.018105477478143762]","[1,1,1]","[0.0029229358232508015,0.07989772805182815]","[-1,-1,-1]","[0.1570374530736978,0.07230425142787894]","[-1,-1,-1]","[-0.14892155377471844,-0.034187660724530694]","[-1,-1,-1]","[0.12119672443739134,0.15032695443004793]","[-1,-1,-1]","[0.032624004134935373,0.14627229123685279]","[1,1,1]","[-0.0863949405096364,-0.17663702872561862]","[1,1,1]","[0.06285990413626401,0.1881392026066416]","[1,1,1]","[-0.08478696500638958,-0.09903236269185212]","[1,1,1]","[-0.07116586845529554,0.09706054797350118]","[-1,-1,-1]","[0.13508119807404148,-0.01241855907843879]","[1,1,1]","[0.17622387940651688,-0.019972949592279778]","[1,1,1]","[-0.02777442023796091,-0.14958498844856344]","[1,1,1]","[-0.009812871007255211,0.19168239831505793]","[-1,-1,-1]","[0.020604821830210413,0.012433149262162603]","[-1,-1,-1]","[-0.1453888385813771,-0.0881527333590696]","[-1,-1,-1]","[0.02,0.02]",256.7954,0,1,1,117,1,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,256.7957,257.2953,,,257.5458,257.8508,left,,,,,,,,0.9,0.2926,,,,,,,257.2953,257.5457,257.8508,"[-0.08885731311856258,-0.10787211222474147]","[1,1,1]","[-0.03375825251801008,0.1550510941264792]","[1,1,1]","[-0.1156509117812575,0.11358181445933042]","[1,1,1]","[0.061878197695746213,0.03802780039023529]","[1,1,1]","[0.11942831928660515,-0.028636981761678264]","[1,1,1]","[0.13083672488017453,0.011961405169570104]","[1,1,1]","[-0.16034091831572334,0.11779026762191398]","[1,1,1]","[0.07197099772393398,-0.08706847070509259]","[1,1,1]","[0.01916522158686148,0.08196620828928301]","[1,1,1]","[0.02073861916526732,-0.030831419364955523]","[1,1,1]","[-0.12101745756258603,-0.054012970477837215]","[1,1,1]","[-0.05029590881580229,-0.08947480750593242]","[1,1,1]","[-0.006354567424844183,-0.1103812062617986]","[1,1,1]","[-0.15994759594364188,-0.09169556724895608]","[1,1,1]","[0.16403645509282078,0.06943387432192631]","[1,1,1]","[-0.11242012895030064,-0.1588797952092755]","[1,1,1]","[-0.14405358436556068,0.07685120673584041]","[1,1,1]","[0.1755918076447481,0.02835435450715236]","[1,1,1]","[0.08551775798606358,0.1723091979587071]","[-1,-1,-1]","[-0.0721161459477107,0.0013191937000023583]","[-1,-1,-1]","[-0.02368489210938793,0.10793647304888604]","[1,1,1]","[-0.08171585133843512,0.09056302748479812]","[1,1,1]","[0.03056428694853596,-0.17879491003877201]","[1,1,1]","[-0.03295919721164477,-0.024398945764849047]","[1,1,1]","[-0.032425954538217346,-0.16462853496135335]","[1,1,1]","[-0.01675347365489736,0.06074651438198686]","[1,1,1]","[-0.08146734264189714,0.17300265757017425]","[1,1,1]","[-0.17550333479306632,-0.0014376334354581643]","[1,1,1]","[0.15994116936441582,-0.05143396888359173]","[1,1,1]","[0.14302291563262562,-0.09486316516107171]","[1,1,1]","[0.09689569196895949,0.06710028770190281]","[-1,-1,-1]","[0.09024923990976827,0.10834945769868205]","[1,1,1]","[0.02,0.02]",258.9481,0,2,2,204,1,,,,,,,
,,,,,,,664b8cea76bb80570322160f,682f0fbfb2638f18ed4a125b,2025-05-22_12h52.30.047,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,258.9484,259.4482,,,259.6984,260.2815,left,,,,,,,,0.55,0.5744,,,,,,,259.4482,259.6983,260.2816,"[0.10990231957386903,0.13485248766444885]","[1,1,1]","[-0.10751407900568691,0.00013004958271873587]","[-1,-1,-1]","[0.007852421199454528,-0.13633818243835932]","[1,1,1]","[-0.058033743662790474,0.09734824109324011]","[1,1,1]","[0.15079715415770317,-0.024353019856417163]","[-1,-1,-1]","[0.10136514987499577,-0.0761880139232303]","[-1,-1,-1]","[0.021543868288602892,0.16232184857947585]","[1,1,1]","[0.007489290675892814,0.017244523194063985]","[1,1,1]","[-0.1326978043680455,-0.040201874947374386]","[1,1,1]","[-0.16517751633207095,0.00895569701702757]","[1,1,1]","[-0.05100614075316648,0.1602693632541721]","[1,1,1]","[0.13829687240051716,0.0633339476494334]","[1,1,1]","[-0.036895666240200596,-0.019922869664499854]","[1,1,1]","[0.058279983784084256,-0.015301678737049091]","[-1,-1,-1]","[0.071010100864378,0.02735447112291338]","[1,1,1]","[-0.06543475230022344,-0.09116367809344912]","[-1,-1,-1]","[-0.05882609992965533,0.019734204897299736]","[1,1,1]","[0.04176519166703344,0.09407234994372357]","[1,1,1]","[-0.06728324540075627,-0.14689385663683144]","[-1,-1,-1]","[-0.15073829315328932,0.0645601970246084]","[-1,-1,-1]","[0.0095578279485732,-0.07721718866147252]","[-1,-1,-1]","[0.08540298053772405,0.0706205412372122]","[-1,-1,-1]","[-0.1424438201590813,-0.11522404090451402]","[-1,-1,-1]","[-0.021779320621484778,-0.19613572415995034]","[-1,-1,-1]","[-0.009868211290364443,0.19214738961891775]","[1,1,1]","[0.14969061804975145,-0.08083812355063008]","[-1,-1,-1]","[0.148905069027373,0.12208023454526158]","[-1,-1,-1]","[0.11636645001893738,-0.13999405647992413]","[-1,-1,-1]","[-0.09981429066715532,-0.06502050114830106]","[1,1,1]","[0.05572164256251761,0.13478541016105486]","[1,1,1]","[-0.02907977676481052,0.12539181444487282]","[1,1,1]","[-0.17468034061562296,-0.06627088647223489]","[1,1,1]","[0.02,0.02]",261.3788,0,3,3,125,1,,,,,,,
