right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.001,15.322,space,0.241,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,15.322,46.479,space,1.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,46.48,50.782,space,1.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,50.807,51.292,51.293,51.543,51.544,52.2,left,0.638,,52.2,53.295,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,53.296,53.794,53.794,54.045,54.045,54.333,right,0.283,,54.333,55.429,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.43,59.426,space,0.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,59.447,59.934,,,60.185,60.656,right,0.466,,,,,,,,,0.45,,,,,,59.935,60.185,60.658,"[0.09674736092640575,0.1485586251418597]","[-1,-1,-1]","[0.13452592043506645,0.04284735743539276]","[1,1,1]","[-0.13200728072648388,0.010357681170439378]","[1,1,1]","[-0.09293207517361199,0.0814462354625879]","[-1,-1,-1]","[-0.062353532931526505,-0.005787716520350084]","[-1,-1,-1]","[0.019163430262927966,0.11486335550104115]","[-1,-1,-1]","[-0.14752674491617646,-0.0927638344545056]","[-1,-1,-1]","[0.05970660884115103,-0.009468883157054991]","[-1,-1,-1]","[-0.1288083938548277,-0.05387916219050807]","[-1,-1,-1]","[0.05016615482395315,0.07463531225954702]","[-1,-1,-1]","[0.04397533314074119,-0.06006949012732973]","[-1,-1,-1]","[-0.16247596634942524,0.06958143565069647]","[1,1,1]","[-0.06628681098863566,-0.1157352367412976]","[1,1,1]","[-0.00034437890476713735,-0.12131004274697361]","[-1,-1,-1]","[0.18781023506170386,0.03336039610153166]","[1,1,1]","[0.15283483061129294,-0.012494141515833614]","[1,1,1]","[0.11166463410052842,-0.16464536782379646]","[1,1,1]","[-0.015811941550057187,0.17993744489010974]","[-1,-1,-1]","[0.14141495349838046,0.08778701558224808]","[-1,-1,-1]","[-0.060249668362256766,0.16550448184152736]","[-1,-1,-1]","[-0.01838769604085513,0.1322877193848676]","[1,1,1]","[-0.16499930761321752,-0.013990114971488344]","[1,1,1]","[-0.09814494278071431,0.14314967930594563]","[1,1,1]","[-0.0784435287609837,0.03228519276130378]","[-1,-1,-1]","[0.01716239069303271,0.018701354898199254]","[-1,-1,-1]","[-0.022398780351364365,0.01092501796014782]","[-1,-1,-1]","[0.053691772596450756,-0.15573404478319294]","[-1,-1,-1]","[-0.021253001285359084,0.05491892476232571]","[1,1,1]","[0.11921808010383424,-0.08300427978136263]","[1,1,1]","[-0.08338782638576558,-0.045095479183872446]","[1,1,1]","[-0.032094515074076305,-0.17161786404992727]","[-1,-1,-1]","[0.16947476301728845,-0.1024242258037123]","[1,1,1]","[0.02,0.02]",61.753,0,0,0,78,1,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,61.754,62.252,,,62.504,63.041,left,0.532,,,,,,,,,0.6,,,,,,62.253,62.504,63.041,"[0.04862102659305758,-0.05673401847884821]","[1,1,1]","[0.16315444107832858,0.1030767791994205]","[1,1,1]","[0.12818947224781466,-0.05354204520583123]","[1,1,1]","[-0.16840479936670513,0.04545404638332435]","[-1,-1,-1]","[-0.03306151944168463,-0.08113222024589928]","[1,1,1]","[-0.0688579287146569,0.07631286999945464]","[-1,-1,-1]","[0.02230007411480693,0.19093060658207614]","[-1,-1,-1]","[-0.02838194941282234,0.032653745910510894]","[1,1,1]","[-0.13287688060980726,0.08019960061616763]","[1,1,1]","[0.13675647942940483,0.04236368374374269]","[-1,-1,-1]","[-0.18558097322749173,-0.009339293582057972]","[-1,-1,-1]","[-0.13895631238559394,-0.05241535830339514]","[1,1,1]","[-0.11070286371511306,0.1644089510216641]","[-1,-1,-1]","[-0.03631730003415561,-0.14739089882620732]","[-1,-1,-1]","[0.021113736153737662,-0.18750170375278613]","[-1,-1,-1]","[-0.021288063264939067,-0.19801787597898168]","[1,1,1]","[0.011608895688700412,-0.11683489596866149]","[1,1,1]","[-0.10333757571735455,-0.1518938645898801]","[1,1,1]","[0.16988128172876182,-0.0989002170918944]","[1,1,1]","[-0.11389384046932059,0.022889817052579225]","[1,1,1]","[0.037186093911749776,-0.15016430859891025]","[-1,-1,-1]","[0.10719687730392573,0.11247808159706708]","[-1,-1,-1]","[0.04165966764223512,-0.015220467686883388]","[1,1,1]","[0.06598934889948396,0.17696701773563125]","[1,1,1]","[0.08832722214283235,0.027621888656932433]","[-1,-1,-1]","[-0.09417030042552023,-0.0175085711775483]","[1,1,1]","[0.10616294264049601,-0.15307983269197525]","[1,1,1]","[-0.10525717826915947,0.117459208739454]","[-1,-1,-1]","[-0.08746316173538478,-0.1118734019258438]","[-1,-1,-1]","[-0.1635815126860836,0.11224428328087362]","[1,1,1]","[-0.03432558019419504,0.16589511199469592]","[1,1,1]","[-0.09177072945309014,-0.06053774964511233]","[1,1,1]","[0.02,0.02]",64.138,0,1,1,167,1,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,64.139,64.638,,,64.89,65.729,right,0.833,,,,,,,,,0.45,,,,,,64.638,64.889,65.729,"[0.02559562319276125,0.17380903006052267]","[1,1,1]","[0.07526606432629893,-0.03835107009802164]","[-1,-1,-1]","[0.13070480046886268,-0.05443599484210666]","[1,1,1]","[0.15895976553323996,-0.011247339159600708]","[-1,-1,-1]","[0.07342807666965455,-0.15430737959987073]","[1,1,1]","[-0.13423379574773384,0.004097754636348465]","[-1,-1,-1]","[0.10336426561595344,0.0023128391384361043]","[1,1,1]","[-0.10766459021855843,0.14118720022666623]","[-1,-1,-1]","[-0.022569574949064964,0.06439529390276165]","[-1,-1,-1]","[0.0919338649105591,0.08638499513241937]","[-1,-1,-1]","[-0.15368928579770738,0.12267157627196702]","[1,1,1]","[0.07584128056349385,0.04629395519902895]","[1,1,1]","[-0.12258150588885307,-0.1087983485388595]","[1,1,1]","[0.006565014884427073,-0.003279535124676658]","[1,1,1]","[0.1898064213802309,0.04828313117528637]","[1,1,1]","[-0.1643373199684244,-0.10793460928806747]","[-1,-1,-1]","[-0.13637898917658675,-0.04532622720319715]","[-1,-1,-1]","[-0.08761259051316327,-0.04762478206067435]","[1,1,1]","[-0.08175108524238366,0.0714579504284974]","[-1,-1,-1]","[0.03270991475866557,-0.15502519466119635]","[1,1,1]","[-0.019716483290476903,-0.143784378678689]","[-1,-1,-1]","[0.01937846659627012,0.03699022912635942]","[-1,-1,-1]","[0.16540510989060794,0.09502141803655569]","[-1,-1,-1]","[0.11969904473639223,-0.10582997608433412]","[1,1,1]","[0.08266504348068761,-0.08536012295887362]","[-1,-1,-1]","[-0.14746589844879307,0.05302779601163897]","[1,1,1]","[-0.05248709384278225,-0.026923339199593898]","[1,1,1]","[0.1261039987516282,-0.14564908679333588]","[-1,-1,-1]","[0.03388628467830864,-0.07350325196398576]","[-1,-1,-1]","[0.0635399627764087,0.11804392135402579]","[-1,-1,-1]","[-0.03529457764596495,-0.18169576982635996]","[-1,-1,-1]","[-0.07459404929222359,0.010394603260511767]","[-1,-1,-1]","[0.02,0.02]",66.824,0,2,2,85,1,,,,,,,
,,,,,,,664cf2037353bb98801436b5,682f0fbd2b2a740b1842af4a,2025-05-22_08h44.03.108,cuing_paradigm_dot,2024.1.5,MacIntel,47.61904762,682d573fa47f1360d1451895,,,,,,,,,,,66.824,67.324,,,67.575,68.581,left,1,,,,,,,,,0.55,,,,,,67.324,67.575,68.581,"[-0.05003546956463488,0.16468204804097022]","[1,1,1]","[-0.05814174208372938,0.10476696507146786]","[1,1,1]","[0.058939211369587026,0.033974454192623835]","[-1,-1,-1]","[0.08154831770500343,0.17852475497980602]","[-1,-1,-1]","[0.03125783165179516,0.1857192996480549]","[-1,-1,-1]","[0.04009358204423766,0.0840155909648294]","[-1,-1,-1]","[-0.18916199904471498,0.05046416716876459]","[-1,-1,-1]","[0.09239953047120882,-0.09241032398684279]","[-1,-1,-1]","[-0.08531077625878793,-0.09928113081832192]","[1,1,1]","[-0.06812343592408414,0.039302531922518966]","[-1,-1,-1]","[-0.0010807601479160256,-0.028329994212393007]","[1,1,1]","[-0.06864862069019201,-0.1561793005595881]","[1,1,1]","[-0.0884544485133481,0.14226285306630693]","[1,1,1]","[-0.19353868919255465,0.0074505011328765145]","[1,1,1]","[0.06196301815065567,-0.041661914964556984]","[1,1,1]","[-0.1088754002677975,-0.06339676038103757]","[1,1,1]","[-0.11564543434414115,-0.14103648884537784]","[-1,-1,-1]","[0.018931307540118892,0.047970061094481625]","[1,1,1]","[0.008527379996305508,-0.1138534964524264]","[1,1,1]","[-0.16290640725136823,-0.11182067095082669]","[-1,-1,-1]","[-0.005905965576050935,0.014138457176717894]","[1,1,1]","[-0.14997743904504485,-0.002878956829761876]","[1,1,1]","[0.031226663229367593,-0.0010454944589273452]","[-1,-1,-1]","[0.1573600127716914,0.06423616590052754]","[1,1,1]","[0.14182790978291485,0.10109761666164364]","[1,1,1]","[-0.006549828009501132,-0.16730060024985763]","[-1,-1,-1]","[0.16204987878195506,-0.05867681765581128]","[-1,-1,-1]","[-0.13796646296150208,0.12351972709735543]","[-1,-1,-1]","[0.045735953298397365,-0.1785286718829781]","[1,1,1]","[0.14318213167387162,-0.11500531534003196]","[-1,-1,-1]","[0.049689346500101844,-0.11003304045337392]","[1,1,1]","[-0.12203669227643264,0.028293367183314946]","[1,1,1]","[0.02,0.02]",69.677,0,3,3,141,1,,,,,,,
