right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,164.4557,space,149.4386,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,164.4559,226.6324,space,32.1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,226.6325,234.7615,space,5.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,234.7782,235.2659,235.2665,235.5101,235.5103,236.9991,,236.9994,238.0993,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,238.1001,238.5989,238.599,238.8494,238.8495,239.7489,right,239.749,240.8493,0,1,1,0,1,0.8,0.8837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.8498,251.533,space,7.6631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,251.5447,252.0324,,,252.2832,252.566,right,,,,,,,,0.9,0.2677,,,,,,,252.0332,252.2831,252.5668,"[-0.13377211479546688,-0.11611410974497213]","[1,1,1]","[-0.07607997720650826,0.05003679656074186]","[1,1,1]","[0.14766234186406102,-0.012901446463273264]","[1,1,1]","[-0.003988162237091243,0.19411292871470884]","[1,1,1]","[0.06415359013172252,-0.16733077389537024]","[1,1,1]","[0.05656881342316102,-0.0761518140833177]","[1,1,1]","[-0.09363810275487144,0.10227452852580901]","[1,1,1]","[0.03561930629656577,0.12282334709722964]","[1,1,1]","[-0.12051233546543827,-0.015115659924555661]","[-1,-1,-1]","[-0.00647611830483184,0.06861070190480863]","[1,1,1]","[-0.19534605009583939,0.008205463708323198]","[1,1,1]","[-0.12333315689095016,0.036515626366436585]","[-1,-1,-1]","[-0.049991797669210046,0.16221954865378527]","[1,1,1]","[-0.005091846766377115,-0.10053183870007464]","[1,1,1]","[-0.1908427384851328,-0.053357056742780795]","[1,1,1]","[-0.16347333688492813,-0.08508548841286796]","[1,1,1]","[0.10465781463977358,0.038849841857567034]","[1,1,1]","[0.052913182550377816,0.16022683144305577]","[1,1,1]","[-0.004173138899858049,0.11588665860111369]","[1,1,1]","[0.10372594901774393,-0.003986172914805836]","[1,1,1]","[-0.141479253070697,0.08611227259661232]","[1,1,1]","[0.000868345533555448,-0.05490541466624717]","[1,1,1]","[0.0972234826870044,-0.07409685006652837]","[1,1,1]","[-0.023541471668576997,0.0208748448588825]","[1,1,1]","[-0.058834963892504095,-0.09416685613797078]","[1,1,1]","[0.09084235038715058,0.17718474473818827]","[1,1,1]","[0.03290755145820708,-0.1215622816647731]","[1,1,1]","[-0.06363187530778226,-0.009515056845755534]","[1,1,1]","[-0.00411333473541656,-0.18808766747439618]","[-1,-1,-1]","[-0.1025438663732218,0.15735924168321905]","[1,1,1]","[-0.09830737119043287,-0.1476002986291808]","[1,1,1]","[-0.046556830050798116,-0.14401779968120934]","[1,1,1]","[0.02,0.02]",253.6662,0,0,0,189,1,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,253.6667,254.1657,,,254.416,254.9325,left,,,,,,,,0.4,0.4999,,,,,,,254.1658,254.416,254.9325,"[-0.023184339913968375,-0.16758292183450715]","[-1,-1,-1]","[0.025422433302678828,0.0960370211474636]","[-1,-1,-1]","[-0.009120733569381914,0.18081006710837189]","[1,1,1]","[0.04045001252482506,0.1637544967300006]","[-1,-1,-1]","[-0.030757906980452398,-0.09839057274658637]","[1,1,1]","[-0.034649029056310364,-0.025987877335122783]","[-1,-1,-1]","[-0.13039770453072394,-0.020716773223701506]","[-1,-1,-1]","[0.04068774976030934,-0.04117458645525915]","[-1,-1,-1]","[0.13706092087458352,-0.08241419201942594]","[1,1,1]","[-0.05643358162793211,0.06078268476486136]","[-1,-1,-1]","[-0.16717206618710434,0.0976100437390354]","[-1,-1,-1]","[-0.05030030231987101,0.12203367040014303]","[-1,-1,-1]","[-0.08096279983150957,-0.1739247704190401]","[1,1,1]","[-0.007898052553800708,0.060661333649467686]","[1,1,1]","[0.07643374718393445,-0.11684301936633519]","[-1,-1,-1]","[-0.07501029579402164,-0.09236701800007494]","[-1,-1,-1]","[0.1015789949023975,0.007716396152799733]","[-1,-1,-1]","[-0.17717398916450447,0.01974177035243682]","[-1,-1,-1]","[0.17652739734262388,0.03299009875551717]","[1,1,1]","[-0.10527118213278078,-0.05486767427755639]","[-1,-1,-1]","[0.0341850610499604,-0.17458401654887387]","[1,1,1]","[-0.09380291462308347,0.08626195911015534]","[-1,-1,-1]","[0.031212032100665338,-0.13017409471517297]","[-1,-1,-1]","[0.1489804998728041,0.11954285312173159]","[-1,-1,-1]","[0.057844377777021616,0.0025982226750496874]","[1,1,1]","[-0.044167172139367765,0.014313223500655822]","[1,1,1]","[-0.06313790517927162,0.1661918167400364]","[-1,-1,-1]","[-0.12244560262699473,0.01865842130855013]","[1,1,1]","[-0.18225049969020551,-0.053774140007949486]","[-1,-1,-1]","[-0.09922649019631903,-0.12725142749609802]","[1,1,1]","[0.0741547468114287,0.11515300508986753]","[1,1,1]","[0.10399268963320071,0.057266949672612304]","[1,1,1]","[0.02,0.02]",256.0321,0,1,1,52,1,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,256.0325,256.5324,,,256.7829,257.2827,left,,,,,,,,0.5,0.4844,,,,,,,256.5324,256.7829,257.2828,"[-0.1601874311710666,0.03664758765379817]","[-1,-1,-1]","[-0.02326948856315709,-0.03345567689582913]","[1,1,1]","[-0.11050062695030262,0.09028562227778776]","[1,1,1]","[0.139571878165313,-0.12058046527517059]","[-1,-1,-1]","[0.11543673922754609,-0.023700004092242603]","[1,1,1]","[0.026955906868096305,0.009418441612599736]","[1,1,1]","[0.015975858634017695,-0.16532736634776637]","[1,1,1]","[-0.05958846882599547,0.07736663759092706]","[-1,-1,-1]","[0.19134767156179336,-0.0486224511684902]","[-1,-1,-1]","[0.15787959397507864,-0.008851150333260527]","[-1,-1,-1]","[-0.1495482855436561,0.1250733035032018]","[1,1,1]","[0.08286382331526955,-0.15241934138826518]","[1,1,1]","[0.02910547093248324,-0.032785705264607785]","[-1,-1,-1]","[-0.006921332233366401,0.1916661365049614]","[-1,-1,-1]","[0.06656021723074107,0.030159591112469814]","[-1,-1,-1]","[0.0905274787238451,-0.11006553805028993]","[-1,-1,-1]","[-0.07375673332501785,-0.18399858063117222]","[1,1,1]","[0.0583526453504248,-0.18982209652235557]","[-1,-1,-1]","[0.07610527900553939,-0.042478061762841336]","[1,1,1]","[-0.0364830065186038,-0.15695216546292198]","[-1,-1,-1]","[-0.07465123271449177,0.1667476898535953]","[1,1,1]","[-0.17114041748024805,-0.08948394464554939]","[1,1,1]","[0.05322414135985658,0.15715345633531716]","[-1,-1,-1]","[0.15983833090172345,0.04392028673224734]","[1,1,1]","[-0.07044987829148612,-0.07101328115516715]","[-1,-1,-1]","[0.10614280031431937,0.12044484490519886]","[1,1,1]","[-0.18367065841957164,-0.017784596929896247]","[-1,-1,-1]","[-0.033527393742683494,0.1395281618313752]","[-1,-1,-1]","[-0.05912520505303869,-0.11478760793615879]","[1,1,1]","[-0.12085532758045624,-0.1273496411052887]","[-1,-1,-1]","[-0.01722263223765109,0.06720023644551877]","[1,1,1]","[-0.110075694662596,0.049127613264770734]","[1,1,1]","[0.02,0.02]",258.3824,0,2,2,119,1,,,,,,,
,,,,,,,664f478709517d692052ab29,682dc96e6ced0632a7bae6f6,2025-05-21_14h40.53.020,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,258.3829,258.8822,,,259.1326,259.5989,right,,,,,,,,0.55,0.4507,,,,,,,258.8822,259.1326,259.5991,"[0.04711223213877732,-0.18379761573283154]","[1,1,1]","[0.16785328763658353,0.06156134683579749]","[-1,-1,-1]","[-0.1178848444295682,-0.07988649560185879]","[1,1,1]","[0.13273087785811782,-0.00019315882884235128]","[-1,-1,-1]","[-0.13370601411688576,0.03759738892533905]","[1,1,1]","[0.15212151169186242,-0.10595480282077117]","[1,1,1]","[-0.05885403661314822,0.024289637380591356]","[1,1,1]","[-0.051291327687251316,-0.05821312991787701]","[-1,-1,-1]","[-0.0569428711224648,0.14569917381345243]","[-1,-1,-1]","[0.08290722422836652,-0.12161527115546292]","[-1,-1,-1]","[0.054641355925025385,0.18029274133317616]","[1,1,1]","[-0.08553919162338318,-0.13949767982386743]","[-1,-1,-1]","[0.08558431158765117,0.046966562496629845]","[1,1,1]","[-0.13797847224035165,0.14323979143535084]","[1,1,1]","[0.15775622271439846,0.12154927717716829]","[-1,-1,-1]","[-0.015129604770270717,0.09781337722538191]","[1,1,1]","[0.014602124260525581,-0.011001151009715123]","[1,1,1]","[0.11204576429147163,-0.03516798093538617]","[1,1,1]","[0.06449705495776298,-0.061410333102412985]","[-1,-1,-1]","[-0.09419541289778907,0.05360775085251152]","[-1,-1,-1]","[-0.18890904516800533,-0.0343938324107902]","[-1,-1,-1]","[-0.012388855936664554,-0.1343762214237302]","[1,1,1]","[0.06059220648357429,0.08161705451643608]","[1,1,1]","[-0.10929599095435821,0.1070602115895409]","[-1,-1,-1]","[-0.060434984496844854,-0.17811857925755473]","[1,1,1]","[0.17423901985606796,0.010401051823924553]","[-1,-1,-1]","[-0.1425888144369163,-0.011228535195360536]","[-1,-1,-1]","[-0.1595424605917718,-0.11029046003531842]","[1,1,1]","[0.11321311979106088,-0.095242166465308]","[1,1,1]","[0.07483652525809574,-0.019554430958369718]","[1,1,1]","[-0.056294365554956004,-0.11038993118710785]","[-1,-1,-1]","[0.07641763862978258,0.13428291804614279]","[1,1,1]","[0.02,0.02]",260.6991,0,3,3,139,1,,,,,,,
