right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0002,43.6137,space,28.6077,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,43.6138,79.0153,space,5.3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,79.0155,83.1682,space,1.1418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,83.1751,83.6749,83.675,83.9251,83.9252,84.7722,left,0.8279,,84.7722,85.8695,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,85.8697,86.3694,86.3694,86.6195,86.6195,87.5359,left,0.9032,,87.5359,88.6332,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6334,93.7372,space,2.0938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,93.7417,94.2372,,,94.4874,94.994,right,0.4942,,,,,,,,,0.45,,,,,,94.2374,94.4873,94.9942,"[0.0735887808177162,-0.15935636505996004]","[-1,-1,-1]","[-0.09394003729435774,0.030382702506657228]","[-1,-1,-1]","[-0.12698764865385276,0.10218900294502416]","[1,1,1]","[0.14890492042803233,-0.042376303407449606]","[-1,-1,-1]","[0.080740304925436,0.02259752441559102]","[1,1,1]","[-0.11104823396231135,-0.09173437846370223]","[1,1,1]","[0.1248689362392312,-0.11749285893187078]","[-1,-1,-1]","[-0.09920578911454242,-0.15492495193980027]","[-1,-1,-1]","[-0.058121313997082154,-0.09825106734226807]","[1,1,1]","[0.022650847211100267,-0.14164659196524626]","[1,1,1]","[-0.15962833307092605,-0.009347992747746838]","[1,1,1]","[0.07793049294638359,-0.11239052873134513]","[1,1,1]","[-0.03993668671569541,-0.16575070979475207]","[-1,-1,-1]","[0.08291113545307545,-0.04980151126107247]","[-1,-1,-1]","[0.15596120049281054,0.059257497400824456]","[-1,-1,-1]","[0.0331416042971817,-0.05356249973427854]","[1,1,1]","[-0.040197388379216055,0.07995157392146574]","[-1,-1,-1]","[0.0031873686488011923,-0.009689495045076333]","[1,1,1]","[-0.1800015093708714,0.04188822713779017]","[1,1,1]","[0.12148680796543881,-0.00927913710335929]","[-1,-1,-1]","[0.05229631020907032,0.15951338579829144]","[-1,-1,-1]","[0.11033677964139152,0.07135014127968849]","[-1,-1,-1]","[0.021430275153736498,0.1956165640980825]","[-1,-1,-1]","[0.18460313227304845,-0.008191155178607102]","[-1,-1,-1]","[0.026070750706593645,0.04595627857637993]","[-1,-1,-1]","[-0.09689183415393846,0.13367636308113598]","[-1,-1,-1]","[-0.03949914151974929,-0.01919938389444616]","[1,1,1]","[0.022149505472849027,0.11951737369734325]","[-1,-1,-1]","[0.11961531207211613,-0.07773939341682737]","[-1,-1,-1]","[-0.10483477295918357,-0.02291451529853305]","[1,1,1]","[-0.05376237679187487,0.19107606295143234]","[1,1,1]","[-0.13262178057152066,-0.13254191737830875]","[1,1,1]","[0.02,0.02]",96.0912,0,0,0,70,1,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,96.0914,96.5872,,,96.8343,97.3898,right,0.5419,,,,,,,,,0.1,,,,,,96.5872,96.8343,97.3898,"[0.04738137032241851,0.12480993140569888]","[-1,-1,-1]","[-0.06996034096621545,0.07851078477625092]","[-1,-1,-1]","[0.10536384623494942,-0.11831456777018384]","[-1,-1,-1]","[-0.022569794218849693,0.06164787755384889]","[-1,-1,-1]","[-0.09762249458619582,-0.0791469889519859]","[-1,-1,-1]","[0.15002614149166255,0.07636411137015958]","[-1,-1,-1]","[0.009615903663050365,-0.06709998133684875]","[-1,-1,-1]","[0.0006940223267793813,0.12460245920474278]","[-1,-1,-1]","[0.052525735618549084,-0.10859385202668934]","[-1,-1,-1]","[-0.036483439746425296,0.16065509095076783]","[-1,-1,-1]","[-0.14614495686444157,0.01875712019280161]","[1,1,1]","[-0.10239408560718317,-0.14307128014933268]","[1,1,1]","[0.032379918939308534,0.0134562746431121]","[-1,-1,-1]","[-0.18783606904243252,0.0315419971419243]","[-1,-1,-1]","[-0.10082042742446494,0.1402443014569515]","[1,1,1]","[0.027434113703684836,0.07233609019147319]","[-1,-1,-1]","[0.1642949848450644,-0.04499545045606481]","[-1,-1,-1]","[-0.15843482701660888,-0.03257286332671684]","[-1,-1,-1]","[0.035795801384764125,0.19451674990317067]","[-1,-1,-1]","[0.13118187602168632,-0.08429715607704738]","[-1,-1,-1]","[-0.1275146598490624,0.06581538856408858]","[-1,-1,-1]","[0.0808179381726953,-0.018564601224964016]","[-1,-1,-1]","[-0.05866953263709769,-0.06793400612281184]","[-1,-1,-1]","[-0.08660446467544973,0.17809252178124446]","[-1,-1,-1]","[-0.17308505123879475,0.07738415027695411]","[-1,-1,-1]","[0.13817480759206718,0.008333457573354838]","[-1,-1,-1]","[-0.000739808963665121,-0.19762306426705123]","[-1,-1,-1]","[-0.14199357805847534,-0.09812461305006154]","[-1,-1,-1]","[-0.1096850784609964,-0.029068535100603685]","[-1,-1,-1]","[0.05837160380778179,-0.06138019572541756]","[-1,-1,-1]","[0.19295711544985972,0.025479403766955837]","[-1,-1,-1]","[0.1206850066293517,0.15033414873824216]","[-1,-1,-1]","[0.02,0.02]",98.4869,0,1,1,16,1,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,98.4871,98.987,,,99.2372,99.6746,left,0.4247,,,,,,,,,0.55,,,,,,98.987,99.2372,99.6747,"[-0.08854110446648546,-0.03967220126079293]","[1,1,1]","[-0.04621662923249823,-0.03490769851283328]","[1,1,1]","[-0.0633005917932901,0.04223010221468765]","[1,1,1]","[0.17374336935431375,0.03957864868176575]","[1,1,1]","[-0.11057543508651327,-0.09198871106261468]","[1,1,1]","[-0.02376593746137856,0.07798901446407064]","[1,1,1]","[-0.11357413278865548,0.1543870052980575]","[1,1,1]","[0.08947953969070266,0.13637202979210034]","[-1,-1,-1]","[0.11674106140928313,-0.01201775209966622]","[-1,-1,-1]","[0.06913664927970853,-0.18074255754195773]","[-1,-1,-1]","[-0.03557045409043772,-0.12022195171349948]","[-1,-1,-1]","[-0.17551327957562635,-0.010986331279035333]","[1,1,1]","[0.03694550228297995,0.16888197906957417]","[-1,-1,-1]","[0.10419187645835065,-0.14233821700692953]","[-1,-1,-1]","[0.15021100460027176,-0.053590869744966706]","[-1,-1,-1]","[0.03130910718658156,0.058171280977690816]","[-1,-1,-1]","[-0.09929496298787671,-0.13226484772370045]","[1,1,1]","[0.14596993976232497,0.11700784014238139]","[1,1,1]","[-0.17641967208428266,0.031899827645176466]","[1,1,1]","[0.0654235822344587,-0.11392882150827179]","[-1,-1,-1]","[-0.01872176722821238,0.18295133163545674]","[1,1,1]","[-0.019713613491240744,-0.16283700612719718]","[-1,-1,-1]","[-0.1762049199366165,-0.08003938035913989]","[-1,-1,-1]","[-0.09430514446707379,0.003988881590465112]","[-1,-1,-1]","[0.08538994091132171,-0.041773859444856336]","[1,1,1]","[0.13112612778759228,0.033860109171348525]","[1,1,1]","[0.028144558189171855,-0.15036363063766492]","[1,1,1]","[-0.016550944213530136,0.11740279808009112]","[1,1,1]","[-0.15858029837692947,0.1055102842925377]","[1,1,1]","[0.026219474717231125,0.12918584844806388]","[1,1,1]","[-0.05921625177347617,0.1275524704657172]","[-1,-1,-1]","[0.051504054514129934,-0.008904101480164727]","[-1,-1,-1]","[0.02,0.02]",100.7716,0,2,2,143,1,,,,,,,
,,,,,,,6665fdcffb9c8e828cd159cd,682f0fba76bbbf506fcebac3,2025-05-22_14h52.25.590,cuing_paradigm_dot,2024.1.5,Win32,144.9275362,682d573fa47f1360d1451895,,,,,,,,,,,100.7718,101.2717,,,101.5177,102.2718,left,0.7466,,,,,,,,,0.5,,,,,,101.2717,101.5177,102.2719,"[-0.16378619180147147,-0.08829795217044889]","[1,1,1]","[0.0516969728104335,0.07433101705436146]","[1,1,1]","[-0.14909236299173162,0.09525171247653244]","[-1,-1,-1]","[0.08445150568177963,0.1690591106700316]","[1,1,1]","[-0.14376166291858394,-0.018989192742750072]","[1,1,1]","[0.007987663885116923,0.09515214315221159]","[-1,-1,-1]","[-0.013766760174733873,0.05482192061268313]","[-1,-1,-1]","[-0.1000637231389026,0.08537520781773515]","[-1,-1,-1]","[0.0716638014443478,-0.09947589344765793]","[1,1,1]","[-0.12283105743045379,-0.14398061657783864]","[1,1,1]","[-0.028542594559373975,-0.10382683564229195]","[-1,-1,-1]","[-0.09678563818061521,0.030656565835740543]","[1,1,1]","[0.07594189010777955,-0.039299469623865345]","[1,1,1]","[-0.08865676929737724,-0.04446457835828584]","[1,1,1]","[0.1330901717208369,0.1401674635772345]","[-1,-1,-1]","[0.1158469322962072,0.05613810991704072]","[-1,-1,-1]","[-0.044909868487125755,-0.020754728624638834]","[1,1,1]","[-0.049401653850758426,-0.14753473385475574]","[1,1,1]","[-0.0561417210507082,0.07662280236065767]","[-1,-1,-1]","[-0.04071404012795794,0.1536505988113219]","[-1,-1,-1]","[0.03520514724332352,-0.018574456076791375]","[1,1,1]","[0.018111564027754313,-0.13058613068292693]","[-1,-1,-1]","[0.05574996792622127,0.03150845597478966]","[-1,-1,-1]","[0.17009827219675294,0.015337133730563189]","[-1,-1,-1]","[0.1680102623198804,0.08232195207148443]","[-1,-1,-1]","[0.07197706358585255,-0.1537291809209454]","[1,1,1]","[-0.007995552807809446,-0.19560320495782613]","[-1,-1,-1]","[0.12935192254472405,0.008419671701021867]","[1,1,1]","[-0.11758562250483225,-0.07563143351531917]","[1,1,1]","[0.1876607991454058,-0.04627550601151521]","[1,1,1]","[0.030458001065277497,0.1678633224505386]","[-1,-1,-1]","[-0.09099847746724977,0.15427731251138183]","[-1,-1,-1]","[0.02,0.02]",103.3688,0,3,3,118,1,,,,,,,
