right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,17.6205,space,2.5712,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,17.621,49.1199,space,1.4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,49.1204,55.3864,space,3.2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,55.426,55.9187,55.9197,56.1526,56.1529,57.1191,right,0.916,,57.1196,58.2182,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,58.2199,58.7173,58.7174,58.9529,58.9533,59.4847,left,0.5188,,59.4849,60.5839,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5843,68.685,space,5.0412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,68.7177,69.2173,,,69.4517,70.5517,right,1.0745,,,,,,,,,0.1,,,,,,69.2183,69.4516,70.5527,"[0.12851375156944872,-0.025829003236337997]","[-1,-1,-1]","[-0.07882335237169133,0.014353112105344115]","[-1,-1,-1]","[-0.14496706958946284,-0.062420727723427376]","[-1,-1,-1]","[0.13116551511148425,0.0722598154849806]","[-1,-1,-1]","[-0.1642741218746499,0.01309390068543816]","[-1,-1,-1]","[-0.049346443859556756,-0.08642311690937769]","[-1,-1,-1]","[0.11033018653099982,-0.15673846045667486]","[-1,-1,-1]","[0.03090074412177926,-0.15059513332055213]","[-1,-1,-1]","[0.09498484173727943,0.04937586140719167]","[-1,-1,-1]","[0.08215078696656213,0.15323278214497416]","[-1,-1,-1]","[-0.12953777063897773,-0.11045656079484928]","[-1,-1,-1]","[0.03983356297708223,0.14617123001413995]","[1,1,1]","[0.18851506807371643,0.005946388941537183]","[-1,-1,-1]","[-0.019726636803232767,-0.00883928951550716]","[-1,-1,-1]","[0.0632937922128274,0.016355687875653273]","[-1,-1,-1]","[0.18152419627145652,-0.06620294925382829]","[-1,-1,-1]","[0.04340428183665683,0.07356803741345899]","[-1,-1,-1]","[-0.19366226908751855,-0.047240204733338766]","[-1,-1,-1]","[-0.17582405906272547,-0.08906177396624991]","[-1,-1,-1]","[-0.011462745330643705,0.18185064662409658]","[-1,-1,-1]","[-0.05792949952066424,-0.033320079830756105]","[-1,-1,-1]","[-0.06608462067456772,0.06520920060434915]","[-1,-1,-1]","[-0.0971916205223751,-0.06832835903787449]","[1,1,1]","[-0.1689110865574208,0.0846570767178039]","[-1,-1,-1]","[0.14046964632142517,0.13839667457645158]","[-1,-1,-1]","[-0.06854011924200588,-0.1493827540910605]","[-1,-1,-1]","[0.10082273112152758,-0.09988093277624048]","[-1,-1,-1]","[-0.03512379052098365,0.141884777855631]","[-1,-1,-1]","[-0.026174152141450226,-0.12318320129760442]","[-1,-1,-1]","[-0.11309765083984787,0.15372461547132196]","[-1,-1,-1]","[0.026871753492777314,-0.05459509174949655]","[-1,-1,-1]","[0.015089052988753902,0.0408151283368823]","[1,1,1]","[0.02,0.02]",71.6511,0,0,0,26,1,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,71.6527,72.1501,,,72.3855,72.9169,right,0.4991,,,,,,,,,0.1,,,,,,72.1503,72.3855,72.9176,"[-0.14363823109271767,0.12504427986793787]","[-1,-1,-1]","[0.030865305682666523,-0.11552218525580625]","[-1,-1,-1]","[0.11406437373530899,0.06852415387575798]","[-1,-1,-1]","[0.08913941853226455,-0.005687483930879656]","[-1,-1,-1]","[0.1069589110318416,-0.1008435708105743]","[-1,-1,-1]","[-0.008669364197869301,0.037786636797974275]","[-1,-1,-1]","[-0.12236102550269308,-0.02854102416747648]","[1,1,1]","[-0.1790814989148054,-0.036494529337403006]","[-1,-1,-1]","[0.14077167201326238,-0.053595188707680964]","[-1,-1,-1]","[-0.09727411244186217,-0.13903085712974655]","[-1,-1,-1]","[0.17109839224909812,-0.10206187185522328]","[-1,-1,-1]","[-0.005776914567289847,-0.1455538943124175]","[-1,-1,-1]","[0.015335838698790544,0.07510074909220749]","[1,1,1]","[0.07096507355900421,0.04079845408122958]","[-1,-1,-1]","[0.04620980204039907,-0.019351871890789924]","[-1,-1,-1]","[-0.08925261460842791,-0.06874487679696945]","[-1,-1,-1]","[-0.0209662298613156,-0.07599845663466126]","[1,1,1]","[0.0720436277452145,-0.18200680665755034]","[-1,-1,-1]","[-0.16675991035058826,0.0892488802979596]","[-1,-1,-1]","[-0.06271006335790805,-0.18192371845311284]","[-1,-1,-1]","[0.15642226695977238,0.03230149520299606]","[-1,-1,-1]","[-0.14138754462657857,0.04879737728154866]","[-1,-1,-1]","[0.07488470927002627,0.0950033351449337]","[-1,-1,-1]","[-0.025378058904088927,-0.19642174391923797]","[-1,-1,-1]","[-0.04634817496058797,0.1461008503471347]","[-1,-1,-1]","[-0.0958396799467196,0.061740193697563624]","[-1,-1,-1]","[-0.01769723152330515,0.1853635553765536]","[-1,-1,-1]","[0.015524652610006,0.14660998665082425]","[-1,-1,-1]","[0.12937876377982857,0.12860140407075413]","[-1,-1,-1]","[0.06194516223002878,0.13796453085398588]","[-1,-1,-1]","[0.04546344816893296,-0.07492429427612299]","[-1,-1,-1]","[0.18033529772420198,-0.022371581521271278]","[-1,-1,-1]","[0.02,0.02]",74.0177,0,1,1,15,1,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,74.0187,74.5171,,,74.7507,75.2831,right,0.5064,,,,,,,,,0.4,,,,,,74.5172,74.7506,75.2833,"[0.022896309749340062,0.008447337851171088]","[-1,-1,-1]","[-0.12652200229212465,-0.08832763017562408]","[-1,-1,-1]","[-0.023133338326225283,-0.06853488773074141]","[1,1,1]","[-0.10286597218528684,-0.04634520225848839]","[1,1,1]","[0.07153672039900011,0.1032695707930861]","[1,1,1]","[-0.04734793057740721,-0.16469585239776305]","[1,1,1]","[-0.05401934818679257,0.026024361996910432]","[-1,-1,-1]","[0.0902930677814181,-0.0069387661115743165]","[1,1,1]","[-0.1189856523340713,0.05296289418045918]","[1,1,1]","[0.12824663193626953,0.0494799746122113]","[-1,-1,-1]","[-0.03156546870351458,-0.11391816921781187]","[1,1,1]","[0.1189751251530907,-0.11183548298440373]","[-1,-1,-1]","[-0.03776209847248063,0.174974919660095]","[-1,-1,-1]","[-0.1887117704970819,0.002715078086709571]","[-1,-1,-1]","[-0.1098063387146752,-0.15331869102729465]","[1,1,1]","[0.15420589882950758,-0.07235048663899041]","[-1,-1,-1]","[0.01581285855010324,-0.10307247791839994]","[-1,-1,-1]","[0.04705501507345164,0.16172066317101283]","[-1,-1,-1]","[-0.08092938888575456,0.09055880460648866]","[-1,-1,-1]","[-0.054792405980255546,0.13408434600339997]","[1,1,1]","[-0.0023176968950880832,0.12758517130415725]","[-1,-1,-1]","[-0.06971804816930033,-0.07251446407043242]","[1,1,1]","[-0.19159636616737521,0.053874506133051]","[-1,-1,-1]","[0.006271956682443451,-0.17388405745564378]","[-1,-1,-1]","[0.19174205693099458,0.02456197083987838]","[-1,-1,-1]","[-0.1926905843484354,-0.038940890039224525]","[1,1,1]","[0.04409688670982475,0.05638228814913014]","[-1,-1,-1]","[0.07173265319646031,-0.17626893228562918]","[1,1,1]","[-0.055173539854615025,-0.020321219242651796]","[1,1,1]","[0.166128583392062,0.09797839102143525]","[-1,-1,-1]","[-0.14658490318411432,0.12809477276766668]","[-1,-1,-1]","[0.12108117617624731,0.11531903493243262]","[-1,-1,-1]","[0.02,0.02]",76.3836,0,2,2,48,1,,,,,,,
,,,,,,,666d97ca3efe7fbd33436995,682f0fc200e284689ffa3e7b,2025-05-22_13h21.30.895,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,76.3855,76.885,,,77.1189,77.5179,left,0.3911,,,,,,,,,0.6,,,,,,76.885,77.1188,77.518,"[-0.008144431136553365,0.0009727036616519131]","[1,1,1]","[0.042708485028445806,0.050419751244281275]","[-1,-1,-1]","[0.048170749146831636,-0.14377990246815112]","[1,1,1]","[-0.15162775849204602,0.08164344364958782]","[-1,-1,-1]","[-0.0006267065670747596,-0.055126862431642054]","[1,1,1]","[-0.062405759814366614,-0.07247799655576802]","[-1,-1,-1]","[-0.06623189357107297,0.08534394318156853]","[1,1,1]","[0.04104300558422484,-0.024862712279065995]","[1,1,1]","[0.024645044227932338,0.10747176188063137]","[1,1,1]","[-0.04816517383806247,0.16088932953548948]","[-1,-1,-1]","[0.08215633062135587,0.010803486284720207]","[-1,-1,-1]","[-0.07034010778143081,0.0011551648412114822]","[1,1,1]","[0.1404821572807439,-0.01487760989744764]","[-1,-1,-1]","[-0.1139677653900525,0.059217193945930946]","[1,1,1]","[-0.06626711071235047,-0.18204403705913663]","[1,1,1]","[0.09046616632121596,-0.14966016779698998]","[1,1,1]","[0.12511177361989054,0.1150595763747636]","[-1,-1,-1]","[0.0016022215832202783,0.14947373612810375]","[1,1,1]","[-0.011428647534972787,0.04154679753910413]","[1,1,1]","[-0.008075182770994303,-0.1273646148000445]","[-1,-1,-1]","[0.08765650126842434,-0.07543569990570713]","[1,1,1]","[-0.12612105966037293,-0.13443403235903476]","[1,1,1]","[-0.06676782750025816,-0.11836123632083762]","[-1,-1,-1]","[-0.1833533466404508,-0.06962691524676136]","[-1,-1,-1]","[0.13670213186070443,-0.08841690863385056]","[1,1,1]","[-0.10907865308642435,0.1347105282041586]","[1,1,1]","[0.05978886260054522,-0.18865750928773178]","[-1,-1,-1]","[-0.19339909570800262,-0.015363982757064595]","[-1,-1,-1]","[-0.03671202313151244,-0.037229695998146184]","[-1,-1,-1]","[-0.13580495047989477,-0.07125256319081258]","[1,1,1]","[0.16457307489908937,0.0837389711015218]","[1,1,1]","[0.1263146769700199,0.03494760203676069]","[1,1,1]","[0.02,0.02]",78.6167,0,3,3,170,1,,,,,,,
