right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,87.8382,space,72.8169,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,87.8388,131.5091,space,13.6628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,131.5094,135.0536,space,0.5402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,135.07,135.5583,135.5592,135.8071,135.8072,137.3091,,137.3096,138.4045,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,138.405,138.9036,138.9037,139.1512,139.1512,139.7559,right,139.7559,140.8533,0,1,1,1,1,0.2,0.5981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.8538,153.2288,space,9.3702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,153.2386,153.7328,,,153.9797,154.8481,right,,,,,,,,0.45,0.8576,,,,,,,153.7331,153.9796,154.8484,"[0.18922022798970983,-0.05582273002208685]","[-1,-1,-1]","[0.012442441875076943,-0.14812170188084461]","[1,1,1]","[0.12554502755161134,0.11878208940823408]","[-1,-1,-1]","[-0.17446114867446796,-0.06162874526207047]","[1,1,1]","[0.04224305977082558,0.019182233462536995]","[1,1,1]","[0.05083226630692146,-0.09504575296551208]","[-1,-1,-1]","[0.005205493174612062,0.07613036118156163]","[1,1,1]","[0.1447304658879129,0.012104189815312489]","[1,1,1]","[-0.07945353887572794,-0.12530304080247787]","[-1,-1,-1]","[0.10250758165721613,0.019572197426827906]","[1,1,1]","[0.06860059985547212,0.15454861591399496]","[-1,-1,-1]","[0.12184985066241642,-0.11458180187712858]","[1,1,1]","[0.005666898182023615,0.0005449991488523357]","[-1,-1,-1]","[-0.11748299053012917,-0.07987892395774646]","[-1,-1,-1]","[-0.0031459926485655192,0.11650877060198597]","[1,1,1]","[0.010530784904438682,-0.05786015912878482]","[-1,-1,-1]","[-0.14697677288065242,0.10860416162191686]","[-1,-1,-1]","[0.09352008073636198,-0.03248052294346899]","[-1,-1,-1]","[0.034456822827391535,0.189684259004743]","[-1,-1,-1]","[-0.050891130855496375,0.14300533145447278]","[1,1,1]","[-0.13681795114677112,0.04436845325549462]","[1,1,1]","[-0.19524612422744317,-0.02257026458663603]","[1,1,1]","[-0.09012925117678823,0.011984611749573893]","[1,1,1]","[0.05802306132441737,0.07504306088262232]","[-1,-1,-1]","[-0.03859670053057484,-0.13173025567269078]","[1,1,1]","[0.07389020317950942,-0.17845909545635175]","[-1,-1,-1]","[0.039587555212818766,0.12452661235766911]","[1,1,1]","[-0.08875184202623061,0.10703429279393685]","[-1,-1,-1]","[-0.04618949027009226,-0.08600861175209133]","[-1,-1,-1]","[0.09898355072012698,0.0666517523357943]","[-1,-1,-1]","[0.00886102553550272,-0.10645498067250429]","[-1,-1,-1]","[0.08805932816318167,-0.07699920196167902]","[-1,-1,-1]","[0.02,0.02]",155.9467,0,0,0,89,1,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,155.947,156.4485,,,156.6955,157.6418,right,,,,,,,,0.4,0.9394,,,,,,,156.4486,156.6954,157.642,"[0.03916806526139789,0.09567330557674451]","[-1,-1,-1]","[-0.13513228050716197,-0.036210044205196724]","[1,1,1]","[0.10447779456963677,-0.021965005709714]","[-1,-1,-1]","[-0.10967652748190763,0.03132073767574912]","[1,1,1]","[-0.04458072948821128,0.016770521543444487]","[-1,-1,-1]","[-0.011883245267839857,0.08807817176651243]","[-1,-1,-1]","[-0.01976409620560708,-0.08199422839077228]","[-1,-1,-1]","[0.05985875162728267,-0.16450467209376907]","[1,1,1]","[-0.13754236298609748,0.1118425921508945]","[1,1,1]","[0.12778031987199834,0.04137133576042492]","[-1,-1,-1]","[-0.14765932908517293,0.017483206225569967]","[1,1,1]","[0.14383568551431888,-0.10169229058656083]","[-1,-1,-1]","[0.00795920308821895,0.14294068681149083]","[-1,-1,-1]","[-0.021860382302351017,0.190024318081888]","[-1,-1,-1]","[0.06873768564074485,0.13954278994597002]","[1,1,1]","[0.14376167827956443,0.1069245954660177]","[-1,-1,-1]","[-0.19450756414478199,-0.013253145493957928]","[-1,-1,-1]","[-0.0550916956529889,-0.025528738939524988]","[-1,-1,-1]","[-0.008212879248574773,-0.17754339623214851]","[-1,-1,-1]","[-0.0954840889476056,0.15666160993070447]","[-1,-1,-1]","[0.06204425953254938,0.007122115265831332]","[1,1,1]","[0.16662804550926918,-0.022028089388822482]","[1,1,1]","[-0.16437500735443053,0.06327395941633929]","[-1,-1,-1]","[-0.04483903552579909,0.11791154922034401]","[-1,-1,-1]","[0.07808323548967191,0.06673204569783142]","[-1,-1,-1]","[0.014836564644732892,0.0014287425824463032]","[1,1,1]","[0.08431980524745158,-0.12890391071093604]","[-1,-1,-1]","[-0.14398205965441677,-0.11417211623757302]","[1,1,1]","[-0.1156731248604008,-0.15213720977421566]","[-1,-1,-1]","[0.1680153584527589,0.03422785690740307]","[1,1,1]","[-0.06345802609766163,-0.12361010933856703]","[1,1,1]","[-0.06877196181277372,0.06399393074086107]","[1,1,1]","[0.02,0.02]",158.7434,0,1,1,49,1,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,158.744,159.2437,,,159.4936,160.0692,right,,,,,,,,0.1,0.5689,,,,,,,159.2438,159.4936,160.0694,"[-0.036450035784668336,0.18719683348380484]","[-1,-1,-1]","[-0.053859082142845065,-0.1806410497056377]","[1,1,1]","[0.04908241722455218,-0.076234096623208]","[-1,-1,-1]","[-0.13844024787726592,-0.07758496164701875]","[-1,-1,-1]","[0.010294123860348198,-0.05515801120951227]","[-1,-1,-1]","[0.03320234791801909,-0.01882318545141941]","[-1,-1,-1]","[0.0951854536852979,0.16836916868199434]","[-1,-1,-1]","[0.06922269281946086,0.08717167948638455]","[-1,-1,-1]","[-0.013473343538423483,-0.004440839308485689]","[-1,-1,-1]","[0.10395638631165563,0.052141639348431607]","[1,1,1]","[0.07071392987893103,-0.12499552406267085]","[-1,-1,-1]","[0.10486956997636779,-0.15547241060785455]","[-1,-1,-1]","[0.14597452899890245,-0.00786666998667481]","[-1,-1,-1]","[-0.12328753551913291,-0.03896348540747274]","[-1,-1,-1]","[-0.1522119762867659,0.1169385913673965]","[-1,-1,-1]","[-0.06417458500354607,0.03924731985087866]","[-1,-1,-1]","[-0.015452500997034617,0.1326262063119246]","[1,1,1]","[0.17572996551786216,0.07677310604213722]","[-1,-1,-1]","[-0.047795111128327884,-0.0992284105075849]","[-1,-1,-1]","[0.1354184505915318,0.09395264889970652]","[-1,-1,-1]","[0.060491145333701764,0.02658880079384333]","[-1,-1,-1]","[-0.18916638868212543,-0.007004222289059072]","[-1,-1,-1]","[0.015307874140814293,-0.120229294317098]","[-1,-1,-1]","[-0.056801927470563854,-0.030184239423092465]","[-1,-1,-1]","[0.14742348313421208,-0.06122835667867984]","[-1,-1,-1]","[-0.12590228645422655,0.05828068736372484]","[-1,-1,-1]","[-0.07325138510300791,0.1441662629064391]","[-1,-1,-1]","[0.05106807462266092,0.19034895501403865]","[-1,-1,-1]","[-0.10980603743651791,0.00979445816617214]","[-1,-1,-1]","[0.10383052592956472,-0.07589236900012925]","[-1,-1,-1]","[0.04463726313301046,0.14727944886550032]","[-1,-1,-1]","[0.005516303703184815,0.07089434365113272]","[-1,-1,-1]","[0.02,0.02]",161.1706,0,2,2,28,1,,,,,,,
,,,,,,,667da6b83c73b101dbb3f463,682f0fbe640a0622f8619bb6,2025-05-22_13h52.27.631,cuing_paradigm_dot,2024.1.5,Win32,142.8571429,682d573fa47f1360d1451895,,,,,,,,,,,161.1708,161.6704,,,161.9262,163.0171,right,,,,,,,,0.5,1.084,,,,,,,161.6704,161.9262,163.0171,"[0.14610439057239757,-0.08776738407143915]","[-1,-1,-1]","[0.0666207851451032,-0.007063471473066816]","[-1,-1,-1]","[0.03902052370215923,0.18743852778520337]","[1,1,1]","[0.023532419617200342,0.12576797554839544]","[1,1,1]","[-0.09843254964968706,-0.15063421967569893]","[-1,-1,-1]","[0.029899088216017087,-0.1286277209383318]","[1,1,1]","[-0.02715839751452835,0.06486034098971159]","[-1,-1,-1]","[0.08215561376207184,-0.1464985753265633]","[-1,-1,-1]","[-0.07447664076044477,0.13755835254705587]","[1,1,1]","[0.18863645804070495,0.017739819489799254]","[-1,-1,-1]","[-0.12075894654180949,-0.11448594252570383]","[1,1,1]","[-0.16714042477962168,-0.00649661018505264]","[1,1,1]","[0.07655598165671666,0.109991643706822]","[-1,-1,-1]","[0.1083820176102312,0.085444214591879]","[-1,-1,-1]","[-0.029293229535798646,0.019387186951462174]","[-1,-1,-1]","[-0.028811758515259703,-0.13949084693493016]","[1,1,1]","[-0.14615467280289252,0.029911826039490053]","[-1,-1,-1]","[-0.1561116692118869,0.11586408210405844]","[1,1,1]","[-0.11045817338213985,0.12002393973799234]","[1,1,1]","[-0.07435160832522314,-0.02797389568742909]","[-1,-1,-1]","[0.09211945333232245,-0.04682195815514906]","[-1,-1,-1]","[-0.023368757984974498,-0.1794842473587689]","[-1,-1,-1]","[0.13635227597365318,0.005426749769297615]","[1,1,1]","[-0.0388410301830765,-0.06448938573112749]","[-1,-1,-1]","[-0.14725699514178872,-0.0632199899666369]","[1,1,1]","[0.017322675205430457,-0.046199978633578026]","[1,1,1]","[0.01088854752022654,0.04661390086621127]","[1,1,1]","[-0.003732026244807155,-0.10457200640418535]","[1,1,1]","[-0.0015622349318517041,0.1580963827372311]","[-1,-1,-1]","[-0.09797919788600089,0.012325395405359284]","[-1,-1,-1]","[0.07884920364126682,-0.09647382553526769]","[1,1,1]","[0.19522805084134415,-0.034338131418421715]","[1,1,1]","[0.02,0.02]",164.1206,0,3,3,113,1,,,,,,,
