right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0001,23.9838,space,8.9691,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,23.9841,63.6698,space,9.6718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,63.67,67.9364,space,1.2374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,67.9622,68.452,68.4525,68.7033,68.7036,69.6528,right,0.9205,,69.6529,70.7524,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,70.7527,71.2514,71.2515,71.5034,71.5034,72.0694,right,0.5498,,72.0696,73.1695,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.1701,77.887,space,1.7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,77.9074,78.4031,,,78.654,79.4522,left,0.7825,,,,,,,,,0.4,,,,,,78.4037,78.6539,79.4527,"[-0.08423355774563035,0.12401582513238044]","[-1,-1,-1]","[0.06260613799459222,-0.11439019827184076]","[-1,-1,-1]","[-0.11508314300211686,-0.12445377652494538]","[-1,-1,-1]","[0.17322150245496076,-0.04388292015632089]","[-1,-1,-1]","[-0.005915824437790959,-0.1913148946041534]","[1,1,1]","[-0.18658662934414147,-0.04442362235537139]","[-1,-1,-1]","[-0.08750223879339185,-0.15429590933488285]","[-1,-1,-1]","[-0.0409956715834641,0.04457350673501165]","[1,1,1]","[-0.07327879236411113,0.07441701880608871]","[1,1,1]","[0.11165037340778632,0.036424885841431026]","[1,1,1]","[0.034664514253552756,0.0026552385626177084]","[-1,-1,-1]","[-0.043771766962914786,-0.10801990399531185]","[-1,-1,-1]","[-0.07016734321902256,0.18697287168752252]","[1,1,1]","[-0.07750719731459917,-0.04353149373949254]","[1,1,1]","[0.02557246641519022,0.17933114227221775]","[-1,-1,-1]","[0.045964055703856595,-0.18194838710654843]","[-1,-1,-1]","[-0.04619192262553698,-0.17786281023534098]","[1,1,1]","[-0.02025110191640406,-0.04013931342690269]","[-1,-1,-1]","[0.12600735204262586,-0.08104610145267654]","[-1,-1,-1]","[-0.12925949457898983,-0.008410050236862497]","[-1,-1,-1]","[0.1644846876801279,-0.004512270858551214]","[1,1,1]","[-0.15891118057623538,0.11478580058554363]","[-1,-1,-1]","[0.07221195545738349,-0.037669322607252365]","[-1,-1,-1]","[-0.10764982475739306,0.16064727198147807]","[-1,-1,-1]","[0.10341629238541647,0.15728187183601341]","[1,1,1]","[-0.12032729098463178,0.035887150683173406]","[1,1,1]","[0.11751007996489904,-0.14696194664063258]","[-1,-1,-1]","[-0.1971024491733478,-0.001935627295449002]","[-1,-1,-1]","[0.0032795083067672453,0.10189906809670285]","[1,1,1]","[0.16272336902495704,0.0688781255065772]","[1,1,1]","[-0.025239697134649096,0.14452786865791048]","[-1,-1,-1]","[0.00581434976330924,-0.10450877513653106]","[1,1,1]","[0.02,0.02]",80.5533,0,0,0,43,1,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,80.5538,81.0522,,,81.3029,82.2365,left,0.9208,,,,,,,,,0.45,,,,,,81.0524,81.3029,82.2366,"[0.1815685060755796,-0.04355074229415458]","[1,1,1]","[-0.07601081629155672,-0.007374579389891119]","[1,1,1]","[-0.14667472356177544,0.10971962882018632]","[1,1,1]","[-0.02940844021761334,-0.12085061139356862]","[1,1,1]","[-0.07323107097668563,-0.11633786961510677]","[1,1,1]","[-0.01562024756319459,0.1758506431639131]","[-1,-1,-1]","[-0.014570427656975438,0.008482482977849759]","[-1,-1,-1]","[0.09813297506775803,-0.07792885347624597]","[1,1,1]","[0.010322785478099332,0.04241465805808824]","[1,1,1]","[0.07001973808166669,0.1738100976972523]","[-1,-1,-1]","[-0.14951392296376007,-0.028834902728335637]","[-1,-1,-1]","[-0.10037761233315978,-0.04225307494959372]","[-1,-1,-1]","[0.1149711994926692,0.06125710426869534]","[-1,-1,-1]","[-0.15096922121212578,-0.08641178313003613]","[-1,-1,-1]","[0.08850714481728549,-0.12017357973964296]","[1,1,1]","[0.032374482301209914,-0.1398243167515556]","[1,1,1]","[-0.04084407959695953,0.09279394896303803]","[1,1,1]","[-0.10518264866924071,0.16444317365645894]","[1,1,1]","[-0.13271488855134556,0.029710017241837843]","[1,1,1]","[0.10835763087020794,-0.165198311547695]","[-1,-1,-1]","[-0.05387347582072171,0.04418813067524125]","[-1,-1,-1]","[-0.11985374903419777,0.07301013280078854]","[-1,-1,-1]","[-0.14463252829526582,-0.13188090889723467]","[-1,-1,-1]","[0.10209247325042248,0.10904361336285724]","[-1,-1,-1]","[-0.02004710613640686,-0.19547994218487344]","[1,1,1]","[0.012155413785699783,-0.09380392107101691]","[-1,-1,-1]","[0.13916779963791184,-0.06860984750716191]","[-1,-1,-1]","[0.15307581176357354,0.1252769451438082]","[-1,-1,-1]","[0.05541934155448214,-0.01773498778179902]","[-1,-1,-1]","[0.1428943090528147,-0.11978435654815078]","[-1,-1,-1]","[-0.17514039558793704,0.011956762517359276]","[1,1,1]","[-0.001554933905940188,0.12588403397152692]","[-1,-1,-1]","[0.02,0.02]",83.3357,0,1,1,78,1,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,83.3363,83.8366,,,84.0872,84.6025,left,0.4998,,,,,,,,,0.1,,,,,,83.8367,84.0871,84.6026,"[-0.008344507216865957,0.1153028850788347]","[-1,-1,-1]","[-0.04295408030912861,-0.17652779438421498]","[-1,-1,-1]","[0.11741246798449097,-0.025544062276611375]","[-1,-1,-1]","[0.08466202453774645,0.096008855048111]","[-1,-1,-1]","[0.10092432200741078,-0.15431224161519091]","[-1,-1,-1]","[-0.012609470825429684,-0.03052392075253803]","[-1,-1,-1]","[0.015038979774374737,0.07698066616308141]","[-1,-1,-1]","[0.0859088781578268,0.01012372880498962]","[-1,-1,-1]","[0.011486827033526013,-0.19033397824671525]","[1,1,1]","[0.02990340593235933,-0.0733470866375511]","[-1,-1,-1]","[-0.06112645817320354,0.1729613924463667]","[1,1,1]","[0.007361225342017422,0.16520382917044774]","[-1,-1,-1]","[0.13699587774654678,0.03190440419638621]","[-1,-1,-1]","[0.011557213028676312,0.021328778728775862]","[-1,-1,-1]","[0.06974451639317283,0.18285167881707487]","[-1,-1,-1]","[0.08741714797517641,-0.09821685610114186]","[-1,-1,-1]","[-0.14682202835329358,-0.057504144636416336]","[-1,-1,-1]","[-0.1221720980645887,0.07316807283343234]","[-1,-1,-1]","[-0.12341023770896009,-0.01807720319014393]","[1,1,1]","[-0.06916779855517992,0.12456203459033344]","[-1,-1,-1]","[-0.09708834865708824,-0.15883924358547982]","[-1,-1,-1]","[0.15897304055704098,0.08846634283419638]","[-1,-1,-1]","[0.1936597988824209,-0.0020933831901849753]","[-1,-1,-1]","[-0.04531914987540009,-0.11868062267719849]","[-1,-1,-1]","[0.03858691634196145,0.11676573046199903]","[-1,-1,-1]","[0.12804433873163457,-0.1036773239890399]","[-1,-1,-1]","[-0.19646137340702038,-0.03668446325095872]","[-1,-1,-1]","[-0.02613816809432515,-0.0743472786973474]","[-1,-1,-1]","[0.02480047818151915,-0.1291332905746406]","[-1,-1,-1]","[-0.11996445560887266,0.14322129514046908]","[-1,-1,-1]","[0.16366521096023876,-0.039231235049986934]","[-1,-1,-1]","[0.054565849323073776,-0.1625585621205883]","[-1,-1,-1]","[0.02,0.02]",85.703,0,2,2,13,1,,,,,,,
,,,,,,,667efdb899d18edd67681784,682db3a893015186939ce41c,2025-05-21_13h06.55.432,cuing_paradigm_dot,2024.1.5,MacIntel,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,85.7032,86.2029,,,86.4531,87.1535,right,0.6856,,,,,,,,,0.45,,,,,,86.2029,86.453,87.1536,"[-0.11807708119116309,0.02595680395946821]","[-1,-1,-1]","[0.08577802033039791,0.07569378564075555]","[-1,-1,-1]","[0.08005708251747314,0.18091479080120706]","[1,1,1]","[-0.076626043171609,-0.08423402505819963]","[-1,-1,-1]","[0.17423773779368237,0.05784443480775616]","[-1,-1,-1]","[0.05999568916047329,-0.14428812623963244]","[-1,-1,-1]","[-0.1910721423308499,-0.0283885634191636]","[-1,-1,-1]","[-0.19214561355861048,0.01539450782654975]","[-1,-1,-1]","[0.013386069305538158,0.1297121283702884]","[1,1,1]","[-0.1344779646200756,0.1275784343036249]","[1,1,1]","[0.014829896735109083,0.02354574474302309]","[1,1,1]","[0.09588425122890042,0.015162434013585833]","[-1,-1,-1]","[-0.07245876025631935,0.05624293104131147]","[1,1,1]","[-0.09872950111271338,-0.009438995834157205]","[-1,-1,-1]","[0.15225529419029835,-0.05011445178117413]","[1,1,1]","[-0.12553590361649,-0.1283307873155269]","[-1,-1,-1]","[0.02910677455501698,-0.038863307742017066]","[1,1,1]","[-0.1547811763324685,0.04848098621136213]","[-1,-1,-1]","[-0.05539057070211967,0.133810308032054]","[1,1,1]","[0.053948327722617644,-0.09510171502874785]","[-1,-1,-1]","[-0.04124252321463063,-0.1282631141355077]","[1,1,1]","[0.12170081996322486,0.11309540028838215]","[-1,-1,-1]","[-0.014353537571303757,0.10060664109984765]","[-1,-1,-1]","[-0.028768054658780105,-0.0326602850961526]","[-1,-1,-1]","[0.012334384436096685,-0.14777124702257255]","[-1,-1,-1]","[0.11652286772481112,-0.1357829798199507]","[-1,-1,-1]","[0.03171526275902872,0.169426374791606]","[1,1,1]","[-0.1462357121276481,-0.054023705140906715]","[-1,-1,-1]","[-0.018754095422151056,0.17418294102772366]","[1,1,1]","[0.04367253853338518,-0.18589471923313564]","[1,1,1]","[0.03996675163022878,0.07131313750434048]","[1,1,1]","[-0.06999403032053166,-0.16963130731603035]","[1,1,1]","[0.02,0.02]",88.2535,0,3,3,81,1,,,,,,,
