right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0004,67.7825,space,52.7564,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,67.7833,124.5759,space,26.7849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,124.5761,128.5927,space,1.0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,128.6467,129.114,129.1148,129.3465,129.3469,130.0755,right,0.6777,,130.0758,131.1713,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,131.173,131.6708,131.6708,131.9166,131.9167,132.3297,left,0.3972,,132.33,133.426,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.4274,157.4822,space,21.0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,157.5719,157.9876,,,158.2427,159.0462,right,0.782,,,,,,,,,0.6,,,,,,157.9889,158.2423,159.0468,"[0.08208961325317442,-0.16119543302528402]","[-1,-1,-1]","[-0.06494288221063436,0.020844396598675693]","[1,1,1]","[0.0523935040655315,0.08447298001419744]","[-1,-1,-1]","[0.17945274625982632,-0.015291053807986966]","[-1,-1,-1]","[-0.015236858128661206,-0.10467209403368086]","[-1,-1,-1]","[-0.16149954597877852,0.04336057311957526]","[-1,-1,-1]","[0.013126704558139914,-0.14831315362016345]","[1,1,1]","[0.04401542066109574,-0.08138745366117146]","[-1,-1,-1]","[-0.1683113147127225,-0.10480074991557256]","[-1,-1,-1]","[-0.11035641528132643,-0.02939625553060758]","[-1,-1,-1]","[0.135407612589786,-0.0501328646281837]","[1,1,1]","[0.08548099099398238,-0.061129312826123564]","[-1,-1,-1]","[-0.03349781431511439,0.048939498954972044]","[-1,-1,-1]","[-0.13288249112042674,0.07388932526634147]","[1,1,1]","[-0.0531258805380291,0.12231857507132385]","[1,1,1]","[0.01779041695509145,0.1281216015160841]","[1,1,1]","[0.11265172859662544,0.1430236750836553]","[1,1,1]","[-0.12566103537589302,-0.07464987286762262]","[1,1,1]","[0.16317304006640063,-0.08920915984487497]","[1,1,1]","[0.16979778984125138,0.035640990224576306]","[1,1,1]","[0.055477671726398475,0.1585595140377934]","[1,1,1]","[0.1479479880600547,0.12018833402315357]","[1,1,1]","[-0.030093462273268746,-0.03204073562512831]","[1,1,1]","[0.03295007499716047,-0.03570426064550947]","[1,1,1]","[-0.1670844334483289,-0.0558044272134719]","[1,1,1]","[-0.14749157570124644,-0.012716894197454245]","[-1,-1,-1]","[-0.044470459640105875,0.19063242519455054]","[-1,-1,-1]","[-0.07076637064482472,-0.16789970152916558]","[1,1,1]","[0.009576199323744533,0.1941823577689713]","[1,1,1]","[0.11334934478483655,0.03559524104941122]","[-1,-1,-1]","[-0.11857474957575312,-0.14050601075130065]","[1,1,1]","[0.07614906889279702,-0.01778835227925352]","[1,1,1]","[0.02,0.02]",160.1394,0,0,0,154,1,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,160.14,160.6385,,,160.8973,161.1702,left,0.2406,,,,,,,,,0.1,,,,,,160.6389,160.8973,161.1703,"[0.08611712289172717,0.127527105741573]","[-1,-1,-1]","[0.13693782864567658,-0.1161251813401148]","[-1,-1,-1]","[0.1756461706340917,-0.06821210806130243]","[-1,-1,-1]","[0.14599236406188726,-0.01524219608653873]","[-1,-1,-1]","[-0.054070016182301665,-0.14407324515258485]","[-1,-1,-1]","[-0.020364440656379747,0.05413038416309977]","[-1,-1,-1]","[-0.18966232871373745,0.03638653404698308]","[-1,-1,-1]","[0.04396571237833675,0.09669019387264889]","[-1,-1,-1]","[-0.002652309486831315,-0.07180258334479662]","[-1,-1,-1]","[-0.09953358135519849,-0.08605508804593863]","[-1,-1,-1]","[-0.18739354150274867,-0.04618385428887921]","[1,1,1]","[-0.019331854100230476,-0.1912873910069669]","[-1,-1,-1]","[0.08432421531942923,-0.09793272481689941]","[-1,-1,-1]","[-0.14901011261875027,0.10462909533005954]","[-1,-1,-1]","[0.022344701008643032,-0.14673659043280718]","[-1,-1,-1]","[0.03765758973009271,0.03359818353017508]","[-1,-1,-1]","[-0.0713852414108133,-0.008446327072858903]","[-1,-1,-1]","[-0.12612183323983012,-0.03742378718392983]","[-1,-1,-1]","[0.16728855313563548,0.0751475267508123]","[-1,-1,-1]","[0.08511139896054519,0.006155728324013995]","[1,1,1]","[0.11454892724181369,0.08540224844289092]","[-1,-1,-1]","[-0.16310046652179516,-0.013187090159814572]","[-1,-1,-1]","[0.015063053708282967,0.13864639050456232]","[1,1,1]","[-0.034531759119902035,0.14506416830944044]","[-1,-1,-1]","[-0.09148959158711943,-0.1681112813922975]","[-1,-1,-1]","[-0.16941044793418134,-0.08901213519534174]","[-1,-1,-1]","[-0.07422688918772619,0.07268153979931759]","[-1,-1,-1]","[-0.06183543996805847,0.031391130028614024]","[-1,-1,-1]","[-0.07231949109187306,-0.051121199726538495]","[-1,-1,-1]","[-0.11275853140969798,0.15807220860648152]","[-1,-1,-1]","[0.09925895421225711,0.16935085611636577]","[-1,-1,-1]","[-0.13453204118178697,-0.12156594829812271]","[-1,-1,-1]","[0.02,0.02]",162.2801,0,1,1,8,1,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,162.281,162.7828,,,163.0295,163.3608,left,0.3128,,,,,,,,,0.9,,,,,,162.7829,163.0294,163.361,"[0.018762107364180984,0.06454100548036136]","[1,1,1]","[0.04710224504323345,0.09330799884907372]","[1,1,1]","[-0.1766146298261839,-0.08039047794446835]","[1,1,1]","[0.08964777926246038,-0.1305581980621402]","[1,1,1]","[0.06682685467459512,-0.05227543796418202]","[1,1,1]","[0.14599151690239778,-0.13514611491288]","[1,1,1]","[-0.047254595523718725,-0.08338565140221665]","[1,1,1]","[-0.013333076296284352,-0.14010329503765703]","[1,1,1]","[-0.02120207577291282,0.09451687633321]","[1,1,1]","[-0.1052291336584156,0.07425841031669402]","[1,1,1]","[-0.12052421465097397,0.11817083431105929]","[1,1,1]","[-0.05685247849320838,0.1776740600115145]","[1,1,1]","[0.18978572642289984,0.03162110193407203]","[-1,-1,-1]","[-0.09256686815833882,-0.04920684659965132]","[1,1,1]","[-0.05091157149515358,0.13127477184604236]","[1,1,1]","[0.1510165568599259,-0.01722120187652775]","[-1,-1,-1]","[-0.07786764101646008,-0.13695431586245693]","[1,1,1]","[-0.10353561148053064,-0.09886898035251472]","[1,1,1]","[0.11038550412558598,0.006154706346035157]","[1,1,1]","[0.05765895076187073,0.05409842291285521]","[-1,-1,-1]","[-0.17494442917407668,0.06066510737922078]","[1,1,1]","[0.1188509385411645,-0.09861658452713852]","[1,1,1]","[0.046064595664730215,-0.16550644561011238]","[1,1,1]","[-0.11607429652757772,0.03545000828441201]","[1,1,1]","[0.1054156878544914,0.1414682291688375]","[1,1,1]","[-0.06251797486446442,-0.18107423828065963]","[1,1,1]","[-0.01566470973540712,-0.02454280448556722]","[1,1,1]","[-0.016569675059100394,0.04332762480612139]","[1,1,1]","[0.1492640329013528,0.11455321817939415]","[1,1,1]","[0.04305993843373234,-0.0011570808222422682]","[1,1,1]","[0.19183940241410632,-0.010178105383939947]","[1,1,1]","[0.016384994051774352,0.16057593331542627]","[1,1,1]","[0.02,0.02]",164.4545,0,2,2,183,1,,,,,,,
,,,,,,,66954eb024a4cac04db35d5a,682db3a2508d56241bf0eefc,2025-05-21_13h34.35.329,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,164.4559,164.9466,,,165.1919,165.7056,right,0.486,,,,,,,,,0.9,,,,,,164.9467,165.1918,165.7058,"[0.0334911660905682,-0.024800658344453403]","[1,1,1]","[0.002882100842416564,-0.16853808549188168]","[-1,-1,-1]","[-0.060900735981279625,0.1742550259445664]","[-1,-1,-1]","[-0.12693966130280154,-0.11923292666864992]","[1,1,1]","[-0.026202139381726337,0.0738360388462238]","[1,1,1]","[0.12379371400105978,0.08937030489242169]","[1,1,1]","[0.16735530972186954,-0.014272497837765484]","[1,1,1]","[0.12296309347223776,0.048402865645171184]","[1,1,1]","[0.056979888202585,-0.1197330557210996]","[-1,-1,-1]","[0.18753601361734193,-0.05912873595797195]","[1,1,1]","[-0.014400681780393993,-0.08013156563322371]","[1,1,1]","[0.12047001644421046,-0.14242932868990718]","[1,1,1]","[-0.08115637334548283,-0.17148058953561654]","[1,1,1]","[0.03411279226106331,0.10328682593551526]","[1,1,1]","[-0.17549484783287092,0.09553971483214173]","[1,1,1]","[-0.07817656961587709,0.022168671200416663]","[1,1,1]","[0.1083892276197861,0.12955550832270543]","[1,1,1]","[-0.09858125717957697,0.15665851703964737]","[1,1,1]","[0.0831566474157307,0.0747033380026523]","[1,1,1]","[0.06702105788156629,0.018090259107702598]","[1,1,1]","[0.06266056080382461,-0.07302124137374523]","[1,1,1]","[0.16537285413985445,-0.09988351852453242]","[1,1,1]","[0.031620523379966486,-0.19675247567114318]","[1,1,1]","[-0.09130218674824805,-0.031155969598872395]","[1,1,1]","[0.1808582624591973,0.0387589331005621]","[1,1,1]","[0.006430103119738496,0.17752824069293616]","[1,1,1]","[-0.08937643298333194,0.07590646350082597]","[1,1,1]","[0.11885635868462054,-0.00360245372557995]","[1,1,1]","[0.10914128742030806,-0.08495675674692095]","[1,1,1]","[0.06302950335750526,0.16086918062887112]","[1,1,1]","[-0.11780181541864142,-0.07572393568135055]","[1,1,1]","[-0.04920297970460825,-0.13536031423096792]","[1,1,1]","[0.02,0.02]",166.8048,0,3,3,182,1,,,,,,,
