right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,70.8726,space,55.8239,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,70.873,114.4267,space,13.5425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,114.4269,135.4778,space,18.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,135.5266,135.9798,135.9805,136.236,136.2365,137.7279,,137.728,138.8304,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,138.8319,139.3286,139.3292,139.5681,139.5682,139.881,left,139.8811,140.9794,0,1,1,1,1,0.2,0.2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.9809,163.0302,space,19.0259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,163.045,163.5466,,,163.7839,164.2531,right,,,,,,,,0.45,0.4492,,,,,,,163.5473,163.7839,164.2537,"[0.11183165732623031,-0.0671355385346692]","[1,1,1]","[0.11962438843524673,0.1088943561626538]","[1,1,1]","[0.15922445538840138,0.03537574812294862]","[-1,-1,-1]","[-0.07915941957103013,-0.007327890228511535]","[-1,-1,-1]","[-0.15926890306470834,-0.08198206630718886]","[1,1,1]","[-0.11121270456450899,-0.09500308317115519]","[-1,-1,-1]","[-0.10649387132940726,0.1562211806537163]","[-1,-1,-1]","[0.17399187698086832,0.08806070045562159]","[-1,-1,-1]","[-0.05988512422782439,-0.14211658262863242]","[-1,-1,-1]","[-0.11248559040006925,0.03484804695804102]","[1,1,1]","[0.015684363181783498,0.009617804456038177]","[-1,-1,-1]","[0.09863264939690829,-0.0004470457950133794]","[-1,-1,-1]","[-0.050906523824542874,0.153784286215513]","[1,1,1]","[0.05936633132160091,0.10058863606968571]","[-1,-1,-1]","[0.03524409325260529,-0.03665464011012069]","[1,1,1]","[0.10114826597425584,0.1538956821872904]","[1,1,1]","[-0.015962048113427187,-0.14782615947058997]","[-1,-1,-1]","[-0.03694278688317617,0.043304696189965255]","[1,1,1]","[0.10830834393272007,-0.12119280963503375]","[1,1,1]","[-0.16301867443531082,0.04575639929885607]","[-1,-1,-1]","[-0.02104419495781929,-0.038593540313660614]","[1,1,1]","[0.14205387148609686,-0.09394530435188207]","[1,1,1]","[0.01508656064944098,0.07191437565929533]","[-1,-1,-1]","[-0.011111455515392157,0.10675978714567583]","[1,1,1]","[-0.010168654426493815,0.17705155573963494]","[-1,-1,-1]","[-0.025924852579707745,-0.0912754867082716]","[-1,-1,-1]","[0.04441961032817973,-0.11914489771594551]","[1,1,1]","[-0.03888071133187691,-0.1930529815271679]","[-1,-1,-1]","[0.14727869712505978,-0.007104886034828997]","[-1,-1,-1]","[-0.08170646198469365,0.06496566705992438]","[-1,-1,-1]","[-0.14139858547302617,0.08241376339768272]","[-1,-1,-1]","[-0.15335192132646255,0.1230675171022645]","[1,1,1]","[0.02,0.02]",165.3532,0,0,0,78,1,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,165.354,165.8527,,,166.1035,166.1686,left,,,,,,,,0.5,0.0479,,,,,,,165.8528,166.1034,166.1686,"[-0.1512420517775908,0.07678385739684794]","[1,1,1]","[-0.07009079873526679,0.1739812645476375]","[-1,-1,-1]","[-0.058908755568554745,0.12004714984751684]","[-1,-1,-1]","[0.15544270724013906,-0.0442373757940632]","[1,1,1]","[-0.08347672430250762,0.08216606387897095]","[-1,-1,-1]","[0.09688504766690612,-0.13930305986187866]","[-1,-1,-1]","[0.07683288496753156,0.018674721765407607]","[1,1,1]","[-0.15092813268552427,0.12141148587342333]","[-1,-1,-1]","[0.05922845671313854,-0.08652935575640129]","[1,1,1]","[0.06586120009231641,-0.03610354564828138]","[-1,-1,-1]","[-0.05046631862540328,-0.08719225434900395]","[1,1,1]","[-0.1305113329175278,-0.018070878712474026]","[1,1,1]","[0.11641257839877572,-0.021622874510199754]","[-1,-1,-1]","[-0.06920569674414183,-0.14942106904266889]","[1,1,1]","[-0.1329300699130765,-0.08230013925248046]","[1,1,1]","[-0.18064791152943652,0.026496686769875342]","[1,1,1]","[-0.17991267731638194,-0.08584322886550348]","[1,1,1]","[0.07958407669506837,0.06286856274482112]","[-1,-1,-1]","[-0.07417694862390029,-0.023765381726596705]","[1,1,1]","[0.057917998391148445,0.1687785779810788]","[-1,-1,-1]","[0.11987901131218025,0.14950361264098275]","[-1,-1,-1]","[0.018034855888566452,-0.18758229090112022]","[-1,-1,-1]","[-0.11902312655443409,-0.15096200875028867]","[-1,-1,-1]","[-0.017686734314616814,-0.014499908556073035]","[-1,-1,-1]","[0.05821057917555717,0.10587667170956755]","[-1,-1,-1]","[0.02737589454117034,0.058677041802021955]","[1,1,1]","[0.029318282148229704,0.009799118406850342]","[1,1,1]","[-0.12670285662391167,0.039105887791086084]","[1,1,1]","[0.015387564983667041,0.1171280666341282]","[1,1,1]","[0.11777698536980535,-0.1005076209488142]","[1,1,1]","[0.049116631494562454,-0.1470757065082692]","[-1,-1,-1]","[0.15314859279289506,0.09974822835855608]","[-1,-1,-1]","[0.02,0.02]",167.2625,0,1,1,102,1,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,167.2638,167.7626,,,168.0143,168.114,right,,,,,,,,0.5,0.0688,,,,,,,167.7629,168.0141,168.1142,"[-0.12583870403258723,-0.06506302232303943]","[-1,-1,-1]","[-0.031157077027754974,-0.012519673717252714]","[-1,-1,-1]","[-0.03559522642073163,0.13530023352013673]","[1,1,1]","[0.015521453202574819,0.1374205213570801]","[-1,-1,-1]","[0.16880277399686722,-0.08093310727864181]","[-1,-1,-1]","[0.0008692376676352726,-0.17909288688013078]","[-1,-1,-1]","[0.18471949359303633,0.02880498451532828]","[-1,-1,-1]","[0.020960690125740065,0.07535728244493552]","[-1,-1,-1]","[-0.061101519558927134,0.18975801986875732]","[1,1,1]","[0.13938960467314204,0.096953635295092]","[1,1,1]","[0.0004284411804104972,-0.08047458851644014]","[-1,-1,-1]","[-0.09183479484754682,0.04013893755601579]","[1,1,1]","[0.024398905714852853,-0.015120064278545555]","[-1,-1,-1]","[-0.051855357099613066,-0.1845631490434579]","[-1,-1,-1]","[0.12926784061608293,0.03454937942276333]","[1,1,1]","[-0.18057765413544755,-0.045820181537283705]","[-1,-1,-1]","[0.043863097850450866,-0.14991102685226854]","[1,1,1]","[-0.16214580248525778,-0.09564463071237328]","[1,1,1]","[0.05792758606634004,0.15060220321517287]","[1,1,1]","[0.07806636959151005,0.05801557650680662]","[1,1,1]","[0.0939143597844787,-0.12767507861305089]","[-1,-1,-1]","[0.09447584090077732,-0.032640000813903745]","[-1,-1,-1]","[0.009572970550114794,0.19121538237308733]","[1,1,1]","[0.14385751808328925,-0.1239491766966012]","[-1,-1,-1]","[-0.06356164427606399,0.0767719315404342]","[-1,-1,-1]","[-0.02191848071331827,0.07862147912378825]","[1,1,1]","[-0.15049241983554856,0.06285063913327811]","[1,1,1]","[-0.06298442295728285,-0.09720610345473363]","[1,1,1]","[-0.049086621549804615,-0.05905862873210619]","[1,1,1]","[-0.09526674399866514,0.1421866487654789]","[1,1,1]","[-0.08443889625524417,-0.029066334155429908]","[-1,-1,-1]","[0.11405228454813655,0.13334481469598947]","[1,1,1]","[0.02,0.02]",169.214,0,2,2,98,1,,,,,,,
,,,,,,,66ae2a21915bde402f570746,682db4ddce8e618f33fa5b8b,2025-05-21_13h14.36.943,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d556593cb38ad0a074487,,,,,,,,,,,169.2155,169.7127,,,169.9543,170.1139,left,,,,,,,,0.1,0.1346,,,,,,,169.7129,169.9543,170.1142,"[0.0031556537748672142,-0.17173677149223826]","[1,1,1]","[-0.10429495249827395,-0.020445089083749736]","[-1,-1,-1]","[-0.13525211619151797,-0.081777324573516]","[-1,-1,-1]","[0.04456847155315792,0.046949178816143744]","[-1,-1,-1]","[0.18372424991743222,0.0034097265098720544]","[-1,-1,-1]","[0.0843047697356208,0.08276667875267793]","[-1,-1,-1]","[-0.13037363020260273,-0.1300875980706832]","[-1,-1,-1]","[0.0034346485244840883,-0.056173641463808786]","[1,1,1]","[-0.16890882246956251,-0.045181322246004234]","[-1,-1,-1]","[-0.09848473414223063,0.03293350367712007]","[-1,-1,-1]","[0.1363753793472364,-0.082438798340478]","[-1,-1,-1]","[0.13817298377952292,0.13620802427842987]","[-1,-1,-1]","[0.06772252826857404,-0.012937897317790594]","[-1,-1,-1]","[-0.05222666756327389,-0.022421619777304305]","[-1,-1,-1]","[0.06349082961191028,-0.16086433512201717]","[-1,-1,-1]","[-0.04615813652320666,0.12427652766389248]","[-1,-1,-1]","[0.01439294673403357,-0.11070535036608681]","[1,1,1]","[0.09873500549575746,0.12590455390917168]","[-1,-1,-1]","[-0.031000588133329558,0.04349019041842426]","[-1,-1,-1]","[-0.02687924696892128,-0.14087846903205353]","[-1,-1,-1]","[-0.14334782535206692,0.08566412655053333]","[-1,-1,-1]","[-0.090393962859312,0.09613729673947817]","[-1,-1,-1]","[0.18548229859856266,-0.059591291114183695]","[-1,-1,-1]","[0.062329270173954024,-0.05575477654664033]","[-1,-1,-1]","[-0.06874575529280537,-0.12348351657282028]","[-1,-1,-1]","[0.03741340332200323,0.1774451957421888]","[-1,-1,-1]","[0.14394534976618614,0.050528816955236804]","[-1,-1,-1]","[0.0849027164064638,-0.10032201504008992]","[-1,-1,-1]","[-0.15359316599209047,-0.002044443124722445]","[-1,-1,-1]","[-0.16210425377639007,0.04003732592168701]","[-1,-1,-1]","[-0.01707049422504591,0.19190626030888133]","[-1,-1,-1]","[0.09650108873269564,0.032635083602095355]","[-1,-1,-1]","[0.02,0.02]",171.2126,0,3,3,5,1,,,,,,,
