right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,16.104,space,1.0894,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,16.1045,52.3642,space,6.2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,52.3647,56.5558,space,1.1758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,56.5971,57.0712,57.072,57.3244,57.3248,58.0442,right,0.676,,58.0449,59.1376,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,59.1399,59.6366,59.637,59.878,59.8782,60.7714,left,0.8694,,60.7719,61.8723,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.873,66.1059,space,1.2105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,66.1445,66.6181,,,66.8584,67.6365,left,0.7577,,,,,,,,,0.5,,,,,,66.6201,66.8584,67.6386,"[-0.004483151594834312,-0.1802474248066847]","[1,1,1]","[-0.05069767426268051,-0.12881353034839335]","[-1,-1,-1]","[-0.11036957387754923,-0.08998941505413623]","[1,1,1]","[-0.08414646153934689,0.01388078054595838]","[-1,-1,-1]","[-0.02884328549386949,0.12284771511773646]","[-1,-1,-1]","[-0.10155722648629514,-0.02296262191795506]","[-1,-1,-1]","[-0.09538070739727424,-0.15204940622855712]","[1,1,1]","[-0.15166304656262508,0.1059279751478431]","[-1,-1,-1]","[-0.07500077590448373,0.15540616246702288]","[1,1,1]","[0.033376077310345455,-0.14295279782926804]","[1,1,1]","[0.1784795472406792,-0.004114106913326646]","[1,1,1]","[-0.15066374888687903,0.026376188106492643]","[-1,-1,-1]","[0.10273231014287734,-0.062384715220392746]","[-1,-1,-1]","[-0.012520127222408936,0.0741454020773804]","[1,1,1]","[0.03820359749534845,0.0492030687352693]","[-1,-1,-1]","[-0.10078501794307175,0.05655954310681386]","[-1,-1,-1]","[0.12281075292249488,-0.011766635073624]","[1,1,1]","[-0.025392975643854943,-0.08685405425625811]","[1,1,1]","[0.020258562149062045,0.18515758002552427]","[1,1,1]","[0.17013909551758527,-0.0907865926902161]","[-1,-1,-1]","[0.06776191362640742,-0.018616913109997656]","[-1,-1,-1]","[0.11777773564823088,0.049456961451901246]","[1,1,1]","[-0.037337193365429566,0.033058814080582984]","[1,1,1]","[-0.14499566143595571,-0.061366960755660234]","[1,1,1]","[0.14106060347504804,-0.12267982763387947]","[-1,-1,-1]","[0.16077778875027596,0.08521078739318792]","[-1,-1,-1]","[-0.05490627299657712,-0.055283087424728226]","[-1,-1,-1]","[-0.14008870623858324,-0.11885664124528729]","[1,1,1]","[0.07255053006806313,0.10753490978200811]","[1,1,1]","[0.021931398093944975,-0.08659140544134253]","[1,1,1]","[0.18882085619120392,0.0561817065984882]","[-1,-1,-1]","[0.00940881355250431,-0.03821160516646327]","[-1,-1,-1]","[0.02,0.02]",68.7354,0,0,0,109,1,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,68.7372,69.2339,,,69.492,70.252,right,0.7407,,,,,,,,,0.4,,,,,,69.2342,69.4918,70.252,"[-0.14724879781070466,0.05616416164106621]","[1,1,1]","[0.1573425095613915,0.07822144155098928]","[-1,-1,-1]","[0.06149074030093976,-0.0422147014225064]","[-1,-1,-1]","[0.17221750294442134,0.024358385715361697]","[1,1,1]","[0.07792898904752374,-0.13170573990963613]","[-1,-1,-1]","[0.14141470939862694,-0.06168302714048038]","[-1,-1,-1]","[-0.036536911534882296,-0.19126685213890426]","[-1,-1,-1]","[-0.053968994388025965,-0.03123557787466283]","[1,1,1]","[-0.014434659822466405,0.10242510536311078]","[-1,-1,-1]","[-0.06506490895485591,0.104688027539274]","[-1,-1,-1]","[0.09875485231391948,0.11227533805940404]","[-1,-1,-1]","[-0.02113828708758483,0.1984228278792116]","[-1,-1,-1]","[0.0635844705832516,0.17282543612832604]","[-1,-1,-1]","[-0.09875504644082293,-0.056944012945370305]","[1,1,1]","[0.034015524070256195,0.1075340445597464]","[-1,-1,-1]","[0.13811695657572537,-0.004920920500015682]","[-1,-1,-1]","[0.007049822102509679,0.014090391920236355]","[-1,-1,-1]","[-0.04765353695758859,-0.1377750926120251]","[1,1,1]","[-0.11021833230275069,0.04055659799573619]","[1,1,1]","[0.01666002553625019,-0.16355635853695744]","[1,1,1]","[-0.04431602254224089,-0.08116032334369874]","[-1,-1,-1]","[0.0038002214814816995,-0.1092940587546697]","[1,1,1]","[0.12376511720812079,0.04633866261572897]","[-1,-1,-1]","[0.1811170621674607,-0.05068500374620604]","[-1,-1,-1]","[-0.1719209458879114,0.015214059822495615]","[-1,-1,-1]","[-0.13269118144464526,-0.08669993479064061]","[-1,-1,-1]","[-0.005567419450780485,-0.03294873420062653]","[1,1,1]","[-0.13586670933956244,0.10137927707443059]","[1,1,1]","[-0.07278848996677063,0.18446410162520774]","[1,1,1]","[-0.15662265072908776,-0.12177120546846355]","[-1,-1,-1]","[-0.10032889333330575,-0.012286078653788576]","[1,1,1]","[-0.0916888055764689,-0.12062161939018004]","[1,1,1]","[0.02,0.02]",71.35,0,1,1,57,1,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,71.3518,71.8499,,,72.1072,72.5533,right,0.4223,,,,,,,,,0.6,,,,,,71.8501,72.1071,72.5533,"[-0.006920878243649264,0.06102001055933435]","[1,1,1]","[-0.11602314961194214,-0.11215570139977392]","[1,1,1]","[-0.1504381560833971,0.07233249806650292]","[1,1,1]","[-0.079926146432654,0.022501517725781628]","[1,1,1]","[0.06994900913701085,-0.07329663251633617]","[-1,-1,-1]","[0.1420501561277919,0.028615278827096986]","[-1,-1,-1]","[-0.02076681746240995,-0.046622862820663385]","[1,1,1]","[-0.050798325725695544,0.1304966681774484]","[-1,-1,-1]","[-0.1373574818807869,0.010745581888388266]","[1,1,1]","[-0.04785539493843046,0.07175426271302514]","[1,1,1]","[-0.05987758861344422,-0.08614265724001773]","[-1,-1,-1]","[0.02226318217180206,0.10085702358788277]","[1,1,1]","[0.08003855836084042,0.04062628277612927]","[-1,-1,-1]","[0.18814890935758083,-0.02312477134423804]","[1,1,1]","[0.15815623089417175,-0.08960297680471069]","[1,1,1]","[0.006533012359432043,0.17926888373867275]","[1,1,1]","[0.02126565178471812,-0.058141354445749326]","[1,1,1]","[0.0756113099424921,-0.11917762744983164]","[-1,-1,-1]","[-0.03489369843805521,-0.00025172797756387955]","[-1,-1,-1]","[0.04522817677004819,-0.0030081062077621746]","[1,1,1]","[0.07810688392260498,0.0880505013354722]","[1,1,1]","[0.03138020849274104,0.14303058439869337]","[-1,-1,-1]","[-0.11468312518325305,0.1500702570197515]","[1,1,1]","[-0.027618429949877392,-0.1904409446003786]","[-1,-1,-1]","[-0.09805351571625348,-0.1683110726445458]","[1,1,1]","[-0.03161932648085121,-0.15012896662824426]","[-1,-1,-1]","[0.14926352718121508,0.10499278170128805]","[1,1,1]","[0.0977039956747062,-0.03300914133097541]","[1,1,1]","[-0.0037614187572246652,-0.09284363092867279]","[1,1,1]","[-0.10178744627623972,-0.039563366500616697]","[-1,-1,-1]","[0.08768576690066712,0.15369870273005426]","[-1,-1,-1]","[-0.1318468352214694,-0.07503373349602577]","[-1,-1,-1]","[0.02,0.02]",73.6487,0,2,2,152,1,,,,,,,
,,,,,,,66b38624283af88b5fb39daa,682f0fbb32f730509e8ebe05,2025-05-22_14h18.49.744,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,73.651,74.149,,,74.4048,74.8677,right,0.4418,,,,,,,,,0.5,,,,,,74.1491,74.4047,74.8679,"[-0.10934110215398479,-0.11044238899522081]","[-1,-1,-1]","[-0.035200429968764,-0.08019609427779727]","[1,1,1]","[0.07180533884384056,-0.11843027197357163]","[-1,-1,-1]","[0.0329209132825557,0.1843294972536813]","[-1,-1,-1]","[0.03405470039569879,0.016864496100133217]","[1,1,1]","[-0.02356729179152196,-0.1738488816794761]","[-1,-1,-1]","[-0.18074909757498933,-0.06925936692980963]","[1,1,1]","[0.08500963035821826,-0.022586967873704414]","[1,1,1]","[-0.15076880466284617,0.08948984622874616]","[1,1,1]","[-0.10763127924086598,0.13102894766320597]","[1,1,1]","[-0.09194299676054676,0.07427918950369025]","[-1,-1,-1]","[-0.11418886969085984,0.02770757185287289]","[-1,-1,-1]","[-0.06555404701246524,-0.03906652676952673]","[1,1,1]","[0.12737946933453256,-0.11309942836459154]","[-1,-1,-1]","[-0.06726274177851797,-0.16358684287074854]","[1,1,1]","[0.02190773072252678,-0.15271528816804958]","[1,1,1]","[-0.15581720995166987,-0.016182678409090163]","[-1,-1,-1]","[0.1643319033047616,0.04886365601689835]","[1,1,1]","[-0.010036775197597051,0.18951508465301548]","[1,1,1]","[-0.024818241073392384,-0.03938251570513596]","[-1,-1,-1]","[0.10017164416846415,0.062247932805770366]","[-1,-1,-1]","[-0.18223803156849033,0.04548677365956687]","[-1,-1,-1]","[0.0837974453453077,-0.158893256138228]","[1,1,1]","[0.06001214111864729,-0.07193189455576009]","[-1,-1,-1]","[-0.04731126194869741,0.010433083465982821]","[-1,-1,-1]","[-0.05143926971374115,0.051584206151147054]","[-1,-1,-1]","[0.04715830291846428,-0.18730019180109236]","[-1,-1,-1]","[0.14595221604682498,0.11199119941729234]","[1,1,1]","[-0.19268077183098326,0.003806008202184924]","[1,1,1]","[0.006864906094328669,0.0495175633560616]","[1,1,1]","[-0.04003476990271543,0.16052191975977007]","[-1,-1,-1]","[-0.026664065311796735,0.10897884834072963]","[1,1,1]","[0.02,0.02]",75.9645,0,3,3,96,1,,,,,,,
