right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,47.9353,space,32.9145,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,47.9354,80.1118,space,2.1537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,80.1119,84.6284,space,1.4882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,84.6414,85.1446,85.1448,85.3946,85.3947,86.6112,left,1.1934,,86.6114,87.7113,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,87.7116,88.2114,88.2114,88.4616,88.4617,89.1779,left,0.7023,,89.1779,90.2778,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2781,95.1616,space,1.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,95.1733,95.6612,,,95.9114,96.6448,right,0.7241,,,,,,,,,0.5,,,,,,95.6615,95.9114,96.6451,"[-0.023719296489676283,-0.0991412928807297]","[1,1,1]","[0.1654419661648135,0.033559755947340536]","[1,1,1]","[-0.1986348685346115,0.01370792036992228]","[1,1,1]","[-0.14392889490906077,0.0943039966342986]","[-1,-1,-1]","[-0.050317906968843557,-0.049244446077904964]","[1,1,1]","[0.0707280024536805,-0.07268180433009366]","[1,1,1]","[-0.1326056744817376,-0.11533903327067713]","[1,1,1]","[0.12350194197190843,0.11654821603292743]","[-1,-1,-1]","[-0.08301388620980706,0.16359837926259993]","[1,1,1]","[-0.00864088891206075,0.165728033459749]","[1,1,1]","[0.0238173991099735,-0.16911139407647363]","[-1,-1,-1]","[-0.13215984179874785,-0.007417532755561368]","[1,1,1]","[-0.12055379626166782,0.04928516301052419]","[-1,-1,-1]","[0.006979592736063359,-0.030547549540112524]","[1,1,1]","[-0.09210375163902955,0.11241027331361046]","[-1,-1,-1]","[-0.04310201013010569,-0.0014055265662194485]","[-1,-1,-1]","[-0.14902039590539423,-0.059074980836064314]","[-1,-1,-1]","[0.10287873249843628,-0.011803427994980341]","[-1,-1,-1]","[0.13670858602915983,-0.1436537393451326]","[1,1,1]","[0.1819011232779241,-0.04200016342755643]","[-1,-1,-1]","[0.01196393252846686,0.0814318438229751]","[-1,-1,-1]","[0.061806847519136156,0.02443308512673377]","[1,1,1]","[-0.04044873878284773,0.13499709298600918]","[-1,-1,-1]","[-0.08623825690570809,0.07109941024970191]","[-1,-1,-1]","[0.1503157997907219,-0.08403872838003953]","[-1,-1,-1]","[0.0618241077423501,0.16444967280784797]","[1,1,1]","[-0.10825803602231263,-0.06804130796324327]","[1,1,1]","[-0.08134356050548519,-0.1216729426279031]","[1,1,1]","[0.09175579056153853,0.05312714475768699]","[1,1,1]","[0.007213414387360529,0.022622564362723658]","[-1,-1,-1]","[-0.09128953466725413,-0.0213226508497124]","[-1,-1,-1]","[0.03281753433750789,-0.08558731207771224]","[-1,-1,-1]","[0.02,0.02]",97.7447,0,0,0,98,1,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,97.7453,98.2445,,,98.4948,99.6112,left,1.1057,,,,,,,,,0.6,,,,,,98.2446,98.4948,99.6113,"[-0.07222276478026786,0.15719139997908052]","[1,1,1]","[0.05817699366415896,-0.1771334654532709]","[-1,-1,-1]","[-0.11819299724867462,0.07433626858687292]","[-1,-1,-1]","[-0.06274411528377288,0.06569320391973563]","[-1,-1,-1]","[0.16023476125967195,-0.06253320740231398]","[-1,-1,-1]","[-0.03976291544216908,0.11718413684775535]","[1,1,1]","[-0.1376441766425168,0.12854536978964312]","[1,1,1]","[0.05720141310455688,-0.0030068813889288937]","[1,1,1]","[-0.021165806831180797,-0.0834351129653679]","[1,1,1]","[0.10107223017711403,-0.011962421990811252]","[1,1,1]","[-0.05851695086942742,-0.10592485092614466]","[-1,-1,-1]","[0.12197345219256467,-0.10050488074266475]","[1,1,1]","[0.04992385688095941,0.1696331976291719]","[-1,-1,-1]","[0.13419934215830487,0.04389500640395057]","[-1,-1,-1]","[-0.005941959507402554,0.17925095465960997]","[-1,-1,-1]","[-0.1432515466741574,-0.04530578113466572]","[1,1,1]","[-0.07666365948074426,-0.006657874531657513]","[1,1,1]","[0.12694399448847477,-0.15116032562511167]","[1,1,1]","[0.0953366704315097,-0.05504482808869877]","[-1,-1,-1]","[-0.13177521945173284,0.023328261181192887]","[1,1,1]","[-0.17715597913916573,0.018423336013247152]","[1,1,1]","[-0.17092447830464957,-0.07869767311893966]","[-1,-1,-1]","[-0.08344008222223989,-0.0633297919048897]","[1,1,1]","[0.0939329082001585,0.0409217875660639]","[1,1,1]","[0.1791913161119789,0.03258709407174477]","[-1,-1,-1]","[-0.014954671905122445,0.002055021203883122]","[1,1,1]","[0.1030442630731095,0.0922407319319422]","[-1,-1,-1]","[-0.11921273407157454,-0.1468996075011829]","[1,1,1]","[0.16951587033699372,0.07602767808870144]","[-1,-1,-1]","[0.15717943650649793,-0.004659754984717155]","[1,1,1]","[0.041696091389614956,0.12443899592453367]","[1,1,1]","[0.011984999225389889,-0.19110133180215566]","[1,1,1]","[0.02,0.02]",100.7111,0,1,1,157,1,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,100.7115,101.2114,,,101.4613,102.8779,left,1.4031,,,,,,,,,0.5,,,,,,101.2114,101.4613,102.8779,"[-0.09304328189681656,-0.030366348931480092]","[-1,-1,-1]","[-0.036867311745438926,0.000420609578285848]","[-1,-1,-1]","[0.0805333597586756,0.13048079854970063]","[-1,-1,-1]","[-0.0025233556149154082,0.19284452684990938]","[1,1,1]","[0.18097668300601003,-0.028874217109851552]","[1,1,1]","[-0.024533969724641114,-0.10568198852939384]","[-1,-1,-1]","[0.05691333132261343,-0.13714935598047062]","[1,1,1]","[0.17853247078142892,0.017151560014281843]","[1,1,1]","[0.031102828350225327,0.1064480219484937]","[1,1,1]","[-0.15813349909044178,0.06493545047763144]","[-1,-1,-1]","[-0.11314840829265291,0.10484935517872351]","[-1,-1,-1]","[0.06789072821383808,0.06702893178788333]","[-1,-1,-1]","[0.14445424989359787,0.04726114935537597]","[1,1,1]","[-0.01624140849733156,0.1268324168723481]","[-1,-1,-1]","[-0.08880868123460628,0.14826794103732288]","[-1,-1,-1]","[-0.14900134705789916,-0.12865725013365933]","[1,1,1]","[0.11102806889691343,0.10123510597906098]","[1,1,1]","[-0.006899747387129082,0.07256795341822471]","[-1,-1,-1]","[0.17272605938369587,-0.09517369478495726]","[-1,-1,-1]","[0.15100585238033584,0.0960574247342166]","[1,1,1]","[0.10400158405049985,-0.036172373722018404]","[1,1,1]","[-0.10485875359545084,-0.13909374694991494]","[-1,-1,-1]","[-0.08405036256953212,0.025426660789000268]","[1,1,1]","[-0.12217443135799262,-0.09894726768689185]","[1,1,1]","[-0.043418820793052516,-0.17398589311198082]","[1,1,1]","[0.012710019975495706,0.016384701484721917]","[-1,-1,-1]","[-0.06531919699686967,-0.10286061457445775]","[1,1,1]","[-0.05769367242373574,0.09655262387674082]","[1,1,1]","[-0.03651767406599122,-0.06246888057164682]","[-1,-1,-1]","[-0.12304665774872434,0.014430325642190465]","[-1,-1,-1]","[0.07518176504399181,-0.0918191344928115]","[-1,-1,-1]","[0.06531157820432884,-0.022701702041680025]","[1,1,1]","[0.02,0.02]",103.9781,0,2,2,99,1,,,,,,,
,,,,,,,66ce541cd8da920539a1c3cc,682f2f7d88553c49f64a3327,2025-05-22_15h11.59.453,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,103.9784,104.4779,,,104.7281,105.9778,left,1.2333,,,,,,,,,0.55,,,,,,104.4779,104.7281,105.9778,"[-0.12262470167258066,0.13976667207282256]","[1,1,1]","[0.10567126346027589,-0.013301454356037195]","[1,1,1]","[0.14509986001760844,-0.12393218681406691]","[-1,-1,-1]","[0.16342635623380553,0.0496354477525398]","[-1,-1,-1]","[-0.1446413303274853,-0.04492502981170016]","[-1,-1,-1]","[0.10010678303041444,-0.16044713517564377]","[1,1,1]","[0.015308891906843126,0.025290010076975154]","[1,1,1]","[-0.07009060388801203,0.07186717893136023]","[1,1,1]","[0.09777969404605065,0.12785877883961405]","[-1,-1,-1]","[0.05115815955254196,-0.17262335196910933]","[1,1,1]","[0.11480657156020323,-0.06587843940335662]","[1,1,1]","[-0.02366846369483313,-0.160009965766323]","[-1,-1,-1]","[-0.10226346034476795,-0.1012289296030191]","[1,1,1]","[0.1841711430666367,-0.06252932655390893]","[-1,-1,-1]","[0.022704139905415966,0.1766145912927482]","[-1,-1,-1]","[-0.07913796655315994,0.1611867979962603]","[1,1,1]","[-0.1829821238440797,0.013899471415437922]","[1,1,1]","[-0.010161457487049337,0.07200901880689609]","[1,1,1]","[-0.11301856498772504,0.05630818527505686]","[-1,-1,-1]","[-0.09501836279837976,-0.023085613060169485]","[-1,-1,-1]","[0.06473890677395375,0.1654485082966553]","[1,1,1]","[0.061592871233332944,0.04904887259967456]","[-1,-1,-1]","[0.0004015140825559185,-0.0744024380500447]","[1,1,1]","[-0.011529076429328577,0.14304467552042802]","[1,1,1]","[0.04667272957807489,0.12072362529459668]","[1,1,1]","[-0.07895933206616339,-0.1717529128701757]","[-1,-1,-1]","[-0.16737847216236015,-0.09927593433747162]","[-1,-1,-1]","[-0.15037797649416582,0.11012096386512132]","[-1,-1,-1]","[0.14649123051898214,0.08712541547136596]","[1,1,1]","[-0.04577691837215138,-0.0371402089631962]","[-1,-1,-1]","[0.012713808769593875,-0.1194999954752603]","[1,1,1]","[-0.051100461743249184,0.13020670441814605]","[1,1,1]","[0.02,0.02]",107.0778,0,3,3,142,1,,,,,,,
