right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0004,265.5744,space,250.5587,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,265.575,304.005,space,8.4226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,304.0053,309.7152,space,2.6954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,309.7468,310.2351,310.2356,310.4672,310.4674,311.2762,left,0.7599,,311.2764,312.376,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,312.3769,312.8866,312.8866,313.1279,313.1281,313.6968,right,0.5451,,313.6972,314.7857,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7863,351.351,space,33.5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,351.3788,351.8572,,,352.1076,352.7349,left,0.6017,,,,,,,,,0.45,,,,,,351.8578,352.1075,352.7359,"[0.10092087870869607,-0.07104959756454922]","[-1,-1,-1]","[0.05552500253332467,0.17390319743069446]","[1,1,1]","[-0.017524519449442753,-0.0696586007821388]","[-1,-1,-1]","[-0.09403764994303745,-0.020036968226717394]","[1,1,1]","[0.15088834816804306,-0.08955296251798173]","[1,1,1]","[-0.06640052231356919,0.03484396180275689]","[-1,-1,-1]","[-0.18869487563476,0.03851473711388323]","[1,1,1]","[-0.0001861838448652893,-0.19905009152034658]","[1,1,1]","[0.10889129564017874,-0.14026228029797316]","[-1,-1,-1]","[0.13406951512380094,0.14027108887913142]","[-1,-1,-1]","[0.11651629933838761,0.09317180980163368]","[-1,-1,-1]","[0.017577968956096136,-0.1498860270975462]","[-1,-1,-1]","[-0.16124250157376424,-0.04305954949093866]","[-1,-1,-1]","[-0.05929551854760297,-0.18988645508618682]","[-1,-1,-1]","[0.14951896455686708,-0.131061951647091]","[1,1,1]","[0.14630958974423125,0.012450553827679178]","[-1,-1,-1]","[-0.13546522248616424,0.09011184904483513]","[1,1,1]","[0.014980580826801124,0.07635944707129501]","[1,1,1]","[0.1672190024360748,0.049836329517500506]","[1,1,1]","[0.06220188364305963,0.017153359962698875]","[-1,-1,-1]","[-0.08937697241328035,-0.12492175161642725]","[-1,-1,-1]","[0.010507246473021486,0.00002812495299125547]","[-1,-1,-1]","[0.11623785039532969,-0.028646282193807035]","[1,1,1]","[0.059112837077509604,-0.05458372579427457]","[1,1,1]","[-0.04262480657425191,0.17554039515425865]","[-1,-1,-1]","[-0.13860673353741243,-0.09903179568822047]","[1,1,1]","[-0.0803820474746151,0.12311516486251736]","[-1,-1,-1]","[0.0400470446411324,-0.10172304458203252]","[1,1,1]","[-0.04163272833495463,-0.12812488525868385]","[1,1,1]","[-0.09507774749661678,-0.17035237101022632]","[-1,-1,-1]","[0.06420819612692784,0.10816711418977507]","[-1,-1,-1]","[-0.14119101037030288,0.015867456474458877]","[-1,-1,-1]","[0.02,0.02]",353.8477,0,0,0,82,1,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,353.8482,354.3672,,,354.591,355.2094,left,0.5987,,,,,,,,,0.45,,,,,,354.3672,354.591,355.2095,"[0.1506552332252321,0.10547557926951097]","[-1,-1,-1]","[-0.05304272131748225,-0.007038623576025703]","[-1,-1,-1]","[0.007449247066195616,0.0965223306523519]","[-1,-1,-1]","[-0.007316046038022005,-0.0752298403913818]","[-1,-1,-1]","[0.07706774616890018,0.1147314352979465]","[-1,-1,-1]","[-0.10447228009581966,-0.05628878970086994]","[-1,-1,-1]","[0.028090855140162158,-0.1866362925040727]","[1,1,1]","[0.18819579033232214,-0.06723947145210313]","[1,1,1]","[-0.13520267609740877,0.07904883718518178]","[-1,-1,-1]","[0.17532568112379424,0.006389488655749994]","[-1,-1,-1]","[0.09080397394112028,-0.13772288803913038]","[-1,-1,-1]","[0.1303456706640424,0.1501367352750988]","[1,1,1]","[-0.022782296688943233,0.05480137181917822]","[-1,-1,-1]","[0.1115979077553137,0.06954012555270467]","[-1,-1,-1]","[-0.18448250897578786,-0.06427351233034961]","[-1,-1,-1]","[0.06852714863075866,0.05372673946317349]","[-1,-1,-1]","[-0.03323190167931681,-0.1564874996066865]","[-1,-1,-1]","[-0.053923506703133665,0.17624474493895356]","[-1,-1,-1]","[0.05803813530983542,-0.07855782998484456]","[1,1,1]","[0.1289467714890933,-0.039931695354822175]","[1,1,1]","[-0.18333298906965126,0.07377158282512451]","[1,1,1]","[0.0002012522783879425,0.1393763477299529]","[1,1,1]","[-0.05212408362605391,0.0854080417961531]","[1,1,1]","[-0.06401520035894133,-0.0848772382124842]","[1,1,1]","[0.06371248071583806,0.011803792466275328]","[-1,-1,-1]","[0.12805323471999366,-0.11062514093475317]","[1,1,1]","[-0.07653166460411744,0.03879624134061674]","[1,1,1]","[-0.17100191372763712,-0.018052158108708753]","[-1,-1,-1]","[0.019551105129833914,0.17453987795030332]","[1,1,1]","[-0.12254828015816815,-0.11624373407225334]","[1,1,1]","[0.03248809158133693,-0.03869971739972811]","[-1,-1,-1]","[-0.004051333820444711,-0.12389683190830574]","[1,1,1]","[0.02,0.02]",356.3229,0,1,1,89,1,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,356.3234,356.8122,,,357.0531,357.5447,right,0.4724,,,,,,,,,0.5,,,,,,356.8122,357.053,357.5448,"[0.06166688018047364,0.012315011564734508]","[-1,-1,-1]","[-0.09737939733272499,-0.16248627777367675]","[-1,-1,-1]","[0.0124857194523963,0.08914724807407505]","[-1,-1,-1]","[0.14881293770075574,0.08132920974424782]","[-1,-1,-1]","[-0.035301215370765714,0.17943392526244983]","[-1,-1,-1]","[0.08536027022288553,0.15671565452411762]","[1,1,1]","[-0.011333433968137374,0.0404181680914083]","[1,1,1]","[0.1270234649497429,-0.10635959656388996]","[-1,-1,-1]","[-0.16458805779638105,0.11295243022025521]","[1,1,1]","[-0.13293966799240883,-0.14238209340153357]","[-1,-1,-1]","[0.006035447037623989,-0.06834314168387404]","[-1,-1,-1]","[0.03506857754194203,-0.036591270378011846]","[1,1,1]","[0.09642791773124035,-0.03383589533516594]","[-1,-1,-1]","[0.005395872401906205,-0.0031041325762263695]","[1,1,1]","[-0.1271715966465312,-0.029786304252734597]","[-1,-1,-1]","[-0.05812447079967109,0.1248065616920908]","[1,1,1]","[0.015408829753257759,0.1941854421351521]","[-1,-1,-1]","[-0.09170183512918892,0.009158911034649397]","[1,1,1]","[0.001994702970811684,0.14584892032440272]","[-1,-1,-1]","[-0.19434861593970143,-0.0014381917971212172]","[-1,-1,-1]","[0.09546622974348028,0.052550326798738306]","[-1,-1,-1]","[-0.10263060798140992,-0.10819759189161511]","[1,1,1]","[-0.09330603007771698,0.16551979687048127]","[1,1,1]","[0.04472610839747778,0.14527159244231305]","[1,1,1]","[0.08049811236376708,-0.0746896790005481]","[1,1,1]","[0.04958242623500276,-0.15142795288239527]","[1,1,1]","[-0.07202545285249715,0.08177905700832697]","[1,1,1]","[0.0009749512290242116,-0.14287801147133766]","[-1,-1,-1]","[-0.0512014408374791,-0.15055848341824668]","[1,1,1]","[-0.04584246953315606,-0.09037383209746304]","[-1,-1,-1]","[0.15397364663156743,0.03415490606168262]","[1,1,1]","[-0.15013174146451647,0.06920569205222506]","[1,1,1]","[0.02,0.02]",358.638,0,2,2,119,1,,,,,,,
,,,,,,,66d450d116aa59a3161adf97,682dc8b14c46c0f8965020dc,2025-05-21_14h37.22.457,cuing_paradigm_dot,2024.1.5,Win32,50,682d556593cb38ad0a074487,,,,,,,,,,,358.6392,359.1327,,,359.3706,359.7925,right,0.4,,,,,,,,,0.9,,,,,,359.1328,359.3706,359.7926,"[-0.12664350150246975,0.0633418079730667]","[-1,-1,-1]","[0.1296576109797183,0.028244632130222092]","[1,1,1]","[-0.08529676443776534,-0.1051749003532547]","[-1,-1,-1]","[0.008351749592640992,0.181013597901853]","[1,1,1]","[0.08618835779665072,0.10740573740576928]","[1,1,1]","[-0.09126218876744707,0.014604050740347528]","[1,1,1]","[-0.084676517515116,0.06130940108296388]","[-1,-1,-1]","[0.10817930633212328,-0.11173186163914345]","[1,1,1]","[-0.11600881527645329,0.15515132015520475]","[1,1,1]","[-0.03229555957705607,0.06295477099251522]","[1,1,1]","[-0.007492817488610212,-0.1927541268913392]","[1,1,1]","[-0.04791734010672247,0.10058939882735905]","[1,1,1]","[0.18004888978885858,0.03941423241673555]","[1,1,1]","[0.06379994205126398,-0.15768999670899614]","[1,1,1]","[0.018392956295530574,0.05393902202398459]","[1,1,1]","[0.05750613854381789,0.07386364813034324]","[1,1,1]","[-0.161253188027014,0.011708965413867425]","[1,1,1]","[0.13085776304213384,-0.03969730486925648]","[1,1,1]","[0.03599346158227379,0.13437823429775578]","[1,1,1]","[0.09223611516833283,0.16399281540407218]","[1,1,1]","[-0.03534644461113139,-0.12007277653822873]","[1,1,1]","[-0.11593486033468256,-0.04364193104825025]","[1,1,1]","[0.083697170295494,-0.07036372661687404]","[1,1,1]","[0.16619162458920636,-0.1023510564020978]","[1,1,1]","[-0.030048180723102814,0.15668625512267073]","[1,1,1]","[-0.07200664977816794,-0.15691081782132085]","[1,1,1]","[-0.12385672710410528,-0.14744099357457408]","[1,1,1]","[0.0192972396393295,-0.11723462206152516]","[1,1,1]","[-0.13511627596423637,0.10551595955661826]","[1,1,1]","[-0.025398181901863288,0.015117180780392658]","[1,1,1]","[-0.14640459911753506,-0.08661400064289224]","[1,1,1]","[0.1866457546484932,-0.04471075092510268]","[1,1,1]","[0.02,0.02]",360.9101,0,3,3,186,1,,,,,,,
