right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,97.5268,space,82.5195,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,97.5269,132.6882,space,5.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,132.6882,136.9204,space,1.2257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,136.9301,137.4235,137.4237,137.6753,137.6753,138.8752,right,1.1857,,138.8752,139.9719,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,139.9722,140.4686,140.4686,140.7203,140.7203,140.9848,left,0.258,,140.9848,142.0816,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0817,152.5139,space,7.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,152.5201,153.0171,,,153.2689,154.2622,right,0.9918,,,,,,,,,0.6,,,,,,153.0172,153.2689,154.2624,"[-0.05863749052946267,0.07136427665486347]","[-1,-1,-1]","[0.02863241629229218,-0.14344947187720536]","[-1,-1,-1]","[-0.10640224136378729,-0.04612656651888826]","[-1,-1,-1]","[0.0753533459184194,0.032958835673459815]","[-1,-1,-1]","[-0.008277419641329716,-0.015137104546691793]","[1,1,1]","[-0.055838604707074815,-0.17117409731772343]","[1,1,1]","[0.16486506525775876,0.09796395423674957]","[1,1,1]","[0.10660140660859654,0.00032386582925831426]","[1,1,1]","[-0.046048500376882816,0.1925172050489383]","[1,1,1]","[-0.006919250981972398,-0.1728819424794664]","[1,1,1]","[-0.08837481042634279,0.12294532872135105]","[-1,-1,-1]","[-0.10603451159311238,0.020643191111987723]","[1,1,1]","[-0.04110631677712192,-0.09109059503437497]","[-1,-1,-1]","[-0.11993624030581247,0.09614329536703285]","[1,1,1]","[0.06590607399559657,0.08505381620896829]","[1,1,1]","[0.08418264280539223,-0.03477419669161037]","[1,1,1]","[0.03856960453520404,0.18341480117693962]","[1,1,1]","[0.15275623254829318,-0.12606980952237917]","[-1,-1,-1]","[-0.10355523361873945,-0.162982150878653]","[-1,-1,-1]","[-0.055759421543846034,-0.012298882717569352]","[1,1,1]","[0.028797220061546627,0.05028929740194546]","[-1,-1,-1]","[0.1754087139435335,-0.08733485679821709]","[1,1,1]","[0.037051979138665224,-0.007761628313280733]","[-1,-1,-1]","[0.09559024152255458,0.11423675444693757]","[1,1,1]","[-0.15894663966684416,0.10728882525777492]","[-1,-1,-1]","[0.048409380359250874,0.14161008269099953]","[-1,-1,-1]","[0.022691069484075732,-0.08649252892365786]","[-1,-1,-1]","[0.19212158279153227,0.004931920450826478]","[1,1,1]","[-0.01032900106498014,0.12152935878668913]","[1,1,1]","[-0.06322488215402561,-0.13147679532238554]","[1,1,1]","[-0.006027211586413395,0.07863804035685441]","[1,1,1]","[-0.14346915077590772,0.05596389811577278]","[1,1,1]","[0.02,0.02]",155.359,0,0,0,164,1,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,155.3592,155.8558,,,156.1075,157.1139,left,1.0005,,,,,,,,,0.45,,,,,,155.8558,156.1074,157.1139,"[0.034064827655571096,-0.14437035568222065]","[1,1,1]","[-0.039990099478956244,0.016927387796519505]","[-1,-1,-1]","[0.08700215457673623,-0.1797888115827294]","[-1,-1,-1]","[0.06331001755594731,-0.11633158374731108]","[-1,-1,-1]","[0.08556928910732811,-0.022762103013847526]","[-1,-1,-1]","[-0.05438749243247959,0.07199943481731187]","[1,1,1]","[-0.06444439787599536,-0.14258937607173508]","[-1,-1,-1]","[-0.08385291340376562,0.025117711582214236]","[-1,-1,-1]","[0.01721283128431859,0.10908957807547469]","[1,1,1]","[0.10712071205752237,0.1359333249615231]","[1,1,1]","[0.012500317438927782,0.18405064123564388]","[-1,-1,-1]","[0.12731327995922043,0.03353076413174253]","[1,1,1]","[0.0007571613557427327,0.05157130432970724]","[1,1,1]","[-0.07775612521854035,0.13504303217154404]","[-1,-1,-1]","[-0.1117571047626457,0.09160553258275675]","[1,1,1]","[0.15292210193343284,0.09119304919627924]","[-1,-1,-1]","[0.15444436209961568,-0.11070705586558514]","[1,1,1]","[-0.04250881320977906,-0.18250529223081563]","[1,1,1]","[-0.12993582671281548,0.03977790279630414]","[-1,-1,-1]","[-0.1711672093075475,0.06971907213757336]","[1,1,1]","[-0.047408605587435225,-0.07428660498657938]","[-1,-1,-1]","[0.1859766730737655,-0.07264079446261518]","[-1,-1,-1]","[0.10101802478261089,0.08136318815785235]","[-1,-1,-1]","[0.005280350064005729,-0.06645209345458578]","[-1,-1,-1]","[-0.17033680508459093,-0.09188023071134886]","[1,1,1]","[0.18576959099112647,-0.018161755048852046]","[1,1,1]","[0.046066150444116195,0.04274349474569034]","[1,1,1]","[-0.1925915918918858,0.00141074895969235]","[-1,-1,-1]","[0.19136696840524892,0.04702950413772551]","[1,1,1]","[0.07275585290448519,0.1645163241975258]","[-1,-1,-1]","[-0.1284265661591791,-0.08686798985946327]","[-1,-1,-1]","[-0.07606262996879198,-0.03298605726285642]","[-1,-1,-1]","[0.02,0.02]",158.2106,0,1,1,88,1,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,158.2108,158.7074,,,158.9591,159.7525,left,0.7872,,,,,,,,,0.4,,,,,,158.7074,158.9591,159.7526,"[-0.12009377762305098,-0.06957041427355232]","[-1,-1,-1]","[-0.06617731150834512,-0.17059056820609955]","[-1,-1,-1]","[0.022532697693287234,-0.0093646380598081]","[-1,-1,-1]","[0.1082312017179164,-0.004482763773387346]","[-1,-1,-1]","[-0.1259274878717517,-0.13015488041771878]","[-1,-1,-1]","[0.016414242761419968,0.11206819793501752]","[-1,-1,-1]","[0.01312183607887982,-0.07553538911739675]","[1,1,1]","[0.08633877685958612,0.1741174701008096]","[1,1,1]","[-0.07690841906011191,-0.09774166858368137]","[1,1,1]","[-0.007458780819644707,-0.19833602668482744]","[-1,-1,-1]","[-0.14271207469318992,0.030288653655684734]","[1,1,1]","[0.10091278353553622,-0.10229572215232305]","[1,1,1]","[-0.16002800555567215,0.06979947046060885]","[-1,-1,-1]","[-0.05869323869175905,0.15126517963711386]","[1,1,1]","[-0.19653091632638509,-0.0034152245369257267]","[1,1,1]","[0.15857793112609653,0.01827346967776141]","[-1,-1,-1]","[0.15017364914493456,0.10330981406633005]","[-1,-1,-1]","[0.18916819130678786,-0.012149405465968393]","[-1,-1,-1]","[-0.020080079430146076,0.06643336848847614]","[-1,-1,-1]","[0.06073567803265472,-0.17199301175070145]","[-1,-1,-1]","[0.0638699618665239,-0.0277401372877963]","[-1,-1,-1]","[0.16918141283521215,-0.06655351391011483]","[1,1,1]","[0.11128176002650522,0.061621167421345914]","[1,1,1]","[-0.12264551302409699,0.10770723367939308]","[-1,-1,-1]","[0.03754327020039293,0.04017459217501703]","[1,1,1]","[0.054040119928190834,-0.13029627772527963]","[1,1,1]","[-0.03074692586191247,-0.04594078185241967]","[-1,-1,-1]","[0.12104011675003556,-0.05112851841918515]","[1,1,1]","[0.004207024563594377,0.15280412424818468]","[1,1,1]","[-0.0591504295653711,0.109486307535187]","[-1,-1,-1]","[-0.17493803166199953,-0.048927254995867]","[-1,-1,-1]","[0.08588930048845031,0.09626207084364584]","[-1,-1,-1]","[0.02,0.02]",160.8493,0,2,2,59,1,,,,,,,
,,,,,,,670127b7712bb16c386ef2af,682db3a852518ca703874610,2025-05-21_13h07.10.255,cuing_paradigm_dot,2024.1.5,Win32,156.25,682d556593cb38ad0a074487,,,,,,,,,,,160.8494,161.3461,,,161.5978,162.0623,left,0.4579,,,,,,,,,0.1,,,,,,161.3461,161.5977,162.0623,"[-0.18098211487627014,0.02913075790278696]","[-1,-1,-1]","[0.09332657628485143,0.12386828838802225]","[-1,-1,-1]","[-0.08690899266947123,-0.13223644174174295]","[-1,-1,-1]","[0.13105841096368462,-0.12908113838219287]","[-1,-1,-1]","[-0.1152302644337303,0.05841729583550595]","[-1,-1,-1]","[0.001702566026903062,0.06924555301655613]","[-1,-1,-1]","[-0.12137014462248921,0.10810613747963]","[-1,-1,-1]","[-0.0686589326939882,0.0798257134739864]","[1,1,1]","[-0.008707352539361073,-0.17184812009766048]","[-1,-1,-1]","[0.021778032991881528,-0.04028978751649861]","[-1,-1,-1]","[0.17324463716324381,0.012110968483201806]","[-1,-1,-1]","[0.06457038054839159,0.09549912155604602]","[-1,-1,-1]","[-0.09547301660916874,0.008032757429268893]","[1,1,1]","[-0.16437790659940543,-0.04910192353302299]","[-1,-1,-1]","[0.1122926236730071,-0.00863819764270403]","[-1,-1,-1]","[-0.04934191522641677,-0.0994212707068876]","[-1,-1,-1]","[0.15204041723805625,0.06722600018112226]","[-1,-1,-1]","[-0.08679214021475377,0.13928363722193535]","[-1,-1,-1]","[-0.13727914617942652,-0.14533633399294607]","[-1,-1,-1]","[0.07399969275503922,-0.0294599991591473]","[-1,-1,-1]","[0.07642278621940468,-0.1236730537815938]","[-1,-1,-1]","[-0.007127333169853745,-0.08063012905145951]","[-1,-1,-1]","[0.1618155636468205,-0.08786930436582727]","[-1,-1,-1]","[0.024653926682650828,0.12817975762266706]","[-1,-1,-1]","[-0.09317975542802764,-0.06573918750366298]","[-1,-1,-1]","[-0.042889149033557304,0.14846184132116869]","[1,1,1]","[-0.03189595613120958,0.1000726937956727]","[-1,-1,-1]","[0.1686074931094812,-0.04617082521343669]","[-1,-1,-1]","[0.13627938726332103,0.11592317061593593]","[-1,-1,-1]","[-0.02961091469200092,0.191971773397631]","[-1,-1,-1]","[0.002634917757400854,0.1643504459661421]","[-1,-1,-1]","[0.1141676715321635,-0.0796676213957805]","[-1,-1,-1]","[0.02,0.02]",163.159,0,3,3,17,1,,,,,,,
