right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0002,64.6259,space,49.6206,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,64.6261,96.432,space,1.7991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,96.432,100.7289,space,1.2895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,100.7417,101.2318,101.2321,101.4805,101.4806,102.3471,right,0.8497,,102.3471,103.4439,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,103.4442,103.9409,103.9409,104.1895,104.1896,104.3773,left,0.1835,,104.3773,105.4743,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4745,110.3654,space,1.8803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,110.3733,110.8682,,,111.1171,111.4683,left,0.3399,,,,,,,,,0.55,,,,,,110.8685,111.117,111.4686,"[0.06203277967475792,0.07440182697553513]","[-1,-1,-1]","[-0.1530610044325605,-0.0075631008487851425]","[-1,-1,-1]","[0.19773002872772852,-0.024947711966046778]","[1,1,1]","[0.11546016752306548,0.015561308761394312]","[1,1,1]","[0.1419975292547439,0.13291068530291275]","[-1,-1,-1]","[-0.06113022116942584,-0.1438292390115455]","[1,1,1]","[0.14743042122538078,-0.09312792491126212]","[-1,-1,-1]","[0.007669029283095352,-0.14855944724598086]","[-1,-1,-1]","[0.010274648414868836,-0.04566100478003163]","[1,1,1]","[0.11782797468640362,-0.02979511582537738]","[1,1,1]","[0.031973432377424546,-0.19376638328204998]","[1,1,1]","[-0.11909969534659647,0.03478929561486806]","[1,1,1]","[0.08084047845193308,0.17047490654117195]","[1,1,1]","[-0.06778704172037404,-0.015240955955800113]","[1,1,1]","[0.052903872896832925,-0.04948890969670997]","[-1,-1,-1]","[0.11354814212960136,0.07743899106822841]","[1,1,1]","[0.06225794629659117,0.01991744885835757]","[-1,-1,-1]","[0.024000492424257985,0.11574866193048675]","[-1,-1,-1]","[-0.10177379837458857,-0.06863347397012375]","[-1,-1,-1]","[0.0972758368692893,-0.10739643153211821]","[1,1,1]","[-0.04299108768246121,0.1126634874674489]","[-1,-1,-1]","[-0.15681597640547187,0.12378658557424237]","[1,1,1]","[-0.08955254169846014,0.10590157432900907]","[-1,-1,-1]","[0.009324624672905386,0.018473390734999505]","[1,1,1]","[-0.08052959127358433,0.14679825390901374]","[-1,-1,-1]","[-0.17261003586646972,-0.04889751905455787]","[-1,-1,-1]","[0.19421561807982887,0.021196263865032886]","[1,1,1]","[-0.12501585539152135,0.1492271625997012]","[-1,-1,-1]","[0.16043887657963546,-0.05005792005418612]","[1,1,1]","[-0.19885217303484326,0.012646504100185571]","[1,1,1]","[0.06995237786295723,0.1238494551916012]","[1,1,1]","[0.18273496179527993,0.07327523561758316]","[1,1,1]","[0.02,0.02]",112.5653,0,0,0,120,1,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,112.5656,113.0622,,,113.3108,113.3227,left,0.0014,,,,,,,,,0.1,,,,,,113.0623,113.3107,113.3228,"[0.001851497307239896,-0.009204357004381885]","[-1,-1,-1]","[-0.010249248924633095,0.04032214703361241]","[-1,-1,-1]","[-0.04170251764420814,-0.15048408540215014]","[-1,-1,-1]","[-0.10845636159235335,-0.15465470619064836]","[1,1,1]","[0.06694774381855563,0.12382322725464968]","[-1,-1,-1]","[-0.03462461194482224,0.15604620821585063]","[-1,-1,-1]","[-0.08711637017450817,-0.09342439498740274]","[-1,-1,-1]","[0.030911557951872358,-0.05780962660059754]","[-1,-1,-1]","[0.18102599103422648,0.02053617614462433]","[-1,-1,-1]","[0.06596871446234587,-0.1206109266791759]","[-1,-1,-1]","[-0.18269290231799518,-0.06151226701154794]","[-1,-1,-1]","[-0.03121742953563219,-0.05624848104944496]","[-1,-1,-1]","[0.12265627008212365,-0.15432470535959583]","[-1,-1,-1]","[0.14325649763871443,0.13496225447955262]","[-1,-1,-1]","[0.08416791659525971,-0.17018376842597974]","[1,1,1]","[0.15090059745895934,-0.08719098633682697]","[-1,-1,-1]","[0.08604198982516104,0.08586701949471877]","[-1,-1,-1]","[0.1749341384934074,-0.023601706432700337]","[-1,-1,-1]","[-0.12385297269724047,0.06388056017647346]","[-1,-1,-1]","[0.008086804783614883,-0.09638590724582397]","[-1,-1,-1]","[-0.07264929884163514,0.05263633891652272]","[-1,-1,-1]","[-0.11462738815308922,0.11457379060949582]","[-1,-1,-1]","[-0.10846501542464285,-0.0486840960316534]","[-1,-1,-1]","[0.031106033024320134,0.056613025224240686]","[-1,-1,-1]","[-0.08569616882031775,0.17425011694228237]","[-1,-1,-1]","[-0.15691744508060135,0.03958001084504191]","[-1,-1,-1]","[0.11416081055940375,-0.061305704782181426]","[-1,-1,-1]","[-0.046933081389076745,0.0077206937381275684]","[-1,-1,-1]","[0.043063931849478515,0.15712144932551353]","[-1,-1,-1]","[0.09724915528802967,0.010822118068989252]","[-1,-1,-1]","[0.1644443370652761,0.05768250572009362]","[1,1,1]","[-0.12930741033118484,-0.08322695439966325]","[-1,-1,-1]","[0.02,0.02]",114.4198,0,1,1,29,1,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,114.4201,114.9168,,,115.1654,115.2804,right,0.1068,,,,,,,,,0.1,,,,,,114.9168,115.1653,115.2804,"[0.1492290478258329,-0.12001728269125611]","[1,1,1]","[0.1082902765516277,0.09985597884394114]","[-1,-1,-1]","[-0.10465072275221748,-0.10197713127222377]","[-1,-1,-1]","[0.04553012087356822,0.13317583534127195]","[-1,-1,-1]","[-0.016843137450089914,-0.06372622060873187]","[-1,-1,-1]","[0.04343473043641103,-0.03846126091705533]","[1,1,1]","[0.013184122867927249,-0.108751181356442]","[-1,-1,-1]","[-0.13343922842542785,0.013494829640368817]","[-1,-1,-1]","[-0.0167119962523115,-0.18653273478686969]","[-1,-1,-1]","[0.17966361278942256,0.05621153975403752]","[-1,-1,-1]","[0.033394216512269106,-0.1581979411371922]","[-1,-1,-1]","[0.09842967338067835,0.16348295982781655]","[-1,-1,-1]","[0.012058419793250404,0.06412644773308578]","[-1,-1,-1]","[0.09377032749433348,-0.02456153340724958]","[-1,-1,-1]","[-0.0243812894845533,0.03952577560993238]","[-1,-1,-1]","[0.07226211024676776,0.058567285925492]","[-1,-1,-1]","[0.17978204376520665,-0.004921522016307492]","[-1,-1,-1]","[-0.12295153550654085,0.09965333800674979]","[-1,-1,-1]","[-0.08253476821128326,-0.014736091623255817]","[-1,-1,-1]","[-0.04435170846998184,-0.001900320130641459]","[1,1,1]","[-0.17731465828232337,-0.012061658357606642]","[-1,-1,-1]","[-0.03892049794338558,-0.11103886558297227]","[-1,-1,-1]","[-0.07664627343171114,-0.13151300213355954]","[-1,-1,-1]","[0.08831472154370087,-0.115463127153835]","[-1,-1,-1]","[-0.03945647394498866,0.1785829940289857]","[-1,-1,-1]","[0.024689812014090977,0.19546041077622803]","[-1,-1,-1]","[0.017963033358532998,0.0014652471308576067]","[-1,-1,-1]","[0.13083816139482204,0.0650084773975484]","[-1,-1,-1]","[-0.09411720565416108,0.03540530429265814]","[-1,-1,-1]","[-0.15052530361510785,-0.0858951763820208]","[-1,-1,-1]","[-0.0663117996989998,0.09747062238196219]","[-1,-1,-1]","[0.1721273743000174,0.1013358464053001]","[-1,-1,-1]","[0.02,0.02]",116.3774,0,2,2,9,1,,,,,,,
,,,,,,,67104c7deff954cb22438402,682f0372089cc434d5c0ceea,2025-05-22_07h02.01.463,cuing_paradigm_dot,2024.1.5,Win32,163.9344262,682d556593cb38ad0a074487,,,,,,,,,,,116.3778,116.8743,,,117.123,117.3896,right,0.2551,,,,,,,,,0.5,,,,,,116.8743,117.1229,117.3897,"[0.10600099017282438,-0.14787389266543163]","[1,1,1]","[-0.12882093525175553,-0.11919529492830036]","[1,1,1]","[-0.08679841829409567,0.0901018282731607]","[-1,-1,-1]","[-0.1156247007812955,0.03179501493435559]","[1,1,1]","[0.03689646644912564,-0.14834593684227487]","[-1,-1,-1]","[0.08948383078845323,0.14758094807503183]","[-1,-1,-1]","[0.05142832831200699,-0.017797092884795383]","[1,1,1]","[-0.07017848778577296,0.036117381702425275]","[1,1,1]","[0.018694833597899183,0.024433736238030287]","[-1,-1,-1]","[0.06105345989522236,0.05423351554083285]","[1,1,1]","[-0.02898297650249373,-0.021631880960416187]","[1,1,1]","[0.14072632553302733,0.02042072499043546]","[1,1,1]","[0.12307110990413052,-0.03845794948156588]","[1,1,1]","[-0.031717990675488514,0.07673164516123734]","[1,1,1]","[0.13106988892766636,0.12114639868033297]","[-1,-1,-1]","[0.024114772604410823,0.19513942624389674]","[1,1,1]","[-0.06502809877424567,-0.1757152007375481]","[-1,-1,-1]","[-0.08345977206831227,-0.018615962068023177]","[-1,-1,-1]","[0.0619528689427712,-0.0802173082417387]","[-1,-1,-1]","[0.10542182887867312,-0.07596484204739364]","[-1,-1,-1]","[-0.14259199218799964,0.09947606103440572]","[1,1,1]","[-0.013570451995800264,0.11469439477201121]","[-1,-1,-1]","[-0.122351882329651,0.1421439628232523]","[-1,-1,-1]","[-0.0540677871286551,0.18792557133268314]","[1,1,1]","[-0.1805595326235456,0.02136374867343525]","[1,1,1]","[0.15219360066247994,0.06327350998972012]","[-1,-1,-1]","[0.014447185646059747,-0.06829293543325697]","[1,1,1]","[0.18272218924174308,-0.0607921572743195]","[-1,-1,-1]","[0.06850528878857695,0.18566507903958274]","[-1,-1,-1]","[-0.1718889208225139,-0.03390321865463147]","[-1,-1,-1]","[-0.07609415092497981,-0.1129111942922267]","[1,1,1]","[0.1908162226790319,0.04956864759343825]","[-1,-1,-1]","[0.02,0.02]",118.4865,0,3,3,103,1,,,,,,,
