right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0007,163.3481,space,148.3347,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,163.3486,215.9424,space,22.5749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,215.9427,219.9926,space,1.0444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,220.0146,220.4951,220.4956,220.747,220.7472,222.2542,,222.2543,223.3475,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,223.3479,223.8822,223.8822,224.0964,224.0964,224.627,left,224.6272,225.7273,0,1,1,1,1,0.2,0.5193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.7279,230.7274,space,1.9809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,230.7429,231.2351,,,231.4691,232.3439,left,,,,,,,,0.5,0.8615,,,,,,,231.2356,231.469,232.3442,"[-0.15936572442299868,0.0032331483621435317]","[1,1,1]","[-0.004673800402901127,0.17212944300820204]","[1,1,1]","[-0.02886422980476761,0.13650313617725324]","[1,1,1]","[-0.06018314491666955,-0.1407774863871928]","[1,1,1]","[0.030973635072956984,-0.03165580930806297]","[-1,-1,-1]","[-0.08995131907821853,0.14918075147187507]","[-1,-1,-1]","[-0.14476423190170185,-0.04584539650142574]","[1,1,1]","[0.09771207249358278,-0.05652344945057372]","[-1,-1,-1]","[0.16097768272528218,-0.006299531349029516]","[1,1,1]","[-0.04043923866292608,0.04495335300954231]","[1,1,1]","[0.10057405323008152,0.0895656254281523]","[-1,-1,-1]","[0.05689336864159146,0.046964256141600345]","[-1,-1,-1]","[-0.07958970707221881,-0.18235826220020773]","[-1,-1,-1]","[-0.11261278594621019,-0.15815325008518033]","[1,1,1]","[-0.10883247821217172,0.0317257629448646]","[-1,-1,-1]","[-0.01104280502198427,-0.19584802556774317]","[1,1,1]","[-0.18455884378087586,-0.036238593496584266]","[-1,-1,-1]","[0.18625771220231813,-0.052075985355819115]","[1,1,1]","[0.07760773339211029,-0.09758762968112428]","[-1,-1,-1]","[0.0424382923577267,0.11263526347425111]","[-1,-1,-1]","[0.16361119291189094,0.09267184614773172]","[-1,-1,-1]","[0.10632977692000437,0.027980363224198664]","[1,1,1]","[0.03428903973798602,0.19454689501303674]","[-1,-1,-1]","[-0.09146751393028343,-0.09954121136419013]","[1,1,1]","[0.13187500662225538,0.059381679855573105]","[1,1,1]","[0.1397501907025477,0.12652251200006098]","[-1,-1,-1]","[-0.181584515773602,0.041203406322173]","[1,1,1]","[-0.07168491144980066,-0.014525877677813841]","[1,1,1]","[0.10874792121620082,0.15639451298974974]","[-1,-1,-1]","[0.024469559192298602,-0.14722037944714514]","[-1,-1,-1]","[-0.13014147895872363,0.1065429471713507]","[-1,-1,-1]","[-0.041235199180315416,0.19334890085903622]","[1,1,1]","[0.02,0.02]",233.4461,0,0,0,90,1,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,233.4464,233.9454,,,234.184,234.6943,right,,,,,,,,0.9,0.4953,,,,,,,233.9454,234.184,234.6944,"[-0.03901990695480812,-0.05067462288992489]","[1,1,1]","[0.10198310533067713,0.1663868076692361]","[1,1,1]","[0.024213141350641284,0.10125287533420804]","[-1,-1,-1]","[-0.13300702796291985,-0.007100347430924984]","[1,1,1]","[0.08529393644021448,-0.09626461722156626]","[1,1,1]","[0.0025207048065550015,-0.16272449532775313]","[-1,-1,-1]","[0.08216553203806101,0.029286326783884365]","[1,1,1]","[0.18096404174301395,-0.03330410553568986]","[1,1,1]","[0.07087079604042092,-0.15158887835275395]","[1,1,1]","[0.13146745028363035,-0.046984202628658885]","[1,1,1]","[0.1495717702565696,-0.1139560803285671]","[-1,-1,-1]","[-0.06851697732432081,-0.17855841081946267]","[1,1,1]","[-0.0168327299643919,0.18227930390411798]","[1,1,1]","[0.005715668745250977,-0.018535459143699844]","[1,1,1]","[-0.02656265829859589,-0.09779727622422259]","[1,1,1]","[-0.1888071696227242,-0.005165518814666544]","[1,1,1]","[0.15713247348302814,0.02033654194377503]","[1,1,1]","[0.09915600104786815,0.10894609786690938]","[1,1,1]","[0.06282762397339105,0.07819625950487964]","[1,1,1]","[0.05251662668359875,0.13245628650918884]","[1,1,1]","[0.002820652854121875,0.14286831062288682]","[1,1,1]","[-0.03125005116313504,0.06703518593637289]","[1,1,1]","[-0.1481538320406764,0.08867461379574644]","[1,1,1]","[-0.14080181241277057,-0.14192616352318652]","[1,1,1]","[0.16315826621228977,0.0785668841835094]","[1,1,1]","[-0.14382743463997885,-0.08019208725570556]","[1,1,1]","[-0.09607622184723112,-0.1390118587669049]","[1,1,1]","[-0.14470099991382898,0.033667960482700834]","[1,1,1]","[0.026568802419425937,0.022068495717116197]","[1,1,1]","[-0.10208990410114814,-0.0775159153676024]","[1,1,1]","[0.08989075323482085,-0.013333721052286751]","[1,1,1]","[-0.08323376116880242,0.16414426754678782]","[1,1,1]","[0.02,0.02]",235.7972,0,1,1,209,1,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,235.7975,236.2997,,,236.5454,237.1791,left,,,,,,,,0.45,0.6215,,,,,,,236.2997,236.5454,237.1792,"[0.05185034085228842,0.0019220220253194319]","[1,1,1]","[0.058751555831563836,0.16340196671649218]","[-1,-1,-1]","[-0.051989878481978447,0.09410162924312122]","[1,1,1]","[-0.13497387838975936,0.06760941055821973]","[1,1,1]","[0.04410243972135421,-0.19110090160826493]","[-1,-1,-1]","[-0.07020625865747879,-0.13247176513999645]","[-1,-1,-1]","[-0.08863276981662106,0.04735681007115495]","[-1,-1,-1]","[0.12047875964879057,0.0156953129498207]","[-1,-1,-1]","[0.024204729094820514,-0.12182051803249119]","[-1,-1,-1]","[-0.16294474443017815,-0.08265539613672106]","[1,1,1]","[-0.04589428487693794,-0.0017342228589866497]","[-1,-1,-1]","[0.04314093114052793,-0.05265842140054491]","[1,1,1]","[0.13894446300693294,-0.12925441913105953]","[1,1,1]","[0.018614865102798275,0.09099290801402951]","[-1,-1,-1]","[-0.14960781330989928,-0.13220192970364938]","[1,1,1]","[-0.047329575859992555,0.16950277205809247]","[-1,-1,-1]","[-0.08838216189292165,0.12616077140961388]","[1,1,1]","[0.09836980909762762,0.056191899874979606]","[-1,-1,-1]","[0.11814585079448167,0.15724780920541134]","[1,1,1]","[-0.17428425577155104,0.02630232023701763]","[1,1,1]","[0.06569267190695302,-0.11092483456267255]","[-1,-1,-1]","[-0.1286715642148218,0.13791235063973206]","[-1,-1,-1]","[-0.03992874976363131,-0.10302403322533975]","[1,1,1]","[0.1133373949571277,-0.04061951587852186]","[1,1,1]","[-0.0027557352001724017,0.022535928361499074]","[-1,-1,-1]","[0.13634548557073323,-0.0828895353531336]","[1,1,1]","[-0.08951978497812378,-0.056551163407949225]","[-1,-1,-1]","[-0.10273154710308385,0.003316748707662049]","[-1,-1,-1]","[0.147061127859221,0.11386999007075779]","[-1,-1,-1]","[0.040035999705783906,0.048302136412789784]","[-1,-1,-1]","[0.06627180749185184,0.11434097218425787]","[1,1,1]","[0.0012724066798684521,0.16381538528554257]","[-1,-1,-1]","[0.02,0.02]",238.2801,0,2,2,78,1,,,,,,,
,,,,,,,672879d614dce67b8c3090ea,682db3be696128d1b65f8671,2025-05-21_13h07.32.267,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,238.2805,238.7814,,,239.0305,239.73,left,,,,,,,,0.4,0.6898,,,,,,,238.7815,239.0305,239.7301,"[0.05399270827410038,-0.08832338459230481]","[1,1,1]","[0.09261056785711491,-0.1538229374249173]","[1,1,1]","[-0.07342563528413963,0.1243564641880834]","[-1,-1,-1]","[-0.06011921028264364,-0.008234509486609922]","[-1,-1,-1]","[0.15130695613705572,-0.0673652054798023]","[1,1,1]","[0.1768788973590836,-0.014708457623321777]","[-1,-1,-1]","[0.007857969130916966,-0.057896309042258065]","[1,1,1]","[0.07844617463637207,0.04457908926313726]","[-1,-1,-1]","[0.1692087751837813,0.08388728016860587]","[-1,-1,-1]","[0.03899676577332614,-0.1701099596646139]","[1,1,1]","[0.09728984630106867,-0.11014450725373055]","[1,1,1]","[-0.00459299370544071,-0.18912739129112316]","[-1,-1,-1]","[-0.11927910745514082,0.15559186768976738]","[1,1,1]","[-0.06034489766737617,-0.06944575847032568]","[-1,-1,-1]","[-0.11774790275087178,0.04063662966401926]","[-1,-1,-1]","[-0.10977491036872969,-0.09278567133803349]","[-1,-1,-1]","[-0.18658356909979265,-0.014042463115468173]","[-1,-1,-1]","[0.07978521224979443,0.1515803214223561]","[-1,-1,-1]","[0.18475806763625777,0.03223809642949472]","[1,1,1]","[0.1033687259657511,-0.06992627349733792]","[1,1,1]","[0.014083011241405033,0.1218045118561851]","[-1,-1,-1]","[-0.02479298647499836,0.13646264785579826]","[-1,-1,-1]","[-0.06866323253399341,-0.12204631973143923]","[1,1,1]","[-0.03710355316807436,-0.15930563369839135]","[1,1,1]","[-0.02678810393373859,0.17789881256530693]","[1,1,1]","[-0.004556084577356024,0.07061469687157873]","[-1,-1,-1]","[-0.016254417859016303,0.011756268959923337]","[-1,-1,-1]","[0.1283706504601769,-0.029103182941600435]","[-1,-1,-1]","[-0.12737762374095693,-0.14174083700755258]","[-1,-1,-1]","[0.11556513191852683,0.08564528874106168]","[-1,-1,-1]","[0.056366174843527614,-0.0009790423705017916]","[-1,-1,-1]","[-0.17171553277905918,0.09794944419369984]","[1,1,1]","[0.02,0.02]",240.8216,0,3,3,58,1,,,,,,,
