right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0007,50.5203,space,35.5016,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,50.5214,166.9488,space,86.4069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,166.949,187.4652,space,17.5007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,187.5066,187.9783,187.9794,188.2295,188.2298,189.7279,,189.7285,190.8277,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,190.83,191.3275,191.3277,191.5828,191.583,192.2,left,192.2001,193.2976,0,1,1,1,1,0.2,0.6016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.2985,198.9007,space,2.5834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,198.9281,199.4102,,,199.6616,199.8782,left,,,,,,,,0.45,0.2078,,,,,,,199.4112,199.6614,199.8795,"[-0.09219756296783951,-0.0395790250394038]","[-1,-1,-1]","[0.09235475787656651,0.003663606109597071]","[-1,-1,-1]","[-0.1713225138672276,-0.010859628850956095]","[-1,-1,-1]","[0.14676214085353678,-0.12257051256254992]","[-1,-1,-1]","[-0.07720190654274328,0.12543056227553423]","[-1,-1,-1]","[0.036173358878648754,0.15117457844589421]","[-1,-1,-1]","[-0.0276065906365191,0.06863739525595682]","[-1,-1,-1]","[0.09292153805643227,0.1618761118126763]","[1,1,1]","[0.010509512349446627,0.08697059085177455]","[1,1,1]","[-0.09917723420459171,0.07166883235307668]","[1,1,1]","[0.01600916308170019,-0.08929204914143689]","[-1,-1,-1]","[-0.14796398279368406,-0.05600953005981411]","[1,1,1]","[-0.15193329183114618,-0.12133048921341898]","[-1,-1,-1]","[-0.003551829509272081,0.019105559854842184]","[-1,-1,-1]","[0.13239480247314073,0.017295596958187633]","[1,1,1]","[0.1263922331454164,-0.07066920478748712]","[1,1,1]","[0.14647307721852562,0.10653532112278825]","[1,1,1]","[0.048612035621786794,0.029486817586557166]","[-1,-1,-1]","[0.18187030535765208,-0.03816088842480853]","[-1,-1,-1]","[-0.10007849783244441,-0.11553795632473005]","[-1,-1,-1]","[0.02623049720032892,-0.1394421396870683]","[1,1,1]","[-0.02129745486741188,-0.04177479186083839]","[1,1,1]","[-0.06692535129734056,0.17170863822885826]","[1,1,1]","[0.051680501413138846,-0.1886858459102834]","[-1,-1,-1]","[0.05408050742268001,-0.07632483599117573]","[1,1,1]","[-0.14299379226272577,0.1204090593348284]","[-1,-1,-1]","[0.09521075563211215,-0.10782419682593541]","[1,1,1]","[-0.17907508709717493,0.03288216442753946]","[-1,-1,-1]","[0.08647390053638362,0.04385263492280726]","[1,1,1]","[0.08328752842928762,0.12181726567268479]","[-1,-1,-1]","[0.047420142876083635,0.0706731316726156]","[-1,-1,-1]","[-0.18352188252224236,0.07622639041412362]","[1,1,1]","[0.02,0.02]",200.9773,0,0,0,75,1,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,200.9787,201.4767,,,201.7284,203.227,,,,,,,,,0.45,,,,,,,,201.4771,201.7284,203.2273,"[-0.049770440224364935,0.004417340227787044]","[1,1,1]","[-0.024049615881541444,-0.11134296960214395]","[-1,-1,-1]","[-0.03176551241318402,0.17180466333742334]","[-1,-1,-1]","[0.03897725044859849,0.1735490939700012]","[1,1,1]","[-0.16769251498775262,-0.10275400947287922]","[1,1,1]","[-0.17233905110179518,-0.04522044587250669]","[-1,-1,-1]","[0.06266384888342336,-0.010624693800179958]","[1,1,1]","[0.007292211945008545,-0.059247455008141554]","[1,1,1]","[-0.08765999998196458,-0.13369921650063432]","[-1,-1,-1]","[-0.11831743639269586,0.09974043148615996]","[1,1,1]","[-0.1225879915154613,-0.09275339160507054]","[-1,-1,-1]","[-0.09320424266587764,0.13620115515058032]","[-1,-1,-1]","[-0.19213774719856372,-0.008759285561847553]","[1,1,1]","[0.19048019544636507,-0.016888860298063416]","[1,1,1]","[0.095243422232533,-0.07709987164126761]","[-1,-1,-1]","[0.14501199716071506,0.09847331124980657]","[-1,-1,-1]","[0.13802570100620218,0.027994881963473207]","[-1,-1,-1]","[0.024111198561557887,0.011867250967455042]","[-1,-1,-1]","[-0.09031383413451413,-0.06009507548622684]","[-1,-1,-1]","[0.18079465364055664,0.03913450234873033]","[-1,-1,-1]","[-0.12113632067824412,0.05341899854421781]","[-1,-1,-1]","[0.14835566046042134,-0.011921262653328926]","[-1,-1,-1]","[-0.00042561900180109196,0.10925640212417612]","[1,1,1]","[0.11933965531911507,0.12978101737760034]","[-1,-1,-1]","[-0.16374778385225924,0.06740138285111803]","[1,1,1]","[0.1100899021278903,0.06495786448357199]","[-1,-1,-1]","[-0.06301898137473626,-0.1799197918225138]","[-1,-1,-1]","[-0.1261948372135688,0.006239561171239688]","[-1,-1,-1]","[-0.046765735506200376,0.08005584849812744]","[1,1,1]","[0.006565871432388033,-0.18388364299415347]","[1,1,1]","[0.04169506694608711,-0.08432018454523783]","[1,1,1]","[0.07016434193210819,0.14097953706878175]","[1,1,1]","[0.02,0.02]",204.3268,0,1,1,69,1,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,204.3281,204.8266,,,205.0778,205.6436,left,,,,,,,,0.5,0.5525,,,,,,,204.8267,205.0777,205.6437,"[0.041414164341177485,-0.06139732893638552]","[1,1,1]","[-0.12376298190612878,-0.12861394222369088]","[1,1,1]","[-0.04922981546417989,-0.10743281054845118]","[-1,-1,-1]","[0.030529132500287055,-0.16117466507917605]","[-1,-1,-1]","[0.10794904119375323,0.08362924643614605]","[-1,-1,-1]","[-0.005512550142131125,0.11329935396941188]","[-1,-1,-1]","[-0.12526722233495488,0.0008325053782567953]","[1,1,1]","[-0.06884506451379585,0.05220473515635887]","[-1,-1,-1]","[-0.010629868335439111,0.1946289191086356]","[-1,-1,-1]","[0.05254101679896944,0.1636216258916331]","[-1,-1,-1]","[0.11531994404085144,0.044099621325411155]","[-1,-1,-1]","[-0.13852934355284172,0.11751874896738605]","[1,1,1]","[-0.02006983226759258,-0.030866931902391984]","[-1,-1,-1]","[0.13821348392811622,-0.12613616866400773]","[1,1,1]","[0.15958390723574933,0.059348828907261134]","[1,1,1]","[-0.16356336735112278,0.03923968956628115]","[-1,-1,-1]","[0.1626619137174768,0.014200207738761685]","[1,1,1]","[0.03746167136877418,-0.10188012442581255]","[1,1,1]","[0.06328722499627511,0.09038598387180888]","[-1,-1,-1]","[-0.11191599923522118,0.04014623840570159]","[-1,-1,-1]","[-0.0021646309254408575,0.04911805996236879]","[-1,-1,-1]","[0.14197000788825812,-0.022765912617831504]","[1,1,1]","[0.0804868577715687,-0.02476994199803498]","[-1,-1,-1]","[-0.08421989890774217,-0.084540463933973]","[1,1,1]","[-0.13728775338031649,-0.06776283373137526]","[1,1,1]","[-0.11082691731319863,0.1540062407514035]","[1,1,1]","[0.1266046058918153,-0.07420666041258167]","[-1,-1,-1]","[-0.016208722826678363,-0.17056633331798618]","[-1,-1,-1]","[-0.06972099042630842,-0.17382435242629224]","[1,1,1]","[0.11399752954850613,0.14192683911332046]","[1,1,1]","[0.08336795545979744,-0.11194351340649518]","[1,1,1]","[0.06555734138076487,0.021025463759807347]","[1,1,1]","[0.02,0.02]",206.7433,0,2,2,116,1,,,,,,,
,,,,,,,672e070e0a631ffab8d21860,682db4dc9fc219e305f4ce8e,2025-05-21_13h17.44.192,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,206.7449,207.2431,,,207.494,207.9103,right,,,,,,,,0.5,0.4042,,,,,,,207.2431,207.4939,207.9104,"[0.16749452742269,0.03317526692477715]","[-1,-1,-1]","[0.09036450450542324,-0.06990009553897064]","[1,1,1]","[-0.17665937589568081,0.03493244019104896]","[-1,-1,-1]","[0.08576402360929647,0.12055605412061916]","[1,1,1]","[0.054243442356568194,0.02761700191062724]","[1,1,1]","[0.17209099082932003,-0.060564846990931266]","[-1,-1,-1]","[0.01125656521693127,0.018100432523201152]","[1,1,1]","[0.14924826861891743,0.11226668629656357]","[1,1,1]","[0.06122590125969558,-0.15588311055040488]","[1,1,1]","[-0.020601159598950022,0.1396064535656931]","[1,1,1]","[0.19657784189601518,-0.01540466260222171]","[-1,-1,-1]","[0.18515437711838453,0.06981302450514314]","[-1,-1,-1]","[-0.04855741834477299,0.033899844085007236]","[-1,-1,-1]","[0.1020768414300098,-0.014767356928911466]","[-1,-1,-1]","[-0.033517664262193714,-0.15682173772849511]","[1,1,1]","[0.11503878122251596,0.08439961225810642]","[-1,-1,-1]","[-0.10755477413833439,-0.026697442094659102]","[-1,-1,-1]","[-0.10981075861808968,0.14936193458089242]","[-1,-1,-1]","[0.02070356955991764,0.13276328871172097]","[-1,-1,-1]","[0.10289226566742157,-0.12322835697481367]","[1,1,1]","[0.04634356012668012,0.17475621311173492]","[-1,-1,-1]","[-0.13451034801838,0.006070227656823264]","[1,1,1]","[-0.15555753917713763,-0.05517898722185451]","[1,1,1]","[-0.014266362242164555,-0.11751034795763363]","[1,1,1]","[-0.13077078131838504,0.06840742149763628]","[-1,-1,-1]","[-0.05933542681460337,0.09523084067788369]","[1,1,1]","[-0.017632745126954334,-0.07332676612285162]","[1,1,1]","[0.013974180801483887,-0.19408698678162867]","[-1,-1,-1]","[0.024934322996143076,-0.129164763897909]","[1,1,1]","[0.1499154557505872,-0.024575035197652955]","[-1,-1,-1]","[0.023107334573574216,0.09122913448795807]","[-1,-1,-1]","[-0.08900472505468418,-0.13855005623663352]","[1,1,1]","[0.02,0.02]",209.0099,0,3,3,95,1,,,,,,,
