right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,27.1063,space,12.0781,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,27.1065,61.8806,space,4.7676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,61.8808,65.1036,space,0.2049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,65.1145,65.603,65.6039,65.8526,65.8527,67.3518,,67.3525,68.4506,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,68.4516,68.9551,68.9552,69.1999,69.2001,70.086,left,70.0861,71.1812,0,1,1,0,1,0.8,0.8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.1822,74.2949,space,0.0881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,74.3034,74.7945,,,75.0452,75.8791,right,,,,,,,,0.55,0.8131,,,,,,,74.7958,75.0451,75.8793,"[0.06575148921009219,-0.03754228636304742]","[-1,-1,-1]","[-0.1407773739038537,-0.02927514186954358]","[-1,-1,-1]","[-0.09731453241611424,0.009867499822451775]","[1,1,1]","[0.1627887462948635,0.10086964077588213]","[1,1,1]","[0.1944731012724874,-0.0052037292521893465]","[-1,-1,-1]","[-0.04206811625500905,0.1723182305831665]","[-1,-1,-1]","[0.05476481394690608,0.14062376942227184]","[-1,-1,-1]","[-0.17838780330954487,0.06995938975135452]","[1,1,1]","[-0.05479207722327528,0.019280584913989162]","[-1,-1,-1]","[-0.02669359626557716,-0.12346198586775003]","[1,1,1]","[0.010682065331950265,0.19173733930131076]","[1,1,1]","[-0.13082103513880938,0.11903780997203339]","[-1,-1,-1]","[0.06509855191214069,0.06034326718896442]","[-1,-1,-1]","[0.017237964294507732,-0.0670449761298924]","[-1,-1,-1]","[0.0708019930379203,-0.1867064555495993]","[1,1,1]","[0.0789994008556495,-0.09097511051751443]","[1,1,1]","[0.15870898157078359,-0.09504784224027525]","[1,1,1]","[0.017954077001622878,-0.1786428124453648]","[1,1,1]","[0.0008252033810032135,-0.014059307500007771]","[-1,-1,-1]","[-0.09743589835127608,-0.13586876308987833]","[-1,-1,-1]","[0.15055311050491416,-0.02165964955952537]","[1,1,1]","[0.11878929998066544,0.0963252925818259]","[1,1,1]","[0.017958207526923717,0.1216917431764164]","[1,1,1]","[0.13639834796301897,0.027665300006968062]","[1,1,1]","[-0.09780048302405403,0.09187646815952542]","[-1,-1,-1]","[0.009119188481648395,0.03851550997609014]","[1,1,1]","[0.1189942684966593,-0.1445707170331318]","[1,1,1]","[-0.024825448385290237,0.08224647964693815]","[1,1,1]","[0.17612440936883897,0.04504246103853081]","[-1,-1,-1]","[-0.05677602281607455,-0.04505698442531405]","[1,1,1]","[-0.07781603253384078,0.14730588765800584]","[-1,-1,-1]","[-0.0307305850492502,-0.1911001424797273]","[1,1,1]","[0.02,0.02]",76.9755,0,0,0,148,1,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,76.976,77.4753,,,77.7139,78.265,left,,,,,,,,0.9,0.5447,,,,,,,77.4754,77.7137,78.265,"[0.15958045945590296,0.07845960138788582]","[1,1,1]","[-0.0048534402113568995,-0.031874694976472676]","[1,1,1]","[0.1128684653937741,-0.157607997339614]","[1,1,1]","[-0.07673363410890277,0.11156671278913785]","[1,1,1]","[0.19458880745720236,0.044823627414365436]","[-1,-1,-1]","[0.0991604761659786,-0.11718161509617017]","[1,1,1]","[-0.16192460042084766,-0.03690665413264618]","[1,1,1]","[-0.0639747217973509,-0.03250376916152955]","[1,1,1]","[-0.12358724292043627,0.057125833030012424]","[1,1,1]","[-0.12339902686226195,-0.14035989747317906]","[1,1,1]","[0.04483052953054947,-0.09877889656416615]","[1,1,1]","[0.09418010043101642,0.09485992791179323]","[1,1,1]","[0.13964850616105495,-0.09248698738203982]","[1,1,1]","[0.05228639007146088,-0.17474660486612742]","[1,1,1]","[0.017087028728290706,0.14990275151848603]","[1,1,1]","[0.10636740742680934,-0.06870311160207454]","[1,1,1]","[-0.05096137176817359,0.1816911678824437]","[-1,-1,-1]","[-0.1208961961960025,0.13605911496437567]","[1,1,1]","[-0.029329426384877472,-0.06937261109872178]","[1,1,1]","[-0.08144554629202921,0.014699072507086665]","[1,1,1]","[0.08108978655823249,-0.03549439250511705]","[-1,-1,-1]","[0.12966148244548487,0.03545693639878122]","[1,1,1]","[0.10688907563926477,0.15926742773326832]","[1,1,1]","[0.06736775240771863,0.0054031384856739325]","[1,1,1]","[0.06167162717809671,0.18318827803736554]","[1,1,1]","[-0.12040858011962574,-0.04983547460162233]","[1,1,1]","[-0.1315758475325717,0.010739505850864351]","[1,1,1]","[0.1259911245329027,-0.01450736537342813]","[1,1,1]","[-0.0855397750933375,-0.09325289759477949]","[1,1,1]","[0.02278082548796421,-0.061054012756210745]","[1,1,1]","[-0.06445116388989348,0.06319694634016351]","[1,1,1]","[-0.04323111641852323,-0.19311778100946553]","[1,1,1]","[0.02,0.02]",79.3611,0,1,1,188,1,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,79.3621,79.8598,,,80.1118,80.5897,left,,,,,,,,0.6,0.4619,,,,,,,79.8599,80.1117,80.59,"[-0.18615752811519465,0.0537586629314781]","[1,1,1]","[-0.01897489553509102,0.010680145990422397]","[1,1,1]","[0.11294208232574927,-0.10684867714174198]","[-1,-1,-1]","[-0.14428512684366115,0.07181655745097894]","[-1,-1,-1]","[0.06230015734453756,0.013863094331742045]","[-1,-1,-1]","[0.036698327693315234,0.09051832624284045]","[1,1,1]","[0.04482088887971827,0.1476637287812149]","[1,1,1]","[-0.1395081918019131,-0.04375798812792796]","[-1,-1,-1]","[0.1527468073840032,0.031155416643842186]","[1,1,1]","[0.011792384663761557,-0.1974473128240793]","[1,1,1]","[-0.19935828507898365,0.0025627686889879604]","[-1,-1,-1]","[0.05061102521509865,-0.08040123626245274]","[1,1,1]","[-0.0685629133660603,0.018065253962699448]","[1,1,1]","[-0.07159826051049288,0.18090437587268066]","[1,1,1]","[0.10978614359404607,-0.06140078379202336]","[1,1,1]","[-0.07460411454762766,-0.05201368158554974]","[-1,-1,-1]","[-0.025732022509432063,-0.08521761105556253]","[-1,-1,-1]","[0.0028755128191477737,0.18232206460562042]","[1,1,1]","[0.16195916255409726,-0.07057355506762333]","[1,1,1]","[-0.05250347809104556,0.12634831127613919]","[-1,-1,-1]","[0.13582252982669818,0.1302181992675361]","[-1,-1,-1]","[-0.09499316881675805,0.11657999081054629]","[1,1,1]","[-0.03592679035705713,-0.14046697782613554]","[-1,-1,-1]","[-0.1089336470298253,-0.16376123395142872]","[-1,-1,-1]","[-0.17795844817464324,-0.057332398608172734]","[1,1,1]","[0.19447981548968232,-0.046419343933012364]","[1,1,1]","[-0.08074489253567994,0.059936367147615834]","[1,1,1]","[0.028593071409672596,-0.1544128473408927]","[1,1,1]","[0.14261122545216376,0.0764334487927844]","[-1,-1,-1]","[-0.13939616283807976,0.11485476645812571]","[-1,-1,-1]","[0.09481335172725859,0.1659001714520261]","[1,1,1]","[0.13402131383673094,-0.1480988045981588]","[1,1,1]","[0.02,0.02]",81.6929,0,2,2,164,1,,,,,,,
,,,,,,,675d61c63a00cb308be414f7,682f0fbf903a3fea600b7c8b,2025-05-22_13h00.49.643,cuing_paradigm_dot,2024.1.5,Win32,60.60606061,682d573fa47f1360d1451895,,,,,,,,,,,81.6937,82.1869,,,82.443,83.1079,left,,,,,,,,0.5,0.6581,,,,,,,82.1869,82.443,83.108,"[0.039701830960076755,0.010928625540046982]","[1,1,1]","[0.051992526417151165,-0.11901109021981875]","[-1,-1,-1]","[0.10748717463671865,-0.0036382082377985035]","[-1,-1,-1]","[-0.12843931090598004,-0.017192303300049772]","[-1,-1,-1]","[0.15959782533711137,-0.03470822601412474]","[1,1,1]","[-0.0012800546489181205,-0.006201263937753399]","[-1,-1,-1]","[-0.0214093284948733,-0.1449795514020128]","[-1,-1,-1]","[-0.013578357257028422,0.19150080088617763]","[-1,-1,-1]","[0.05137723598284682,-0.17063053669202052]","[1,1,1]","[0.07687435109222239,0.029892019209241567]","[1,1,1]","[-0.13197608821933765,0.11059656985935863]","[-1,-1,-1]","[0.14905058707058633,-0.12275346056521758]","[-1,-1,-1]","[-0.07632240823136006,-0.13234019027938088]","[1,1,1]","[0.12539845211032882,0.08520839429331328]","[1,1,1]","[0.09394245926564544,-0.1348258386097765]","[1,1,1]","[-0.0010338639078398438,0.1095284407512707]","[-1,-1,-1]","[0.08540887442367749,0.1740491502167202]","[-1,-1,-1]","[0.020815141871814224,0.1461300937036264]","[1,1,1]","[-0.14551390379029913,0.04954829804908041]","[-1,-1,-1]","[-0.04753062405272635,-0.08121335314648762]","[1,1,1]","[0.04723887481939035,-0.048696470739339255]","[1,1,1]","[-0.10186813650510741,0.08166795464962497]","[-1,-1,-1]","[-0.1593096098491996,-0.07375235791523628]","[-1,-1,-1]","[0.18274958061082244,0.04053114141431618]","[1,1,1]","[0.06846481279178412,0.10911342388881531]","[-1,-1,-1]","[-0.05168214350028657,0.15494224048447375]","[1,1,1]","[-0.05974773943028606,0.10332898318690921]","[1,1,1]","[-0.11641180706388715,-0.1157415011334518]","[1,1,1]","[-0.1773246433818858,-0.03753199794482507]","[-1,-1,-1]","[-0.092514108950582,-0.05135467372810962]","[-1,-1,-1]","[0.006742513116462352,0.044328906573705806]","[1,1,1]","[-0.01076643528479408,-0.06101498901043083]","[1,1,1]","[0.02,0.02]",84.2022,0,3,3,107,1,,,,,,,
