right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,88.0631,space,73.0397,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,88.0644,147.7928,space,29.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,147.7931,153.7588,space,2.9301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,153.7978,154.2921,154.2931,154.5258,154.5262,155.1256,right,0.5454,,155.126,156.2251,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,156.2269,156.7245,156.7246,156.959,156.9591,157.4574,left,0.4781,,157.4577,158.5578,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.5589,170.991,space,9.4176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,171.0208,171.5238,,,171.7591,172.4235,right,0.6446,,,,,,,,,0.1,,,,,,171.5248,171.759,172.4245,"[-0.011654376298597939,-0.17193482139714797]","[-1,-1,-1]","[-0.14295428799700297,0.009147080559357711]","[-1,-1,-1]","[-0.06336742986828199,0.11319605568500417]","[-1,-1,-1]","[0.07040545087071179,-0.06315003832495886]","[-1,-1,-1]","[0.13119666941343508,-0.13940845205309121]","[-1,-1,-1]","[0.040961879228846095,-0.09421868373441038]","[-1,-1,-1]","[-0.14591829024869601,0.08802808291352149]","[-1,-1,-1]","[-0.02238170948658479,-0.07339424666955674]","[-1,-1,-1]","[-0.07264094003368274,-0.05112177143153762]","[-1,-1,-1]","[0.1882472643491367,0.047844337070237046]","[-1,-1,-1]","[0.031076296860018764,0.14405077902165553]","[-1,-1,-1]","[0.09898513978188334,0.0016144964180328351]","[1,1,1]","[0.19743704916429902,-0.0056075324451579246]","[1,1,1]","[0.03877998638416589,0.09694748229593068]","[-1,-1,-1]","[-0.13256839154729488,-0.14751218932595087]","[-1,-1,-1]","[-0.08327331926994683,0.15185618369566664]","[-1,-1,-1]","[-0.18826491305461598,-0.009640339410101941]","[-1,-1,-1]","[-0.17059942832196504,0.04512869960109387]","[-1,-1,-1]","[0.14586236873799086,0.07239524235251926]","[-1,-1,-1]","[-0.13598967089997596,-0.04626969637154181]","[-1,-1,-1]","[0.057697228197801195,-0.1513371574439324]","[-1,-1,-1]","[0.08635203925425945,0.07342114231793205]","[-1,-1,-1]","[-0.13626806305255998,-0.09584251081764328]","[-1,-1,-1]","[0.13202483918813127,0.11257065403693614]","[-1,-1,-1]","[0.14699614264839445,0.01004383770956137]","[-1,-1,-1]","[0.08169355428795926,0.17442747434281766]","[1,1,1]","[-0.008867552454021634,0.060690412819231904]","[-1,-1,-1]","[0.08633598789477702,0.13117035580405853]","[-1,-1,-1]","[-0.03427206573014794,-0.022746680733279387]","[-1,-1,-1]","[-0.1785980291010604,-0.05368679069253017]","[-1,-1,-1]","[-0.006179298343331569,0.015198643398408821]","[-1,-1,-1]","[-0.09110556112923138,0.054766190054929706]","[-1,-1,-1]","[0.02,0.02]",173.5239,0,0,0,29,1,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,173.5256,174.0235,,,174.2577,174.9236,right,0.646,,,,,,,,,0.45,,,,,,174.0237,174.2576,174.9238,"[-0.006155092541596476,0.12397740363419649]","[1,1,1]","[0.10986137702786726,-0.12744589037538878]","[-1,-1,-1]","[-0.19745630757112492,-0.007565055530833406]","[-1,-1,-1]","[0.059456755475527236,0.000009645612284993379]","[-1,-1,-1]","[-0.02691182986867328,-0.03672703367840564]","[1,1,1]","[0.12111415158663855,-0.023119227521437333]","[-1,-1,-1]","[-0.11935714901083713,0.04742254985106516]","[1,1,1]","[0.11197324689691932,0.15286751921470215]","[1,1,1]","[-0.16408904984452494,0.10708995451173747]","[-1,-1,-1]","[-0.005982101847713167,0.023056064292012925]","[-1,-1,-1]","[-0.06612744851968635,0.06372261451196791]","[-1,-1,-1]","[-0.1475298716710311,0.017605452591361797]","[-1,-1,-1]","[0.1631558687556696,-0.01586092309760124]","[1,1,1]","[-0.029319627859059855,-0.19360631647150095]","[-1,-1,-1]","[0.039483596489217954,-0.09877794732535329]","[-1,-1,-1]","[0.044389765064781976,0.048885808964492225]","[1,1,1]","[0.0424033216929859,-0.16113933254806276]","[-1,-1,-1]","[0.07444337208780331,0.10947594631563605]","[1,1,1]","[-0.11554223202133616,-0.055192111586733775]","[-1,-1,-1]","[0.02262933244654057,0.09107402567680951]","[1,1,1]","[0.01606298769897259,0.16804366179456437]","[-1,-1,-1]","[-0.0291490072289082,-0.1443354488313857]","[-1,-1,-1]","[-0.09491776138673841,-0.11647718583902597]","[1,1,1]","[0.09725819634628224,0.06375193831528764]","[1,1,1]","[0.15826813788232644,0.09447023274357974]","[-1,-1,-1]","[-0.03895131055388267,0.17452382475082825]","[-1,-1,-1]","[-0.16631662513427473,-0.0916922227958359]","[1,1,1]","[-0.1350786964379304,-0.1321609444053365]","[-1,-1,-1]","[-0.0018149736514854484,-0.09712127670420426]","[1,1,1]","[-0.07546898076104086,-0.0305411328223462]","[1,1,1]","[-0.08390611603910846,-0.17553624320436076]","[1,1,1]","[-0.1564914438173162,-0.04481016152998822]","[-1,-1,-1]","[0.02,0.02]",176.0233,0,1,1,70,1,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,176.024,176.5234,,,176.7591,177.4568,left,0.6842,,,,,,,,,0.55,,,,,,176.5235,176.7588,177.457,"[0.1924126440414824,-0.0297617345771715]","[1,1,1]","[0.027026547538264112,0.13730330345077577]","[-1,-1,-1]","[0.01724120993493861,0.07898548420169786]","[1,1,1]","[-0.09873354169419829,-0.1194157115206952]","[1,1,1]","[-0.008066854160650195,-0.1451896509720817]","[1,1,1]","[-0.17041204329761847,0.09701787542460015]","[1,1,1]","[0.16612615382018084,0.04232842571497466]","[-1,-1,-1]","[-0.1170513913279117,0.1240889954862721]","[1,1,1]","[0.07894753755458618,0.0142631636263284]","[-1,-1,-1]","[-0.07176101686738605,0.10046254912232495]","[-1,-1,-1]","[0.07129481174251341,-0.10886298888266939]","[1,1,1]","[-0.08734050837030252,-0.0007512631662052267]","[1,1,1]","[0.02926716691008835,-0.17672974569697097]","[1,1,1]","[-0.010696846460770022,-0.08234423213967808]","[-1,-1,-1]","[0.11536013138989278,-0.13388591461910682]","[1,1,1]","[0.11718340047079183,0.084387548441955]","[-1,-1,-1]","[-0.08902905396651958,-0.07789173951740219]","[1,1,1]","[0.14711132317712566,-0.0402389998663534]","[-1,-1,-1]","[-0.029511838801503362,0.1638710908768034]","[1,1,1]","[-0.05308463944616854,0.05535871335545284]","[-1,-1,-1]","[-0.08748697517821077,0.1646221913292899]","[1,1,1]","[-0.1380705389775319,-0.02592481422304686]","[-1,-1,-1]","[0.11333205338457708,-0.012574253589835159]","[1,1,1]","[-0.026291095692867136,-0.015351268624807502]","[-1,-1,-1]","[0.0664317676187045,0.14684333660286006]","[-1,-1,-1]","[0.07663489403569251,-0.1777277035828103]","[-1,-1,-1]","[0.04892196828644838,-0.03493834285491395]","[1,1,1]","[0.033485719343019645,-0.08586659531998994]","[1,1,1]","[0.13783981812863708,-0.08165782748567922]","[1,1,1]","[-0.17936818198442617,-0.0017645541729444953]","[-1,-1,-1]","[-0.15501235683909953,-0.10848751458793081]","[1,1,1]","[-0.006649064445733226,0.11343594392592775]","[-1,-1,-1]","[0.02,0.02]",178.5568,0,2,2,143,1,,,,,,,
,,,,,,,67668ecc7d364b41006a474d,682f0ffa17108db496e2597a,2025-05-22_12h56.48.049,cuing_paradigm_dot,2024.1.5,Win32,29.94011976,682d573fa47f1360d1451895,,,,,,,,,,,178.5582,179.0564,,,179.2907,179.9568,right,0.635,,,,,,,,,0.55,,,,,,179.0564,179.2904,179.9569,"[-0.09784935468593534,0.09682118905478569]","[-1,-1,-1]","[0.040144797597430816,0.18347308321806974]","[1,1,1]","[0.11520120049635424,-0.004353487444947332]","[-1,-1,-1]","[-0.01675081530767587,0.08857391388569211]","[-1,-1,-1]","[-0.03088294668422032,-0.040663549719006875]","[1,1,1]","[-0.07962866448631249,0.02888680718545853]","[1,1,1]","[-0.17596892205088938,0.01246884159629925]","[1,1,1]","[0.1473024347346859,-0.0473350215815243]","[-1,-1,-1]","[-0.057725643469831174,0.11584881021165329]","[1,1,1]","[-0.1512831179627435,0.045852538404413834]","[1,1,1]","[0.014120486767129495,-0.12134575945548531]","[1,1,1]","[-0.13885045869476567,-0.058643060024426596]","[-1,-1,-1]","[0.1676491331555506,0.04472958604692833]","[1,1,1]","[-0.030043254308676142,-0.09469830894902545]","[1,1,1]","[0.07487345873829641,-0.113833958739381]","[-1,-1,-1]","[-0.08728427397969678,0.1769839196706708]","[1,1,1]","[0.061537882102159436,-0.0419930252884359]","[1,1,1]","[0.06269617823998644,0.15022703512725025]","[1,1,1]","[-0.07980057786082553,-0.06700108011008593]","[-1,-1,-1]","[0.020837824996065256,0.06749237496749616]","[-1,-1,-1]","[-0.022213929050882354,0.03438952011765739]","[1,1,1]","[0.00046986474405809163,-0.18880933001192213]","[-1,-1,-1]","[0.10896950301838287,-0.06262691437191081]","[1,1,1]","[-0.1375955658594328,0.09043633175057135]","[1,1,1]","[0.1191345421779378,-0.15670082377420244]","[-1,-1,-1]","[0.012152214687467598,0.009421640494524207]","[1,1,1]","[0.021632088062517766,-0.03218691530360715]","[-1,-1,-1]","[0.1555085246905397,0.12040299210914929]","[1,1,1]","[-0.0016454915141246224,0.19359183687733317]","[-1,-1,-1]","[0.05470642178642404,-0.16692735007915036]","[1,1,1]","[-0.07088088448627157,-0.1599720817054143]","[-1,-1,-1]","[-0.06085361853899841,-0.010935910948553786]","[-1,-1,-1]","[0.02,0.02]",181.0564,0,3,3,148,1,,,,,,,
