right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0011,83.6446,space,68.6212,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,83.6451,123.0418,space,9.3795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,123.0422,136.2734,space,10.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,136.3128,136.7897,136.7905,136.9916,136.992,138.4897,,138.4901,139.5893,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,139.5907,140.0891,140.0893,140.3287,140.3288,140.6892,left,140.6894,141.7888,0,1,1,0,1,0.8,0.3356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.7897,159.8205,space,15.0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,159.8417,160.3371,,,160.5885,161.6374,left,,,,,,,,0.45,1.0169,,,,,,,160.3379,160.5885,161.6385,"[-0.16289121274324142,0.0558341352377608]","[1,1,1]","[-0.09385498771995318,0.1288662904265294]","[1,1,1]","[-0.03613695264470835,-0.16235197427558856]","[-1,-1,-1]","[-0.13232774364299038,-0.03491806438846899]","[1,1,1]","[-0.11589390811364048,0.06696055056276326]","[-1,-1,-1]","[-0.0003056510671092401,0.07762284131994471]","[1,1,1]","[0.07231917488468799,0.13995531204419084]","[-1,-1,-1]","[0.007497455673995776,-0.0896409116015901]","[1,1,1]","[-0.0994581258470844,-0.14584135378611]","[-1,-1,-1]","[-0.06045976260180523,-0.05326537189037701]","[1,1,1]","[0.08491888162454012,-0.11518364293732508]","[-1,-1,-1]","[0.03348020845623775,0.007948713832468663]","[-1,-1,-1]","[0.1849685353079662,-0.02151934605482075]","[-1,-1,-1]","[0.12866074618678947,-0.06385971165366805]","[-1,-1,-1]","[0.005820326907503358,-0.15251392159891403]","[-1,-1,-1]","[0.11817936188783348,0.1358160464777563]","[1,1,1]","[-0.19317900021211123,-0.04535863931558018]","[1,1,1]","[-0.17759591735128663,0.004606615403045319]","[1,1,1]","[0.001327581213863563,0.17276037153126117]","[-1,-1,-1]","[-0.07024374187911073,0.08619705064010479]","[-1,-1,-1]","[0.1609176642106211,0.05119767009032152]","[-1,-1,-1]","[-0.05286305841018384,0.1659400203112581]","[-1,-1,-1]","[-0.08879663845453213,-0.0015070597439750645]","[1,1,1]","[0.17188230468919244,-0.09018141579946841]","[1,1,1]","[0.09519470246767325,0.05053353716595089]","[-1,-1,-1]","[-0.1463254487469853,-0.1170075465951238]","[1,1,1]","[0.048036064728944235,0.09059059470226141]","[1,1,1]","[0.14715131173349594,0.09150295819622338]","[-1,-1,-1]","[0.12714969405311397,-0.13470627899926074]","[-1,-1,-1]","[0.00852494750737718,-0.03573372073862519]","[-1,-1,-1]","[-0.025990492844540556,0.0021627656989630095]","[1,1,1]","[0.07477568128154649,-0.05870771323430939]","[-1,-1,-1]","[0.02,0.02]",162.737,0,0,0,69,1,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,162.7378,163.2368,,,163.4879,164.27,left,,,,,,,,0.5,0.7494,,,,,,,163.2368,163.4877,164.2701,"[-0.04948572514188585,-0.020508599328765118]","[-1,-1,-1]","[0.13569735128393398,0.0376086434263914]","[1,1,1]","[-0.18762965481032817,0.04539900381820308]","[1,1,1]","[0.0942006478642111,0.17481512943202393]","[1,1,1]","[-0.04546203783293248,0.026075229324550926]","[1,1,1]","[0.1448709059750232,-0.026719518581933666]","[1,1,1]","[-0.12735920707285422,-0.06729671820188184]","[-1,-1,-1]","[-0.10798444823747093,0.11299495717905145]","[-1,-1,-1]","[-0.17993655753739374,-0.03222208700460009]","[-1,-1,-1]","[-0.15827306771057695,0.11080788890055504]","[1,1,1]","[0.05793510880355497,0.07707953704402011]","[-1,-1,-1]","[0.04927394045503354,-0.03995280876513834]","[-1,-1,-1]","[-0.03080556751262087,-0.12250618376873373]","[1,1,1]","[-0.04411491344064017,0.1304332488427425]","[1,1,1]","[0.01773106182087976,0.18255872030223563]","[1,1,1]","[0.10702499058525389,0.1098734908861967]","[-1,-1,-1]","[0.032852042373239645,-0.09024256599717914]","[-1,-1,-1]","[-0.018688435947441094,-0.07463672972660192]","[-1,-1,-1]","[0.08622647878231858,-0.13651081970960294]","[1,1,1]","[0.02277807575800407,-0.14858807927207907]","[1,1,1]","[-0.1474875586135683,-0.12367137901621031]","[-1,-1,-1]","[0.10031621644392376,0.06941859110801107]","[-1,-1,-1]","[0.06166319361587353,0.004347465369660316]","[-1,-1,-1]","[-0.10986908001804102,-0.020544163227023574]","[-1,-1,-1]","[-0.106960647373023,0.03597589584934301]","[1,1,1]","[0.1030316030960739,-0.033978375183260925]","[1,1,1]","[-0.0761516558464538,0.16783720707177816]","[-1,-1,-1]","[-0.03228264979396315,-0.16970926687831228]","[-1,-1,-1]","[0.005557307167081463,0.06377122830174971]","[1,1,1]","[0.15308008932866726,-0.07691499129856692]","[-1,-1,-1]","[-0.10082829744494248,-0.11853763518318955]","[1,1,1]","[-0.1705520786785593,-0.08841700213629206]","[1,1,1]","[0.02,0.02]",165.3698,0,1,1,97,1,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,165.3702,165.8696,,,166.1205,166.7866,right,,,,,,,,0.5,0.634,,,,,,,165.8697,166.1203,166.7867,"[-0.07273137027950632,-0.16821377252956918]","[-1,-1,-1]","[0.005275125420057033,0.13559337888382147]","[1,1,1]","[0.061043788434844475,0.02225387699389328]","[-1,-1,-1]","[-0.0007803532359232854,-0.05870717806124127]","[1,1,1]","[0.08253547941229855,-0.10117391880242271]","[1,1,1]","[-0.05351710765548599,-0.051405804050422964]","[-1,-1,-1]","[0.10310766612930355,-0.047222660088162886]","[-1,-1,-1]","[0.10597582269369417,-0.14203510305233336]","[-1,-1,-1]","[-0.1675854920423986,0.08624529073578947]","[-1,-1,-1]","[-0.03581643710272151,0.14765213009812286]","[1,1,1]","[-0.0014524478466276989,-0.12519652678865417]","[-1,-1,-1]","[-0.18380450102534004,-0.047688989278343655]","[1,1,1]","[-0.0778372454173301,-0.0008543318773430513]","[1,1,1]","[0.15406233490491975,-0.10503965032641606]","[1,1,1]","[-0.03187044033117017,-0.18274049472873]","[1,1,1]","[0.11659797028542235,0.126625262644028]","[1,1,1]","[-0.03591404465165822,0.0845540470529703]","[-1,-1,-1]","[-0.13052047766042701,0.1023261390613909]","[1,1,1]","[0.1708857469595787,0.030796940293501524]","[-1,-1,-1]","[0.0710821723161642,0.12581409685447614]","[1,1,1]","[0.0353957806274997,-0.17688298905688807]","[1,1,1]","[0.12905348272529946,0.038718481236422325]","[1,1,1]","[-0.11609123962656911,-0.017976958502779288]","[-1,-1,-1]","[-0.18464629953682807,0.018367843085009637]","[1,1,1]","[0.09089020628796446,0.06848943026906422]","[-1,-1,-1]","[-0.10131407521376941,0.14195712861830093]","[1,1,1]","[-0.142040478981552,-0.08790911036263464]","[-1,-1,-1]","[0.1741494293989176,0.07316380301313621]","[-1,-1,-1]","[-0.06719344972012659,0.04504935119159467]","[1,1,1]","[0.09283591208197285,0.17131541629144617]","[-1,-1,-1]","[0.0059933194016699885,0.016276092521056374]","[-1,-1,-1]","[-0.021356580647477547,0.18541559589630532]","[-1,-1,-1]","[0.02,0.02]",167.8863,0,2,2,105,1,,,,,,,
,,,,,,,6773bcdecee988907232d78f,682f2ec75617729d340e6e0d,2025-05-22_16h13.44.804,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,167.8869,168.3863,,,168.6368,169.1363,left,,,,,,,,0.5,0.4688,,,,,,,168.3864,168.6367,169.1364,"[-0.18961637725498487,-0.05357777873520899]","[-1,-1,-1]","[-0.13290846380765997,0.012164447630901803]","[-1,-1,-1]","[-0.013465951089631363,-0.1589049739456783]","[1,1,1]","[0.18430183448632775,-0.05355810592525828]","[-1,-1,-1]","[-0.12869717558949548,0.05775334309141092]","[1,1,1]","[0.1559028512300962,0.11391321032616955]","[1,1,1]","[0.04927097356799834,0.02292741553543664]","[-1,-1,-1]","[0.05044162107484476,0.07319297919527375]","[-1,-1,-1]","[-0.13009741621006538,-0.06350393774851683]","[-1,-1,-1]","[-0.07821345084946156,-0.05040685230384955]","[1,1,1]","[0.15891536355321334,0.03628692513991488]","[-1,-1,-1]","[-0.046779206493743945,-0.09130016801063336]","[-1,-1,-1]","[0.11894111180039756,0.08220692976555273]","[-1,-1,-1]","[-0.18579160349517546,0.04255466870397588]","[-1,-1,-1]","[0.025425196936411504,0.17232444859728563]","[-1,-1,-1]","[-0.14786460034260498,-0.13290478292161298]","[1,1,1]","[0.016756764337864726,-0.09610684374218656]","[-1,-1,-1]","[0.10584977413031454,0.04130414510547715]","[1,1,1]","[0.06549610013498904,-0.030790690750842238]","[1,1,1]","[0.1298590426650174,-0.10351869473797827]","[1,1,1]","[0.08342633235065297,-0.1608295668738586]","[1,1,1]","[0.08339446550738175,0.13079151471044964]","[1,1,1]","[-0.09674056347571633,-0.10480654085349234]","[-1,-1,-1]","[0.043261975152644294,0.13587653866565683]","[1,1,1]","[-0.01768059129926597,0.19628891216233188]","[1,1,1]","[-0.02625449341487814,-0.0343683641154908]","[1,1,1]","[-0.04706565054295522,0.08540875242677501]","[1,1,1]","[-0.04811880898286268,0.1386798378822094]","[-1,-1,-1]","[-0.19911587507567757,-0.009377306826113653]","[-1,-1,-1]","[-0.06281733795596874,0.1796630602932386]","[-1,-1,-1]","[0.04491598003779935,-0.18788087094265601]","[1,1,1]","[-0.03827822157824036,0.03176642245042932]","[1,1,1]","[0.02,0.02]",170.2361,0,3,3,112,1,,,,,,,
