right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,143.4238,space,128.3983,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,143.4241,183.0626,space,9.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,183.0632,187.7781,space,1.6979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,187.8321,188.2942,188.2953,188.5351,188.5356,189.9463,left,1.3262,,189.947,191.0446,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,191.0469,191.5441,191.5442,191.7845,191.7847,192.3444,right,0.5357,,192.3449,193.4437,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.4448,209.1791,space,12.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,209.2134,209.6946,,,209.9443,210.5776,left,0.621,,,,,,,,,0.4,,,,,,209.6976,209.9443,210.5787,"[-0.034691083768786074,-0.192736151832583]","[-1,-1,-1]","[0.04256314143519573,-0.14871235939544547]","[1,1,1]","[-0.07678834629343406,0.09412783028761007]","[-1,-1,-1]","[0.002089494577776388,0.029364699035576865]","[-1,-1,-1]","[0.08927160426778623,-0.010545897308183705]","[1,1,1]","[-0.018230503958236877,-0.048933028781458186]","[1,1,1]","[0.023189772402976216,-0.0738559542422502]","[-1,-1,-1]","[-0.1891146215984015,0.03673846939369106]","[1,1,1]","[-0.038041420598609994,0.07199138553793027]","[1,1,1]","[0.020555593731205322,0.09634787120051017]","[1,1,1]","[-0.0642104820227969,-0.0820672662977659]","[-1,-1,-1]","[-0.13501473648701304,-0.031056319640855787]","[-1,-1,-1]","[0.10885031004304549,-0.06385605095383941]","[1,1,1]","[0.1628957813926469,-0.01737126614879772]","[-1,-1,-1]","[0.03542541639315539,0.19004820358869262]","[-1,-1,-1]","[-0.029948491335148708,-0.13590160776826962]","[-1,-1,-1]","[0.1466593163456205,0.030407126912059653]","[-1,-1,-1]","[-0.1414930908699,0.09054203144265882]","[1,1,1]","[0.08832657401282512,-0.13344066708476904]","[1,1,1]","[-0.11942108028675191,0.0427550520340866]","[1,1,1]","[0.13217575321842262,-0.12260619246732522]","[-1,-1,-1]","[-0.15016544447144187,-0.12845216572565687]","[1,1,1]","[0.08887118104097563,0.07223499052080598]","[-1,-1,-1]","[-0.05382755929754415,-0.004270202874091659]","[-1,-1,-1]","[0.07748926123233763,0.1675660108995949]","[-1,-1,-1]","[0.19052645932397858,0.02530095823359759]","[1,1,1]","[0.06239266347716789,-0.09359703781552015]","[-1,-1,-1]","[-0.08278889039989464,0.1534283061095869]","[-1,-1,-1]","[0.07916183546479504,0.029970069744612866]","[-1,-1,-1]","[0.1506002538930841,-0.05605889930722693]","[1,1,1]","[-0.09570700658363611,-0.17116201521634355]","[-1,-1,-1]","[-0.0384400834615006,0.12674687118316208]","[-1,-1,-1]","[0.02,0.02]",211.6781,0,0,0,49,1,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,211.6799,212.1775,,,212.4293,212.9113,right,0.4523,,,,,,,,,0.4,,,,,,212.1777,212.4292,212.9115,"[-0.0975901497916586,0.014946582511757473]","[1,1,1]","[0.031863474528082476,-0.09435505769148698]","[1,1,1]","[-0.14009205305050965,-0.05768961047553058]","[-1,-1,-1]","[-0.040614428415562065,0.0668749021957179]","[-1,-1,-1]","[0.08148588307659432,0.019046361898345483]","[1,1,1]","[-0.1877854111563288,-0.04584463703858213]","[1,1,1]","[0.06799030756243102,0.114292684420956]","[-1,-1,-1]","[0.024678311801903767,0.0525276597098079]","[1,1,1]","[-0.05905815720035844,-0.10395660045648536]","[-1,-1,-1]","[0.07735261743778356,-0.07822453049770221]","[-1,-1,-1]","[0.13222060858814752,-0.12807780976256633]","[-1,-1,-1]","[0.025446778458787324,-0.18165767545007594]","[1,1,1]","[-0.1264922594549788,0.12239321465823477]","[-1,-1,-1]","[-0.05419995142578433,-0.034705728866701625]","[1,1,1]","[0.08323881742978578,-0.03672274524219167]","[-1,-1,-1]","[0.036865814428694584,-0.04067845475672234]","[-1,-1,-1]","[-0.11957431723505416,-0.09254996843878986]","[1,1,1]","[0.06449626548140833,-0.16503611716951083]","[-1,-1,-1]","[0.12962332383206898,-0.07493513878915259]","[-1,-1,-1]","[-0.052285654746998485,0.1715012241833133]","[-1,-1,-1]","[-0.0042545925049581506,0.1483041664238945]","[-1,-1,-1]","[-0.09871301405350001,0.07114158449908581]","[-1,-1,-1]","[0.12691344428986415,-0.008911069224306083]","[-1,-1,-1]","[0.03233009385099888,0.19158367740863996]","[-1,-1,-1]","[-0.019268100889190377,-0.17481055578839716]","[1,1,1]","[0.15632602121913675,0.09845368854812532]","[1,1,1]","[-0.17968771324181865,0.02210324079133285]","[1,1,1]","[-0.1304004866642799,0.04491891406905774]","[1,1,1]","[0.10456626649039864,0.1319301976898304]","[-1,-1,-1]","[0.04043068997231336,0.006219885149569103]","[1,1,1]","[0.1089319083009627,0.0567912985382988]","[-1,-1,-1]","[-0.017879776502754297,-0.0004471894702460869]","[-1,-1,-1]","[0.02,0.02]",214.0106,0,1,1,54,1,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,214.0118,214.5169,,,214.7625,215.3621,left,0.5706,,,,,,,,,0.5,,,,,,214.517,214.7624,215.3623,"[-0.0852997097337031,0.042505760815392056]","[1,1,1]","[0.12715642449826184,0.08519965795479324]","[1,1,1]","[0.04485741021458083,-0.008730886738083561]","[-1,-1,-1]","[-0.016615379227753673,-0.013049425414592676]","[1,1,1]","[0.07334414568310613,0.13662447337192363]","[-1,-1,-1]","[0.10129428948543481,0.03526697562003634]","[-1,-1,-1]","[-0.13630532716553584,-0.11548238685851558]","[1,1,1]","[0.14195836699247022,-0.12384715940182264]","[1,1,1]","[-0.0164546879127219,-0.10921015731930964]","[-1,-1,-1]","[-0.07008043058514807,0.18568744363705017]","[-1,-1,-1]","[0.17589291415351782,-0.06885935001210634]","[1,1,1]","[-0.03618973997292415,0.09878167174524241]","[1,1,1]","[0.028135281795699903,-0.1626356195746279]","[-1,-1,-1]","[0.03379221630641618,0.07977101002073862]","[1,1,1]","[-0.19756817481955086,-0.027854804435009994]","[1,1,1]","[0.05491246555904853,-0.06796666326896283]","[-1,-1,-1]","[-0.12314560348086578,0.001082720487397394]","[1,1,1]","[-0.02719362566913254,0.04102077918648554]","[-1,-1,-1]","[0.08652615019908869,-0.14916915878260928]","[1,1,1]","[0.016054124547084287,0.1950715883367997]","[-1,-1,-1]","[-0.18827671336555094,0.041402865113644695]","[1,1,1]","[-0.0849051419557412,0.08483903039659543]","[-1,-1,-1]","[-0.1216035479874058,0.15194844073045746]","[-1,-1,-1]","[-0.07342324477863399,-0.16903938540372324]","[-1,-1,-1]","[-0.014504470358422795,0.1463267855909644]","[1,1,1]","[0.1940196471117672,-0.0057398793152688655]","[-1,-1,-1]","[-0.12989853012907177,0.09883629142797538]","[1,1,1]","[0.11908126055911258,-0.07837047563665739]","[1,1,1]","[-0.09599873346099241,-0.04190167533174477]","[-1,-1,-1]","[0.15101824901241256,0.0031541858253612376]","[-1,-1,-1]","[0.19273321330767437,0.04258786575368626]","[1,1,1]","[0.06555028280556634,0.18704808531690595]","[-1,-1,-1]","[0.02,0.02]",216.461,0,2,2,112,1,,,,,,,
,,,,,,,67741f8144dc7b0ad820521a,682f1019fb01b037af176ce8,2025-05-22_13h57.21.722,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,216.4632,216.9607,,,217.2159,217.9494,right,0.717,,,,,,,,,0.45,,,,,,216.9608,217.2158,217.9494,"[-0.034605826720301755,0.02943878256864685]","[-1,-1,-1]","[-0.06335808184807795,-0.017547437587727477]","[1,1,1]","[0.08971025466938629,-0.16228260894775473]","[-1,-1,-1]","[0.12299505266940204,-0.012221744668353868]","[1,1,1]","[-0.025638845038986703,0.10516318697140596]","[-1,-1,-1]","[0.0960217360925192,0.12293128027288609]","[1,1,1]","[0.16557964826071903,-0.10246673357976444]","[-1,-1,-1]","[-0.028212202426560168,0.18520375482422857]","[1,1,1]","[-0.024587678090820048,-0.14925698093078082]","[-1,-1,-1]","[-0.0685915566182686,0.12171912228451606]","[1,1,1]","[0.07586516893134014,0.1605657413162484]","[-1,-1,-1]","[-0.1932922565979715,-0.0419589984516981]","[1,1,1]","[-0.08369541891415433,0.02991362475893655]","[-1,-1,-1]","[0.04064131780485703,-0.11815290489798512]","[1,1,1]","[-0.13276087275084994,-0.08395775857673128]","[-1,-1,-1]","[-0.1777239027915404,0.0318435385758376]","[1,1,1]","[0.1045961504088481,-0.09808279317204024]","[1,1,1]","[-0.12000851085144747,0.09968511887828155]","[1,1,1]","[0.047326200559180284,0.02598612981633337]","[1,1,1]","[-0.013113721367723636,-0.08278622501021025]","[-1,-1,-1]","[0.16643872714132663,0.054593487389044015]","[-1,-1,-1]","[0.09312410751176439,0.07103108177040184]","[-1,-1,-1]","[0.032667358267774824,0.1279478800892745]","[-1,-1,-1]","[-0.05567216683770229,-0.061919832968877125]","[1,1,1]","[0.18656699314638628,-0.023664318904136825]","[1,1,1]","[-0.1476810139469203,-0.009100070023074268]","[1,1,1]","[-0.10560554121162471,-0.025629425783299308]","[-1,-1,-1]","[0.043949778842875105,-0.06723785613393615]","[-1,-1,-1]","[0.011119488341190599,-0.036597591192138894]","[-1,-1,-1]","[0.047914926530891654,-0.18704057365612023]","[-1,-1,-1]","[-0.1124360851693792,-0.12934490993363154]","[-1,-1,-1]","[0.003115078378293006,-0.19769162395388828]","[-1,-1,-1]","[0.02,0.02]",219.044,0,3,3,63,1,,,,,,,
