right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0003,16.5751,space,1.5603,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,16.5756,53.128,space,6.5299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,53.1285,56.8149,space,0.6784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,56.8322,57.332,57.3327,57.5706,57.5707,58.636,right,1.0385,,58.6363,59.7345,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,59.7361,60.2342,60.2343,60.4752,60.4752,61.269,right,0.7692,,61.2694,62.3697,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3709,66.4249,space,1.0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,66.4347,66.9246,,,67.1759,68.209,left,1.0035,,,,,,,,,0.4,,,,,,66.9259,67.1758,68.2098,"[-0.13382036819825177,0.07794772585672864]","[-1,-1,-1]","[0.1479601950337912,0.10224901048254854]","[1,1,1]","[-0.02440768764903614,0.05373911847192536]","[-1,-1,-1]","[-0.005657638496689145,0.16445173857212664]","[1,1,1]","[-0.06239144747730166,-0.18060980484799433]","[-1,-1,-1]","[0.08765448969568697,-0.08014982273904067]","[1,1,1]","[0.05949095451810039,-0.14701018249509862]","[1,1,1]","[-0.153698902766059,0.03034060466263906]","[-1,-1,-1]","[-0.0896114852473191,0.09900695294031828]","[-1,-1,-1]","[0.023091484179172027,0.12959274360423426]","[-1,-1,-1]","[-0.009483051337897695,-0.19403267613106914]","[-1,-1,-1]","[0.13386200377914118,-0.08297681695135575]","[1,1,1]","[0.08285230490980174,0.12804606881962985]","[-1,-1,-1]","[0.18608381152637768,-0.028866431666376407]","[1,1,1]","[0.00935853202418796,-0.015307649590679729]","[-1,-1,-1]","[-0.0928956778354338,0.14235067251205497]","[1,1,1]","[0.01998822665101373,-0.10484675213597891]","[-1,-1,-1]","[-0.0490184835634916,-0.12389603737453926]","[-1,-1,-1]","[-0.053886153134347484,0.1266750856248717]","[1,1,1]","[-0.16880097561482973,-0.05956023983340853]","[-1,-1,-1]","[0.13838256023832057,0.06115880996694371]","[-1,-1,-1]","[-0.042827118059913315,-0.04089338306954187]","[1,1,1]","[-0.10942937077254114,-0.10982291325259942]","[-1,-1,-1]","[-0.05165231234250868,0.18132906888641148]","[-1,-1,-1]","[-0.05710234592343787,0.016092091246802036]","[1,1,1]","[0.06644137485093088,0.014317204798719535]","[-1,-1,-1]","[0.03146995721349412,0.08570236864807848]","[1,1,1]","[-0.0009931583437420442,-0.05920959374369076]","[-1,-1,-1]","[0.09067056705053528,-0.17603384192475902]","[1,1,1]","[0.10872535993942575,0.09034689682574856]","[1,1,1]","[-0.10703873489013856,0.009534651948320335]","[-1,-1,-1]","[-0.09892036073684496,-0.06248453307076583]","[-1,-1,-1]","[0.02,0.02]",69.311,0,0,0,53,1,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,69.3123,69.8108,,,70.0657,70.7477,right,0.6604,,,,,,,,,0.1,,,,,,69.811,70.0656,70.7479,"[0.018708302036139206,-0.13961892821678232]","[-1,-1,-1]","[0.1310071790771885,-0.11973624868296141]","[-1,-1,-1]","[0.08548982609750332,-0.15254355150649146]","[-1,-1,-1]","[-0.07656287522965395,0.012782368556939965]","[1,1,1]","[0.060451785324141236,0.016318707371553914]","[-1,-1,-1]","[0.14166525742341612,-0.05172864697202202]","[-1,-1,-1]","[0.1055280865459411,0.12941862108797056]","[-1,-1,-1]","[-0.12438464827650729,-0.06673383468200811]","[-1,-1,-1]","[0.12070056939767732,0.02031585378977445]","[-1,-1,-1]","[-0.05386504154618596,-0.09490101139882308]","[-1,-1,-1]","[-0.012338606352682177,0.1252931152811506]","[-1,-1,-1]","[0.13127237417154994,0.07690796709402561]","[-1,-1,-1]","[-0.12323217688635547,0.06167718622376946]","[1,1,1]","[-0.10402270413487659,0.12234906499171583]","[-1,-1,-1]","[0.06095416542449683,0.15402957720811433]","[-1,-1,-1]","[0.19403871185659205,-0.046488677885186624]","[-1,-1,-1]","[0.03697108446550457,-0.18198207839160288]","[-1,-1,-1]","[-0.08226535398522462,-0.17763227063438805]","[-1,-1,-1]","[0.09290482687895374,-0.07348104824451586]","[-1,-1,-1]","[-0.06336095383415793,0.07649631898108758]","[1,1,1]","[-0.13614567403659653,-0.021340694424166154]","[-1,-1,-1]","[-0.07730784960924428,-0.03253141891057562]","[-1,-1,-1]","[0.06899172530136101,-0.030966525141211856]","[-1,-1,-1]","[-0.1510753777478516,0.1025170891425971]","[-1,-1,-1]","[-0.18464714611701977,-0.04774657077477105]","[-1,-1,-1]","[-0.14951643310019558,-0.12318229262135935]","[-1,-1,-1]","[0.027462127707625406,0.06569028790240272]","[-1,-1,-1]","[-0.025164234508166253,-0.057516338048834825]","[-1,-1,-1]","[-0.17687253329949787,0.04437470265406459]","[-1,-1,-1]","[-0.05694440014496489,0.12342411032591091]","[-1,-1,-1]","[0.014364320064197309,-0.07600075492655467]","[-1,-1,-1]","[-0.06094464362350091,0.16989732724259798]","[-1,-1,-1]","[0.02,0.02]",71.8474,0,1,1,10,1,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,71.8489,72.347,,,72.6055,73.0995,left,0.4773,,,,,,,,,0.9,,,,,,72.3471,72.6054,73.0998,"[0.03745815323868856,-0.16607703922287204]","[1,1,1]","[0.10378768655639861,0.11875425941508555]","[1,1,1]","[-0.0447222534219343,0.11124137804384203]","[1,1,1]","[0.12133126613037427,0.0770580894547058]","[1,1,1]","[0.09546332213557968,-0.04412937013749983]","[1,1,1]","[0.08086506971714755,0.025869551890262334]","[1,1,1]","[-0.062018837703326245,-0.1337550832706644]","[1,1,1]","[-0.05432608928760345,0.17178755069163681]","[1,1,1]","[0.018136290208189753,0.06256819324488722]","[1,1,1]","[0.17538961339801673,0.03870350784796264]","[1,1,1]","[0.02026824186604761,0.1553762804929866]","[1,1,1]","[-0.028515477490768364,-0.04585683537859535]","[1,1,1]","[-0.0579827333145039,0.053948381845242095]","[1,1,1]","[0.1757196019574164,-0.02181349396175845]","[1,1,1]","[0.07005263645840894,0.1547788878657966]","[1,1,1]","[0.03543351459824472,-0.08167963403819607]","[1,1,1]","[-0.1703132020128927,0.03807844084365592]","[-1,-1,-1]","[-0.12717549216777502,-0.058311241427714954]","[1,1,1]","[-0.12874869786035853,0.03654959270193512]","[1,1,1]","[-0.1063162632521484,0.12370266391918194]","[1,1,1]","[0.08269162450919794,-0.12349117354396687]","[1,1,1]","[-0.1377524881356521,0.07851043558710463]","[1,1,1]","[0.1747079854037522,-0.08291808860480054]","[1,1,1]","[0.12173922466946775,-0.09195312955091565]","[1,1,1]","[-0.029374926899394915,-0.18121583909426228]","[1,1,1]","[-0.15218831944167155,-0.09162811455486]","[1,1,1]","[-0.004531594736239161,0.11611317104895763]","[-1,-1,-1]","[0.0397234668007427,0.1112550568482335]","[-1,-1,-1]","[0.06005395624523879,0.06933317199302257]","[1,1,1]","[-0.09250515499994627,-0.07934839936530193]","[1,1,1]","[-0.11306193555656205,-0.1541772534605064]","[1,1,1]","[0.11746074066656809,0.007968165481045283]","[1,1,1]","[0.02,0.02]",74.1985,0,2,2,182,1,,,,,,,
,,,,,,,6776648b0449a9e3e0f9e81d,682f1012ddaf00a07d3f65b2,2025-05-22_13h57.58.759,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,74.1998,74.6992,,,74.9375,76.0839,right,1.1179,,,,,,,,,0.4,,,,,,74.6993,74.9375,76.0841,"[0.13621474123237257,-0.08227149286405769]","[1,1,1]","[0.06393518983296301,-0.09050920693361782]","[-1,-1,-1]","[0.025386219159651075,-0.057551624266598364]","[-1,-1,-1]","[-0.0933629299308826,-0.12482810819726414]","[1,1,1]","[0.047277281689271776,0.05247776530530311]","[-1,-1,-1]","[0.1847179110992975,-0.031047703592071686]","[1,1,1]","[-0.019148154091376886,-0.15858190743988068]","[1,1,1]","[0.15947627245073326,0.015927794670563218]","[1,1,1]","[-0.08900092629292969,0.16811981652572086]","[-1,-1,-1]","[-0.1546899747182478,-0.07064996298887201]","[1,1,1]","[-0.0858120758935472,-0.03613675005943195]","[-1,-1,-1]","[-0.02601398263805385,0.11690141663483442]","[-1,-1,-1]","[-0.12745237397695958,0.11380978916226835]","[-1,-1,-1]","[0.11243928521755263,0.0029914093524656617]","[1,1,1]","[-0.08119462397231089,0.02059660182120668]","[1,1,1]","[0.11867427713354564,0.10200156788728112]","[-1,-1,-1]","[0.07493860354474971,-0.1356740882460947]","[1,1,1]","[-0.13076458355812798,-0.03099963272900604]","[-1,-1,-1]","[-0.019016815915193365,0.02158377033577329]","[1,1,1]","[0.06715399330994772,0.1760371191402688]","[-1,-1,-1]","[-0.18915656543603437,0.05580685310268515]","[1,1,1]","[-0.015350404609274955,-0.06772013293189844]","[-1,-1,-1]","[0.004128389921372185,-0.11200905026682534]","[-1,-1,-1]","[-0.08058073235981615,0.11002008668541124]","[1,1,1]","[-0.029204820299578767,0.1607691347751213]","[-1,-1,-1]","[0.09989323556277617,0.05683077212932034]","[-1,-1,-1]","[0.16992398648103546,0.10452716584736688]","[-1,-1,-1]","[-0.05916184928594091,-0.07433772220724273]","[1,1,1]","[0.06223969745415016,-0.18935364937201327]","[-1,-1,-1]","[-0.04379352231219664,-0.022662227762335528]","[-1,-1,-1]","[0.09130002713005296,-0.05424674445047471]","[-1,-1,-1]","[0.12732499289090377,-0.14698991261385244]","[-1,-1,-1]","[0.02,0.02]",77.1846,0,3,3,52,1,,,,,,,
