right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0002,82.4028,space,67.3677,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,82.4045,115.7334,space,3.3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,115.7349,119.4589,space,0.7127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,119.5501,119.9703,119.9718,120.2054,120.2061,121.384,left,1.1194,,121.3855,122.4805,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,122.4836,122.9783,122.9786,123.23,123.2304,123.5815,right,0.3445,,123.5817,124.6741,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6761,128.3323,space,0.6409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,128.3772,128.8461,,,129.0997,129.4625,right,0.3507,,,,,,,,,0.45,,,,,,128.8478,129.0996,129.4646,"[-0.13763403318589695,0.03785493190485914]","[-1,-1,-1]","[-0.08172956848384431,0.06342731667339002]","[1,1,1]","[0.042978192266537985,0.16672433776537698]","[1,1,1]","[-0.05346386641341927,-0.1539123587852631]","[1,1,1]","[0.041210658438385506,-0.18792156879886954]","[-1,-1,-1]","[0.07345264929729681,0.08768304456958577]","[-1,-1,-1]","[-0.060386490158397844,-0.08078447059408997]","[1,1,1]","[-0.005678639401205611,-0.1312184953021097]","[1,1,1]","[0.030681219832305182,0.1227288289129404]","[-1,-1,-1]","[0.18807054336345824,-0.05339484501652434]","[-1,-1,-1]","[-0.11082286404189422,-0.012410876655406087]","[1,1,1]","[-0.12417567189586783,-0.11148704494273518]","[-1,-1,-1]","[0.19363817097502947,0.027381650893475922]","[1,1,1]","[0.09586861038790472,0.15518338021067196]","[-1,-1,-1]","[0.06837128732673058,-0.11464810436775535]","[1,1,1]","[-0.028234277205237454,0.08650072003761453]","[-1,-1,-1]","[-0.11962855056968982,0.15235031313971173]","[-1,-1,-1]","[-0.14000081137941323,-0.07131148811636652]","[-1,-1,-1]","[0.01299705888530235,-0.06128380053632397]","[1,1,1]","[-0.11415802477531391,0.08753779428279897]","[-1,-1,-1]","[-0.08819784194673624,-0.129586411516056]","[1,1,1]","[0.07188111967912154,-0.06748396063354273]","[-1,-1,-1]","[0.13888043300506914,0.1013731817299284]","[1,1,1]","[0.15066391347968844,-0.08925155089696002]","[1,1,1]","[0.06915610669793695,0.013292554421471134]","[-1,-1,-1]","[0.027968741509886937,0.028026855724894374]","[1,1,1]","[0.09448356918846647,-0.17357922916044036]","[-1,-1,-1]","[-0.07818402513169297,0.022285336512159408]","[-1,-1,-1]","[-0.07775643731808728,0.1447224690724173]","[1,1,1]","[-0.18533536272634357,-0.07009604691662455]","[-1,-1,-1]","[0.14909461090332893,0.03816027779731252]","[-1,-1,-1]","[0.1299561641216565,-0.04006416271296415]","[-1,-1,-1]","[0.02,0.02]",130.5631,0,0,0,83,1,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,130.5668,131.0571,,,131.3122,131.6226,right,0.3015,,,,,,,,,0.5,,,,,,131.0572,131.3122,131.6228,"[-0.05478769214134961,0.060761786855382895]","[1,1,1]","[-0.17230550647684997,-0.09904085902061029]","[1,1,1]","[0.18905831871019563,-0.04401335677302772]","[-1,-1,-1]","[0.09632089146595825,-0.09212188420706097]","[1,1,1]","[0.11775630378786225,-0.15710254339652244]","[-1,-1,-1]","[-0.05864277585663083,0.15130355820201946]","[-1,-1,-1]","[-0.13665862127665407,0.004705282555453617]","[1,1,1]","[0.14894647831249974,0.05727023950146945]","[-1,-1,-1]","[0.1353893424147223,-0.11265972941295395]","[1,1,1]","[0.05929857684792503,-0.02557505517759165]","[-1,-1,-1]","[-0.1384002129703057,0.10219134075487454]","[-1,-1,-1]","[0.057651310398817816,0.01493549017854167]","[-1,-1,-1]","[-0.1202737510702485,-0.1271393223817904]","[-1,-1,-1]","[-0.04951757899491165,-0.06188747072125021]","[1,1,1]","[-0.052241686605991336,-0.1290272965878508]","[-1,-1,-1]","[0.0025179705629014464,-0.1474590724422109]","[-1,-1,-1]","[-0.14246697715780962,0.04614164862628405]","[1,1,1]","[-0.028115710260637403,0.11539416019985148]","[-1,-1,-1]","[0.1348599783805032,0.12799085216040076]","[1,1,1]","[0.1447811070105898,-0.053361734770119795]","[-1,-1,-1]","[0.03554306302194865,-0.0868552726321499]","[-1,-1,-1]","[-0.10876962398888826,-0.0496639191544888]","[1,1,1]","[-0.004542094969724901,-0.061593546581978735]","[-1,-1,-1]","[0.02757026289791061,0.14046040644209934]","[1,1,1]","[0.09182441674416016,0.14453910137669634]","[1,1,1]","[0.024767391393219214,0.07291104976554479]","[1,1,1]","[0.10517187076033624,0.06583370468329705]","[1,1,1]","[-0.18515537359203837,0.0314815068249836]","[1,1,1]","[-0.0878745584569668,-0.0052801628696844734]","[1,1,1]","[0.00116528775725803,-0.005722987288675044]","[-1,-1,-1]","[0.11485619497041119,-0.02405471910969378]","[-1,-1,-1]","[-0.021215226277192755,-0.10007428567633216]","[1,1,1]","[0.02,0.02]",132.7191,0,1,1,97,1,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,132.7207,133.2179,,,133.4696,134.0524,left,0.5758,,,,,,,,,0.45,,,,,,133.218,133.4692,134.0529,"[-0.1502876467239181,0.0413159408184708]","[-1,-1,-1]","[-0.05949104680869615,-0.14548729050096015]","[1,1,1]","[-0.05544443867785775,-0.054639589122232296]","[-1,-1,-1]","[0.018852609266669883,-0.12250967213469828]","[1,1,1]","[-0.004662493725507004,0.08461345097638993]","[-1,-1,-1]","[-0.02915885670225301,-0.08842247179279658]","[-1,-1,-1]","[-0.007761455814001827,-0.16446591466484992]","[1,1,1]","[-0.07685449280502411,-0.007808125090151589]","[1,1,1]","[0.15796786413800157,0.0284193392224381]","[1,1,1]","[-0.1768917658227226,0.08428323582909605]","[1,1,1]","[0.12083565744081202,-0.03733705386150259]","[1,1,1]","[0.07668544953534816,0.11812191581762066]","[-1,-1,-1]","[-0.18789245469688517,-0.006457960212580905]","[-1,-1,-1]","[0.03280475953821254,-0.022438224430450283]","[-1,-1,-1]","[0.04887665366145159,0.166327294778401]","[-1,-1,-1]","[-0.06679025615629453,0.09805667682131171]","[1,1,1]","[-0.12548083105237712,-0.054622593834868755]","[1,1,1]","[-0.07604580800472333,0.14524253310454935]","[-1,-1,-1]","[0.058515172265197445,-0.19025801338223186]","[-1,-1,-1]","[0.018965301737624726,0.025118617473352915]","[1,1,1]","[-0.10995687196064419,0.07921658186615686]","[1,1,1]","[0.000692654926840586,0.1583882799212012]","[-1,-1,-1]","[-0.08581055931503134,0.034345573110937076]","[1,1,1]","[0.05082879852894922,-0.09133843095570514]","[-1,-1,-1]","[-0.0523098880408693,0.18993329968172395]","[-1,-1,-1]","[0.08554126541785968,0.0508170250734714]","[1,1,1]","[0.012954065364980633,-0.06767447348668516]","[1,1,1]","[-0.1207494955510061,0.1417745657435747]","[-1,-1,-1]","[0.18474997915259783,-0.012125704769225011]","[-1,-1,-1]","[-0.07019527214796654,-0.09228482231752926]","[-1,-1,-1]","[0.15050734171493516,-0.06695565758673198]","[-1,-1,-1]","[0.12656695241267416,-0.13475674990593978]","[-1,-1,-1]","[0.02,0.02]",135.1461,0,2,2,64,1,,,,,,,
,,,,,,,677e4656af6e5525f72fc926,682f0ff2efe88415bdb38bf8,2025-05-22_12h57.56.779,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,135.1477,135.6449,,,135.8981,136.2439,left,0.3341,,,,,,,,,0.4,,,,,,135.6449,135.8977,136.2441,"[-0.1632968992926871,-0.10008074479412926]","[-1,-1,-1]","[0.15935204060973476,-0.06955416496192912]","[1,1,1]","[0.027864743295732037,0.010077083950952914]","[1,1,1]","[0.16274636233508105,0.0795489343181515]","[1,1,1]","[-0.056273382337040746,-0.18688397525968117]","[1,1,1]","[-0.050398170688357426,0.14881283113202817]","[-1,-1,-1]","[0.1892391199980834,-0.006690925844385324]","[-1,-1,-1]","[0.0950930076912497,0.05203122760621492]","[-1,-1,-1]","[-0.10200110603941842,-0.02307662463699341]","[1,1,1]","[-0.11384362886602041,-0.15322141417426755]","[-1,-1,-1]","[0.03736447472762427,-0.15630819669092352]","[-1,-1,-1]","[-0.14159584218586052,0.12933720103502366]","[-1,-1,-1]","[-0.01665393342924518,-0.11360011247063645]","[1,1,1]","[0.15013773917035686,-0.11484904923417237]","[1,1,1]","[-0.07804895859587799,-0.05625859268629556]","[-1,-1,-1]","[0.0777757942558969,-0.11485442130490663]","[-1,-1,-1]","[-0.07391876815994204,0.03009175852247421]","[-1,-1,-1]","[0.05308703641043408,0.07757908595383638]","[1,1,1]","[-0.09104760653910161,0.09688725668958785]","[-1,-1,-1]","[-0.17267064580013483,0.10045283611670038]","[-1,-1,-1]","[-0.16512182202451475,-0.036781347712091315]","[1,1,1]","[-0.009124361909128803,0.03288019347237418]","[1,1,1]","[-0.1833319895492171,0.041098497936225914]","[-1,-1,-1]","[-0.13676507448796796,0.06571489773442758]","[-1,-1,-1]","[0.06547500512471548,-0.04955826165091541]","[-1,-1,-1]","[0.011345648260352944,-0.19548609995431734]","[-1,-1,-1]","[0.0984376380962565,0.1268506051311397]","[1,1,1]","[-0.0019296946334865332,0.16995811762438248]","[-1,-1,-1]","[-0.1157323850823725,-0.11219787584780903]","[1,1,1]","[0.15032450718839407,-0.029152179518727978]","[1,1,1]","[-0.006652114738680871,0.08501234191079875]","[-1,-1,-1]","[0.05857598762245051,-0.19037562290765986]","[-1,-1,-1]","[0.02,0.02]",137.3406,0,3,3,30,1,,,,,,,
