right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0008,16.9452,space,1.9337,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,16.9454,59.8496,space,12.8894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,59.8497,63.8909,space,1.0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,63.9193,64.4072,64.4076,64.6162,64.6165,64.8242,left,0.1726,,64.8244,65.9235,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,65.9243,66.4231,66.4232,66.6703,66.6704,67.4232,left,0.7337,,67.4233,68.5115,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.5122,107.0305,space,35.5011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,107.0522,107.5466,,,107.7964,108.5967,left,0.7809,,,,,,,,,0.6,,,,,,107.5471,107.7962,108.5973,"[-0.11664347966883874,0.03128299307417007]","[-1,-1,-1]","[0.12767536725539455,-0.1053739260771669]","[1,1,1]","[-0.0562954413326362,-0.10116100049976211]","[1,1,1]","[0.13480247784429542,-0.02880521225947475]","[-1,-1,-1]","[-0.1350993887573342,-0.09883379288663992]","[1,1,1]","[-0.02855466527521636,0.13790298837692594]","[1,1,1]","[-0.16299393269930224,-0.05532160586179256]","[-1,-1,-1]","[-0.006733985750620661,-0.08742820476426015]","[1,1,1]","[0.16097563421224487,0.09945602198860751]","[1,1,1]","[0.01645526117948253,0.028208645983260672]","[-1,-1,-1]","[0.09846683117974342,0.12918163722509213]","[-1,-1,-1]","[-0.08012339061739067,0.10566097603486638]","[1,1,1]","[-0.1605084113678962,0.10496630806880006]","[-1,-1,-1]","[0.11405666030933696,-0.16422132487412056]","[1,1,1]","[0.007030055146378392,0.11105164904901921]","[1,1,1]","[0.028974932376200548,-0.13935543876983356]","[1,1,1]","[-0.04294243400916518,0.06611433204045684]","[1,1,1]","[0.06608492530422756,-0.036296968681986695]","[1,1,1]","[-0.10193842200793113,-0.12202814378694687]","[-1,-1,-1]","[0.16746631032827572,-0.09258174387532903]","[1,1,1]","[0.06755978933956998,-0.15594503708733162]","[1,1,1]","[0.17815533739488304,-0.015965514450149813]","[-1,-1,-1]","[0.08110924557937714,0.08162723599662103]","[-1,-1,-1]","[-0.17869567159260963,0.036777945173408044]","[1,1,1]","[-0.010527461361254337,-0.1798590493210803]","[-1,-1,-1]","[-0.09703118801692732,-0.011429367911173409]","[-1,-1,-1]","[0.17001439856646883,0.043510668525337956]","[1,1,1]","[0.05174461141183265,0.18353019205815202]","[-1,-1,-1]","[0.03968706755645414,-0.09514545433610855]","[1,1,1]","[-0.05875521040122021,0.018596168444526294]","[1,1,1]","[0.09342145100271072,0.04298078822550872]","[-1,-1,-1]","[0.05645499931202972,0.02442287510065144]","[1,1,1]","[0.02,0.02]",109.6965,0,0,0,178,1,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,109.697,110.196,,,110.443,110.8463,left,0.3841,,,,,,,,,0.55,,,,,,110.1961,110.4429,110.8463,"[0.04911688256710141,-0.08799447462146053]","[-1,-1,-1]","[0.11226038069121934,-0.017869545239610624]","[-1,-1,-1]","[-0.009991533998275341,0.12363735891851241]","[1,1,1]","[-0.11255730420214738,0.05435847330811347]","[-1,-1,-1]","[0.09077056939915877,-0.11487923404924497]","[-1,-1,-1]","[-0.1597150630240803,0.002404598143705136]","[-1,-1,-1]","[0.1747987922819354,-0.0032043637096672594]","[1,1,1]","[-0.02826658591915619,0.1967594392666543]","[1,1,1]","[0.05814703467181697,0.1086607246548775]","[-1,-1,-1]","[0.1339509830230497,0.07751907745516705]","[1,1,1]","[0.04029543298947819,-0.01814606774627822]","[1,1,1]","[0.1881291423487437,-0.04248789179910653]","[-1,-1,-1]","[0.07279488178359408,0.06068086243024716]","[1,1,1]","[0.0488510140629756,-0.1579042480433888]","[1,1,1]","[-0.03744458498069399,-0.07637690437899039]","[1,1,1]","[-0.07896407420607783,0.1417230528700356]","[-1,-1,-1]","[-0.1071739595265013,0.008661701449952357]","[1,1,1]","[-0.0810214682625275,0.08867834198982559]","[-1,-1,-1]","[-0.1511613159066395,0.11148185693745752]","[1,1,1]","[-0.026300086512630518,0.06409446081730644]","[-1,-1,-1]","[-0.022230368977821036,-0.16591652212244876]","[-1,-1,-1]","[-0.042768682235061015,-0.01574742648237948]","[1,1,1]","[0.15318788396759586,-0.0856391222336709]","[1,1,1]","[0.07410035623979236,0.1496578852648097]","[1,1,1]","[-0.1097901200563615,-0.10350475958762861]","[1,1,1]","[0.018724316940747682,0.026612280022003613]","[1,1,1]","[0.01753986054797417,-0.13133077638675805]","[1,1,1]","[0.12384008113579219,0.13560165154871023]","[-1,-1,-1]","[-0.09269768578902376,-0.058122957414109534]","[-1,-1,-1]","[0.1231412544265405,-0.0588781768344682]","[-1,-1,-1]","[0.1203603602176482,-0.15799433553463685]","[1,1,1]","[0.013545408127097133,0.08679235696483377]","[1,1,1]","[0.02,0.02]",111.9432,0,1,1,140,1,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,111.944,112.4455,,,112.6846,113.1158,left,0.4059,,,,,,,,,0.45,,,,,,112.4456,112.6844,113.1159,"[0.0804605156584658,0.025332515585504586]","[1,1,1]","[-0.04268423272525055,0.08029490207195272]","[1,1,1]","[0.1522967676655545,0.024389009864283974]","[-1,-1,-1]","[-0.022887196571121537,0.14325476697755987]","[1,1,1]","[0.07887762255627355,-0.09395074079109009]","[1,1,1]","[0.13036204710915794,-0.08849501404397121]","[-1,-1,-1]","[0.06666385190887762,0.06524557445366425]","[1,1,1]","[-0.06002949629939368,-0.01460719904013739]","[-1,-1,-1]","[0.07493967124152617,-0.02145213879790201]","[-1,-1,-1]","[-0.06683805256728563,-0.0992046802957349]","[-1,-1,-1]","[-0.015423500973997412,-0.12190280777340115]","[-1,-1,-1]","[-0.09061693831766628,-0.0528379890145815]","[-1,-1,-1]","[-0.1765630261549912,0.007416448646543317]","[-1,-1,-1]","[0.05341037726351927,0.15031256190375067]","[-1,-1,-1]","[-0.13708996506142868,-0.025777279409192323]","[-1,-1,-1]","[0.157350648457132,0.10233559213265071]","[-1,-1,-1]","[-0.12057165608629285,-0.15855254050871018]","[1,1,1]","[-0.13162457329198107,0.11181003339764596]","[1,1,1]","[0.02642615641612766,0.18121404063583899]","[-1,-1,-1]","[0.0726590792931985,-0.13560894351288527]","[1,1,1]","[0.010538324042204271,0.043296045904727756]","[-1,-1,-1]","[-0.08409207946986513,0.09738923359233878]","[-1,-1,-1]","[-0.1753721031390625,-0.060925932780420904]","[-1,-1,-1]","[0.12910181203301252,0.13753297906249035]","[1,1,1]","[0.18705311784675535,-0.03407080234318742]","[1,1,1]","[0.036523500878718834,0.1135623217430023]","[-1,-1,-1]","[0.0397878986469959,-0.07454158551621401]","[1,1,1]","[-0.1618977013143766,0.07185786749124717]","[1,1,1]","[-0.06560241992171442,0.17615017844845773]","[1,1,1]","[-0.021134197470031642,0.0020470504629696556]","[-1,-1,-1]","[-0.04523580193769056,-0.1805102879576788]","[1,1,1]","[-0.10617391637200696,0.1516502302337994]","[-1,-1,-1]","[0.02,0.02]",114.2144,0,2,2,77,1,,,,,,,
,,,,,,,67ab1e1f5b205c29bc9f1c64,682f0fb7ee085ef72bd8dd4d,2025-05-22_14h11.39.785,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,114.2153,114.7129,,,114.9464,115.6788,right,0.7126,,,,,,,,,0.55,,,,,,114.713,114.9462,115.6789,"[-0.15262195009480206,-0.01729488829545923]","[-1,-1,-1]","[0.04185313725569179,-0.11168715067300818]","[-1,-1,-1]","[0.13587190312612135,-0.12814798813580236]","[1,1,1]","[-0.019073458181576804,0.07863955221592958]","[1,1,1]","[0.13302466150410486,0.13248912134809618]","[-1,-1,-1]","[-0.10098850082003413,-0.1622418986552869]","[1,1,1]","[0.021041902633422357,-0.015353695794509431]","[1,1,1]","[-0.1847130452752157,0.057610533603875955]","[1,1,1]","[0.0753563550237885,-0.01658707088165372]","[1,1,1]","[-0.005623861625008389,0.1818992191751824]","[1,1,1]","[-0.08935869156795129,0.08674673799179809]","[1,1,1]","[0.008948472601745812,0.1269754415044319]","[-1,-1,-1]","[-0.08189736653670969,-0.10173170593940249]","[1,1,1]","[0.13924780697300254,-0.031178787966540153]","[1,1,1]","[-0.00279084413721906,0.038357409195563054]","[1,1,1]","[0.1340120834159946,0.06506452639342827]","[-1,-1,-1]","[0.06561563474899998,0.12085352105063561]","[1,1,1]","[0.0460219245801581,-0.19098910406888897]","[-1,-1,-1]","[-0.05236279191088214,-0.14903931438104195]","[-1,-1,-1]","[0.07162147986839666,-0.07486134580445333]","[-1,-1,-1]","[-0.03944111519288313,-0.08038687737046883]","[1,1,1]","[-0.02692742960092695,-0.031725427816635]","[1,1,1]","[-0.14060375249355292,-0.06328808391214244]","[-1,-1,-1]","[0.19547611524168362,0.0231821447145562]","[-1,-1,-1]","[-0.15762844355185424,0.10430158247109611]","[-1,-1,-1]","[0.05829585785136915,0.17428813591016448]","[-1,-1,-1]","[-0.13747701687197308,0.1422579641661467]","[1,1,1]","[-0.08423591059465675,-0.014121678608650027]","[1,1,1]","[-0.12747040218603234,0.05962996523907679]","[1,1,1]","[0.00015773947757509414,-0.10602468088184908]","[-1,-1,-1]","[0.022518856635207505,-0.1543592383696912]","[-1,-1,-1]","[0.029166659166092374,0.07345227939045913]","[1,1,1]","[0.02,0.02]",116.7598,0,3,3,135,1,,,,,,,
