right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,25.4028,space,10.388,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,25.4034,56.2605,space,0.8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,56.261,60.3926,space,1.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,60.4376,60.9105,60.9121,61.1529,61.1534,62.6438,,62.6448,63.736,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,63.7379,64.2291,64.2293,64.4855,64.4857,65.984,,65.9841,67.0766,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,67.0783,70.3228,space,0.2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,70.3902,70.8279,,,71.0722,71.5767,left,,,,,,,,0.6,,,,,,70.8292,71.0721,0.488,,71.5773,"[0.18937256668595154,-0.029350250532820487]","[1,1,1]","[0.08212354620980757,0.0259080829992639]","[1,1,1]","[-0.03424415293452247,0.01433022254750575]","[1,1,1]","[0.18748612480952584,0.056462953787047195]","[-1,-1,-1]","[0.009230468490326304,-0.030695074160314136]","[1,1,1]","[-0.08901872229517546,0.05330150563445631]","[1,1,1]","[-0.18679830378643544,-0.033840748344903984]","[1,1,1]","[0.024472939015721284,0.11096955124678948]","[1,1,1]","[0.06292737681872174,-0.1323695282637218]","[1,1,1]","[-0.10671150337996632,-0.13605969933348028]","[1,1,1]","[-0.006228830242313323,0.17431617983009298]","[-1,-1,-1]","[-0.04207912116580189,-0.13781851027092054]","[-1,-1,-1]","[0.14818326592122893,-0.10605263114067584]","[1,1,1]","[-0.10138282695889962,0.15602186083335232]","[-1,-1,-1]","[-0.16207099917511372,-0.11398324190186149]","[-1,-1,-1]","[-0.10610569274835857,0.10152715269634033]","[1,1,1]","[0.08526718989929843,0.14168033571194646]","[-1,-1,-1]","[0.034336546949564686,0.06794230795202111]","[1,1,1]","[-0.04798893284858716,0.05218044185592827]","[-1,-1,-1]","[-0.06411141845342527,0.12039433273050303]","[1,1,1]","[0.12794199248796062,-0.06097611810750071]","[1,1,1]","[0.0075257095857010035,-0.1169165585345297]","[-1,-1,-1]","[0.1545137835628828,-0.005326741728983259]","[-1,-1,-1]","[-0.16241869363148798,0.06732583217100994]","[-1,-1,-1]","[-0.047955356514566554,-0.03361772609368786]","[1,1,1]","[0.061193653447313444,-0.044920180605442214]","[1,1,1]","[-0.027230762869045463,0.09460761325594491]","[1,1,1]","[-0.03125563117469761,-0.09296955095714193]","[1,1,1]","[0.12552652932754815,0.0381278393238831]","[-1,-1,-1]","[0.061450197600474585,-0.17729755131222502]","[-1,-1,-1]","[-0.15993683530326408,0.014658396860614188]","[-1,-1,-1]","[-0.13646762769950013,-0.05962322119407558]","[1,1,1]","[0.02,0.02]",72.6715,0,0,0,168,1,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,72.6727,73.1763,,,73.4273,73.9014,right,,,,,,,,0.45,,,,,,73.1766,73.427,0.4459,,73.9017,"[-0.04684612198527052,-0.020829951075027282]","[-1,-1,-1]","[-0.045490794759244814,-0.06733026403298015]","[-1,-1,-1]","[-0.14891371557405592,-0.05533456767135202]","[-1,-1,-1]","[0.16878158119680384,-0.04596279573069644]","[-1,-1,-1]","[0.05035628784464725,-0.11977058009576154]","[1,1,1]","[0.143518500232875,0.087692504567575]","[1,1,1]","[0.11966239699001108,0.02076443895039772]","[-1,-1,-1]","[0.09330951251843801,0.05864573060330819]","[-1,-1,-1]","[0.14653600318102988,-0.12368471704461545]","[1,1,1]","[-0.09727351423134391,-0.026526880286398973]","[1,1,1]","[0.02668960536164298,-0.057047999983925644]","[1,1,1]","[-0.1044350293061051,0.13589890652368347]","[-1,-1,-1]","[-0.07042592781530337,-0.15647070635223256]","[-1,-1,-1]","[-0.1715644507872492,0.0312939310590887]","[-1,-1,-1]","[-0.044278542357422665,0.0761502800674259]","[-1,-1,-1]","[0.14067325339693257,-0.07571145803708434]","[-1,-1,-1]","[0.01590545841379937,0.06358842380223445]","[-1,-1,-1]","[-0.1472828363029066,-0.012158200557974029]","[1,1,1]","[-0.10647300547366083,0.09118259569078054]","[1,1,1]","[0.10565730106139622,-0.024457282053468875]","[1,1,1]","[0.01324712607174117,-0.16659878483638496]","[1,1,1]","[0.06949424243873177,0.09767259149481718]","[1,1,1]","[0.008432159809097702,-0.12256454807716562]","[-1,-1,-1]","[-0.11299731318049971,-0.1322262172306551]","[-1,-1,-1]","[0.1037391039690256,-0.15727324252438796]","[1,1,1]","[-0.11294243652872456,0.027444843007892048]","[1,1,1]","[-0.06934842178363788,0.10943231730037868]","[1,1,1]","[0.07284690879750547,-0.051020388346171563]","[1,1,1]","[0.16399184497241293,0.0459299751777409]","[-1,-1,-1]","[0.06485482736578844,0.013871848982984788]","[-1,-1,-1]","[0.039404653643644524,0.1513726755990611]","[-1,-1,-1]","[-0.14103287152503494,0.06535641341034737]","[-1,-1,-1]","[0.02,0.02]",74.9925,0,1,1,84,1,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,74.9944,75.4918,,,75.7452,76.2803,left,,,,,,,,0.55,,,,,,75.4919,75.7452,0.5173,,76.2805,"[-0.12326097577047054,0.058479845401002616]","[-1,-1,-1]","[-0.193592925955883,0.024756610779239237]","[1,1,1]","[-0.0013996407855218287,-0.10886116155994359]","[1,1,1]","[0.043763299317281,-0.12165939701530633]","[1,1,1]","[0.04729094189902125,0.06440844342613197]","[1,1,1]","[0.026305267828060183,-0.18671758682001263]","[-1,-1,-1]","[-0.018361072293271316,-0.05637029364914699]","[-1,-1,-1]","[0.0316259688898487,0.1660489186094769]","[1,1,1]","[-0.028307687409636777,0.08627938420137067]","[-1,-1,-1]","[-0.08594268184745384,-0.13756544888898037]","[1,1,1]","[0.16109102687289298,0.020619277085603658]","[1,1,1]","[0.008855409500067272,0.032612989189323774]","[1,1,1]","[0.08784459995114162,-0.05522144575136482]","[-1,-1,-1]","[0.0865323597899011,-0.10769910592270612]","[-1,-1,-1]","[-0.07872009024824528,0.09408607195923577]","[1,1,1]","[-0.07868045285899036,-0.056556812237811914]","[-1,-1,-1]","[0.17394541128180055,-0.052231936635980705]","[-1,-1,-1]","[0.13269537566205786,-0.0696654411919734]","[1,1,1]","[0.1773728597760728,0.06521039908982769]","[1,1,1]","[-0.14904030190838144,0.10734998727344888]","[1,1,1]","[0.024305017304199674,0.10733266264656183]","[-1,-1,-1]","[-0.1332857300026247,-0.09466554010054994]","[-1,-1,-1]","[-0.0014266230547540881,0.19842211310697422]","[1,1,1]","[0.09829392583062013,0.15636160497570933]","[-1,-1,-1]","[0.12333707430185246,0.03684309413188478]","[1,1,1]","[0.06834976019672818,0.005191031594052738]","[-1,-1,-1]","[-0.05555835700917897,0.13484117853608743]","[-1,-1,-1]","[-0.18170838071614545,0.06315303657006302]","[-1,-1,-1]","[0.030165866224769536,-0.08383933080763975]","[1,1,1]","[-0.06431238399993894,0.012744744900391373]","[1,1,1]","[-0.12161992528816258,-0.04962899556293297]","[1,1,1]","[-0.15401088247388828,0.010173101449410043]","[1,1,1]","[0.02,0.02]",77.3623,0,2,2,128,1,,,,,,,
,,,,,,,67ab788b4d53609dd0e26861,682f0fb9b01a9108f77c9d42,2025-05-22_14h11.07.171,cuing_paradigm_dot,2024.1.5,Win32,58.13953488,682d573fa47f1360d1451895,,,,,,,,,,,77.3635,77.8714,,,78.1166,78.5724,right,,,,,,,,0.4,,,,,,77.8716,78.1163,0.4337,,78.5726,"[-0.06016074609146393,0.04814003451729249]","[1,1,1]","[0.05946523954854401,-0.1210771355367628]","[1,1,1]","[0.13927078300510998,-0.036359843237732205]","[-1,-1,-1]","[-0.04544383225300959,-0.0493199248630358]","[1,1,1]","[-0.08314473960039793,-0.12605842687845142]","[-1,-1,-1]","[0.019468713549623515,0.027389115930027276]","[1,1,1]","[-0.07059114364909586,0.12556948060792997]","[1,1,1]","[-0.16758086109038714,-0.04819055221009042]","[1,1,1]","[0.1881943320680237,-0.0059209289279611435]","[-1,-1,-1]","[0.019196932547525462,0.10017750386376244]","[-1,-1,-1]","[-0.017090800496556775,0.12574459813651775]","[-1,-1,-1]","[-0.07135713224605185,0.1843828042530607]","[-1,-1,-1]","[0.04513281085674129,-0.17538143133561243]","[1,1,1]","[-0.0031771861275097252,-0.021350471222894872]","[1,1,1]","[0.13378005209173532,0.11080885421086856]","[1,1,1]","[-0.16497390851285268,-0.007814232237432208]","[-1,-1,-1]","[-0.017837828750965547,-0.16775805665658144]","[1,1,1]","[-0.004460617662834884,0.1927499638208808]","[-1,-1,-1]","[-0.1328749458579741,0.12618946782034304]","[-1,-1,-1]","[-0.15832170374635735,-0.0958886206331806]","[-1,-1,-1]","[0.01679381814427347,-0.10667734182417916]","[1,1,1]","[-0.08811763130448826,0.08589888230326621]","[-1,-1,-1]","[0.05460426407853715,0.1732512306471482]","[-1,-1,-1]","[0.0990207969742637,-0.050674770458998576]","[1,1,1]","[0.17061813301649537,0.06250082127510069]","[1,1,1]","[-0.036602025915724645,0.08092347310519804]","[-1,-1,-1]","[0.11989596421479283,0.0019676735738658087]","[-1,-1,-1]","[-0.12739864148554078,0.07351630170008265]","[-1,-1,-1]","[0.06064406085768631,0.0850706681016135]","[-1,-1,-1]","[0.169616883568578,-0.07527369617861973]","[-1,-1,-1]","[0.046080997161863264,-0.05931593438047412]","[-1,-1,-1]","[-0.08728224685973913,-0.16877630354513168]","[-1,-1,-1]","[0.02,0.02]",79.6763,0,3,3,37,1,,,,,,,
