right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,17.0374,space,1.9968,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,17.0393,47.9602,space,0.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,47.9618,52.6933,space,1.7091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,52.7782,53.2084,53.2099,53.4579,53.4584,54.2752,left,0.7835,,54.2764,55.375,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,55.3781,55.8742,55.8743,56.1258,56.126,56.5911,right,0.4556,,56.5915,57.6922,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.6943,61.3915,space,0.6729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,61.442,61.9063,,,62.159,62.6738,right,0.499,,,,,,,,,0.45,,,,,,61.9072,62.1589,62.6755,"[0.10039267133293371,-0.08579370515067883]","[-1,-1,-1]","[0.1422030030695268,0.007974526494224213]","[-1,-1,-1]","[-0.1565623093419757,0.06873152261414556]","[1,1,1]","[-0.014343474247778668,0.10869263929879279]","[1,1,1]","[-0.11589283318640882,-0.035046777545527145]","[1,1,1]","[0.010293107084297962,-0.17951172804299417]","[1,1,1]","[0.02846597621171371,0.012314437601268586]","[1,1,1]","[-0.06778511027159399,-0.16627072583915764]","[-1,-1,-1]","[-0.11561587134174912,-0.145789846549859]","[1,1,1]","[-0.054835213080980195,0.10819751475901994]","[1,1,1]","[0.19560568503863085,-0.020297497930488153]","[1,1,1]","[0.06283036357427838,-0.015402606952373426]","[-1,-1,-1]","[0.028319191710771786,0.1954937304474026]","[-1,-1,-1]","[-0.0756990137416354,0.1585608910643607]","[-1,-1,-1]","[0.14240131880432816,-0.05585424250847468]","[-1,-1,-1]","[-0.0567568020436358,-0.09771605347730858]","[-1,-1,-1]","[0.03711620070001876,0.05733534963514356]","[1,1,1]","[-0.13063065168488508,-0.08867761522014818]","[-1,-1,-1]","[0.09039795307813857,0.1316055040278448]","[-1,-1,-1]","[-0.18556607195763714,0.023908432028839417]","[1,1,1]","[0.06005320203965203,-0.11852180327980812]","[-1,-1,-1]","[0.002904049341030193,0.16267159097980022]","[1,1,1]","[-0.002719878576601559,-0.048251840815800334]","[-1,-1,-1]","[0.09792125247675487,0.08454081881328296]","[-1,-1,-1]","[0.009040319058094446,-0.0946806640411668]","[-1,-1,-1]","[0.15415769099382068,0.053165142107634344]","[-1,-1,-1]","[0.11678912378142658,-0.1430304823416973]","[1,1,1]","[0.04801523514503601,0.11881591204034225]","[1,1,1]","[0.160927881210408,0.11493281653013615]","[-1,-1,-1]","[-0.07854476653975798,0.021731549777321307]","[-1,-1,-1]","[-0.08487267503044141,0.06756217043485659]","[1,1,1]","[-0.03435072407568213,-0.19490401275512248]","[-1,-1,-1]","[0.02,0.02]",63.7743,0,0,0,63,1,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,63.776,64.2734,,,64.5259,65.0569,right,0.5165,,,,,,,,,0.1,,,,,,64.2737,64.5257,65.057,"[0.006209712928239026,0.1728743533622761]","[-1,-1,-1]","[-0.04134090922840991,-0.027039006828499412]","[-1,-1,-1]","[-0.19240193300584577,-0.017975055616657985]","[-1,-1,-1]","[-0.03888781894371963,-0.19203645518876603]","[-1,-1,-1]","[-0.1638630157470223,0.10997827002710103]","[-1,-1,-1]","[-0.037653843140370326,-0.1062247993712042]","[-1,-1,-1]","[-0.16342584934146984,0.058220892853341685]","[-1,-1,-1]","[-0.12780428792587054,-0.007081890296871787]","[-1,-1,-1]","[-0.06696693611064915,-0.15213666480821675]","[-1,-1,-1]","[-0.11459107316471663,0.1228965775313027]","[-1,-1,-1]","[-0.11643148416770646,0.04706232828472027]","[1,1,1]","[0.11597653862654933,0.004136165339885149]","[1,1,1]","[0.15177784104900796,0.060357055572985374]","[-1,-1,-1]","[0.03642758500229299,-0.09047818271020146]","[-1,-1,-1]","[0.07456404571624925,-0.11582214789713306]","[-1,-1,-1]","[-0.08200445825862569,0.004176202109235449]","[-1,-1,-1]","[0.04685595469247051,-0.03927620776564567]","[-1,-1,-1]","[-0.11894767631768245,-0.06751030258480663]","[-1,-1,-1]","[0.019776224677915018,0.04743604874278118]","[-1,-1,-1]","[0.15046718809097287,-0.1023475716519429]","[-1,-1,-1]","[0.005051426629672195,-0.16448454298005385]","[-1,-1,-1]","[0.19745928498729784,-0.029534515040966748]","[-1,-1,-1]","[0.11715840693566146,-0.1368829180085487]","[-1,-1,-1]","[0.02311670673925163,0.12509743516683636]","[-1,-1,-1]","[0.0913634242288769,-0.07424357686624586]","[-1,-1,-1]","[-0.04437049838137598,0.16977873366770313]","[1,1,1]","[0.0006106661217722532,-0.05625552233524556]","[-1,-1,-1]","[-0.17145614425557962,0.01882290289682632]","[-1,-1,-1]","[-0.024080594303964108,0.04863508481279836]","[-1,-1,-1]","[0.08184374758037229,0.029050259903102137]","[-1,-1,-1]","[0.1450410706186925,0.11997573479999118]","[-1,-1,-1]","[-0.02118698114604411,0.13438949864353383]","[-1,-1,-1]","[0.02,0.02]",66.1563,0,1,1,10,1,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,66.1572,66.6567,,,66.9115,67.441,right,0.506,,,,,,,,,0.4,,,,,,66.6568,66.9114,67.4412,"[-0.019924296558642893,-0.1598646579709189]","[-1,-1,-1]","[-0.016331599339263203,0.1337424704438147]","[1,1,1]","[-0.10655429964655388,0.04621101725024594]","[-1,-1,-1]","[0.1306373515494089,-0.11154800391448792]","[1,1,1]","[0.06616666186003187,-0.09868767291711866]","[1,1,1]","[-0.05929503250512469,0.17613494575251207]","[-1,-1,-1]","[-0.06064123854682364,0.10717522495265161]","[1,1,1]","[0.12351133166482507,-0.06876080608038083]","[1,1,1]","[-0.07240262468544682,-0.148091038738378]","[-1,-1,-1]","[-0.02126888967695013,-0.11062835521072255]","[-1,-1,-1]","[-0.17052518671216935,-0.0156003552467277]","[-1,-1,-1]","[0.14037523506274893,0.044205191674116]","[-1,-1,-1]","[0.00529098696476712,0.19950957474619596]","[1,1,1]","[-0.105402707670532,-0.07175021659268062]","[-1,-1,-1]","[0.041919122451482244,0.17407327232570752]","[1,1,1]","[0.07825962502622606,0.0426469212175041]","[1,1,1]","[-0.05158077711327668,-0.050937374873708405]","[1,1,1]","[0.08022236075775134,-0.049814991106562664]","[1,1,1]","[-0.02325719371525842,-0.011787617753054893]","[-1,-1,-1]","[0.05807943972875127,-0.1751934947110268]","[-1,-1,-1]","[-0.0974845723397729,-0.0005669204573003772]","[1,1,1]","[-0.12239696357181941,0.1130565048173647]","[1,1,1]","[0.15926902842281793,-0.04174710389736277]","[-1,-1,-1]","[0.18524911195065208,-0.003091100124136805]","[-1,-1,-1]","[0.05240950807719148,0.0045957850003933215]","[-1,-1,-1]","[0.032111125102534985,0.0632646727820252]","[-1,-1,-1]","[0.08069276864117705,0.11641554671026567]","[-1,-1,-1]","[0.11495157131523027,-0.14997467993785624]","[-1,-1,-1]","[0.13438206521029733,0.08682031692816898]","[-1,-1,-1]","[0.12157851307553699,-0.018017013891317695]","[-1,-1,-1]","[-0.05832474512224829,0.06705006758368971]","[-1,-1,-1]","[-0.06592627852208789,0.026046182149389807]","[1,1,1]","[0.02,0.02]",68.5403,0,2,2,36,1,,,,,,,
,,,,,,,67b602e2e2bfcaa2a6c901ed,682f0fd011c131d7b751cca5,2025-05-22_14h07.53.056,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,68.542,69.0416,,,69.295,69.7132,left,0.4027,,,,,,,,,0.4,,,,,,69.0419,69.2948,69.7132,"[-0.05598015269264325,0.08103067966812873]","[-1,-1,-1]","[-0.10007657292302646,0.025269883094003822]","[-1,-1,-1]","[-0.041764023934416854,-0.1613697450250318]","[1,1,1]","[0.006546493181819185,-0.05026021970871092]","[-1,-1,-1]","[0.09387993029643753,-0.17527717097642068]","[1,1,1]","[0.03716955208566459,-0.014904137762798335]","[-1,-1,-1]","[0.043015609281373546,0.12207368333710267]","[1,1,1]","[0.07443660536089909,0.16269353758804478]","[-1,-1,-1]","[-0.10606139670617765,0.15539075804510036]","[1,1,1]","[-0.032703737833877415,-0.11628479773943658]","[-1,-1,-1]","[-0.1488137069395159,0.10795219704146419]","[-1,-1,-1]","[0.1842662411797874,0.06715478820272637]","[-1,-1,-1]","[-0.08878569460838656,-0.038891699503022244]","[-1,-1,-1]","[-0.15356291386008306,-0.09479961744885379]","[-1,-1,-1]","[0.11476646759675505,0.017786233583644503]","[1,1,1]","[0.14721839641109608,-0.02923670804371396]","[1,1,1]","[0.028861394216027597,0.05114336211599189]","[-1,-1,-1]","[-0.14848716651126168,0.05852864639959886]","[1,1,1]","[0.08339906895311025,0.08816540554309028]","[1,1,1]","[-0.04530424593027248,-0.050777270525931666]","[1,1,1]","[0.08937146059412258,-0.025249959352727076]","[-1,-1,-1]","[-0.11020566081711476,-0.09714688582364063]","[-1,-1,-1]","[-0.018237066817899116,0.10582758561261679]","[-1,-1,-1]","[0.015137257296695383,0.16052921575648235]","[-1,-1,-1]","[0.16956891543595873,0.006983441825250365]","[1,1,1]","[0.11088901058661663,-0.06977693915093469]","[1,1,1]","[0.029656724700937238,-0.15620324191346568]","[1,1,1]","[-0.18625951451738287,-0.024315821473999244]","[-1,-1,-1]","[-0.04201058680338401,0.16691507872035474]","[-1,-1,-1]","[-0.08126332370743551,0.11799005710869857]","[-1,-1,-1]","[-0.12954214038617115,-0.03592066122591028]","[-1,-1,-1]","[0.09403733392499883,-0.12505939537579047]","[1,1,1]","[0.02,0.02]",70.811,0,3,3,53,1,,,,,,,
