right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,20.2288,space,5.2221,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,20.229,53.6925,space,3.4488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,53.6925,57.2803,space,0.5838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,57.2943,57.7922,57.7928,58.0472,58.0473,59.0251,left,0.9441,,59.0251,60.1252,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,60.1257,60.6248,60.6248,60.8752,60.8753,61.1579,right,0.2646,,61.158,62.2583,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2588,67.2083,space,1.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,67.2167,67.7079,,,67.9585,68.6413,left,0.6624,,,,,,,,,0.55,,,,,,67.7084,67.9584,68.6417,"[-0.04820969743493544,-0.10785223680956156]","[1,1,1]","[-0.045163105337013065,0.043646912408847126]","[-1,-1,-1]","[0.07714189017366516,0.12409509790856664]","[1,1,1]","[0.13701373173776937,-0.12506519578236766]","[1,1,1]","[-0.1503632000741941,-0.1114095531433164]","[-1,-1,-1]","[0.08196909679780777,-0.06474178127764169]","[1,1,1]","[0.1279262092298041,-0.01782840879271688]","[-1,-1,-1]","[-0.1527442434324294,-0.03734811227234589]","[1,1,1]","[-0.0094627683485349,-0.1420169999038181]","[1,1,1]","[-0.054811513788507876,-0.03290155931643053]","[-1,-1,-1]","[-0.1838734552646925,0.008283321698247078]","[-1,-1,-1]","[-0.06598831813380875,0.14079356247148403]","[1,1,1]","[0.14013555421883808,-0.07061856224912641]","[1,1,1]","[0.12249700119337899,0.15163581060043804]","[1,1,1]","[-0.10214340793891262,0.04735468398743511]","[1,1,1]","[0.02086352119081396,-0.038068781275938025]","[1,1,1]","[0.05195686944862988,-0.190798502725761]","[-1,-1,-1]","[-0.0037280543385151844,0.10536786882531672]","[1,1,1]","[-0.1088512042762503,-0.13342675889962158]","[1,1,1]","[0.02066689395452276,-0.10022851387302122]","[1,1,1]","[-0.17043825195623735,0.04895204053706972]","[-1,-1,-1]","[0.007805543926968295,0.05955388465829629]","[-1,-1,-1]","[-0.14223248866350557,0.13252716672835313]","[-1,-1,-1]","[-0.10095524562030866,0.09632386581115993]","[1,1,1]","[0.12723965830841683,0.10713494856402729]","[-1,-1,-1]","[0.16936508979508028,0.0758151308079815]","[1,1,1]","[0.10996311186222789,0.019209088813444804]","[1,1,1]","[-0.017117486559678232,0.17361759297620455]","[-1,-1,-1]","[0.04246796682981091,0.0025264253492983855]","[-1,-1,-1]","[0.05446444460436477,-0.12409758873155127]","[-1,-1,-1]","[0.0559410437415331,0.07778523918676625]","[-1,-1,-1]","[-0.05888863287122752,-0.15507066494508503]","[1,1,1]","[0.02,0.02]",69.741,0,0,0,139,1,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,69.7413,70.2415,,,70.4909,70.9408,left,0.4325,,,,,,,,,0.9,,,,,,70.2416,70.4909,70.9408,"[0.010523521051491054,0.18913200366012775]","[-1,-1,-1]","[0.08433310226301753,-0.16532025478420873]","[1,1,1]","[0.10131941629303926,0.06278297906714143]","[1,1,1]","[0.1565169417434562,0.003090150847802854]","[1,1,1]","[0.07067574361989226,0.022096286829474225]","[1,1,1]","[-0.02290585368264603,0.1265346752147645]","[1,1,1]","[0.03148301506918168,-0.11094975177018036]","[1,1,1]","[0.0765952072416772,-0.09871760500925449]","[1,1,1]","[-0.09006533696945322,-0.00554286234925623]","[1,1,1]","[-0.12120039032809145,-0.09765774851159686]","[1,1,1]","[-0.18816364673446193,-0.0121720632343961]","[1,1,1]","[0.15814872037953745,-0.039429078428320274]","[1,1,1]","[-0.00678971235769467,-0.06559845781747503]","[1,1,1]","[-0.09045841883762958,-0.14804150340599853]","[1,1,1]","[-0.12618432649252406,-0.038047171693564225]","[1,1,1]","[-0.07312554270834631,0.0691605228902843]","[1,1,1]","[0.01825183633064475,-0.16869269017405067]","[-1,-1,-1]","[-0.018214384349643193,-0.14327553215149946]","[1,1,1]","[-0.11317104979354788,0.06358154894751213]","[1,1,1]","[0.10048868339823182,0.10320027149478256]","[1,1,1]","[-0.1566668374571617,0.06215784215910211]","[1,1,1]","[-0.0735596080928406,-0.07139286792329658]","[1,1,1]","[0.15909508763662697,0.04630288692503145]","[1,1,1]","[-0.0075487388113588206,0.07053067394891434]","[-1,-1,-1]","[-0.15868441726267382,0.019056424959895825]","[1,1,1]","[-0.1390059191764717,0.13142417745745527]","[1,1,1]","[0.07412509774227688,0.1589595196488274]","[1,1,1]","[0.07101527242315073,-0.020148039463821255]","[1,1,1]","[0.13542143525991077,-0.13624885222934804]","[1,1,1]","[0.15136094594092744,0.09037406768218398]","[1,1,1]","[-0.043062371311818,-0.09743042685176247]","[1,1,1]","[0.11708447651191181,-0.055489984574277194]","[1,1,1]","[0.02,0.02]",72.0413,0,1,1,188,1,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,72.0417,72.5413,,,72.7927,72.9584,right,0.1443,,,,,,,,,0.45,,,,,,72.5415,72.7926,72.9586,"[0.048942507075129725,-0.06172824666340843]","[-1,-1,-1]","[-0.054505492695228225,0.18460257672352928]","[-1,-1,-1]","[-0.04469398651759535,0.03281653966351321]","[1,1,1]","[0.018820326741076143,0.14853797918306205]","[1,1,1]","[0.04772851101857622,-0.14031603871045076]","[1,1,1]","[-0.09543360135212527,0.06687712731593831]","[1,1,1]","[-0.16051145089270952,-0.09243031349677117]","[1,1,1]","[0.13383814343946307,-0.12211871931978066]","[-1,-1,-1]","[0.1752828830051874,-0.0656726335297604]","[-1,-1,-1]","[-0.08208176445986033,-0.048412469768744706]","[1,1,1]","[0.14481413626060938,0.048906706954556664]","[-1,-1,-1]","[0.07793660090679656,0.02049591712846566]","[-1,-1,-1]","[0.1169903664666724,0.15906936415182987]","[1,1,1]","[0.0005884742726981066,-0.06586007810726979]","[1,1,1]","[-0.14072456720092902,0.019293791122833064]","[-1,-1,-1]","[0.05114331104312699,0.08622147211727094]","[-1,-1,-1]","[-0.10494323487537194,-0.1284532126470108]","[1,1,1]","[-0.0932130953889654,0.13160008908793838]","[1,1,1]","[-0.18688808951914626,-0.025515200500712563]","[-1,-1,-1]","[0.10861964218717766,-0.029246171394590296]","[-1,-1,-1]","[0.19593482705455104,-0.004908478927062282]","[1,1,1]","[-0.052953824268639295,-0.10718827467489292]","[1,1,1]","[0.07320116586302293,0.17333030296714988]","[-1,-1,-1]","[0.0031601505061883356,0.0920536507654247]","[-1,-1,-1]","[-0.13297356522387468,0.1453117720255392]","[-1,-1,-1]","[0.08332926205952765,-0.08896620290066297]","[1,1,1]","[-0.02181147067466261,-0.003848788630444388]","[-1,-1,-1]","[0.02326132528550361,-0.013768468265151174]","[-1,-1,-1]","[0.13969965658027061,0.09961070722073175]","[-1,-1,-1]","[0.08633091016872615,0.129949770872577]","[1,1,1]","[0.08131924500511828,-0.1701847292375386]","[-1,-1,-1]","[0.15044059244155855,0.0006961007839522676]","[-1,-1,-1]","[0.02,0.02]",74.0579,0,2,2,60,1,,,,,,,
,,,,,,,67c3321da0a96b0538b4abbe,682f0fba87de0ca602a6113e,2025-05-22_12h51.49.530,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,74.0583,74.5583,,,74.8087,75.1242,right,0.2939,,,,,,,,,0.5,,,,,,74.5583,74.8086,75.1242,"[-0.07229923505525786,0.17009567170796033]","[-1,-1,-1]","[-0.056295604869886856,-0.10764707928181137]","[1,1,1]","[-0.15805572894980127,-0.0705914957213281]","[-1,-1,-1]","[0.07449619397694421,-0.16128016226787728]","[-1,-1,-1]","[-0.13240124859844304,0.110232564791994]","[1,1,1]","[-0.048225838151926124,0.050975604515576034]","[-1,-1,-1]","[-0.18676417350045102,0.04094646926745476]","[1,1,1]","[0.03755750982619645,-0.1420752589451457]","[-1,-1,-1]","[0.0026517826302321947,0.16522538865514352]","[1,1,1]","[0.06910534027979681,0.18248115338518814]","[-1,-1,-1]","[-0.12911495015060148,-0.003825265072686659]","[1,1,1]","[-0.02567702134958905,-0.020308123584606527]","[-1,-1,-1]","[-0.13911435682973924,-0.12734302494845703]","[1,1,1]","[-0.08956311055272011,0.047064695423640154]","[-1,-1,-1]","[0.1031471696479372,0.12020959844819779]","[1,1,1]","[0.11022531935714219,-0.07614234513197193]","[1,1,1]","[0.13240563963842705,-0.004177349799856387]","[1,1,1]","[0.03857416283565489,0.13508420452079087]","[1,1,1]","[-0.08792788258884493,-0.13279241350040735]","[1,1,1]","[0.08458342308332305,0.031016970700156687]","[-1,-1,-1]","[0.004456965965981311,0.03723011244311982]","[-1,-1,-1]","[0.1822201164215426,-0.0296248361787943]","[-1,-1,-1]","[-0.1017671577350749,-0.049374519950257004]","[-1,-1,-1]","[-0.05710696382205123,-0.17571638725286684]","[1,1,1]","[0.16653913936256554,0.025225315420502915]","[1,1,1]","[0.04106063743257289,-0.05143209515991568]","[-1,-1,-1]","[0.007346604298118103,-0.1820144407331467]","[1,1,1]","[-0.01469230244160696,-0.09575546601865875]","[-1,-1,-1]","[0.10149417921334433,-0.12725975579944038]","[-1,-1,-1]","[-0.03502334618454461,0.11886227108027522]","[1,1,1]","[-0.0024461263814528947,-0.13962439745689142]","[-1,-1,-1]","[0.10299256715165694,0.07687188383747523]","[1,1,1]","[0.02,0.02]",76.2249,0,3,3,90,1,,,,,,,
