right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0007,107.3296,space,92.3197,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,107.33,165.3985,space,28.0578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,165.3988,170.898,space,2.4763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,170.9287,171.4142,171.4146,171.6647,171.6649,173.1558,,173.156,174.2539,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,174.255,174.7517,174.7517,174.998,174.9981,175.2476,right,175.2477,176.3474,0,1,1,0,1,0.8,0.2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.348,188.3475,space,8.9755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,188.3701,188.8634,,,189.1142,189.4467,right,,,,,,,,0.1,0.3198,,,,,,,188.8639,189.1142,189.4472,"[-0.06035938703641086,0.17548448070480888]","[-1,-1,-1]","[0.04105535288278324,0.10024396400363286]","[-1,-1,-1]","[-0.0763904010243019,-0.15046827246270347]","[-1,-1,-1]","[-0.012121452299817367,0.034741340954236824]","[-1,-1,-1]","[-0.041100919491408656,0.10072512445950699]","[-1,-1,-1]","[0.1597172423245431,0.0034148470128370118]","[-1,-1,-1]","[-0.007392362958554265,-0.09193554791709997]","[-1,-1,-1]","[0.0981996181739172,-0.04221521026331717]","[-1,-1,-1]","[-0.07393682491849587,0.0070203622447197345]","[-1,-1,-1]","[0.14478962454023506,0.08663251669061606]","[-1,-1,-1]","[-0.010975464244921306,0.19504218051662417]","[-1,-1,-1]","[-0.12098698963272489,0.031381086510079655]","[1,1,1]","[-0.14403987787836894,0.10704248925596374]","[-1,-1,-1]","[0.1932548669701183,-0.042598502428948325]","[-1,-1,-1]","[-0.01575473436942296,-0.14639751284667235]","[-1,-1,-1]","[0.18289172095589204,0.03721658962641739]","[-1,-1,-1]","[-0.033839484966594106,-0.026156997909134738]","[-1,-1,-1]","[0.07332492079186638,-0.169622318324573]","[-1,-1,-1]","[-0.04013848819399078,-0.19163539102323138]","[-1,-1,-1]","[-0.12389355789203085,-0.05586427905107576]","[-1,-1,-1]","[-0.17145347435598654,0.007268573695853772]","[-1,-1,-1]","[0.03050953709788084,-0.0017568559124180774]","[-1,-1,-1]","[-0.009339918225375297,0.15451190856295918]","[1,1,1]","[-0.10821151771935202,-0.09823377640103119]","[1,1,1]","[0.10036982156821136,-0.12589123698437327]","[-1,-1,-1]","[-0.14968321703003923,-0.09198091572706732]","[-1,-1,-1]","[0.10678416842079529,0.12347375259655842]","[-1,-1,-1]","[0.11796832764160711,0.05664603950291308]","[-1,-1,-1]","[-0.07903365859683495,-0.043795196853797826]","[-1,-1,-1]","[0.0680832121862642,0.04811608246713378]","[-1,-1,-1]","[0.12079173324303585,-0.07781972721346764]","[-1,-1,-1]","[0.16210888955302324,-0.0777002266085707]","[-1,-1,-1]","[0.02,0.02]",190.547,0,0,0,4,1,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,190.5475,191.0467,,,191.2971,191.73,right,,,,,,,,0.4,0.4176,,,,,,,191.0468,191.2971,191.7301,"[-0.06250027661794058,0.07592345929158342]","[1,1,1]","[0.13066197101741903,-0.10734226589384575]","[-1,-1,-1]","[0.084367546374792,0.024498600210978466]","[1,1,1]","[-0.14623574512782167,-0.053282939983203124]","[1,1,1]","[0.09924334311404606,-0.17102986204526702]","[1,1,1]","[-0.16210137331776822,-0.09838012563983105]","[1,1,1]","[-0.18124625524497073,0.01593268833495882]","[1,1,1]","[-0.0486599553620003,-0.1221961448565879]","[1,1,1]","[0.028959779055833922,0.1506378707761255]","[-1,-1,-1]","[0.04146162635982175,0.0013606871353748554]","[-1,-1,-1]","[-0.11697286411543725,0.0328457791974968]","[1,1,1]","[0.18944793988236408,-0.047172554849564376]","[1,1,1]","[-0.02843433656978624,-0.06498989836416395]","[1,1,1]","[0.10960685353690414,0.10326192647837906]","[-1,-1,-1]","[0.08471812931525463,0.1482792922718801]","[1,1,1]","[0.14643653499819367,0.08512718238016702]","[1,1,1]","[-0.08519874091813061,-0.08243211291147348]","[-1,-1,-1]","[-0.0597582202130241,0.12518261070978498]","[-1,-1,-1]","[-0.039952020471063096,0.03996434530759557]","[-1,-1,-1]","[0.03706586565371034,-0.09131890073948405]","[1,1,1]","[0.0019865964527156312,0.015283169291262827]","[-1,-1,-1]","[0.0933971073874304,-0.07921089164590785]","[-1,-1,-1]","[0.13992013723038416,0.13291169227832106]","[-1,-1,-1]","[-0.01020034096057395,0.09531046286592167]","[-1,-1,-1]","[0.06506161628064534,-0.14646053232369155]","[-1,-1,-1]","[-0.08443102769253436,-0.14436165662351738]","[-1,-1,-1]","[0.018367708167020748,-0.19864318811700174]","[-1,-1,-1]","[0.010401845845495025,-0.03480170492345536]","[-1,-1,-1]","[-0.012671783404749143,0.1867445708178074]","[-1,-1,-1]","[0.17238885977025895,-0.004093414629153493]","[-1,-1,-1]","[-0.13257804851317304,0.09931411777417903]","[-1,-1,-1]","[-0.06365363272070343,-0.018647518107328773]","[-1,-1,-1]","[0.02,0.02]",192.8302,0,1,1,45,1,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,192.8307,193.33,,,193.5804,193.8299,left,,,,,,,,0.45,0.2341,,,,,,,193.33,193.5804,193.83,"[0.10953006101269681,0.08544804045896616]","[1,1,1]","[-0.10757399570265963,-0.1047097057683642]","[-1,-1,-1]","[-0.10706220475022951,0.11782957749933565]","[-1,-1,-1]","[0.03612699544837245,0.010144296364645547]","[-1,-1,-1]","[-0.010967734453616696,0.0935167165903029]","[1,1,1]","[0.07852372738184363,0.16494173615882396]","[-1,-1,-1]","[0.018768996097550526,-0.06652478344328641]","[-1,-1,-1]","[-0.03914059247131357,-0.08642266879592626]","[-1,-1,-1]","[0.1448172440351745,-0.06808189944775797]","[1,1,1]","[-0.09334749310403052,-0.037639947445545045]","[1,1,1]","[-0.039815305706063495,-0.020577674232968378]","[-1,-1,-1]","[-0.11165034973034715,0.0635738098334028]","[-1,-1,-1]","[-0.003816251978818981,-0.1583249763045222]","[-1,-1,-1]","[-0.014232336177826826,0.19743695577385842]","[-1,-1,-1]","[0.15716038339797803,0.022954726114416787]","[1,1,1]","[0.029514242204857714,0.09708740058392025]","[-1,-1,-1]","[0.0685933140703601,-0.1456674541698021]","[1,1,1]","[-0.18061198645700066,-0.05435563126129383]","[1,1,1]","[0.13021353523127052,-0.14411548003212254]","[-1,-1,-1]","[-0.10091419373665936,-0.16138794402791182]","[-1,-1,-1]","[-0.08773803067046226,0.023089046982664337]","[-1,-1,-1]","[0.040934825538454095,-0.18302518717186883]","[1,1,1]","[-0.14274083247704708,0.023413905203197104]","[-1,-1,-1]","[0.012445658334125826,-0.10632355463994723]","[1,1,1]","[-0.021634099364439822,-0.195990601679964]","[1,1,1]","[0.02498628169744376,0.17669158998030504]","[1,1,1]","[-0.13783726277727942,-0.018721571519086475]","[1,1,1]","[0.12848696463305273,-0.02950231402993984]","[1,1,1]","[-0.037759380885658465,0.060419419230614356]","[-1,-1,-1]","[-0.16631896814596356,-0.09909935884648076]","[1,1,1]","[0.08621811920433758,0.02386850492021776]","[-1,-1,-1]","[-0.05387910237556674,-0.15117880119372706]","[-1,-1,-1]","[0.02,0.02]",194.9297,0,2,2,66,1,,,,,,,
,,,,,,,67cd50f22f22938860f85a66,682f0fe1c7a887b5c4e2f766,2025-05-22_13h59.55.130,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,194.9303,195.4299,,,195.6804,195.9465,right,,,,,,,,0.55,0.2511,,,,,,,195.4299,195.6803,195.9465,"[0.004446579228601579,0.14050912798845844]","[1,1,1]","[-0.10640686889027237,-0.15721988577676793]","[1,1,1]","[-0.07216385168950311,0.12117367692718743]","[-1,-1,-1]","[-0.05849992890144393,0.17543131727846145]","[1,1,1]","[0.04334566653940048,0.07160620797146634]","[-1,-1,-1]","[-0.11889999226325365,0.015536510641600904]","[1,1,1]","[0.025393416016373148,-0.05154915731190901]","[1,1,1]","[-0.009525846505539405,-0.07131430740023907]","[1,1,1]","[0.12458639899203901,-0.10027078559907847]","[1,1,1]","[-0.19516104322556116,-0.015069571259336197]","[-1,-1,-1]","[0.06843703810886392,-0.003721449410497605]","[1,1,1]","[-0.048990888886849326,-0.033356505133754336]","[-1,-1,-1]","[0.07422208408220801,-0.16101197656908653]","[1,1,1]","[-0.14607712388387695,-0.05441395554769582]","[-1,-1,-1]","[0.0696392542513005,0.11523522635516793]","[1,1,1]","[-0.17957053599589998,-0.08099141701764616]","[-1,-1,-1]","[0.07872472709577864,0.03749142002255953]","[1,1,1]","[-0.11517639437233658,0.16295122553602234]","[-1,-1,-1]","[0.05059502871669747,0.18952029638617204]","[-1,-1,-1]","[0.12983144333565527,0.008038586313206211]","[1,1,1]","[-0.03620599239348539,-0.195251301373756]","[-1,-1,-1]","[0.18530459733114454,-0.07374427613945735]","[1,1,1]","[0.015939827552408834,-0.1654754789968678]","[1,1,1]","[-0.10039016666486998,0.08961945363599585]","[-1,-1,-1]","[0.09991902738614857,0.17160466233113797]","[-1,-1,-1]","[0.1409551186405917,0.06910098409581743]","[1,1,1]","[0.09546888266382338,-0.03719280075911841]","[-1,-1,-1]","[-0.1809760208709263,0.02411864577027591]","[1,1,1]","[-0.06804224071244361,-0.12428113823782005]","[-1,-1,-1]","[-0.18552064855309217,0.06805876016237329]","[1,1,1]","[0.05656767760057476,-0.11569355599674198]","[-1,-1,-1]","[0.0026046554918774116,-0.0009482541686718788]","[1,1,1]","[0.02,0.02]",197.0465,0,3,3,123,1,,,,,,,
