right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0006,38.7411,space,23.4754,0.2366,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,38.742,72.3431,space,3.5933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,72.3433,88.2127,space,12.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,88.558,88.7299,88.7303,89.0838,89.084,90.471,,90.4715,91.5709,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,91.5731,92.0704,92.0706,92.2778,92.2778,93.1776,right,93.1779,94.2774,0,1,1,0,1,0.8,0.8875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.2779,101.5926,space,4.2913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,101.6964,102.1177,,,102.3595,103.2752,right,,,,,,,,0.45,0.9008,,,,,,,102.1185,102.3593,103.2756,"[-0.09404066528470463,0.11122604153379145]","[-1,-1,-1]","[0.0980268349143187,0.0948619691560679]","[1,1,1]","[-0.06195590558590836,0.14378663268636901]","[-1,-1,-1]","[0.04141504225462283,-0.009902379693479933]","[-1,-1,-1]","[0.11166225699491349,-0.07924902562372499]","[-1,-1,-1]","[0.08294142529255868,0.01889290841487029]","[-1,-1,-1]","[-0.05266771622931684,-0.12572740129923335]","[1,1,1]","[0.019935376340993856,0.1812943003325217]","[-1,-1,-1]","[-0.1738547611264337,0.06644286250536334]","[-1,-1,-1]","[0.1212694275361002,0.03374321799961968]","[-1,-1,-1]","[0.05528135177816339,-0.14878488656117864]","[-1,-1,-1]","[-0.1707184791358588,-0.0973449708283512]","[-1,-1,-1]","[-0.08007283023683838,-0.04601325612356002]","[1,1,1]","[0.16640494472386744,-0.014204901391798423]","[1,1,1]","[-0.12435084528543036,-0.02162443040296775]","[1,1,1]","[-0.059801513804723844,-0.005283847103216717]","[-1,-1,-1]","[-0.05806802494999771,-0.18190213617681433]","[-1,-1,-1]","[0.006317775431645771,-0.15722533624414697]","[1,1,1]","[-0.12597418511075503,0.0784653770592663]","[-1,-1,-1]","[-0.03451338110126132,0.03724045110708813]","[1,1,1]","[0.0831756735299294,-0.10805295898793624]","[-1,-1,-1]","[0.006117434452648779,-0.06792833592818479]","[-1,-1,-1]","[0.050842979430923696,0.05503420625260895]","[1,1,1]","[0.06675357809471108,0.1419047321905475]","[1,1,1]","[0.16532252385410767,0.06338960561621002]","[1,1,1]","[-0.009590932257063287,0.10666442607242162]","[1,1,1]","[-0.16270293396282856,0.013474186540953158]","[-1,-1,-1]","[0.10817972562418714,0.1637836318045714]","[1,1,1]","[-0.09761397389174926,-0.11593803692193028]","[1,1,1]","[0.08262469810951553,-0.03488559289487441]","[1,1,1]","[-0.1869981941040021,-0.05078345152520197]","[-1,-1,-1]","[0.1492547201247569,0.1323584560299698]","[-1,-1,-1]","[0.02,0.02]",104.3748,0,0,0,76,1,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,104.3759,104.8747,,,105.1267,105.7748,right,,,,,,,,0.55,0.6344,,,,,,,104.8748,105.1267,105.7748,"[0.04213896633291952,-0.038681113605233124]","[-1,-1,-1]","[-0.09704361482146895,0.057742286317015244]","[1,1,1]","[0.022240797681103132,0.06898153788474394]","[-1,-1,-1]","[-0.05961472051952451,-0.17519792112403204]","[1,1,1]","[0.13187099592312512,-0.11254053053128776]","[-1,-1,-1]","[-0.07819130277674852,0.09608875600124506]","[-1,-1,-1]","[-0.10452449163418528,-0.06526252287762051]","[1,1,1]","[-0.003384895499147587,0.014760985088928728]","[-1,-1,-1]","[-0.11663765365658438,0.14814775501723418]","[-1,-1,-1]","[0.05328096799381309,0.018481718222495024]","[1,1,1]","[0.15987779042645117,0.000946362690047279]","[1,1,1]","[0.0791810558884891,-0.012196443996504526]","[1,1,1]","[0.02984751454140231,0.11604913026513411]","[-1,-1,-1]","[0.10054910619857012,-0.14943928372198376]","[1,1,1]","[0.17417389838522007,-0.06115440205177621]","[-1,-1,-1]","[0.10315665634964952,0.1697259875485124]","[1,1,1]","[-0.10386321186806616,-0.0022469864382847855]","[1,1,1]","[0.019362056300477958,0.1972268320954495]","[-1,-1,-1]","[0.14829695257356112,0.13276754827247664]","[-1,-1,-1]","[-0.16044753361669473,0.010043490942264607]","[1,1,1]","[0.1251867612762651,-0.05425953448486012]","[-1,-1,-1]","[0.11160423616619289,0.11264250351335137]","[1,1,1]","[0.0726651885861553,0.07287061569369756]","[1,1,1]","[-0.15108581355414874,0.11455762423755264]","[1,1,1]","[-0.02242692910205972,-0.13616353885729993]","[-1,-1,-1]","[-0.02713534711534898,0.09346132867950217]","[1,1,1]","[-0.12165921745228422,-0.12203899991433119]","[-1,-1,-1]","[-0.05778891109206644,-0.10312858699406939]","[1,1,1]","[-0.05861140912937953,0.14007434040418304]","[-1,-1,-1]","[-0.04567306177229471,0.044018282126387656]","[1,1,1]","[-0.17447954326849371,0.07849032963032644]","[1,1,1]","[0.007445723338524942,-0.16745179391508588]","[1,1,1]","[0.02,0.02]",106.874,0,1,1,125,1,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,106.8744,107.3739,,,107.6245,107.9408,left,,,,,,,,0.1,0.3011,,,,,,,107.374,107.6245,107.9409,"[0.029775857158343504,0.06222452568331869]","[-1,-1,-1]","[-0.08415275397524666,0.09039409093500808]","[-1,-1,-1]","[-0.09331318710579066,-0.13945879603659034]","[-1,-1,-1]","[0.19131506819801178,-0.02532410041274412]","[-1,-1,-1]","[-0.02604432352720889,-0.030969803676366384]","[1,1,1]","[-0.13371252567959194,0.0004759589804185879]","[1,1,1]","[-0.041170779014600326,0.1595795972318173]","[-1,-1,-1]","[0.09699626255461088,0.16807345405803073]","[-1,-1,-1]","[0.17285031418210467,0.031028467554649213]","[-1,-1,-1]","[0.05876048077807201,-0.07694282484783933]","[-1,-1,-1]","[-0.02335459539763152,-0.16016800423432417]","[-1,-1,-1]","[-0.13305514973044405,0.05992662860445358]","[-1,-1,-1]","[-0.05156710718920959,-0.07919151876868845]","[-1,-1,-1]","[-0.07125380457711021,-0.009856470960926433]","[-1,-1,-1]","[0.15098405644568832,-0.024094746669458614]","[-1,-1,-1]","[-0.17379272266406462,0.03977233070167771]","[-1,-1,-1]","[0.12204254613281545,0.032012380211898256]","[-1,-1,-1]","[-0.0024992228688474204,0.1965338120032799]","[-1,-1,-1]","[0.07027101410111647,-0.15442251721568673]","[-1,-1,-1]","[0.10977415212446541,0.10859459194306721]","[-1,-1,-1]","[0.047765138304641366,0.15203035093055375]","[-1,-1,-1]","[-0.0807208741189946,0.1760502826151773]","[-1,-1,-1]","[-0.16419307380629045,0.10729522652668283]","[-1,-1,-1]","[0.050957491265333,-0.037391244854167484]","[-1,-1,-1]","[0.13949131716316263,-0.09668999406925259]","[-1,-1,-1]","[0.0206881783427829,0.009197306842115224]","[-1,-1,-1]","[-0.1273434070846158,-0.051891521829933354]","[-1,-1,-1]","[0.03671494501844309,-0.11537484687736278]","[-1,-1,-1]","[0.10573066271527713,-0.05469472509035382]","[-1,-1,-1]","[-0.03835926624099119,0.10663529448466087]","[-1,-1,-1]","[0.1698126053906061,-0.0699531846744256]","[1,1,1]","[-0.025984078656383486,0.0583227318753882]","[-1,-1,-1]","[0.02,0.02]",109.0402,0,2,2,24,1,,,,,,,
,,,,,,,67d00193ba74882f03dc0820,682db4dcacd16069811f1e13,2025-05-21_13h21.45.514,cuing_paradigm_dot,2024.1.5,Win32,30.12048193,682d556593cb38ad0a074487,,,,,,,,,,,109.0406,109.5404,,,109.7909,110.1071,left,,,,,,,,0.1,0.2993,,,,,,,109.5405,109.7908,110.1071,"[-0.19010848805183694,-0.018450936360301304]","[-1,-1,-1]","[0.04789679566756052,0.014989391704061819]","[-1,-1,-1]","[-0.03978736647717418,-0.0600740276835703]","[-1,-1,-1]","[0.019256094953072588,-0.19091424201755489]","[-1,-1,-1]","[-0.044394809148145135,0.10502063621030903]","[-1,-1,-1]","[0.14859860397419272,-0.11914448841750297]","[-1,-1,-1]","[0.07887227778466296,-0.10936331572998953]","[-1,-1,-1]","[-0.1435037939445947,0.027949226157687048]","[1,1,1]","[-0.10384182278703347,-0.09431067368048511]","[-1,-1,-1]","[0.15099498090226612,-0.06159124871080623]","[1,1,1]","[0.09159520641737923,0.09818213766306258]","[-1,-1,-1]","[0.18406653077272805,0.03925461944704243]","[-1,-1,-1]","[-0.03830860260722507,0.16064985816401217]","[-1,-1,-1]","[-0.12849864031451405,0.12422774450379394]","[-1,-1,-1]","[0.09380636484127679,-0.024567927660994297]","[-1,-1,-1]","[0.05844208331107307,-0.16294844443988485]","[-1,-1,-1]","[-0.015999923237521713,-0.024782157597132926]","[-1,-1,-1]","[0.026014586038656265,0.12953050549813308]","[-1,-1,-1]","[0.16465957022618907,-0.0018709828941573352]","[-1,-1,-1]","[-0.1495883276075257,0.07586927653140094]","[-1,-1,-1]","[0.049400148047371306,0.055012076141230416]","[-1,-1,-1]","[-0.06073491068498708,-0.01168665807200914]","[-1,-1,-1]","[0.009577273034871261,0.18457955241981774]","[-1,-1,-1]","[-0.18180134275496496,-0.07629838901555328]","[-1,-1,-1]","[-0.05513363374708293,-0.16288631974128703]","[-1,-1,-1]","[-0.013059603868331948,0.047733876671946694]","[-1,-1,-1]","[0.17628537658338156,0.08147496488911943]","[-1,-1,-1]","[-0.13353305799854212,-0.040974944201280734]","[-1,-1,-1]","[-0.08390196323278422,0.16640907043457295]","[-1,-1,-1]","[0.0975899274646994,0.1660420987617309]","[-1,-1,-1]","[-0.013161991954055872,-0.15877749688691886]","[-1,-1,-1]","[-0.08310284122636749,-0.13236022761100588]","[1,1,1]","[0.02,0.02]",111.2065,0,3,3,13,1,,,,,,,
